date,open,high,low,close,volume,average,barCount
2020-07-13,97.77,98.64,85.66,86.66,4176596.0,91.353,24253
2020-07-14,87.49,90.83,83.0,88.89,2692199.0,86.979,14359
2020-07-15,88.98,90.93,85.49,88.48,1836960.0,87.531,9906
2020-07-16,87.65,87.9,83.38,85.31,2448055.0,84.871,16075
2020-07-17,85.63,87.86,85.31,87.3,1681299.0,86.786,10557
2020-07-20,88.31,93.14,88.1,92.14,2450968.0,91.221,14924
2020-07-21,92.77,93.0,89.34,90.72,2080527.0,91.176,11462
2020-07-22,90.88,92.36,88.53,89.5,1096942.0,89.814,6516
2020-07-23,88.76,91.3,83.57,85.22,2665940.0,86.404,14973
2020-07-24,82.96,86.75,81.54,84.84,1715492.0,84.431,9477
2020-07-27,86.21,88.58,85.67,87.83,1257454.0,87.443,7810
2020-07-28,87.69,89.72,87.06,88.28,906298.0,88.596,5701
2020-07-29,89.22,90.87,87.28,90.13,1395749.0,89.49,7682
2020-07-30,89.79,94.07,89.79,92.76,1709195.0,92.632,9796
2020-07-31,94.77,95.0,91.2,93.86,1621515.0,93.137,9742
2020-08-03,95.82,96.67,93.67,95.67,3141419.0,95.091,18900
2020-08-04,95.91,96.15,92.13,94.22,2056757.0,93.837,11735
2020-08-05,94.31,95.36,91.7,94.32,1933014.0,93.648,11508
2020-08-06,92.75,93.37,87.31,90.01,4248687.0,89.623,24676
2020-08-07,82.7,83.75,74.11,75.28,15113442.0,78.299,72696
2020-08-10,77.64,78.96,72.6,76.36,5953790.0,75.411,31228
2020-08-11,75.48,78.76,75.0,75.68,5149213.0,76.743,27535
2020-08-12,76.02,78.65,75.91,76.61,2811046.0,77.116,14871
2020-08-13,77.6,84.58,76.92,82.42,8098159.0,82.04,38986
2020-08-14,83.0,84.27,79.82,81.24,2131381.0,81.341,11939
2020-08-17,81.95,83.75,81.16,83.45,1755240.0,82.976,9716
2020-08-18,83.09,83.89,81.6,83.46,2381461.0,82.87,15270
2020-08-19,83.05,83.56,81.43,82.47,1575129.0,82.706,8731
2020-08-20,82.19,86.6,82.0,85.78,2486626.0,85.135,13591
2020-08-21,85.52,86.7,84.66,86.12,1775011.0,85.98,10190
2020-08-24,87.01,87.26,82.06,84.34,1972653.0,84.055,12054
2020-08-25,83.67,84.75,82.17,83.77,1235291.0,83.918,7666
2020-08-26,85.77,89.47,85.1,86.28,3502202.0,87.376,19590
2020-08-27,86.33,86.47,82.03,83.54,2519206.0,83.469,12294
2020-08-28,82.97,86.25,81.53,82.98,3199989.0,84.15,20759
2020-08-31,83.49,83.72,81.56,83.55,2774689.0,82.615,14523
2020-09-01,83.76,87.49,82.5,85.77,2998549.0,85.527,18507
2020-09-02,87.91,88.0,81.78,84.19,2598006.0,84.037,15115
2020-09-03,81.5,81.78,76.28,80.1,5698489.0,79.074,30783
2020-09-04,78.51,80.46,75.55,79.57,3382250.0,78.126,21002
2020-09-08,77.0,81.46,75.75,79.98,2560124.0,79.873,16405
2020-09-09,81.53,83.37,79.51,81.98,2183848.0,81.903,13677
2020-09-10,82.02,84.55,80.29,80.67,1875990.0,82.501,12207
2020-09-11,81.5,83.3,78.61,80.36,3232338.0,80.889,20442
2020-09-14,81.44,84.85,80.33,84.39,2762415.0,83.6,17840
2020-09-15,85.06,89.43,85.03,88.54,3973218.0,87.458,23342
2020-09-16,88.21,92.75,88.17,89.38,3616147.0,90.005,21774
2020-09-17,85.48,88.29,85.48,87.25,2671622.0,86.678,15943
2020-09-18,88.44,88.74,84.51,85.69,4140797.0,85.957,21915
2020-09-21,84.26,88.7,80.27,88.14,3984963.0,84.848,26084
2020-09-22,88.37,93.5,85.81,93.41,4910032.0,90.904,23305
2020-09-23,92.06,94.9,90.66,91.1,3116134.0,92.965,16560
2020-09-24,88.94,90.73,87.28,88.37,1346398.0,89.007,8214
2020-09-25,89.21,90.89,87.62,90.65,1051692.0,89.779,7253
2020-09-28,91.66,95.32,91.2,92.25,2395198.0,93.313,12217
2020-09-29,92.08,93.54,90.39,90.92,1536237.0,91.838,8904
2020-09-30,90.92,107.99,89.43,102.16,25071091.0,102.01,105424
2020-10-01,101.43,105.5,98.63,103.51,9041930.0,103.0,47079
2020-10-02,101.31,108.21,100.92,103.49,5884069.0,104.668,26520
2020-10-05,104.75,108.1,103.71,106.89,2991044.0,106.258,16122
2020-10-06,106.89,109.6,102.14,103.92,3525555.0,106.166,18821
2020-10-07,105.59,109.22,104.4,104.43,3450315.0,106.642,18952
2020-10-08,105.26,105.95,101.81,102.66,2087753.0,103.552,12255
2020-10-09,104.65,114.55,103.52,111.79,9132236.0,110.363,39157
2020-10-12,112.25,113.64,108.83,112.2,3517218.0,111.629,17163
2020-10-13,112.64,118.13,112.05,116.87,3412180.0,116.317,17531
2020-10-14,117.55,117.8,112.3,113.55,2049622.0,114.17,10773
2020-10-15,107.38,114.09,104.55,113.29,2366710.0,111.349,11389
2020-10-16,114.84,116.37,111.74,112.36,1327324.0,114.101,7898
2020-10-19,112.3,113.75,110.4,111.66,1614330.0,111.878,10564
2020-10-20,112.31,112.47,107.74,108.59,1740290.0,109.513,11041
2020-10-21,109.53,110.2,100.04,102.17,4876548.0,103.751,24555
2020-10-22,102.87,103.79,98.57,98.94,2233792.0,100.151,10818
2020-10-23,99.5,102.89,97.35,102.08,2269327.0,100.538,11205
2020-10-26,100.65,104.53,96.11,99.76,2458283.0,99.571,12358
2020-10-27,101.24,103.93,100.53,101.33,1152677.0,101.951,6754
2020-10-28,99.25,99.7,96.6,97.03,1605732.0,97.938,8514
2020-10-29,97.94,98.19,95.13,96.41,1814552.0,96.847,8017
2020-10-30,94.86,95.45,90.54,90.75,2786515.0,91.995,14968
2020-11-02,91.65,91.79,86.66,88.33,2634454.0,88.777,17513
2020-11-03,88.54,90.77,86.5,90.14,1822268.0,89.829,12487
2020-11-04,95.76,99.99,95.25,97.62,2539113.0,97.154,16633
2020-11-05,102.26,103.95,99.65,101.95,1888531.0,101.602,12044
2020-11-06,101.99,102.58,98.88,100.35,1723281.0,100.917,10632
2020-11-09,98.76,101.0,93.05,94.89,2412300.0,97.608,15195
