date,open,high,low,close,volume,average,barCount
2020-07-13,52.73,53.52,52.31,52.52,3240688.0,52.965,18049
2020-07-14,52.41,53.82,51.98,53.65,1890788.0,53.184,13672
2020-07-15,54.73,55.2,53.82,54.86,2398262.0,54.562,16316
2020-07-16,54.5,55.37,54.19,54.78,1610300.0,54.772,11398
2020-07-17,54.99,55.48,54.5,54.52,1685454.0,54.817,11056
2020-07-20,54.07,54.41,53.12,53.15,1667673.0,53.56,11531
2020-07-21,53.44,54.38,53.19,53.93,2197102.0,53.932,14841
2020-07-22,53.54,54.49,53.38,54.43,1236520.0,54.064,8236
2020-07-23,54.3,55.47,54.04,55.35,3038479.0,55.042,19478
2020-07-24,55.15,55.41,54.17,54.55,2697649.0,54.659,17971
2020-07-27,54.61,55.76,54.03,55.35,1904498.0,55.072,12435
2020-07-28,54.63,55.24,53.97,54.02,3215501.0,54.451,21059
2020-07-29,53.64,55.64,53.64,55.52,3262632.0,55.021,21286
2020-07-30,53.55,54.43,52.16,53.76,5278381.0,53.665,34115
2020-07-31,53.77,54.96,52.91,53.48,3260724.0,53.508,20923
2020-08-03,53.03,53.33,52.38,52.46,3364301.0,52.855,20220
2020-08-04,52.37,53.52,52.12,53.16,2577535.0,53.08,15292
2020-08-05,53.82,55.37,53.77,54.73,3254625.0,54.81,19863
2020-08-06,55.16,55.24,54.38,54.71,4355463.0,54.816,18612
2020-08-07,54.46,55.88,53.81,55.87,2376781.0,55.168,14568
2020-08-10,56.01,57.8,55.95,57.67,3003241.0,57.273,18353
2020-08-11,58.98,59.83,57.18,57.3,5165535.0,58.459,30497
2020-08-12,59.0,59.5,58.32,58.35,3682031.0,58.889,23270
2020-08-13,57.75,58.47,57.48,58.02,2499062.0,58.02,13896
2020-08-14,57.48,58.58,57.21,58.16,1813876.0,58.121,10556
2020-08-17,58.11,58.46,57.42,57.46,1815833.0,57.754,9362
2020-08-18,57.64,57.92,56.93,57.0,1357902.0,57.282,8611
2020-08-19,56.87,57.21,56.14,56.27,1819634.0,56.636,10840
2020-08-20,55.62,56.34,55.25,56.11,1674079.0,55.863,8615
2020-08-21,56.0,56.19,55.02,55.14,2098159.0,55.395,10625
2020-08-24,55.74,56.99,55.05,56.89,2814602.0,56.367,15725
2020-08-25,57.23,57.67,56.04,56.2,1763672.0,56.541,11121
2020-08-26,56.04,57.18,55.72,56.91,1715817.0,56.84,10961
2020-08-27,56.94,57.47,56.14,56.58,1203970.0,56.648,7915
2020-08-28,56.82,57.26,56.3,57.18,1163949.0,56.893,7337
2020-08-31,56.83,56.9,55.74,55.76,1886298.0,56.092,11444
2020-09-01,55.41,57.27,54.92,57.26,3156330.0,56.406,18743
2020-09-02,57.43,60.35,57.28,60.16,4865559.0,59.376,25577
2020-09-03,60.0,60.46,57.42,58.11,3082437.0,58.618,19509
2020-09-04,58.89,59.12,57.98,58.8,3028587.0,58.63,20237
2020-09-08,57.97,58.0,56.58,56.82,3153792.0,56.969,18811
2020-09-09,57.54,58.47,57.33,57.93,1835822.0,58.012,11862
2020-09-10,58.11,58.58,57.59,57.73,1828175.0,58.102,12095
2020-09-11,58.16,59.08,57.63,58.57,1642096.0,58.559,11159
2020-09-14,59.19,60.09,58.86,59.43,1794568.0,59.477,11204
2020-09-15,59.49,59.96,59.22,59.55,1559361.0,59.637,9678
2020-09-16,59.75,60.98,59.15,60.17,1951969.0,60.405,11355
2020-09-17,59.33,60.92,59.03,60.77,2914097.0,60.495,16163
2020-09-18,60.13,60.48,58.67,59.29,3601355.0,59.545,19175
2020-09-21,57.36,57.68,55.88,56.18,3739880.0,56.318,24165
2020-09-22,56.45,56.45,55.38,55.76,2191604.0,55.822,13959
2020-09-23,55.52,56.18,54.31,54.37,2834644.0,55.136,17099
2020-09-24,54.25,55.03,53.59,54.3,2709479.0,54.239,16602
2020-09-25,53.81,55.27,53.49,55.04,2060500.0,54.737,11690
2020-09-28,55.97,57.29,55.87,56.55,2504626.0,56.729,17535
2020-09-29,56.63,56.69,55.02,55.19,2762190.0,55.521,17422
2020-09-30,55.54,56.33,55.02,55.48,2760765.0,55.748,18702
2020-10-01,55.96,56.32,54.42,54.53,3063183.0,55.192,18730
2020-10-02,53.73,55.57,53.52,54.77,3324569.0,54.922,18194
2020-10-05,55.4,56.5,55.39,56.08,3514267.0,56.118,21516
2020-10-06,56.68,57.59,56.04,56.14,5852421.0,56.678,36449
2020-10-07,56.53,58.17,56.48,57.66,4087567.0,57.563,23616
