date,open,high,low,close,volume,average,barCount
2020-07-13,162.66,167.32,161.66,163.83,1233866.0,164.767,8616
2020-07-14,163.49,169.82,162.3,169.56,1100363.0,167.374,8569
2020-07-15,170.69,174.0,169.83,172.39,1464416.0,172.14,9738
2020-07-16,171.96,175.28,170.9,173.42,731648.0,173.571,5485
2020-07-17,175.0,176.93,173.36,176.51,774285.0,175.899,5438
2020-07-20,175.87,176.13,172.7,173.81,914205.0,173.807,7178
2020-07-21,174.95,176.81,173.37,175.65,694052.0,175.79,5603
2020-07-22,174.19,176.03,174.11,175.49,663305.0,175.008,5146
2020-07-23,175.7,178.4,175.41,176.73,628427.0,177.08,4730
2020-07-24,177.11,177.77,174.81,175.35,558313.0,175.769,4249
2020-07-27,174.69,176.69,172.91,176.0,576731.0,175.727,4546
2020-07-28,174.9,177.14,174.65,175.79,520754.0,176.105,4404
2020-07-29,176.71,180.76,176.01,180.25,1181939.0,179.14,6885
2020-07-30,178.21,179.25,176.27,178.04,807649.0,177.47,6324
2020-07-31,176.81,176.92,173.36,176.31,935584.0,175.121,5018
2020-08-03,177.38,178.87,175.83,177.62,399997.0,177.884,2882
2020-08-04,176.92,178.88,176.62,178.11,372740.0,177.871,2549
2020-08-05,179.91,183.59,179.91,182.82,918722.0,182.327,5502
2020-08-06,182.0,183.24,180.25,181.26,628146.0,181.314,4359
2020-08-07,181.41,183.71,179.86,183.5,846182.0,181.441,5652
2020-08-10,185.0,191.35,184.4,189.91,2005448.0,189.074,10737
2020-08-11,192.3,195.85,192.2,193.22,1250785.0,194.115,8430
2020-08-12,191.29,192.82,189.59,192.31,1041233.0,191.574,6667
2020-08-13,188.55,191.17,188.45,189.5,830551.0,189.374,5986
2020-08-14,189.22,193.21,188.43,191.13,497812.0,191.629,3667
2020-08-17,193.25,194.24,191.2,192.99,579941.0,193.005,3897
2020-08-18,193.81,194.82,191.89,192.13,738979.0,192.676,4598
2020-08-19,193.0,194.6,191.94,191.99,1084485.0,193.375,6613
2020-08-20,190.21,192.05,189.38,191.1,1068760.0,191.285,7963
2020-08-21,196.76,202.95,196.0,199.5,4951618.0,200.35,26975
2020-08-24,204.37,206.48,202.66,205.4,2422422.0,205.211,13116
2020-08-25,206.0,209.4,205.35,205.6,2008529.0,207.357,10307
2020-08-26,206.59,212.29,204.76,211.01,1317720.0,209.858,9059
2020-08-27,211.16,212.46,208.82,209.83,1247496.0,210.898,9066
2020-08-28,210.33,210.8,208.74,209.9,750504.0,209.849,5634
2020-08-31,210.09,211.43,207.77,210.06,960739.0,210.422,7097
2020-09-01,208.52,217.72,208.27,217.69,1198875.0,214.971,8469
2020-09-02,218.24,219.71,215.67,217.11,1137060.0,217.269,8419
2020-09-03,217.27,218.73,209.07,210.81,1199539.0,212.038,9061
