date,open,high,low,close,volume,average,barCount
2020-07-13,188.57,191.15,185.82,186.46,1154376.0,188.742,9294
2020-07-14,186.03,189.85,185.54,189.73,957967.0,188.345,7595
2020-07-15,190.39,190.9,188.12,189.43,986896.0,189.799,7665
2020-07-16,189.33,191.38,187.31,188.92,919213.0,188.881,6835
2020-07-17,190.16,190.33,188.06,188.48,956144.0,188.767,7416
2020-07-20,189.62,193.09,189.09,192.77,931100.0,191.108,6871
2020-07-21,192.54,193.5,190.11,191.86,884897.0,191.414,6339
2020-07-22,191.81,195.44,190.76,195.15,1146924.0,193.734,7555
2020-07-23,195.5,195.82,191.27,191.65,1011526.0,193.024,6325
2020-07-24,190.83,192.94,190.51,191.7,647757.0,191.907,4795
2020-07-27,191.79,192.29,189.52,189.95,940788.0,190.67,6764
2020-07-28,190.13,191.83,189.27,190.03,839563.0,190.563,6608
2020-07-29,190.95,192.43,190.6,191.38,678196.0,191.649,4735
2020-07-30,191.05,192.08,190.09,191.32,679338.0,191.501,5199
2020-07-31,191.38,191.75,187.76,190.4,746340.0,189.583,5622
2020-08-03,190.7,193.28,190.7,192.89,937755.0,192.224,6214
2020-08-04,192.09,195.6,191.56,195.43,1166508.0,193.987,8262
2020-08-05,196.14,197.35,194.07,195.28,1171504.0,195.212,8119
2020-08-06,194.24,194.78,190.27,192.55,1274683.0,192.323,8877
2020-08-07,193.19,195.58,192.75,195.29,952575.0,194.689,6756
2020-08-10,195.3,195.31,192.19,193.29,1147376.0,193.209,8296
2020-08-11,192.88,192.97,190.79,191.09,696217.0,191.502,5283
2020-08-12,193.0,197.38,191.59,196.83,1142513.0,195.471,7191
2020-08-13,197.24,197.92,195.27,196.08,894638.0,196.601,6485
2020-08-14,196.41,198.91,196.12,198.55,889379.0,198.1,5622
2020-08-17,199.54,202.28,198.31,200.73,1227288.0,200.61,8535
2020-08-18,200.95,200.95,196.17,197.98,1154499.0,198.296,8242
2020-08-19,199.61,201.4,198.14,200.13,853441.0,200.237,6232
2020-08-20,199.42,200.0,197.47,197.8,952477.0,198.243,6192
2020-08-21,198.5,200.35,197.72,198.93,1061703.0,199.18,7053
2020-08-24,201.0,201.18,198.01,198.32,1675867.0,198.984,10837
2020-08-25,199.13,199.57,197.51,198.66,1014411.0,198.581,6951
2020-08-26,198.74,204.66,198.56,204.09,1467429.0,202.401,10027
2020-08-27,206.0,206.98,199.55,201.34,2233718.0,202.287,15601
2020-08-28,202.25,202.96,198.56,200.39,1419393.0,200.452,9475
2020-08-31,200.93,203.49,199.85,201.88,1209397.0,201.858,8700
2020-09-01,201.6,203.09,199.79,199.9,1009152.0,200.967,6642
2020-09-02,200.0,204.99,197.76,204.1,1542242.0,201.814,10956
2020-09-03,203.39,203.69,196.04,196.8,1344292.0,198.577,9930
2020-09-04,197.01,198.17,191.47,195.72,1040518.0,194.913,8335
2020-09-08,194.13,195.71,190.76,192.4,1326928.0,193.271,10387
2020-09-09,193.35,198.91,193.2,197.45,1049913.0,197.11,7382
2020-09-10,197.45,200.35,196.73,197.12,1067727.0,198.646,8657
2020-09-11,197.98,200.94,197.91,200.5,991405.0,200.005,7863
2020-09-14,201.13,203.75,200.81,202.11,1298020.0,202.675,9025
2020-09-15,202.57,203.93,201.79,202.87,1023621.0,203.077,7065
2020-09-16,203.9,204.88,202.4,202.75,1264304.0,203.238,7800
2020-09-17,200.62,204.13,200.5,203.5,1169073.0,203.191,8926
2020-09-18,204.32,208.99,203.74,208.1,2039168.0,206.875,13424
2020-09-21,206.92,207.36,202.31,202.94,1535511.0,203.788,10910
2020-09-22,202.31,208.96,202.31,208.34,1141460.0,207.105,8977
2020-09-23,208.44,209.86,203.83,204.22,1169011.0,206.162,8513
2020-09-24,204.22,206.29,202.58,205.02,850159.0,204.916,6744
2020-09-25,205.11,209.34,204.35,208.39,687511.0,207.124,5343
2020-09-28,208.72,210.89,206.19,209.8,807060.0,209.105,6037
2020-09-29,209.5,211.98,209.25,209.64,825582.0,210.611,6222
2020-09-30,210.33,211.64,208.35,209.62,971832.0,209.97,6465
2020-10-01,211.26,213.92,210.97,211.52,966787.0,212.2,6460
2020-10-02,209.79,212.68,209.55,211.52,777996.0,211.224,5408
2020-10-05,212.0,213.58,210.82,213.19,716402.0,212.582,5381
2020-10-06,214.5,216.48,211.57,212.29,984796.0,213.547,6548
2020-10-07,213.87,215.73,213.6,214.53,827030.0,214.579,5882
2020-10-08,216.66,219.4,215.9,218.88,876775.0,218.058,5775
2020-10-09,219.85,222.78,219.72,220.98,777603.0,221.268,6100
2020-10-12,222.1,222.51,220.0,220.56,936542.0,220.803,6574
2020-10-13,220.7,223.94,220.7,223.0,663563.0,222.928,4806
2020-10-14,222.7,222.78,219.75,220.1,775759.0,220.85,5704
2020-10-15,219.94,223.65,219.14,222.87,786817.0,222.272,5061
2020-10-16,224.03,224.82,221.71,221.71,786984.0,222.845,5462
2020-10-19,222.43,224.07,217.38,218.07,662660.0,219.925,4895
2020-10-20,218.07,220.26,217.41,217.78,627847.0,218.86,4873
2020-10-21,217.83,221.72,217.83,219.86,1143911.0,220.556,7368
2020-10-22,218.88,219.48,213.8,214.32,855200.0,215.695,6135
2020-10-23,214.07,215.83,212.71,215.44,790522.0,214.43,5297
2020-10-26,214.02,214.83,209.64,212.04,737771.0,212.42,5343
2020-10-27,212.5,214.72,211.7,213.71,612259.0,213.7,4424
2020-10-28,212.18,215.33,210.04,211.02,938799.0,212.118,5996
2020-10-29,210.81,212.8,209.62,210.73,757226.0,211.457,5355
2020-10-30,210.0,211.24,206.14,208.71,1175524.0,208.427,7874
2020-11-02,209.75,212.11,207.09,209.52,902187.0,209.271,6278
2020-11-03,211.3,216.91,211.16,214.1,843991.0,214.903,6021
2020-11-04,216.77,219.48,214.66,216.23,1023926.0,217.083,6919
2020-11-05,219.0,220.6,216.07,218.01,848158.0,218.06,6475
2020-11-06,218.33,222.07,216.62,221.4,493790.0,220.501,3886
2020-11-09,224.87,225.25,210.24,210.49,1795275.0,214.992,12776
2020-11-10,210.98,213.99,208.25,210.56,1265686.0,210.135,8766
2020-11-11,211.5,216.57,211.5,213.57,997227.0,214.456,6702
2020-11-12,214.0,214.02,209.72,212.78,925462.0,211.8,5928
2020-11-13,213.85,215.22,211.68,213.9,723819.0,213.623,5691
2020-11-16,214.3,215.5,212.5,213.09,1072381.0,213.853,6380
2020-11-17,212.0,212.42,208.42,208.75,1522800.0,209.886,9727
2020-11-18,208.93,211.57,206.3,208.57,1070957.0,209.815,7829
2020-11-19,209.01,211.89,207.5,211.21,1115967.0,210.643,7533
2020-11-20,211.01,213.29,210.07,210.23,850223.0,211.662,5382
2020-11-23,211.36,212.73,210.26,211.04,955722.0,211.274,7491
2020-11-24,212.01,214.44,211.71,212.98,1096460.0,213.096,7679
2020-11-25,213.75,217.49,213.04,217.0,813059.0,215.788,6392
2020-11-27,216.93,218.26,216.33,218.01,445380.0,217.327,3523
2020-11-30,218.51,218.94,214.32,218.58,1429640.0,216.204,9851
2020-12-01,218.89,221.67,218.08,219.84,1268814.0,219.684,8672
2020-12-02,219.09,219.48,216.55,217.54,1078191.0,217.597,7877
2020-12-03,213.48,216.0,211.5,214.49,1895174.0,213.589,12343
2020-12-04,214.2,215.87,212.19,213.43,1181237.0,213.63,8119
2020-12-07,213.0,217.21,211.93,213.36,1073513.0,213.23,7867
2020-12-08,212.15,212.85,210.19,211.37,1080301.0,211.469,7708
2020-12-09,211.5,212.21,206.11,208.98,1504259.0,208.744,10046
2020-12-10,208.44,208.93,205.26,205.87,1338375.0,206.693,8264
2020-12-11,206.15,207.82,205.68,206.61,1027590.0,206.971,6947
2020-12-14,206.8,207.7,205.62,205.9,1113491.0,206.841,8410
2020-12-15,206.6,208.97,205.88,207.78,1457341.0,207.783,7593
2020-12-16,207.95,212.25,207.76,211.02,987622.0,210.98,7249
2020-12-17,212.01,213.37,211.47,212.55,886173.0,212.614,6620
2020-12-18,212.87,213.26,209.96,210.48,1744041.0,211.167,10139
2020-12-21,209.0,212.2,206.82,210.96,1249616.0,210.527,7991
2020-12-22,212.04,213.5,210.82,213.07,827977.0,212.48,6298
2020-12-23,211.86,213.34,211.02,211.17,1147902.0,212.423,6995
2020-12-24,211.35,212.35,210.64,211.28,336618.0,211.464,2041
2020-12-28,213.14,213.16,209.6,210.39,709762.0,210.63,4558
2020-12-29,210.76,211.84,210.08,211.34,625005.0,210.908,4190
2020-12-30,211.28,212.07,209.9,209.93,645681.0,210.773,4259
2020-12-31,209.87,210.62,208.15,210.3,849680.0,209.213,5503
2021-01-04,210.25,211.61,207.79,209.71,1001853.0,209.749,7259
2021-01-05,209.43,210.0,206.4,206.73,1115320.0,207.847,7701
2021-01-06,206.57,216.06,205.81,215.31,1663509.0,213.462,10781
2021-01-07,215.0,218.48,214.6,217.72,921328.0,217.052,6889
2021-01-08,218.64,219.0,214.46,215.81,905721.0,216.019,6537
2021-01-11,215.37,217.65,214.62,215.26,954689.0,216.057,6499
2021-01-12,214.79,218.77,213.64,218.38,1185940.0,216.927,7832
2021-01-13,217.21,219.58,216.04,218.22,645781.0,218.217,5047
2021-01-14,217.1,217.86,213.11,213.24,1568450.0,214.951,10840
2021-01-15,213.24,213.76,210.45,211.44,1042107.0,211.851,6686
2021-01-19,211.5,212.44,205.96,206.06,1362811.0,207.508,8265
2021-01-20,206.89,207.12,203.93,205.12,1706986.0,205.402,11385
2021-01-21,205.68,209.39,204.51,207.72,1452242.0,207.969,8208
2021-01-22,207.72,208.3,205.76,206.21,829495.0,207.101,5143
2021-01-25,206.76,207.99,205.11,206.57,943227.0,206.439,5667
2021-01-26,207.15,207.56,205.26,206.12,910098.0,206.357,6000
2021-01-27,205.35,207.75,198.51,199.63,2123489.0,201.586,14803
2021-01-28,199.01,201.51,198.25,199.05,4700877.0,199.544,17740
2021-01-29,199.54,200.0,194.37,194.61,2366934.0,196.731,15110
2021-02-01,193.48,195.79,192.34,192.75,2278420.0,193.864,13101
2021-02-02,193.59,198.0,193.31,195.35,2209717.0,196.038,15289
2021-02-03,195.63,196.9,195.01,195.78,2477149.0,195.731,15155
2021-02-04,196.07,196.92,193.93,195.72,2048221.0,195.154,11699
2021-02-05,196.25,199.16,193.02,193.82,2771901.0,195.108,18203
2021-02-08,195.32,198.77,194.92,198.38,2536460.0,197.843,14351
2021-02-09,200.7,203.89,198.63,203.49,2320149.0,201.997,14952
2021-02-10,205.5,205.76,200.96,201.32,1496527.0,202.595,10063
2021-02-11,200.92,202.74,199.9,200.04,1019357.0,201.146,6241
2021-02-12,200.0,200.89,197.96,198.6,1056881.0,199.152,7067
2021-02-16,198.52,201.41,197.76,200.23,1157207.0,199.988,7546
2021-02-17,199.66,201.93,198.82,201.5,1006991.0,200.778,6307
2021-02-18,199.0,203.05,198.5,202.83,1068463.0,201.396,7602
2021-02-19,203.82,203.82,200.61,201.16,1242419.0,201.959,7311
2021-02-22,201.05,201.31,198.6,198.77,1238813.0,199.754,7687
2021-02-23,199.33,199.33,195.16,195.18,1250608.0,196.299,8936
2021-02-24,194.82,194.82,190.42,192.61,1772830.0,192.489,11262
2021-02-25,190.65,191.4,186.91,188.68,2205835.0,188.636,13663
2021-02-26,189.6,189.83,187.26,188.99,2071833.0,188.607,12592
2021-03-01,189.26,193.18,188.97,192.9,2765094.0,191.955,11984
2021-03-02,193.27,193.55,186.38,186.5,3190170.0,189.935,16691
2021-03-03,185.48,187.0,182.86,182.89,2185806.0,184.803,15647
2021-03-04,182.31,182.7,176.64,178.14,2123339.0,179.187,15856
2021-03-05,178.85,179.36,174.35,178.71,1657986.0,177.509,11590
2021-03-08,179.99,184.73,178.64,181.98,1603116.0,182.586,11131
2021-03-09,183.76,187.3,182.66,186.7,1846873.0,185.684,12262
2021-03-10,187.42,189.19,185.9,187.55,1268211.0,187.759,8872
2021-03-11,188.39,190.52,187.4,189.67,1646348.0,189.198,9986
2021-03-12,189.35,192.4,187.89,191.96,1307746.0,190.772,8570
2021-03-15,194.48,195.07,192.46,194.1,1641783.0,194.222,10169
2021-03-16,193.21,195.27,192.84,193.55,1439778.0,194.152,9871
2021-03-17,193.01,193.22,187.21,187.51,1929933.0,188.876,13743
2021-03-18,176.34,181.55,173.5,178.8,9837018.0,177.17,51436
2021-03-19,179.4,189.99,178.66,187.78,4882079.0,185.005,27911
2021-03-22,188.3,196.54,188.13,193.96,4133965.0,193.692,22414
2021-03-23,193.74,200.34,193.56,197.09,2697400.0,198.151,17049
