date,open,high,low,close,volume,average,barCount
2020-07-13,59.08,59.67,56.78,56.91,2778795.0,58.288,19403
2020-07-14,56.7,59.27,56.68,59.15,1790457.0,58.236,12102
2020-07-15,60.79,61.22,58.78,60.05,2229470.0,59.971,13003
2020-07-16,60.0,62.64,59.7,62.54,3243396.0,61.687,19176
2020-07-17,63.06,64.37,62.74,63.48,3776979.0,63.809,21277
2020-07-20,63.21,63.73,62.21,63.5,1997050.0,63.228,11927
2020-07-21,62.81,63.3,61.67,62.71,2139813.0,62.407,15101
2020-07-22,62.53,65.1,62.46,64.8,2163877.0,64.44,13605
2020-07-23,66.36,66.66,62.54,63.88,4378491.0,64.844,28288
2020-07-24,63.54,64.21,62.26,63.75,2199061.0,63.426,14154
2020-07-27,64.58,66.67,64.24,66.57,2724469.0,65.806,17842
2020-07-28,68.75,70.29,64.18,64.58,6442643.0,66.425,37811
2020-07-29,65.23,67.08,65.08,66.6,2427913.0,66.431,16070
2020-07-30,65.71,66.55,65.5,66.05,2342445.0,66.125,11386
2020-07-31,66.06,66.28,64.64,66.16,3517537.0,65.592,19997
2020-08-03,66.7,68.46,66.54,68.32,2396969.0,67.764,16311
2020-08-04,68.07,68.59,66.91,67.34,1376709.0,67.49,9568
2020-08-05,67.43,68.2,67.01,68.09,1310610.0,67.775,9414
2020-08-06,67.77,68.38,67.48,67.62,1173968.0,67.825,7959
2020-08-07,67.46,68.41,67.19,68.38,1626201.0,67.799,10402
2020-08-10,68.4,71.83,68.22,69.7,3379174.0,70.38,20195
2020-08-11,70.24,70.3,68.43,69.04,5063204.0,69.089,25873
2020-08-12,69.43,71.28,68.92,71.26,2855869.0,70.399,19230
2020-08-13,70.75,71.96,69.95,71.48,1996796.0,71.254,12143
2020-08-14,71.01,71.79,70.26,71.39,1223287.0,71.103,8137
2020-08-17,72.12,74.01,71.75,73.33,2562379.0,73.162,15528
2020-08-18,74.04,74.34,73.11,73.54,2229457.0,73.678,11450
2020-08-19,73.45,74.31,72.73,74.03,2007896.0,73.677,11883
2020-08-20,73.27,75.54,72.84,74.6,2591769.0,74.76,14470
2020-08-21,74.05,76.97,73.79,76.97,4020801.0,75.855,19315
2020-08-24,77.19,77.45,75.71,76.17,2257561.0,76.313,13616
2020-08-25,76.53,76.69,74.53,75.48,1600805.0,75.322,10478
2020-08-26,75.82,75.95,74.06,74.07,2053781.0,74.769,12903
2020-08-27,75.04,75.3,72.44,72.5,2797057.0,73.33,19779
2020-08-28,73.24,73.79,71.49,71.84,2591850.0,72.274,17773
2020-08-31,72.1,72.63,70.83,71.37,2539787.0,71.713,15178
2020-09-01,71.47,73.38,70.92,73.36,1667779.0,72.654,11394
2020-09-02,74.0,74.04,71.83,72.89,1592730.0,72.959,10794
2020-09-03,72.62,72.98,69.6,70.56,2759711.0,70.797,18323
2020-09-04,71.12,71.72,67.41,68.23,3299273.0,68.712,23972
2020-09-08,66.88,69.36,66.51,68.01,2732907.0,68.257,17703
2020-09-09,69.01,70.79,68.13,70.07,2165688.0,69.841,14141
2020-09-10,70.05,71.48,69.44,69.73,2106567.0,70.469,15251
2020-09-11,70.29,71.71,69.99,71.39,1767221.0,70.877,12421
2020-09-14,72.4,72.94,71.52,72.72,2658205.0,72.3,17088
2020-09-15,72.63,73.63,71.6,71.77,1815995.0,72.434,11648
2020-09-16,72.67,75.32,72.47,74.37,3132495.0,74.054,19109
2020-09-17,73.05,73.83,72.09,73.32,1645631.0,73.197,11316
2020-09-18,73.18,74.24,71.76,72.69,1939794.0,72.933,11371
2020-09-21,71.77,72.37,69.76,72.12,1488161.0,71.211,9313
2020-09-22,72.43,75.88,71.78,75.51,4109895.0,74.572,24243
2020-09-23,75.5,75.53,70.92,71.17,2692887.0,73.175,16984
2020-09-24,70.97,73.02,70.27,72.0,2480564.0,71.946,14896
2020-09-25,71.51,72.69,70.81,71.83,2539288.0,72.026,12752
2020-09-28,73.0,74.68,72.0,74.49,2335517.0,73.584,14036
2020-09-29,74.55,74.8,73.66,74.02,1446913.0,74.182,9779
2020-09-30,74.46,76.6,74.11,75.63,1830884.0,75.659,12342
2020-10-01,76.66,77.63,75.78,77.54,2305007.0,76.802,14960
2020-10-02,75.78,78.37,75.55,77.89,1664037.0,77.443,10753
2020-10-05,78.5,78.78,74.65,75.7,3066953.0,75.884,18102
2020-10-06,75.91,76.67,74.65,75.11,1576211.0,75.621,10974
2020-10-07,76.12,76.86,75.26,75.76,1273578.0,75.917,8976
2020-10-08,76.65,77.92,76.62,77.71,1183585.0,77.372,6178
2020-10-09,78.49,78.97,77.53,78.09,1219248.0,78.291,7472
2020-10-12,78.61,78.81,77.41,78.35,1123925.0,78.032,7450
2020-10-13,77.97,78.62,76.73,77.85,1318612.0,77.99,8447
2020-10-14,78.23,78.6,77.33,78.27,1108052.0,78.166,6376
2020-10-15,77.03,78.94,76.76,78.82,1524091.0,78.141,9465
2020-10-16,79.5,81.21,76.96,77.09,2766013.0,78.676,11099
2020-10-19,77.52,78.3,75.23,75.79,1060613.0,76.57,6733
2020-10-20,76.01,77.39,75.64,76.52,1269568.0,76.667,8145
2020-10-21,76.31,76.54,72.82,73.11,1877401.0,74.079,11324
2020-10-22,73.38,73.38,70.28,70.59,2767632.0,71.13,17333
2020-10-23,71.19,73.2,70.95,73.06,1361652.0,72.351,9474
2020-10-26,72.46,72.75,69.75,70.84,2188218.0,70.838,15303
2020-10-27,71.1,71.26,68.65,69.1,1573198.0,69.527,11005
2020-10-28,67.88,70.25,67.38,68.88,1615307.0,69.164,11242
2020-10-29,69.31,69.55,67.71,68.03,1458186.0,68.512,9865
2020-10-30,67.71,68.59,66.13,66.81,1698415.0,66.773,11038
2020-11-02,68.66,69.5,67.97,69.18,1471866.0,68.757,10068
2020-11-03,70.24,70.57,68.72,69.46,1384413.0,69.434,9300
2020-11-04,71.25,75.54,70.75,74.75,2660833.0,74.287,17849
2020-11-05,75.14,75.6,72.72,72.91,1841955.0,73.722,11307
