date,open,high,low,close,volume,average,barCount
2020-07-13,147.85,147.93,142.05,142.69,898780.0,144.773,7211
2020-07-14,142.99,147.29,142.99,146.78,630314.0,145.917,4858
2020-07-15,148.73,149.01,142.98,144.17,1140614.0,144.808,9031
2020-07-16,144.43,145.14,140.29,140.46,998713.0,141.18,7304
2020-07-17,141.1,144.95,139.94,143.75,732940.0,142.862,4804
2020-07-20,143.79,145.98,143.25,144.24,631723.0,144.585,4605
2020-07-21,146.18,146.43,142.38,143.3,696738.0,143.514,5640
2020-07-22,142.82,145.15,142.59,144.87,691592.0,144.24,5695
2020-07-23,145.36,146.96,144.36,145.79,743176.0,145.845,5646
2020-07-24,145.6,147.24,145.13,146.99,730256.0,146.378,5626
2020-07-27,146.43,151.12,145.43,151.01,1024503.0,149.337,7635
2020-07-28,151.18,154.42,150.8,153.97,1180410.0,153.292,7892
2020-07-29,154.0,157.37,154.0,157.2,1059087.0,156.436,7154
2020-07-30,156.42,159.42,156.11,158.73,1447342.0,158.049,9889
2020-07-31,162.13,165.49,158.65,160.54,3015584.0,160.531,19315
2020-08-03,159.85,161.57,159.55,160.66,921392.0,160.55,6308
2020-08-04,159.53,161.49,159.02,161.1,1034396.0,160.712,7483
2020-08-05,161.43,161.5,158.71,159.61,501847.0,159.668,3655
2020-08-06,158.99,160.0,156.84,157.0,492235.0,157.953,4080
2020-08-07,156.55,159.05,156.22,158.61,442622.0,158.178,3442
2020-08-10,158.59,159.11,155.57,158.24,828451.0,157.474,4224
2020-08-11,158.54,158.54,151.45,151.63,808047.0,153.474,5821
2020-08-12,151.92,154.87,151.5,154.44,535506.0,153.813,3856
2020-08-13,154.09,155.1,152.04,152.14,508166.0,153.227,4099
2020-08-14,152.37,155.14,152.27,153.32,593788.0,153.865,4284
2020-08-17,153.34,157.0,153.3,156.52,539018.0,155.944,4160
2020-08-18,156.55,157.2,154.81,156.46,419880.0,156.261,3208
2020-08-19,157.2,157.33,151.41,151.98,693276.0,152.795,5275
2020-08-20,151.48,156.04,151.12,155.15,519314.0,154.961,4003
2020-08-21,155.76,155.76,152.78,154.56,384984.0,154.135,2701
2020-08-24,154.25,154.74,150.3,152.85,470927.0,151.924,3517
2020-08-25,153.93,155.81,152.67,154.75,666428.0,154.259,4730
2020-08-26,153.76,154.09,152.34,153.96,416141.0,153.189,3137
