date,open,high,low,close,volume,average,barCount
2020-07-13,92.24,94.11,91.76,92.31,1430501.0,93.14,11340
2020-07-14,91.55,94.51,91.01,94.36,1057221.0,93.575,8488
2020-07-15,94.97,95.99,94.59,95.71,1191622.0,95.467,8363
2020-07-16,97.25,99.0,96.12,96.63,2107552.0,97.285,14367
2020-07-17,96.67,96.91,95.41,95.46,875144.0,96.045,5937
2020-07-20,97.01,98.88,95.47,97.12,1498909.0,96.824,11229
2020-07-21,97.23,98.31,95.67,96.07,1172415.0,96.63,8852
2020-07-22,95.52,97.28,95.05,97.12,861537.0,96.411,6922
2020-07-23,96.98,97.27,95.93,96.32,1178428.0,96.627,7803
2020-07-24,96.41,97.25,95.34,95.6,786220.0,95.922,5763
2020-07-27,95.98,95.99,94.08,95.42,811353.0,95.051,5985
2020-07-28,95.31,95.9,94.54,95.64,918305.0,95.413,6456
2020-07-29,95.87,96.59,94.75,95.02,1074340.0,95.447,7367
2020-07-30,94.2,95.11,93.79,93.95,1167485.0,94.419,9250
2020-07-31,93.71,93.71,92.23,93.35,1177857.0,92.973,8982
2020-08-03,94.01,94.63,92.74,94.51,1061392.0,93.918,7886
2020-08-04,94.63,96.24,94.42,95.9,1276815.0,95.437,8245
2020-08-05,96.32,97.11,95.44,95.82,662772.0,95.781,5152
2020-08-06,95.75,95.95,94.86,95.6,759915.0,95.348,4709
2020-08-07,96.17,97.03,95.64,96.49,920286.0,96.309,6731
2020-08-10,96.42,97.93,96.25,97.74,1244451.0,97.274,9620
2020-08-11,97.88,98.52,95.91,96.49,838963.0,96.859,6943
2020-08-12,96.82,99.4,95.87,99.21,1147366.0,98.322,8213
2020-08-13,98.48,98.84,96.86,97.27,1361736.0,97.448,8619
2020-08-14,97.39,99.64,96.74,98.84,1420907.0,98.626,8284
2020-08-17,99.66,101.89,99.64,100.87,1104891.0,101.027,7876
2020-08-18,101.05,101.5,97.81,99.24,1149233.0,99.099,8164
2020-08-19,100.01,100.52,99.04,99.75,1267654.0,99.777,9362
2020-08-20,99.28,99.65,98.69,98.91,774244.0,99.214,6064
2020-08-21,98.7,100.49,98.23,100.3,953437.0,99.504,7168
2020-08-24,101.01,102.56,99.74,102.29,1270143.0,101.746,8855
2020-08-25,102.6,102.85,100.83,102.64,1115249.0,102.307,7384
2020-08-26,102.59,104.64,102.28,104.24,2014690.0,103.88,14168
2020-08-27,99.57,101.86,96.54,96.72,6486506.0,98.571,37499
2020-08-28,97.16,97.43,93.65,94.73,3450302.0,94.909,21829
2020-08-31,94.55,96.61,93.92,96.27,1753456.0,95.449,11855
2020-09-01,96.22,96.37,93.52,93.68,2210168.0,94.391,13379
2020-09-02,94.19,94.97,93.76,94.7,1202963.0,94.445,9147
2020-09-03,94.96,95.46,92.43,92.92,1421502.0,93.892,9932
2020-09-04,93.36,93.36,90.05,91.23,1562736.0,91.484,12158
2020-09-08,90.58,90.95,88.58,89.83,1969011.0,89.728,14671
2020-09-09,89.65,92.52,89.35,91.81,1436878.0,91.307,9871
2020-09-10,91.52,91.98,89.74,90.25,1341837.0,90.867,10156
2020-09-11,90.41,90.8,89.85,90.05,1298822.0,90.235,8904
2020-09-14,90.83,90.86,87.89,88.92,1408512.0,88.986,9878
2020-09-15,88.99,89.87,88.29,88.65,827831.0,88.729,5747
2020-09-16,89.1,90.08,88.31,89.26,1208652.0,89.406,6983
2020-09-17,88.08,89.04,87.73,88.54,1081665.0,88.315,7301
2020-09-18,89.15,89.15,87.49,88.02,1452354.0,88.422,9050
2020-09-21,87.29,87.67,84.41,85.97,1301353.0,85.493,8600
2020-09-22,86.39,87.04,85.71,86.8,797580.0,86.67,5829
2020-09-23,86.8,88.11,86.56,86.72,1327822.0,87.307,10449
2020-09-24,86.83,89.07,86.66,88.43,1210111.0,88.195,9349
2020-09-25,87.49,89.91,87.14,89.42,1526261.0,89.17,9843
2020-09-28,90.13,91.39,89.75,90.94,965476.0,90.787,6727
2020-09-29,90.92,91.2,89.81,89.87,790127.0,90.494,5190
2020-09-30,90.28,92.32,90.26,91.34,1118062.0,91.315,7924
2020-10-01,91.64,93.38,91.59,91.87,1066317.0,92.247,7884
2020-10-02,91.0,91.92,90.15,90.76,1205874.0,91.018,8360
2020-10-05,91.22,91.7,89.45,89.98,1071556.0,90.072,6829
2020-10-06,90.61,92.45,88.12,88.68,1309097.0,90.02,9824
2020-10-07,89.88,90.93,89.45,90.55,1118532.0,90.369,6921
2020-10-08,90.9,91.81,90.43,91.53,1066605.0,91.198,6748
2020-10-09,92.06,94.73,91.81,93.64,1447653.0,93.613,10617
2020-10-12,94.28,96.91,93.76,95.56,1554814.0,95.668,11019
2020-10-13,95.48,97.68,95.16,96.63,1405685.0,96.951,10004
2020-10-14,96.61,97.0,94.48,95.16,906955.0,95.303,6561
2020-10-15,94.56,96.92,94.01,96.54,1019918.0,96.021,7393
2020-10-16,96.26,97.12,95.15,95.56,848816.0,95.853,5766
2020-10-19,96.06,96.58,94.75,95.0,808666.0,95.742,6473
2020-10-20,95.43,96.89,95.13,95.41,907552.0,95.976,5897
2020-10-21,95.7,95.93,94.64,94.84,664667.0,95.237,5110
2020-10-22,94.7,95.18,93.58,93.84,853095.0,94.221,5998
2020-10-23,94.55,96.05,93.81,95.47,1507385.0,95.201,6976
2020-10-26,94.73,94.91,92.03,92.53,839951.0,92.976,6418
2020-10-27,92.59,94.05,92.59,92.82,718527.0,93.127,5339
2020-10-28,91.81,92.88,90.52,90.58,923409.0,91.487,7003
2020-10-29,90.32,92.57,90.15,91.91,734822.0,91.705,5437
2020-10-30,91.07,91.51,89.14,90.32,861584.0,89.96,6294
2020-11-02,91.53,91.57,89.79,91.12,704835.0,90.68,5726
2020-11-03,92.1,94.94,91.75,93.65,1230409.0,93.959,9704
2020-11-04,94.5,96.79,92.85,95.25,976253.0,95.48,7578
2020-11-05,96.26,96.34,93.95,95.1,817623.0,95.077,6180
2020-11-06,95.3,95.99,93.59,95.53,898716.0,95.106,7206
2020-11-09,97.96,101.25,95.86,95.87,1441224.0,97.805,11135
2020-11-10,94.74,96.07,93.92,94.97,1195691.0,94.899,9220
2020-11-11,95.99,96.13,94.15,94.32,941186.0,94.948,7394
2020-11-12,94.85,94.86,92.59,93.19,1263396.0,93.301,9516
2020-11-13,93.46,95.05,93.39,94.95,825399.0,94.254,6819
2020-11-16,95.81,95.98,94.95,95.61,1069184.0,95.392,8367
2020-11-17,94.55,95.15,93.48,93.82,952258.0,94.133,7058
2020-11-18,94.16,95.56,93.6,93.65,1094539.0,94.652,7521
2020-11-19,93.71,94.8,92.5,94.55,1047930.0,94.036,8381
2020-11-20,94.29,96.92,94.02,94.97,1105276.0,95.612,7740
2020-11-23,95.72,98.06,95.23,97.61,1912907.0,97.359,12628
2020-11-24,107.38,112.78,104.98,111.35,7403752.0,108.891,44741
2020-11-25,111.06,112.93,109.9,111.73,2496434.0,111.37,17170
2020-11-27,111.1,111.41,109.14,109.9,842993.0,110.212,5721
2020-11-30,109.1,109.92,107.89,109.24,1110868.0,108.77,8237
2020-12-01,110.05,112.42,109.21,112.39,1223453.0,111.552,8180
2020-12-02,111.67,112.65,110.93,111.63,939075.0,111.741,6522
2020-12-03,110.89,114.32,110.7,112.12,1396737.0,113.166,9923
2020-12-04,111.65,113.48,110.77,112.51,1181123.0,112.51,8871
2020-12-07,112.34,112.65,111.2,111.95,1031647.0,111.817,7653
2020-12-08,111.26,111.89,109.01,109.46,1194001.0,110.141,8130
2020-12-09,110.41,111.89,109.78,110.86,1155394.0,110.856,8582
2020-12-10,110.66,110.75,107.79,108.29,1511504.0,108.66,11262
2020-12-11,107.51,108.21,106.03,106.55,1260180.0,106.727,9194
2020-12-14,107.6,108.25,106.27,107.68,1858943.0,107.609,13330
2020-12-15,108.31,110.61,107.92,110.04,1946165.0,109.732,13339
2020-12-16,109.65,113.48,109.39,112.85,1929802.0,112.505,13264
