date,open,high,low,close,volume,average,barCount
2020-07-13,402.0,417.15,401.24,401.38,715803.0,409.294,4782
2020-07-14,400.43,405.43,390.58,402.3,477629.0,397.66,3606
2020-07-15,401.0,417.34,399.43,413.68,699248.0,409.398,5563
2020-07-16,404.0,422.15,403.68,407.52,819901.0,410.289,6048
2020-07-17,410.0,410.0,388.0,390.22,699526.0,394.676,5221
2020-07-20,391.1,394.68,385.13,391.43,413927.0,390.161,3175
2020-07-21,394.97,395.64,386.56,387.81,313561.0,388.75,2525
2020-07-22,388.47,395.22,387.4,389.12,364282.0,390.201,2344
2020-07-23,389.99,390.6,377.89,381.32,332135.0,384.436,2522
2020-07-24,379.48,387.23,376.57,386.91,315494.0,383.877,2650
2020-07-27,390.62,394.89,387.11,389.61,280978.0,390.508,2173
2020-07-28,389.54,390.83,384.76,385.42,240317.0,387.39,1988
2020-07-29,387.19,389.31,384.3,385.15,261612.0,386.603,2150
2020-07-30,383.0,386.04,379.68,384.53,420698.0,382.168,3281
2020-07-31,384.92,387.12,377.95,386.61,303202.0,382.952,2193
2020-08-03,387.45,393.96,382.0,387.03,348161.0,385.676,2701
2020-08-04,385.0,392.03,383.54,391.86,245361.0,388.339,1870
2020-08-05,389.97,394.5,388.6,393.44,251625.0,392.19,2056
2020-08-06,392.19,395.24,390.92,392.55,147111.0,393.181,1193
2020-08-07,392.58,393.85,385.0,389.12,265228.0,388.828,1967
2020-08-10,389.56,391.92,384.4,385.93,197458.0,387.102,1618
2020-08-11,384.0,391.18,381.87,388.65,235652.0,387.354,1980
2020-08-12,390.36,395.95,388.02,392.67,219095.0,392.437,1869
2020-08-13,394.38,399.48,392.26,399.04,190036.0,396.751,1557
2020-08-14,399.98,400.9,393.66,398.99,191108.0,397.221,1543
2020-08-17,401.0,409.8,401.0,409.39,423241.0,406.518,3250
2020-08-18,410.0,413.73,406.17,411.45,235537.0,410.884,1918
2020-08-19,413.45,416.3,408.02,414.23,402876.0,413.85,2919
2020-08-20,413.33,419.66,412.82,418.33,245236.0,415.747,2038
2020-08-21,419.94,423.55,416.73,419.7,178291.0,419.657,1440
2020-08-24,423.02,424.72,416.77,418.99,218178.0,420.28,1519
2020-08-25,418.23,419.84,411.06,419.36,182538.0,416.907,1436
2020-08-26,417.56,419.72,414.92,418.09,139743.0,417.543,1176
2020-08-27,418.09,422.96,416.29,416.32,192092.0,419.276,1654
2020-08-28,414.77,419.37,412.01,415.98,158963.0,416.315,1323
2020-08-31,418.0,418.28,407.16,408.96,282893.0,410.064,2286
2020-09-01,408.44,411.72,405.65,410.15,250223.0,409.606,1953
2020-09-02,409.86,413.18,402.62,403.6,329991.0,404.959,2513
2020-09-03,403.0,403.31,389.64,397.5,444962.0,394.625,3630
2020-09-04,397.61,401.2,376.33,381.81,490867.0,384.539,3587
