date,open,high,low,close,volume,average,barCount
2020-07-13,74.31,76.11,71.41,72.9,2753059.0,74.079,18878
2020-07-14,72.43,73.09,71.02,72.93,1273789.0,72.284,9391
2020-07-15,75.35,79.28,75.1,79.12,2278709.0,77.774,16245
2020-07-16,79.15,79.44,75.5,76.69,1675475.0,76.975,11091
2020-07-17,76.67,77.63,75.94,77.51,1676906.0,76.921,10980
2020-07-20,76.83,77.02,73.03,74.29,1440103.0,74.331,9955
2020-07-21,75.29,76.41,74.79,75.5,1138475.0,75.54,8493
2020-07-22,74.82,78.11,74.65,77.39,1048952.0,77.109,7001
2020-07-23,76.5,77.38,74.8,76.17,1162491.0,76.298,7941
2020-07-24,76.09,78.8,75.17,78.64,1341639.0,77.597,9039
2020-07-27,78.13,78.21,75.62,76.37,1824801.0,76.671,11839
2020-07-28,74.65,77.03,74.22,75.84,1659549.0,75.757,11949
2020-07-29,76.69,79.24,76.45,78.84,1285338.0,78.367,9473
2020-07-30,77.2,78.91,76.45,78.55,1050832.0,78.184,8376
2020-07-31,78.48,78.48,75.77,75.9,1725661.0,76.663,11307
2020-08-03,76.22,76.33,73.88,74.49,1356168.0,75.092,9284
2020-08-04,74.71,77.41,74.7,76.48,1327239.0,76.431,8842
2020-08-05,77.47,78.23,74.91,75.75,1200690.0,75.788,8297
2020-08-06,75.13,77.1,75.1,76.49,1257260.0,76.193,8063
2020-08-07,76.0,79.08,75.54,79.06,2059184.0,77.525,13025
2020-08-10,79.75,82.63,79.75,81.53,1998364.0,81.723,12558
2020-08-11,83.43,85.98,81.78,84.14,3597279.0,84.339,17924
2020-08-12,85.13,85.2,83.6,84.6,2062033.0,84.581,11810
2020-08-13,84.5,85.48,83.84,84.55,1589904.0,84.699,8245
2020-08-14,84.21,85.1,83.75,84.07,1218732.0,84.35,8279
2020-08-17,83.79,84.21,82.49,83.9,1084232.0,83.363,8290
2020-08-18,83.91,83.92,81.71,82.83,1124219.0,82.665,7908
2020-08-19,81.26,82.48,79.41,79.87,2334081.0,80.426,13450
2020-08-20,79.39,81.36,78.85,80.91,824587.0,80.56,5735
2020-08-21,81.31,83.47,80.97,82.71,1275908.0,82.658,8352
2020-08-24,83.63,84.03,82.15,82.88,1178678.0,83.234,6621
2020-08-25,83.69,84.29,81.63,82.61,1276746.0,82.772,7988
2020-08-26,82.3,83.45,81.99,82.73,1072574.0,82.88,6993
2020-08-27,83.88,87.37,83.77,85.76,1670418.0,86.298,10525
2020-08-28,86.84,90.44,86.03,89.86,2178735.0,89.014,14409
2020-08-31,89.9,89.93,86.67,86.67,1319976.0,87.942,7295
2020-09-01,85.93,87.52,85.19,87.14,1326124.0,86.823,6843
2020-09-02,87.8,90.61,87.28,90.31,1311266.0,89.108,8133
2020-09-03,90.14,92.32,87.84,89.1,1389679.0,89.898,8655
2020-09-04,90.05,91.34,87.65,89.28,968344.0,89.403,6959
2020-09-08,88.58,92.08,88.28,89.12,1761684.0,90.652,8195
2020-09-09,89.43,89.81,88.06,88.58,1367083.0,88.823,8372
2020-09-10,88.58,91.24,88.51,89.95,1254711.0,90.25,8260
2020-09-11,89.95,89.96,84.91,86.8,1421904.0,86.805,9265
2020-09-14,88.07,91.79,87.85,91.61,1121834.0,90.492,7031
2020-09-15,91.26,94.45,90.34,93.38,1279851.0,92.822,8009
2020-09-16,93.41,94.75,92.57,92.97,1358396.0,93.431,9267
2020-09-17,92.14,93.1,90.54,91.62,1004450.0,91.674,6547
2020-09-18,91.1,93.07,89.2,89.97,1075743.0,90.556,7101
2020-09-21,86.09,87.85,85.38,87.78,1343916.0,86.896,9279
2020-09-22,88.12,90.0,87.45,89.98,978336.0,88.719,6544
2020-09-23,91.37,91.46,88.94,90.0,2016412.0,90.147,13711
2020-09-24,92.41,99.6,92.31,97.31,6008785.0,96.124,30538
2020-09-25,98.6,99.62,95.7,97.17,2821993.0,97.051,17302
2020-09-28,98.67,101.29,97.27,100.58,1812225.0,99.894,11823
2020-09-29,101.28,101.75,98.39,100.8,1593912.0,100.096,11445
2020-09-30,100.16,103.06,100.16,100.74,1535547.0,101.853,11108
2020-10-01,101.8,104.98,100.84,104.88,1333233.0,103.382,9164
2020-10-02,101.5,105.65,101.23,104.21,1380210.0,103.957,8168
2020-10-05,105.06,105.7,102.43,103.71,860508.0,103.463,6785
2020-10-06,103.81,104.61,100.83,101.25,1393789.0,103.028,10987
2020-10-07,102.55,103.37,100.77,101.46,775002.0,101.514,5945
2020-10-08,101.98,103.72,100.41,103.38,619185.0,102.527,4522
2020-10-09,103.26,103.28,101.79,101.99,973192.0,102.357,6931
2020-10-12,101.4,101.79,99.87,100.17,1008724.0,100.501,6553
2020-10-13,99.3,100.05,97.57,98.76,1043665.0,98.589,7496
2020-10-14,99.0,100.38,98.67,99.23,826523.0,99.376,5968
2020-10-15,98.11,101.09,97.87,100.13,828028.0,100.128,5468
2020-10-16,100.1,100.5,98.3,98.94,720160.0,99.255,5462
2020-10-19,99.59,100.48,96.13,96.61,866008.0,97.974,6361
2020-10-20,97.32,99.34,96.41,98.34,831929.0,98.322,6123
2020-10-21,97.94,98.07,96.7,97.69,553590.0,97.618,4294
2020-10-22,97.79,99.9,97.25,99.82,583481.0,99.014,4556
2020-10-23,100.52,100.52,96.53,99.53,1073908.0,98.249,7910
2020-10-26,98.72,98.72,94.02,95.4,1035479.0,95.559,7272
2020-10-27,95.55,96.54,94.67,95.84,1140095.0,95.419,8453
2020-10-28,93.67,93.82,89.89,90.19,2232452.0,91.437,12280
2020-10-29,90.19,93.5,89.9,92.51,1096993.0,92.061,8087
2020-10-30,91.75,93.05,89.34,91.92,975313.0,91.152,7352
2020-11-02,92.86,92.99,90.22,91.84,797789.0,91.357,6126
2020-11-03,93.0,93.77,92.07,93.1,889383.0,93.039,6538
2020-11-04,93.86,98.13,92.6,96.59,1797477.0,96.331,11793
2020-11-05,96.69,101.52,96.69,101.52,2129706.0,100.411,11479
2020-11-06,100.97,103.16,100.5,102.12,4440584.0,102.38,14917
2020-11-09,115.92,125.96,112.8,120.55,4622654.0,118.932,26269
2020-11-10,118.0,119.67,111.83,113.35,2415980.0,114.077,15725
2020-11-11,113.93,113.93,105.52,107.08,1875593.0,107.853,13367
2020-11-12,106.02,107.47,104.51,106.31,1449785.0,105.701,8676
2020-11-13,106.56,107.89,105.55,107.59,1167968.0,106.908,6798
2020-11-16,111.06,112.71,107.96,110.08,1367712.0,110.003,9614
2020-11-17,110.34,110.6,107.13,108.53,954398.0,108.552,6815
2020-11-18,108.01,112.04,107.6,110.16,1526663.0,110.189,9576
2020-11-19,108.77,110.29,107.65,109.8,1001236.0,109.351,7326
2020-11-20,109.85,109.86,106.89,108.45,1196137.0,107.879,6933
2020-11-23,111.45,111.96,108.78,109.58,1330776.0,109.915,7740
2020-11-24,110.85,114.42,110.65,113.46,1021503.0,113.109,7266
2020-11-25,110.41,111.01,108.54,110.58,789480.0,109.91,4860
2020-11-27,110.14,111.64,109.12,109.95,318434.0,110.092,2273
2020-11-30,109.11,109.25,105.49,107.98,1100466.0,107.062,8282
2020-12-01,109.2,111.17,107.67,110.51,874000.0,110.123,6235
2020-12-02,109.46,110.26,107.72,109.63,723430.0,109.353,5517
2020-12-03,109.6,113.81,108.62,112.79,1043603.0,112.379,7482
2020-12-04,113.38,114.93,112.82,114.82,1016059.0,114.272,7768
2020-12-07,114.0,114.0,110.46,112.12,900697.0,111.713,6073
2020-12-08,111.45,112.42,110.24,111.65,730919.0,111.392,5517
2020-12-09,112.5,115.17,111.64,114.39,1021997.0,114.029,7156
2020-12-10,114.05,115.9,112.16,115.44,1054241.0,114.9,6087
2020-12-11,113.99,115.46,110.74,112.72,714968.0,112.966,5628
2020-12-14,114.35,115.68,111.15,112.51,903449.0,112.519,7167
2020-12-15,113.86,114.96,112.37,114.43,845712.0,114.135,6414
2020-12-16,113.57,118.2,113.42,116.49,1051081.0,116.436,7774
2020-12-17,118.32,119.36,115.35,118.62,1160348.0,117.717,7671
2020-12-18,117.9,120.97,115.25,116.16,2269621.0,116.973,12512
2020-12-21,113.5,117.88,112.34,116.92,1331516.0,115.853,7737
2020-12-22,116.79,119.94,115.43,119.64,906049.0,118.654,5162
2020-12-23,118.87,121.29,118.5,119.58,773496.0,120.179,5808
2020-12-24,119.09,119.94,117.31,117.89,337372.0,118.107,2282
2020-12-28,118.87,119.0,116.87,117.74,518269.0,117.949,3824
2020-12-29,117.69,118.61,116.62,118.56,487141.0,117.73,3832
2020-12-30,118.33,119.8,117.01,117.55,448677.0,117.782,3276
2020-12-31,117.22,120.0,116.4,119.12,427795.0,118.817,3058
2021-01-04,119.88,120.28,114.39,116.24,696360.0,115.927,4789
2021-01-05,115.95,118.2,115.56,118.1,519071.0,117.324,3618
2021-01-06,118.7,122.27,118.7,120.9,1036099.0,121.105,5985
2021-01-07,121.21,124.57,120.63,123.95,995874.0,122.789,5380
2021-01-08,124.86,126.22,123.19,124.35,891389.0,124.422,5576
2021-01-11,122.55,126.0,121.75,125.26,536810.0,124.849,4072
2021-01-12,125.69,128.44,125.52,127.33,942747.0,127.613,5733
2021-01-13,126.51,127.3,124.27,124.86,547887.0,125.605,3875
2021-01-14,126.47,126.93,122.97,123.1,616061.0,124.39,4386
2021-01-15,122.0,123.11,119.0,121.08,1116463.0,120.84,8216
2021-01-19,126.05,126.25,122.56,124.12,689965.0,123.971,4485
2021-01-20,123.68,126.0,123.57,124.56,773899.0,124.731,4158
2021-01-21,124.73,125.39,123.14,124.96,552552.0,124.469,3797
2021-01-22,124.02,124.94,121.85,121.98,785257.0,123.087,5611
2021-01-25,121.66,122.26,118.82,120.0,2007539.0,120.272,13566
2021-01-26,121.1,121.1,117.94,118.58,1212162.0,118.728,7655
2021-01-27,116.63,117.23,110.89,112.1,2220613.0,113.423,15520
2021-01-28,113.92,121.29,113.82,118.78,2569800.0,118.143,14323
2021-01-29,118.08,120.96,116.62,116.89,1961376.0,118.775,11099
2021-02-01,118.24,120.0,117.29,119.36,926825.0,118.976,4046
2021-02-02,120.52,123.69,120.05,122.82,768106.0,122.519,5802
2021-02-03,122.32,126.96,122.32,125.54,1054786.0,125.466,6883
2021-02-04,126.47,129.64,126.09,128.69,1156818.0,128.648,7062
2021-02-05,130.0,133.33,129.8,131.98,1738931.0,132.475,9584
2021-02-08,132.54,132.97,128.86,130.27,703137.0,130.24,5323
2021-02-09,129.72,131.25,128.95,129.36,477714.0,129.862,3601
2021-02-10,129.27,131.02,128.18,128.98,493908.0,129.399,3791
2021-02-11,129.13,129.86,127.45,128.92,522440.0,128.389,3901
2021-02-12,129.23,129.48,127.36,128.45,298032.0,128.277,2307
2021-02-16,129.89,129.89,126.86,128.93,346947.0,128.22,2771
2021-02-17,128.11,128.92,126.81,128.27,617914.0,127.871,4224
2021-02-18,126.52,130.91,126.4,129.98,1634194.0,129.784,10042
2021-02-19,130.99,134.39,129.3,134.01,1169694.0,133.165,8571
2021-02-22,132.7,137.91,132.13,135.0,1121173.0,135.906,8083
2021-02-23,134.85,135.7,131.06,134.31,555181.0,134.033,4365
2021-02-24,134.42,139.23,134.03,138.78,814789.0,137.02,6235
2021-02-25,139.09,139.32,134.19,136.0,683990.0,136.012,5197
2021-02-26,135.83,138.78,133.46,137.33,663037.0,136.933,4926
2021-03-01,139.12,140.5,137.51,139.02,871089.0,139.244,5276
2021-03-02,139.26,140.09,137.01,138.96,438602.0,138.574,3423
2021-03-03,139.11,141.76,137.85,138.03,807559.0,139.858,5622
2021-03-04,137.71,139.81,133.9,136.64,695302.0,136.576,5287
2021-03-05,137.94,140.98,134.04,140.66,771042.0,138.035,6292
2021-03-08,141.92,144.84,141.15,143.03,756306.0,143.128,5869
2021-03-09,143.99,144.25,138.97,139.32,884294.0,140.392,6597
2021-03-10,139.37,144.14,138.14,142.09,1184596.0,141.737,8535
2021-03-11,143.07,144.22,140.48,141.04,894429.0,142.391,7243
2021-03-12,141.99,145.83,141.34,145.41,785714.0,144.516,5935
2021-03-15,146.57,147.93,143.9,146.24,749427.0,146.065,5638
2021-03-16,144.25,144.45,139.92,140.54,1141552.0,141.36,9066
2021-03-17,140.5,141.82,139.72,141.25,996188.0,140.871,7180
2021-03-18,141.08,143.17,139.42,139.97,1439150.0,141.597,10644
2021-03-19,140.2,140.87,138.16,139.79,2064506.0,139.948,11646
2021-03-22,141.1,141.35,136.41,136.74,2001888.0,137.963,12255
2021-03-23,135.45,138.18,135.0,136.75,2113155.0,136.77,12840
2021-03-24,137.7,139.19,133.77,133.93,2235645.0,136.428,15463
2021-03-25,140.0,146.19,134.19,144.9,4603198.0,141.484,25392
2021-03-26,146.06,149.12,143.76,148.98,1797268.0,147.396,12482
2021-03-29,148.09,149.73,142.09,143.72,1105324.0,144.571,8312
2021-03-30,142.37,146.31,142.37,145.07,1058122.0,144.735,7729
