date,open,high,low,close,volume,average,barCount
2020-07-13,81.45,82.17,79.45,79.57,597624.0,80.597,4354
2020-07-14,79.56,82.11,79.22,81.95,534232.0,80.747,4053
2020-07-15,82.97,84.72,82.48,84.54,600785.0,84.049,4748
2020-07-16,84.6,85.46,84.04,84.81,337707.0,84.651,2707
2020-07-17,85.38,86.36,85.02,85.11,446073.0,85.526,3620
2020-07-20,84.76,85.75,84.44,85.51,466430.0,85.132,3659
2020-07-21,85.16,86.51,85.16,86.0,373559.0,85.911,2721
2020-07-22,85.89,87.16,85.43,87.12,292245.0,86.511,2502
2020-07-23,87.23,87.91,86.81,87.68,329062.0,87.453,2460
2020-07-24,87.68,88.23,86.67,87.33,258167.0,87.384,2087
2020-07-27,86.89,88.72,86.29,88.49,188965.0,88.029,1572
2020-07-28,87.78,88.76,87.69,87.99,273586.0,88.237,2185
2020-07-29,88.05,91.69,87.91,91.3,575927.0,90.622,4674
2020-07-30,90.13,91.61,88.27,91.12,1025590.0,89.859,6259
2020-07-31,91.6,92.16,85.71,87.39,1254973.0,87.495,8977
2020-08-03,87.63,88.75,86.45,87.21,603267.0,87.567,5016
2020-08-04,86.63,86.86,83.51,83.57,826125.0,84.211,7043
2020-08-05,83.52,84.37,82.32,82.92,713879.0,82.936,5447
2020-08-06,82.56,83.65,81.53,82.29,628446.0,82.274,4121
2020-08-07,82.38,83.71,81.47,82.37,458045.0,82.189,3683
2020-08-10,82.16,83.32,81.97,82.6,545568.0,82.732,3025
2020-08-11,83.37,83.98,81.39,81.73,1013957.0,81.899,5385
2020-08-12,82.35,82.83,81.81,82.46,420687.0,82.33,3224
2020-08-13,82.01,82.41,81.25,81.67,288832.0,81.653,2305
2020-08-14,81.41,82.78,81.21,82.17,218155.0,82.093,1658
2020-08-17,85.92,87.17,85.47,86.26,872333.0,86.406,6355
2020-08-18,86.16,86.94,85.23,86.54,609828.0,86.392,5029
2020-08-19,86.85,87.17,85.9,86.21,398844.0,86.521,3025
2020-08-20,86.18,88.37,86.1,86.72,616017.0,87.558,4898
2020-08-21,86.87,87.0,86.01,86.8,476812.0,86.622,3717
2020-08-24,87.02,87.97,86.88,87.57,411405.0,87.478,3341
