date,open,high,low,close,volume,average,barCount
2020-07-13,60.25,61.06,57.89,58.3,9236989.0,59.732,61651
2020-07-14,57.5,59.29,57.28,59.08,7477747.0,58.421,50733
2020-07-15,58.9,59.13,57.24,58.39,7557405.0,58.294,49751
2020-07-16,57.96,58.92,57.85,58.65,5348969.0,58.524,35822
2020-07-17,58.83,59.11,57.77,58.13,3712396.0,58.244,25737
2020-07-20,58.73,58.8,57.77,58.47,4766491.0,58.323,33369
2020-07-21,59.12,59.55,55.69,56.59,14946032.0,56.852,86947
2020-07-22,56.67,57.43,56.12,56.34,6588387.0,56.651,42210
2020-07-23,56.53,56.82,54.86,55.15,6955313.0,55.749,44560
2020-07-24,55.02,55.36,54.04,55.12,5098228.0,54.908,35768
2020-07-27,55.73,57.38,55.53,57.23,5185549.0,56.747,31403
2020-07-28,56.97,57.34,56.11,56.35,7027632.0,56.729,42345
2020-07-29,55.25,56.04,53.66,54.53,12010810.0,54.837,63886
2020-07-30,54.0,54.94,53.73,54.72,6623519.0,54.408,39911
2020-07-31,55.04,55.83,54.32,55.28,6710758.0,54.953,42851
2020-08-03,55.69,56.82,55.57,56.57,6953500.0,56.272,41484
2020-08-04,56.27,56.78,55.78,56.33,4596493.0,56.262,30754
2020-08-05,56.47,56.93,55.97,56.66,5475146.0,56.544,33103
2020-08-06,55.96,56.53,54.84,55.08,6375172.0,55.421,38079
2020-08-07,55.24,55.92,54.77,55.21,4498082.0,55.324,30070
2020-08-10,55.22,55.29,54.02,54.37,4366373.0,54.508,29450
2020-08-11,54.19,55.65,53.7,54.29,7036906.0,54.631,41023
2020-08-12,54.44,56.2,54.39,55.49,5168094.0,55.462,34640
2020-08-13,55.6,57.06,55.6,56.28,5970333.0,56.37,37525
2020-08-14,56.53,57.6,55.87,56.29,4551511.0,56.479,28804
2020-08-17,56.69,57.57,56.29,57.35,4030660.0,57.075,25422
2020-08-18,57.66,57.88,56.94,57.03,3536689.0,57.244,24414
2020-08-19,57.15,58.38,57.03,57.71,5401858.0,57.731,35452
2020-08-20,57.6,58.06,57.16,57.66,3601976.0,57.662,24804
2020-08-21,57.85,59.06,57.51,58.2,4777528.0,58.378,30164
2020-08-24,58.5,58.96,58.05,58.78,3584260.0,58.646,25278
2020-08-25,58.53,58.89,58.01,58.05,3652171.0,58.312,25013
2020-08-26,57.96,58.66,57.38,58.58,5084699.0,58.048,29731
2020-08-27,58.91,58.92,56.2,56.31,6175927.0,56.909,37704
2020-08-28,56.26,56.35,54.05,54.27,9657665.0,54.826,58300
2020-08-31,53.98,54.91,53.57,54.78,6930485.0,54.309,44596
2020-09-01,54.9,55.23,53.37,53.65,7966434.0,54.2,50200
2020-09-02,53.89,55.23,53.51,55.09,5718283.0,54.66,38319
2020-09-03,54.78,55.42,52.59,53.16,7951776.0,53.625,52784
2020-09-04,52.82,53.33,50.95,52.54,7682805.0,52.276,51530
2020-09-08,51.41,52.66,50.97,51.53,7161159.0,51.786,47261
2020-09-09,52.31,53.71,51.71,53.44,5535953.0,53.026,37446
2020-09-10,53.7,54.6,52.03,52.32,4878675.0,53.218,36234
2020-09-11,52.17,53.08,52.1,52.77,5252041.0,52.639,38706
2020-09-14,53.4,53.58,52.21,52.3,5029235.0,52.797,36062
2020-09-15,52.66,52.99,51.64,51.78,4807201.0,52.149,35252
2020-09-16,51.78,52.25,50.29,50.42,7272233.0,51.084,43760
2020-09-17,49.36,49.44,47.44,48.64,12887517.0,48.319,73835
2020-09-18,48.91,49.24,48.08,48.61,5859659.0,48.642,33883
2020-09-21,47.88,50.24,47.73,50.14,6722944.0,49.15,42593
2020-09-22,50.61,51.04,49.83,50.92,4867882.0,50.564,35745
2020-09-23,51.15,51.46,50.42,50.68,4800673.0,50.999,33511
2020-09-24,50.23,52.17,50.04,51.78,6196216.0,51.484,43495
2020-09-25,51.97,52.73,51.18,52.48,5124897.0,52.096,33030
2020-09-28,53.25,54.36,53.1,54.04,4845958.0,53.857,28719
2020-09-29,53.99,54.3,52.59,52.65,5440829.0,53.167,34963
2020-09-30,52.98,53.62,51.51,52.1,6579059.0,52.569,40083
2020-10-01,52.46,52.86,52.0,52.38,4935049.0,52.417,32863
2020-10-02,51.55,52.43,51.19,51.68,3920655.0,51.735,28435
2020-10-05,51.94,52.11,51.15,51.77,3418200.0,51.719,24401
2020-10-06,51.91,51.91,49.48,49.66,7146742.0,50.624,46500
2020-10-07,50.55,51.11,49.98,50.94,3948981.0,50.806,27067
2020-10-08,51.32,52.18,50.98,52.08,5249215.0,51.757,32653
2020-10-09,52.42,55.86,52.32,55.45,10405052.0,54.851,59615
2020-10-12,56.02,56.2,54.53,55.38,5821072.0,55.368,35177
2020-10-13,55.61,57.82,55.39,57.59,5522143.0,57.074,36271
2020-10-14,57.8,58.34,56.43,56.46,5077088.0,57.098,30772
2020-10-15,55.77,56.11,54.86,55.4,4348103.0,55.286,28918
2020-10-16,55.34,56.44,55.19,55.83,3854790.0,56.027,24479
2020-10-19,56.43,56.9,53.92,54.32,4931999.0,55.175,30978
2020-10-20,54.42,55.13,54.03,54.2,3273841.0,54.511,24316
2020-10-21,54.22,54.48,52.63,52.82,4636831.0,53.225,29967
2020-10-22,52.59,52.72,51.57,52.29,3935752.0,52.039,26395
2020-10-23,52.48,53.95,52.43,53.79,4375887.0,53.471,30386
2020-10-26,53.46,53.95,52.28,53.34,4582094.0,53.009,33206
2020-10-27,53.39,53.84,53.0,53.55,3294793.0,53.394,22362
2020-10-28,52.99,54.1,52.38,53.25,6581853.0,53.274,42200
2020-10-29,49.3,50.8,48.03,49.28,18710495.0,49.289,96811
2020-10-30,48.79,49.14,46.99,47.63,9323505.0,47.706,53417
2020-11-02,48.1,49.34,47.21,47.87,6595671.0,48.302,39912
2020-11-03,48.03,49.38,47.61,48.92,5935337.0,48.818,34330
2020-11-04,49.55,49.64,47.56,47.82,10993040.0,48.201,71076
2020-11-05,48.8,49.95,48.47,49.41,7812229.0,49.403,49740
2020-11-06,49.74,51.17,49.05,50.69,7628557.0,50.318,45289
2020-11-09,47.99,49.25,46.85,48.32,13813657.0,48.203,76613
2020-11-10,47.6,47.64,45.36,46.54,12234871.0,46.327,68482
2020-11-11,47.18,48.1,46.81,47.71,9758942.0,47.615,50767
2020-11-12,48.13,48.17,46.4,46.59,7300834.0,46.89,48213
2020-11-13,46.9,48.72,46.72,48.67,7883722.0,48.016,43439
2020-11-16,48.25,49.17,48.01,48.55,8599888.0,48.378,53797
2020-11-17,48.37,48.9,47.96,48.33,7444080.0,48.385,44885
2020-11-18,48.07,49.46,48.07,48.53,9962344.0,48.853,59423
2020-11-19,48.65,50.05,48.56,49.78,7869695.0,49.517,47428
2020-11-20,49.75,49.88,48.96,48.99,6027021.0,49.271,39440
2020-11-23,49.18,50.34,49.1,49.9,4910152.0,49.691,34002
2020-11-24,49.92,51.29,49.82,50.53,4734091.0,50.801,30804
2020-11-25,50.65,51.03,50.05,50.45,3142077.0,50.356,20943
2020-11-27,50.94,51.93,50.9,51.34,2766642.0,51.366,15651
2020-11-30,50.98,51.23,49.36,50.43,5766943.0,50.214,36016
2020-12-01,50.48,51.46,50.18,50.52,4569647.0,50.753,28264
2020-12-02,50.49,51.54,50.36,51.35,4376941.0,51.153,25405
2020-12-03,51.31,51.31,50.11,50.29,3842520.0,50.486,23541
2020-12-04,50.02,51.19,49.64,50.97,3484278.0,50.628,21404
2020-12-07,50.92,51.01,49.91,50.03,3131690.0,50.301,20165
2020-12-08,49.91,50.23,49.28,49.89,5276920.0,49.735,33068
2020-12-09,49.93,50.18,49.22,49.5,4803279.0,49.706,32812
2020-12-10,49.4,49.84,48.93,49.6,2629939.0,49.534,18266
2020-12-11,49.43,49.61,48.67,49.13,2858968.0,49.156,19972
2020-12-14,49.55,50.5,49.23,49.57,3831040.0,49.916,25452
2020-12-15,49.96,52.1,49.69,52.08,5534969.0,51.377,34775
2020-12-16,52.16,54.89,52.16,53.65,9925034.0,53.785,57685
2020-12-17,53.64,53.96,52.44,53.05,4416541.0,53.083,27647
2020-12-18,53.1,53.26,52.39,53.06,4427243.0,52.951,25014
2020-12-21,52.61,52.68,51.17,51.57,4574396.0,51.628,29541
2020-12-22,51.71,52.02,51.08,51.62,3280522.0,51.533,22147
2020-12-23,52.0,52.0,51.13,51.13,3178170.0,51.561,20981
2020-12-24,51.23,51.24,49.94,50.12,2130067.0,50.34,14904
2020-12-28,50.5,50.55,49.93,50.24,4678062.0,50.243,30935
2020-12-29,50.65,51.11,50.3,50.86,3784219.0,50.718,26008
2020-12-30,51.08,51.51,50.47,50.55,3706724.0,50.983,23819
2020-12-31,50.58,50.82,50.0,50.25,2492293.0,50.247,18309
2021-01-04,50.48,51.9,50.45,51.5,5593356.0,51.302,35072
2021-01-05,51.38,52.28,51.06,52.03,4857521.0,51.712,30595
2021-01-06,51.27,54.29,51.27,53.22,6512300.0,53.383,41756
2021-01-07,53.3,54.23,53.01,53.06,5273312.0,53.642,36385
2021-01-08,53.36,54.55,53.23,54.48,4204277.0,54.132,28456
2021-01-11,54.04,54.41,53.47,53.93,5356502.0,53.974,26851
2021-01-12,53.98,56.71,53.87,56.04,8910461.0,55.911,48463
2021-01-13,55.99,56.37,55.35,55.71,6009853.0,55.954,35128
2021-01-14,56.0,56.0,54.98,55.27,3791311.0,55.38,25311
2021-01-15,55.21,55.71,54.31,55.42,4513007.0,55.223,29258
2021-01-19,55.58,57.2,55.44,56.98,5040844.0,56.539,30891
2021-01-20,57.3,57.54,56.11,56.17,3309658.0,56.521,22111
2021-01-21,56.28,56.47,55.32,56.4,2827850.0,55.888,18527
2021-01-22,56.2,56.57,55.64,56.46,2118002.0,56.195,15730
2021-01-25,57.0,58.38,56.82,57.25,7542650.0,57.876,45778
2021-01-26,57.08,59.31,56.97,59.17,6698755.0,58.454,37396
2021-01-27,58.92,60.55,58.05,58.35,6914345.0,59.353,40939
2021-01-28,58.0,58.86,55.94,56.44,8618260.0,57.037,55099
2021-01-29,56.35,57.58,55.31,56.51,6667505.0,56.463,41794
2021-02-01,56.78,58.7,56.65,58.47,5621973.0,57.931,37605
2021-02-02,58.53,58.79,57.1,57.33,5218039.0,57.686,33659
2021-02-03,58.13,58.8,57.67,58.04,5453336.0,58.287,33376
2021-02-04,63.96,64.85,60.67,61.12,24426433.0,62.035,111939
2021-02-05,61.17,62.82,60.24,62.23,8506349.0,61.678,47280
2021-02-08,62.6,64.06,62.56,63.84,7251042.0,63.433,36053
2021-02-09,63.86,63.91,62.12,62.23,3644386.0,62.602,21517
2021-02-10,62.75,63.22,61.76,62.32,3290180.0,62.332,21802
2021-02-11,62.6,62.98,61.67,62.31,2582499.0,62.247,16259
2021-02-12,62.03,63.19,61.94,63.01,4283286.0,62.653,16964
2021-02-16,63.64,64.0,62.82,62.87,2895525.0,63.349,16155
2021-02-17,62.58,63.24,62.05,63.05,3018528.0,62.662,17445
2021-02-18,62.7,63.35,62.22,62.8,4284773.0,62.739,21995
2021-02-19,63.19,63.36,61.86,61.98,2891710.0,62.431,18155
2021-02-22,62.1,62.3,60.96,61.56,3802364.0,61.5,20366
2021-02-23,60.54,61.73,59.82,61.37,3822440.0,60.781,26781
2021-02-24,60.9,61.05,58.83,59.38,5841554.0,59.547,36778
2021-02-25,59.21,59.97,56.85,56.98,5491578.0,57.922,37469
2021-02-26,57.35,57.66,56.25,56.42,4376353.0,56.886,30371
2021-03-01,57.16,58.7,56.53,58.48,4310460.0,58.107,25451
2021-03-02,58.55,58.71,56.88,56.99,4962143.0,57.547,28446
2021-03-03,56.73,56.95,54.48,54.6,8621199.0,55.109,44064
2021-03-04,54.57,54.89,52.46,53.34,7471725.0,53.623,50227
2021-03-05,53.88,54.12,51.51,53.76,5379874.0,53.058,36125
2021-03-08,53.76,55.19,53.45,53.49,5292171.0,54.384,34466
2021-03-09,54.6,56.97,54.32,56.17,5985918.0,56.385,37363
2021-03-10,56.59,56.79,54.53,55.34,5007707.0,55.309,33907
2021-03-11,55.99,56.58,55.46,56.24,4166823.0,56.153,25261
2021-03-12,55.68,56.1,55.03,55.8,3402837.0,55.55,23685
2021-03-15,55.85,57.71,55.61,57.67,3830417.0,56.932,27515
2021-03-16,57.34,58.19,57.06,57.42,3894323.0,57.633,28494
2021-03-17,56.85,59.73,56.71,59.0,5034378.0,58.409,34602
2021-03-18,58.35,60.12,58.0,58.9,4688548.0,59.212,31192
2021-03-19,59.16,60.03,58.51,59.73,4735721.0,59.525,29709
2021-03-22,59.95,60.85,59.56,60.29,4067998.0,60.322,27385
2021-03-23,60.39,61.03,60.01,60.31,4162154.0,60.495,27021
2021-03-24,60.61,60.9,57.58,57.64,4754593.0,58.754,30655
2021-03-25,57.53,58.43,56.98,58.09,4075503.0,57.895,29177
2021-03-26,58.04,60.93,58.01,60.83,5387532.0,59.736,37491
2021-03-29,60.68,61.18,59.28,59.85,4154120.0,60.035,29427
2021-03-30,59.53,60.63,59.05,60.32,3814061.0,59.998,24540
2021-03-31,60.82,62.67,60.75,61.24,5138906.0,61.887,32441
2021-04-01,61.55,63.24,61.39,63.11,3664440.0,62.702,23122
2021-04-05,63.35,63.98,62.55,63.69,3549345.0,63.558,26213
2021-04-06,63.62,63.72,62.23,62.52,3715796.0,62.656,23726
2021-04-07,62.69,62.69,61.43,61.76,3115581.0,61.754,20965
2021-04-08,62.25,62.65,61.76,62.19,2453546.0,62.281,17538
2021-04-09,62.08,62.6,61.84,62.47,2420133.0,62.148,16796
2021-04-12,62.47,62.88,62.13,62.64,3254317.0,62.482,22393
2021-04-13,63.02,64.08,62.92,63.82,3292944.0,63.619,23302
2021-04-14,63.94,64.39,62.35,62.79,7577108.0,63.533,40510
2021-04-15,63.33,64.54,63.03,64.36,2978425.0,64.177,19568
2021-04-16,64.34,64.99,64.29,64.93,2884818.0,64.715,18921
2021-04-19,64.66,65.11,63.6,63.79,3647336.0,64.153,26893
2021-04-20,63.61,63.8,61.2,61.79,4077539.0,61.881,27908
2021-04-21,61.44,61.87,60.88,61.78,3648903.0,61.621,25383
2021-04-22,61.85,61.9,60.53,60.74,4409982.0,61.111,31339
2021-04-23,60.89,61.17,60.44,60.91,3636081.0,60.905,24070
2021-04-26,61.01,61.61,60.77,61.58,3371301.0,61.285,21196
2021-04-27,61.68,62.31,61.38,61.7,3411663.0,61.744,21733
2021-04-28,62.08,62.87,61.82,62.32,5190194.0,62.505,32317
2021-04-29,57.29,57.35,54.95,56.07,26847951.0,55.801,137223
2021-04-30,55.78,56.89,55.65,55.79,7783021.0,56.079,46561
2021-05-03,56.15,58.85,56.12,58.15,10055688.0,57.474,52768
2021-05-04,57.55,58.34,56.82,57.69,6895360.0,57.597,43739
2021-05-05,57.4,58.88,57.39,58.24,5099007.0,58.438,32885
2021-05-06,58.15,58.89,57.76,58.82,5491021.0,58.432,38748
2021-05-07,59.1,60.01,58.39,59.78,7285040.0,59.587,44485
2021-05-10,59.61,62.3,59.26,61.44,8997683.0,61.336,53536
2021-05-11,60.04,60.99,59.14,60.43,8688613.0,60.243,53840
2021-05-12,59.93,60.43,58.24,58.28,5592388.0,58.833,38472
2021-05-13,58.73,59.37,58.06,58.74,4626256.0,58.778,33588
2021-05-14,59.44,61.05,59.3,60.86,4790752.0,60.447,31451
2021-05-17,60.65,61.8,60.54,61.69,4760890.0,61.314,32382
2021-05-18,61.7,62.69,60.69,61.29,4065513.0,61.956,28849
2021-05-19,60.4,60.4,59.06,59.79,5404241.0,59.727,37705
2021-05-20,60.11,60.27,59.34,59.47,5758813.0,59.732,38117
2021-05-21,59.8,61.38,59.72,61.02,7119544.0,60.904,46188
2021-05-24,61.22,61.95,60.93,60.97,3986587.0,61.453,26343
2021-05-25,61.24,61.84,60.86,61.3,3585894.0,61.381,24432
2021-05-26,61.39,62.14,61.17,61.44,4602015.0,61.549,26712
2021-05-27,61.18,62.12,59.32,59.51,9685275.0,60.868,52035
2021-05-28,59.96,61.42,59.66,60.88,8057083.0,60.863,50686
2021-06-01,61.49,62.09,60.73,61.37,4054792.0,61.267,26297
2021-06-02,61.39,63.57,61.02,63.41,7256060.0,62.738,47858
2021-06-03,63.15,64.27,62.59,64.07,5231941.0,63.632,35612
2021-06-04,64.38,65.89,64.14,65.23,6646254.0,65.167,35106
2021-06-07,65.16,65.73,64.78,65.45,4381139.0,65.335,28025
2021-06-08,65.53,65.95,65.26,65.8,4074412.0,65.645,26307
2021-06-09,66.16,66.35,65.4,65.96,4430865.0,66.001,27477
2021-06-10,66.32,66.98,65.77,66.75,4265541.0,66.55,28178
2021-06-11,66.92,67.42,66.83,67.13,4167117.0,67.054,28508
2021-06-14,67.25,67.26,65.17,65.89,4680964.0,65.753,32040
2021-06-15,66.0,66.35,65.47,65.96,3447979.0,65.837,23221
2021-06-16,65.35,66.35,65.3,66.09,4032275.0,65.957,28061
2021-06-17,65.83,66.3,65.25,65.33,4418127.0,65.64,29387
2021-06-18,64.84,64.93,63.14,63.26,7639398.0,63.792,43115
