date,open,high,low,close,volume,average,barCount
2020-07-13,201.97,204.77,199.94,200.3,773068.0,202.6,5906
2020-07-14,199.34,204.35,199.0,204.14,420814.0,202.262,3693
2020-07-15,206.13,208.54,205.31,207.9,553632.0,207.347,4534
2020-07-16,207.0,210.02,206.78,208.29,485334.0,208.493,3970
2020-07-17,209.01,210.92,208.37,210.36,472458.0,209.919,3708
2020-07-20,209.87,211.53,208.41,209.85,855479.0,210.179,5110
2020-07-21,210.42,211.18,207.19,207.65,469872.0,208.614,3902
2020-07-22,207.6,210.56,207.16,210.32,352538.0,209.013,2928
2020-07-23,210.91,212.67,208.79,209.54,441092.0,210.628,3610
2020-07-24,209.02,210.19,207.85,210.06,391824.0,209.395,3378
2020-07-27,210.13,213.41,208.56,212.04,521684.0,211.962,4427
2020-07-28,205.5,205.5,193.31,193.72,1815358.0,196.21,12898
2020-07-29,193.69,196.24,193.15,194.83,1513901.0,194.698,11426
2020-07-30,192.27,193.65,189.35,191.05,916386.0,190.683,6812
2020-07-31,190.35,191.2,183.27,187.08,1105452.0,185.727,8434
2020-08-03,188.01,189.12,184.3,184.41,903262.0,185.865,6916
2020-08-04,184.46,190.6,183.04,189.31,1482906.0,189.222,9265
2020-08-05,190.26,193.98,190.26,191.94,971775.0,192.064,6296
2020-08-06,192.38,195.12,191.01,194.2,739906.0,193.83,5845
2020-08-07,194.55,196.09,192.27,194.9,948453.0,194.932,6068
2020-08-10,194.97,197.23,194.21,195.3,465362.0,195.409,3763
2020-08-11,198.62,199.98,195.61,196.22,476171.0,197.741,3836
2020-08-12,197.5,199.93,197.29,198.69,419259.0,198.698,3451
2020-08-13,197.16,198.91,195.95,196.55,339939.0,197.195,2730
2020-08-14,196.07,196.84,193.86,194.71,352274.0,195.122,2962
2020-08-17,195.77,197.39,193.73,194.85,316252.0,195.302,2414
2020-08-18,195.41,195.81,193.58,194.37,296250.0,194.774,2390
2020-08-19,195.4,196.04,193.85,194.06,399821.0,194.727,3160
2020-08-20,192.16,194.78,192.16,194.41,204006.0,193.913,1649
2020-08-21,194.65,195.36,193.03,194.85,400412.0,194.396,2948
2020-08-24,196.58,198.5,196.11,197.52,330668.0,197.278,2523
2020-08-25,197.93,199.37,195.74,195.99,400353.0,196.602,3084
2020-08-26,195.75,198.27,195.43,197.11,424823.0,196.765,3412
2020-08-27,197.61,199.9,197.59,197.68,501247.0,198.658,4086
2020-08-28,197.88,200.67,196.6,200.5,462554.0,199.108,3817
