date,open,high,low,close,volume,average,barCount
2020-07-13,72.49,72.78,71.69,72.16,1173176.0,72.191,9053
2020-07-14,72.19,73.26,71.61,72.17,1085909.0,72.441,7478
2020-07-15,72.31,72.9,71.38,71.51,1539749.0,71.849,11505
2020-07-16,71.68,72.29,71.46,71.84,727827.0,71.778,5335
2020-07-17,72.03,74.12,72.03,74.07,1028226.0,73.297,6882
2020-07-20,73.62,73.85,72.88,73.26,1047791.0,73.252,6975
2020-07-21,73.02,74.98,72.88,74.28,1375602.0,74.38,9139
2020-07-22,74.03,76.18,73.55,75.76,1017842.0,75.421,7096
2020-07-23,75.77,76.77,75.53,76.25,1001231.0,76.139,7117
2020-07-24,76.62,77.65,75.26,75.58,1163508.0,75.934,7955
2020-07-27,75.38,75.39,74.09,74.76,1154351.0,74.51,8434
2020-07-28,74.43,76.67,74.43,76.36,940276.0,76.228,7270
2020-07-29,76.28,76.9,75.5,76.7,960465.0,76.253,7514
2020-07-30,76.11,77.14,75.87,76.94,1423892.0,76.631,11700
2020-07-31,76.56,77.11,75.85,76.83,1402272.0,76.481,10312
2020-08-03,76.69,76.69,75.24,75.91,939397.0,75.851,7187
2020-08-04,75.75,76.69,75.66,75.9,1258459.0,76.028,9311
2020-08-05,75.59,75.95,73.5,73.66,1178087.0,74.156,8492
2020-08-06,73.89,74.12,73.15,73.92,1029124.0,73.705,7504
2020-08-07,73.25,75.8,73.22,75.11,1091108.0,74.714,8080
2020-08-10,75.94,76.34,75.2,75.38,1034630.0,75.714,7529
2020-08-11,75.0,75.41,73.12,73.26,1143056.0,73.614,7252
2020-08-12,73.51,74.89,73.44,74.26,890890.0,74.259,5433
2020-08-13,73.85,74.03,72.99,73.77,1108919.0,73.56,6970
2020-08-14,73.35,74.09,72.79,73.53,1093970.0,73.54,7195
2020-08-17,73.81,75.02,73.4,74.41,1497165.0,74.288,9464
2020-08-18,73.65,73.95,73.11,73.35,1036876.0,73.509,7063
2020-08-19,73.35,73.89,72.9,73.44,1174341.0,73.599,6696
2020-08-20,73.1,73.72,72.32,72.4,1209120.0,72.809,8003
2020-08-21,72.67,72.7,71.18,72.2,1601246.0,72.024,10447
2020-08-24,72.32,74.33,71.84,74.32,1541459.0,73.393,10487
2020-08-25,74.36,74.48,72.69,73.01,1376984.0,73.266,8730
2020-08-26,72.45,72.45,70.31,70.78,1867306.0,70.872,12961
2020-08-27,71.0,71.79,70.55,71.07,1206601.0,71.019,9036
2020-08-28,71.26,71.26,70.1,70.92,940537.0,70.624,6295
2020-08-31,70.61,71.45,70.59,71.34,1103194.0,71.045,7405
2020-09-01,70.88,71.0,69.37,69.65,1155592.0,69.841,7212
2020-09-02,69.56,72.41,69.3,72.23,1649982.0,71.52,9763
2020-09-03,72.61,73.57,71.78,72.4,2795341.0,72.574,13076
2020-09-04,72.86,73.51,71.9,73.04,2330955.0,72.849,13611
2020-09-08,72.99,73.44,72.08,72.8,2347592.0,72.621,12960
2020-09-09,73.34,74.55,72.86,72.91,1280011.0,73.528,8457
2020-09-10,72.63,74.25,71.68,72.77,7463639.0,73.612,10436
2020-09-11,72.68,73.04,72.11,72.74,1411326.0,72.562,9543
2020-09-14,73.49,74.48,72.82,74.22,1024585.0,74.11,7140
2020-09-15,74.74,75.59,73.96,74.47,1321796.0,74.679,8842
2020-09-16,74.3,76.34,74.0,75.68,1454098.0,75.69,10452
2020-09-17,75.27,76.55,74.61,75.93,1892455.0,75.897,13859
2020-09-18,75.38,75.92,73.64,73.88,1651684.0,74.48,10654
2020-09-21,73.33,73.72,71.73,72.84,1100434.0,72.674,8332
2020-09-22,72.64,74.19,72.48,73.7,1029662.0,73.551,7485
2020-09-23,73.77,73.96,73.21,73.32,893225.0,73.444,6656
2020-09-24,73.37,74.16,72.55,73.93,1012869.0,73.56,7732
2020-09-25,73.6,75.88,73.47,75.77,956993.0,75.12,7309
2020-09-28,75.98,77.16,75.51,76.32,948023.0,76.498,6911
2020-09-29,76.71,77.7,76.25,76.98,932573.0,76.994,6968
2020-09-30,77.45,78.06,77.16,77.8,839366.0,77.672,5774
2020-10-01,78.05,79.08,77.74,79.04,995358.0,78.615,7596
2020-10-02,78.53,80.21,78.26,79.77,746124.0,79.64,5333
2020-10-05,79.6,80.34,79.1,79.93,868574.0,79.929,5244
2020-10-06,80.06,81.22,79.46,80.76,812145.0,80.403,5869
2020-10-07,81.09,81.23,79.84,80.83,661979.0,80.7,4873
2020-10-08,81.25,82.35,80.89,82.27,643070.0,81.936,4776
2020-10-09,82.39,82.92,81.51,82.55,701196.0,82.321,4924
2020-10-12,82.45,83.13,82.4,82.89,466351.0,82.865,3186
2020-10-13,82.1,82.63,80.84,82.32,742055.0,81.901,5078
2020-10-14,82.4,82.7,81.53,82.24,592831.0,82.029,4479
2020-10-15,81.15,82.26,80.89,81.74,760210.0,81.605,5484
2020-10-16,81.7,82.71,81.31,81.7,1235946.0,82.033,7614
2020-10-19,81.69,82.34,80.52,80.79,655856.0,81.197,4684
2020-10-20,80.0,81.29,79.82,80.6,952644.0,80.467,6862
2020-10-21,80.37,81.0,79.9,80.33,718306.0,80.459,5022
2020-10-22,80.57,81.61,80.0,81.44,611541.0,81.05,4490
2020-10-23,81.8,82.09,81.23,81.6,752288.0,81.644,5564
2020-10-26,81.23,82.89,80.94,82.74,725743.0,82.229,5199
2020-10-27,82.95,83.93,82.22,83.05,877991.0,83.3,6475
2020-10-28,82.05,82.94,79.96,80.16,780414.0,80.796,5783
2020-10-29,80.07,80.75,78.85,79.77,834744.0,79.964,6069
2020-10-30,79.37,79.82,77.64,78.49,1221228.0,78.635,8072
2020-11-02,79.39,80.08,78.13,79.78,1798103.0,79.264,10258
2020-11-03,80.59,82.06,80.38,81.32,1085891.0,81.307,7782
2020-11-04,81.32,82.28,79.54,79.56,799674.0,80.789,5743
2020-11-05,80.36,81.56,79.44,79.73,963006.0,80.258,7670
2020-11-06,79.3,79.97,77.28,77.8,1536817.0,78.221,10490
2020-11-09,80.28,81.66,78.85,79.28,1535166.0,80.221,10930
2020-11-10,79.74,82.28,79.34,82.08,1862029.0,81.077,11339
2020-11-11,82.35,82.73,81.4,81.72,855600.0,82.071,6161
2020-11-12,81.45,81.71,79.51,80.51,1230813.0,80.353,8106
2020-11-13,80.91,81.75,80.5,81.63,1145179.0,81.263,7041
2020-11-16,82.49,82.75,81.92,82.71,1556542.0,82.417,10514
2020-11-17,81.83,82.2,79.19,79.25,1599765.0,80.801,9850
2020-11-18,79.5,79.66,77.55,77.69,933497.0,78.603,6773
2020-11-19,77.64,77.64,76.48,77.1,996563.0,77.082,6729
2020-11-20,77.43,77.66,76.7,77.39,1084896.0,77.316,7108
2020-11-23,77.58,78.05,77.01,77.57,714470.0,77.463,4939
2020-11-24,78.07,78.9,77.63,78.38,1094062.0,78.354,5825
2020-11-25,78.42,78.72,77.43,78.66,932143.0,78.135,6183
2020-11-27,78.51,78.59,77.51,77.77,433974.0,77.969,2721
2020-11-30,77.5,77.77,75.92,76.25,1096817.0,76.539,7364
2020-12-01,76.66,77.5,76.35,76.91,1222791.0,77.004,8505
2020-12-02,75.81,77.08,75.35,77.03,2457242.0,76.272,15012
2020-12-03,76.79,76.79,75.4,75.91,1209028.0,76.025,7933
2020-12-04,75.83,76.54,75.01,75.31,2291215.0,75.604,14819
2020-12-07,75.53,75.66,74.6,74.84,1177172.0,75.058,8703
2020-12-08,74.6,75.29,74.12,74.56,1672648.0,74.759,10518
2020-12-09,74.52,74.91,73.55,74.24,1370867.0,74.199,8467
2020-12-10,74.23,74.5,73.06,73.35,1798950.0,73.456,12788
2020-12-11,72.96,74.11,72.89,73.16,1533389.0,73.457,8107
2020-12-14,73.65,74.27,72.3,72.41,1964627.0,73.164,12028
2020-12-15,72.79,73.57,72.36,73.0,1910126.0,73.036,10956
2020-12-16,73.06,73.49,71.55,71.75,2066072.0,72.174,12289
2020-12-17,72.1,72.87,71.6,71.62,1378407.0,72.191,9293
2020-12-18,71.86,72.49,70.67,71.15,2803764.0,71.669,12486
2020-12-21,70.68,70.95,69.28,69.95,1811905.0,69.733,11223
2020-12-22,70.0,70.0,69.29,69.65,1211054.0,69.574,7731
2020-12-23,70.01,71.25,69.88,70.07,1477815.0,70.504,8608
2020-12-24,70.23,70.46,69.65,70.44,577753.0,70.069,3610
2020-12-28,70.71,71.59,70.6,71.26,1340216.0,71.113,8233
2020-12-29,71.55,71.81,70.59,70.76,990956.0,71.046,6199
2020-12-30,70.77,71.25,70.59,71.02,932462.0,70.907,5448
2020-12-31,70.88,72.32,70.76,72.27,1183732.0,71.788,7900
2021-01-04,72.27,72.36,70.22,70.66,1359285.0,70.88,9116
2021-01-05,70.7,70.94,69.61,69.87,1307058.0,70.02,7961
2021-01-06,70.0,71.67,69.91,71.36,1473635.0,71.049,9417
2021-01-07,71.3,71.49,69.82,69.91,1541910.0,70.305,9399
2021-01-08,70.4,70.4,69.52,69.93,1507095.0,69.865,9359
2021-01-11,69.7,70.1,68.25,68.73,1543535.0,68.919,9414
2021-01-12,68.43,68.65,66.92,67.92,1748945.0,67.663,10936
2021-01-13,68.12,69.74,68.0,69.61,1164357.0,69.239,7425
2021-01-14,69.87,69.95,68.35,68.46,1753573.0,68.745,11126
2021-01-15,68.26,69.67,68.04,69.6,1274208.0,69.021,7363
2021-01-19,69.82,69.91,68.94,69.48,1172975.0,69.616,7759
2021-01-20,69.12,70.18,68.87,69.94,1542696.0,69.645,10320
2021-01-21,69.04,69.9,68.94,69.15,1167659.0,69.382,6819
2021-01-22,68.41,69.09,67.86,68.83,1374221.0,68.501,8812
2021-01-25,68.83,70.68,68.63,70.64,1631968.0,70.09,10901
2021-01-26,70.6,70.64,69.72,70.28,1037503.0,70.198,6844
2021-01-27,69.92,73.09,69.72,71.54,4375112.0,71.995,28347
2021-01-28,71.31,72.0,70.04,70.21,2519687.0,70.874,17796
2021-01-29,70.07,71.42,69.52,70.78,2392859.0,70.702,14954
2021-02-01,70.78,71.59,69.52,70.75,1512815.0,70.874,9468
2021-02-02,70.9,72.04,70.2,70.26,1401393.0,71.28,9165
2021-02-03,70.02,70.86,70.0,70.51,1100132.0,70.408,6710
2021-02-04,70.6,71.0,70.03,70.59,1469281.0,70.622,8692
2021-02-05,71.02,71.85,70.62,71.5,944043.0,71.449,5612
2021-02-08,71.78,71.96,71.03,71.28,1041045.0,71.395,6371
2021-02-09,71.52,71.64,70.47,71.35,942410.0,71.043,6352
2021-02-10,71.8,72.32,71.38,72.31,903583.0,71.905,6457
2021-02-11,72.31,72.42,71.66,71.82,1091537.0,71.925,7218
2021-02-12,71.87,72.09,70.7,71.06,1053082.0,71.156,5932
2021-02-16,70.26,70.49,69.4,70.05,1590737.0,69.823,9394
2021-02-17,70.16,70.52,69.69,70.16,1013552.0,70.096,6052
2021-02-18,70.0,70.45,69.8,70.02,2238855.0,70.148,12474
2021-02-19,69.51,69.65,67.94,68.18,2981331.0,68.406,16855
2021-02-22,67.75,68.08,66.63,67.97,2561597.0,67.394,14240
2021-02-23,68.57,68.7,67.31,67.67,2491467.0,67.976,13233
2021-02-24,67.74,67.9,66.64,66.65,2306537.0,67.02,12635
2021-02-25,66.7,67.35,66.61,67.15,1306132.0,67.006,6889
2021-02-26,67.19,67.62,65.64,65.65,1846783.0,66.528,11361
2021-03-01,66.13,67.6,66.06,67.04,3476357.0,67.297,9447
2021-03-02,67.13,67.65,66.31,67.08,1178860.0,67.093,7822
2021-03-03,66.83,67.62,66.4,67.43,1267241.0,67.001,8301
2021-03-04,67.5,69.03,66.79,66.96,1922584.0,67.737,12494
2021-03-05,67.36,68.67,66.82,68.3,2663221.0,67.724,16213
2021-03-08,68.82,70.05,68.33,69.5,2034943.0,69.394,13011
2021-03-09,69.1,69.97,68.85,69.69,2214223.0,69.314,13776
2021-03-10,69.82,71.02,69.44,70.37,1786034.0,70.472,11857
2021-03-11,69.93,70.56,69.56,69.82,1793513.0,70.055,12202
2021-03-12,70.38,71.37,70.18,70.94,1421219.0,70.932,9881
2021-03-15,71.26,72.22,71.23,71.82,1422122.0,71.759,9839
2021-03-16,71.3,72.31,71.22,72.08,1317270.0,71.955,9631
2021-03-17,72.32,72.93,71.73,71.79,1828375.0,72.311,13698
2021-03-18,71.92,72.82,71.54,72.22,1732136.0,72.181,12589
2021-03-19,72.58,72.87,71.68,72.3,1866463.0,72.387,10859
2021-03-22,71.81,72.25,71.4,72.05,1004411.0,71.846,7093
2021-03-23,71.94,73.4,71.88,73.24,1403165.0,72.907,9634
2021-03-24,72.76,73.94,72.55,73.43,1020914.0,73.509,7549
2021-03-25,73.93,74.74,73.35,74.27,1328976.0,74.187,9486
2021-03-26,73.9,74.5,73.45,74.44,985689.0,74.141,6704
2021-03-29,74.44,76.05,74.25,75.45,1035823.0,75.287,6527
2021-03-30,75.25,75.28,73.94,74.38,822883.0,74.424,5741
2021-03-31,74.12,74.94,74.1,74.8,1023631.0,74.557,7267
2021-04-01,74.51,74.74,73.82,74.29,1055985.0,74.163,6878
2021-04-05,74.4,75.54,74.36,75.28,859800.0,75.2,5834
2021-04-06,74.99,75.69,74.75,75.69,666808.0,75.323,4511
2021-04-07,75.59,76.07,74.94,75.31,842856.0,75.321,6050
2021-04-08,75.65,75.71,75.03,75.12,941359.0,75.303,6646
2021-04-09,75.0,75.6,75.0,75.17,917294.0,75.251,6641
2021-04-12,75.35,76.0,75.12,75.32,871975.0,75.384,5857
2021-04-13,75.01,76.06,74.82,75.87,1187843.0,75.619,8724
2021-04-14,75.57,76.18,75.32,76.16,659390.0,75.793,4660
2021-04-15,75.96,77.24,75.96,77.19,969559.0,76.837,6275
2021-04-16,77.45,78.48,77.38,78.21,1196084.0,78.092,7622
2021-04-19,78.48,78.57,77.64,78.35,991708.0,78.146,7044
2021-04-20,78.5,79.8,78.35,79.35,1105770.0,79.385,6721
2021-04-21,79.49,79.75,78.27,78.36,1191495.0,78.749,7791
2021-04-22,78.18,78.43,77.72,78.11,965453.0,78.182,7024
2021-04-23,78.1,78.28,77.39,77.45,883774.0,77.745,6132
2021-04-26,77.45,77.63,76.65,76.87,905534.0,76.886,5728
2021-04-27,76.9,76.94,76.12,76.19,1050777.0,76.485,6954
2021-04-28,76.52,76.69,75.82,76.21,771864.0,76.126,5750
2021-04-29,76.08,76.99,76.08,76.71,1099514.0,76.676,7440
2021-04-30,77.05,77.43,76.25,77.41,1016996.0,77.025,7652
2021-05-03,77.5,78.67,77.35,77.75,926584.0,78.026,6490
2021-05-04,77.92,78.63,77.57,78.12,969627.0,77.974,6411
2021-05-05,78.0,78.33,76.09,76.89,1091982.0,76.683,7694
2021-05-06,77.2,77.99,76.57,77.86,1157284.0,77.454,8883
2021-05-07,78.12,80.13,78.09,78.09,1811564.0,78.94,12716
2021-05-10,78.4,80.43,78.4,79.85,1486739.0,79.906,10127
2021-05-11,79.95,80.34,78.56,79.34,1240820.0,79.177,9144
2021-05-12,79.49,79.54,77.76,77.9,1095109.0,78.453,7576
2021-05-13,77.63,79.82,77.63,79.28,1049258.0,79.011,7042
2021-05-14,79.61,80.1,78.87,78.97,857824.0,79.31,5920
2021-05-17,79.08,79.91,78.72,78.73,1125216.0,79.115,6657
2021-05-18,77.88,78.1,77.24,77.74,1456729.0,77.697,10148
2021-05-19,77.69,78.06,77.12,77.98,1251948.0,77.629,8522
2021-05-20,78.13,79.34,78.13,78.42,1040290.0,78.816,7371
2021-05-21,78.48,79.08,78.35,78.96,820747.0,78.737,6207
2021-05-24,79.17,79.35,78.32,78.38,619319.0,78.717,4376
2021-05-25,78.4,78.43,77.29,77.81,677115.0,77.797,4868
2021-05-26,77.66,78.23,77.56,78.0,851569.0,77.961,6013
2021-05-27,78.0,78.07,76.51,76.87,1258929.0,77.235,8349
2021-05-28,77.19,77.49,76.98,77.24,895539.0,77.292,6075
2021-06-01,77.46,77.49,76.4,76.43,1106704.0,76.687,7009
2021-06-02,76.51,77.45,76.28,76.79,1757513.0,76.818,11780
2021-06-03,76.61,77.45,76.46,77.26,1439426.0,77.049,9741
2021-06-04,77.55,77.78,77.22,77.24,848786.0,77.454,6128
2021-06-07,77.41,77.55,77.14,77.31,490870.0,77.303,3550
2021-06-08,77.26,77.39,76.2,76.29,788433.0,76.422,5338
2021-06-09,76.54,76.94,76.31,76.88,685857.0,76.769,4936
2021-06-10,76.88,77.25,76.59,77.04,667665.0,77.069,4637
2021-06-11,77.0,77.33,76.68,77.23,731400.0,77.088,5307
2021-06-14,77.19,77.83,76.95,77.75,690571.0,77.44,5110
2021-06-15,77.75,78.49,77.3,77.75,1211220.0,77.881,8044
2021-06-16,77.17,77.61,76.14,76.22,2093550.0,76.942,13616
2021-06-17,76.28,76.67,75.99,76.28,1767782.0,76.404,10786
2021-06-18,76.05,76.05,74.38,74.49,1744254.0,75.192,8786
2021-06-21,74.62,75.34,74.41,75.19,1144531.0,75.072,7525
2021-06-22,75.07,75.38,74.39,74.46,916755.0,74.856,6239
2021-06-23,74.42,74.49,73.04,73.47,1360206.0,73.529,7718
2021-06-24,73.46,73.62,73.06,73.43,929329.0,73.406,5800
2021-06-25,73.37,73.95,73.27,73.87,1020706.0,73.634,7254
2021-06-28,73.87,74.33,73.59,73.82,986292.0,73.896,6048
2021-06-29,73.55,73.68,71.85,72.05,1578673.0,72.586,10601
2021-06-30,72.1,72.25,71.55,71.72,1368677.0,71.805,8855
2021-07-01,71.87,72.73,71.17,72.54,1571751.0,72.303,10029
2021-07-02,72.75,72.75,72.2,72.47,679490.0,72.408,4444
2021-07-06,72.38,72.98,71.57,72.94,1110358.0,72.418,7183
2021-07-07,72.73,73.35,72.4,73.34,905678.0,73.098,6303
2021-07-08,73.44,74.15,73.04,73.36,1396743.0,73.448,9855
2021-07-09,73.6,73.83,72.77,73.3,879980.0,73.171,5985
2021-07-12,73.23,73.65,72.85,73.36,615993.0,73.324,4074
2021-07-13,73.28,73.54,72.5,72.63,1229047.0,72.844,8393
2021-07-14,72.46,73.42,72.07,73.19,1452657.0,72.966,10231
2021-07-15,73.18,74.38,73.01,74.36,1375405.0,73.917,8161
2021-07-16,74.5,75.26,74.25,74.93,1391469.0,74.947,8907
2021-07-19,74.83,75.65,72.93,73.77,1423519.0,74.002,10065
2021-07-20,72.6,74.63,72.6,73.57,1738506.0,73.752,10538
2021-07-21,73.61,73.93,72.7,72.78,862016.0,73.181,5989
2021-07-22,72.85,73.27,72.44,73.04,1165827.0,72.906,7085
2021-07-23,73.23,74.21,73.1,74.18,921087.0,73.774,5558
2021-07-26,74.24,74.51,73.63,73.96,787548.0,73.971,5411
2021-07-27,73.87,75.7,73.43,75.53,1034298.0,75.114,6982
2021-07-28,75.51,75.6,74.01,74.59,867418.0,74.64,6255
2021-07-29,74.57,74.8,74.04,74.52,813302.0,74.497,5943
2021-07-30,74.68,75.32,73.46,73.77,1877434.0,74.011,11905
2021-08-02,73.97,74.77,73.94,74.5,884541.0,74.375,6506
2021-08-03,74.5,75.46,74.2,74.85,841704.0,74.855,6430
2021-08-04,74.52,74.94,73.93,74.87,1092814.0,74.482,7831
2021-08-05,74.71,75.32,74.18,75.32,1092984.0,74.815,8074
2021-08-06,75.3,76.31,74.36,75.52,1504728.0,75.79,9645
2021-08-09,75.79,76.1,75.36,76.07,902985.0,75.726,6504
2021-08-10,76.2,76.76,75.74,76.4,1116789.0,76.416,7862
2021-08-11,76.54,77.33,76.47,77.12,956609.0,77.055,6253
2021-08-12,77.28,77.85,77.03,77.25,1329593.0,77.348,8376
