date,open,high,low,close,volume,average,barCount
2020-07-13,56.0,56.37,55.11,55.98,1707775.0,55.869,11452
2020-07-14,56.22,57.32,55.98,56.67,1698198.0,56.823,11886
2020-07-15,57.33,57.59,55.06,55.28,1751637.0,55.896,11449
2020-07-16,55.36,56.63,55.14,56.09,1084074.0,56.188,7602
2020-07-17,56.5,56.64,55.93,56.36,1234785.0,56.206,6679
2020-07-20,56.06,56.06,54.76,54.89,1295159.0,55.059,8095
2020-07-21,55.16,56.35,54.92,55.95,1494812.0,55.799,9028
2020-07-22,55.73,56.99,55.44,56.71,989224.0,56.679,6701
2020-07-23,56.69,57.13,56.05,56.66,835820.0,56.618,6154
2020-07-24,56.72,57.25,55.57,56.02,1049474.0,56.209,6338
2020-07-27,55.76,55.93,52.9,53.16,2551799.0,53.677,15861
2020-07-28,53.2,55.73,53.2,55.11,1286188.0,55.127,9717
2020-07-29,54.72,55.18,53.16,53.78,1599719.0,53.746,8582
2020-07-30,53.37,55.07,53.02,54.87,1424855.0,54.358,9885
2020-07-31,54.47,55.73,54.47,55.67,1960506.0,55.18,11675
2020-08-03,55.33,55.37,53.5,53.93,1950356.0,53.994,12908
2020-08-04,53.62,55.34,53.62,54.7,1212008.0,54.683,8396
2020-08-05,54.8,54.8,53.36,53.61,1235891.0,53.756,7265
2020-08-06,53.58,53.96,53.15,53.87,1320947.0,53.61,8182
2020-08-07,53.68,55.11,53.67,54.61,1088073.0,54.417,7960
2020-08-10,54.69,55.17,54.2,54.25,987089.0,54.547,7025
2020-08-11,53.97,54.87,53.4,53.58,1075880.0,53.938,7637
2020-08-12,54.0,54.68,53.2,54.53,1350159.0,54.192,9044
2020-08-13,54.42,54.42,52.62,53.61,1885310.0,53.29,11665
2020-08-14,53.27,53.51,52.28,52.69,1693366.0,52.698,11203
2020-08-17,52.62,52.74,51.45,51.78,1529839.0,51.836,10260
2020-08-18,51.83,52.03,51.1,51.49,1711428.0,51.544,9901
2020-08-19,51.63,52.67,51.22,52.25,1620375.0,51.887,7583
2020-08-20,51.89,52.14,50.97,51.24,1336244.0,51.506,7406
2020-08-21,51.43,51.46,50.39,51.26,1735330.0,50.96,8329
2020-08-24,51.36,52.37,50.93,52.34,859639.0,51.766,5484
2020-08-25,52.39,52.48,51.6,52.0,837704.0,51.928,5176
2020-08-26,51.68,51.77,50.68,51.09,1109980.0,51.118,5822
2020-08-27,51.25,51.98,51.16,51.75,996447.0,51.605,7330
2020-08-28,52.12,52.28,51.59,52.17,1001844.0,51.962,6347
2020-08-31,51.88,52.64,51.82,52.48,1097116.0,52.351,6895
2020-09-01,52.15,52.27,51.52,51.81,1107829.0,51.864,7074
2020-09-02,51.94,52.89,51.72,52.57,1814977.0,52.5,11531
2020-09-03,52.89,53.58,52.38,52.96,1398469.0,53.011,9562
2020-09-04,53.07,53.27,51.44,52.26,1265004.0,52.343,8384
2020-09-08,52.43,52.53,51.13,51.37,1695197.0,51.564,10288
2020-09-09,51.7,52.29,51.04,51.54,1568779.0,51.835,10240
2020-09-10,51.42,51.57,50.5,50.5,2195026.0,50.975,8684
2020-09-11,50.62,50.64,49.9,50.63,1891980.0,50.245,10938
2020-09-14,50.82,51.77,50.51,51.65,1095204.0,51.47,6957
2020-09-15,51.87,52.86,51.22,51.51,1269181.0,52.053,8458
2020-09-16,51.42,52.89,51.37,52.54,2087550.0,52.315,13259
2020-09-17,52.08,52.68,51.59,52.63,1298028.0,52.34,9275
2020-09-18,52.39,52.93,51.19,51.42,2133346.0,51.834,13472
2020-09-21,50.74,50.85,49.15,49.7,1373119.0,49.835,9474
2020-09-22,49.52,50.78,49.44,50.42,1411501.0,50.26,9124
2020-09-23,50.57,50.61,48.47,49.3,1837083.0,49.433,11003
2020-09-24,49.4,51.09,48.94,50.84,2057422.0,50.244,13030
2020-09-25,50.31,51.73,50.2,51.65,1785927.0,51.233,10942
2020-09-28,52.01,52.64,51.46,51.89,1517930.0,52.101,9715
2020-09-29,51.42,51.7,50.93,51.02,931594.0,51.235,6333
2020-09-30,51.44,51.63,50.51,50.84,1344353.0,50.987,9166
2020-10-01,50.8,51.14,50.26,50.44,1545846.0,50.603,9611
2020-10-02,50.12,51.55,50.0,51.5,2040804.0,51.18,12793
2020-10-05,51.76,52.86,51.59,52.61,1657442.0,52.309,8977
2020-10-06,52.7,55.12,52.3,53.86,1819389.0,53.797,11430
2020-10-07,54.11,55.17,54.07,54.94,1143788.0,54.764,8084
2020-10-08,54.98,56.13,54.95,56.1,1876457.0,55.76,6731
2020-10-09,56.6,56.73,55.78,56.09,1075781.0,56.213,7330
2020-10-12,56.16,56.59,55.65,56.27,780445.0,56.254,5395
2020-10-13,55.7,56.43,55.53,56.28,848456.0,56.007,5697
2020-10-14,56.34,56.84,55.65,56.24,712748.0,56.169,4528
2020-10-15,55.61,57.45,55.53,56.81,802580.0,56.745,5308
2020-10-16,56.82,58.55,56.62,58.11,1457399.0,57.97,7601
2020-10-19,57.96,58.35,57.45,58.26,868954.0,57.953,5749
2020-10-20,58.86,59.99,58.51,59.75,1368148.0,59.575,9504
2020-10-21,59.53,59.79,58.94,59.05,1250177.0,59.393,8378
2020-10-22,59.03,60.08,58.59,59.89,923253.0,59.635,5576
2020-10-23,60.34,60.86,60.03,60.49,1104384.0,60.404,7378
2020-10-26,59.98,60.11,56.18,58.19,2818396.0,58.377,17845
2020-10-27,57.99,58.55,57.32,57.81,1354398.0,58.028,8024
2020-10-28,58.0,59.09,56.54,56.56,1518159.0,57.606,10315
2020-10-29,56.12,56.78,55.06,56.07,1589930.0,56.16,10300
2020-10-30,55.78,56.55,54.83,56.04,846220.0,55.665,5461
2020-11-02,56.4,57.59,56.0,57.55,744153.0,57.067,5024
2020-11-03,58.14,59.25,58.09,58.41,907037.0,58.524,5830
2020-11-04,57.93,59.42,57.39,57.43,883660.0,58.382,6385
2020-11-05,58.11,59.71,57.99,59.38,951704.0,59.237,6567
