date,open,high,low,close,volume,average,barCount
2020-07-13,190.76,193.24,189.2,189.74,401868.0,191.45,3249
2020-07-14,189.02,196.16,188.67,195.88,846279.0,193.302,7168
2020-07-15,198.89,201.53,197.98,199.53,1011461.0,200.041,7705
2020-07-16,199.2,199.45,197.39,199.14,480754.0,198.582,3973
2020-07-17,200.1,200.23,197.38,198.0,494058.0,198.613,3601
2020-07-20,197.2,197.27,195.2,196.34,371434.0,196.177,2956
2020-07-21,197.53,197.91,194.16,194.47,443399.0,195.757,3422
2020-07-22,194.34,195.87,193.26,195.57,373439.0,194.916,3114
2020-07-23,196.78,197.65,193.45,194.1,386165.0,195.128,3060
2020-07-24,192.46,193.99,190.29,191.75,567904.0,191.83,4300
2020-07-27,192.34,193.54,191.05,192.84,489745.0,192.517,4075
2020-07-28,191.65,193.21,190.44,192.6,564083.0,192.282,4324
2020-07-29,192.6,193.37,190.32,190.88,891946.0,191.993,6584
2020-07-30,189.59,193.87,187.75,193.03,1157215.0,191.387,8277
2020-07-31,193.03,197.79,192.35,197.54,1007000.0,195.201,7801
2020-08-03,199.16,199.68,197.45,198.17,561006.0,198.495,4341
2020-08-04,198.23,200.0,196.42,199.42,487710.0,198.619,3648
2020-08-05,200.0,202.4,199.02,201.24,679562.0,200.446,4828
2020-08-06,200.86,200.86,197.4,199.24,582997.0,198.995,4593
2020-08-07,198.87,200.49,198.23,199.99,777806.0,199.422,5825
2020-08-10,199.55,205.0,199.1,204.49,610302.0,203.468,3326
2020-08-11,206.07,208.32,205.64,207.26,679696.0,207.272,5057
2020-08-12,208.0,212.8,206.69,211.5,905111.0,210.998,6893
2020-08-13,214.0,217.32,212.26,213.37,844043.0,213.6,6207
2020-08-14,211.88,212.75,211.38,212.09,496752.0,212.069,3908
2020-08-17,213.98,214.52,212.42,213.97,486542.0,213.584,3542
2020-08-18,213.15,214.67,212.61,213.29,518791.0,213.774,3863
2020-08-19,213.11,214.35,210.84,212.5,667748.0,212.867,5106
2020-08-20,197.86,200.0,194.14,198.27,3202789.0,197.184,22101
2020-08-21,201.78,207.93,200.56,207.01,1947247.0,205.521,13669
2020-08-24,211.77,215.69,210.92,212.57,1095909.0,212.799,8618
2020-08-25,213.13,215.56,210.82,215.43,588713.0,213.93,4405
2020-08-26,215.0,217.85,214.78,216.68,820070.0,216.575,5993
2020-08-27,216.8,217.98,215.85,216.41,661397.0,216.733,4580
2020-08-28,216.2,223.54,216.2,222.93,926302.0,220.896,6154
2020-08-31,223.41,224.23,219.29,221.72,1260091.0,221.189,7170
2020-09-01,218.85,222.62,217.96,220.99,1261178.0,220.562,6511
2020-09-02,221.8,223.15,221.4,221.96,783615.0,222.104,5768
2020-09-03,222.21,223.28,216.31,218.06,930199.0,218.891,6575
2020-09-04,218.79,218.79,212.15,216.22,952969.0,215.323,7094
2020-09-08,213.73,216.94,212.6,216.02,865611.0,215.336,5778
2020-09-09,217.1,220.22,216.73,218.51,860059.0,218.968,6002
2020-09-10,219.54,220.56,213.95,214.6,587420.0,217.435,4009
2020-09-11,216.19,216.68,213.28,214.69,488347.0,214.995,3487
2020-09-14,216.5,219.74,216.07,217.41,370840.0,218.296,2902
2020-09-15,219.06,220.28,217.59,217.76,395643.0,218.592,2840
2020-09-16,218.28,219.8,217.18,217.26,367614.0,218.264,2941
2020-09-17,215.49,218.09,214.4,215.71,263665.0,215.921,1981
2020-09-18,213.98,215.95,211.39,212.39,519673.0,213.616,2760
2020-09-21,209.5,211.36,204.23,207.83,492220.0,206.806,3814
2020-09-22,209.03,211.41,207.73,209.83,445074.0,209.212,3315
2020-09-23,210.89,211.72,207.34,207.63,352414.0,209.581,2627
2020-09-24,206.78,212.65,205.38,210.46,501313.0,209.788,4227
2020-09-25,209.2,215.53,208.86,215.2,500007.0,213.454,3813
2020-09-28,217.11,217.86,214.97,215.75,376128.0,216.199,2927
2020-09-29,217.87,217.9,212.73,214.78,621907.0,214.902,4574
2020-09-30,215.81,219.97,215.38,218.25,498025.0,217.786,4132
2020-10-01,219.69,220.57,217.33,219.53,479652.0,219.257,3929
2020-10-02,217.15,220.76,215.79,218.76,389516.0,219.036,3226
2020-10-05,221.66,223.06,220.14,222.05,463251.0,222.075,3582
2020-10-06,222.0,223.02,216.84,217.66,485109.0,219.901,3475
2020-10-07,219.42,222.14,219.06,221.48,338247.0,220.841,2697
2020-10-08,222.24,224.81,221.3,224.21,409877.0,223.688,2829
2020-10-09,224.58,226.27,222.51,224.6,391208.0,224.399,2350
2020-10-12,226.43,228.6,224.6,227.02,433188.0,226.962,3343
2020-10-13,224.13,225.22,222.01,223.02,483752.0,223.424,3631
2020-10-14,225.82,225.82,221.47,222.84,462541.0,223.09,3210
2020-10-15,221.46,223.65,220.35,221.88,491799.0,221.749,3662
2020-10-16,223.46,225.63,222.58,224.13,417210.0,224.399,2697
2020-10-19,224.62,226.3,221.37,222.34,362777.0,223.14,2439
2020-10-20,223.95,227.66,222.71,225.72,310945.0,225.917,2581
2020-10-21,226.7,233.82,225.67,232.65,789734.0,230.797,5628
2020-10-22,232.08,234.76,230.86,232.62,522320.0,232.784,3808
2020-10-23,234.02,235.84,232.46,235.23,412637.0,234.723,2996
2020-10-26,232.24,233.02,227.29,232.17,618581.0,230.296,4370
2020-10-27,233.52,233.52,230.35,231.05,539962.0,232.033,3771
2020-10-28,226.81,227.6,220.4,220.55,599080.0,223.116,4913
2020-10-29,220.55,225.31,219.12,223.14,632071.0,223.68,5133
2020-10-30,221.5,224.9,216.25,219.66,740435.0,219.738,5711
2020-11-02,233.54,237.82,220.42,223.85,1543117.0,225.976,11614
2020-11-03,226.06,227.55,221.46,224.79,1038772.0,224.203,8066
2020-11-04,226.83,230.91,225.46,227.75,543505.0,229.019,4393
2020-11-05,231.0,237.63,229.74,236.86,806783.0,235.788,6181
2020-11-06,238.11,239.86,235.33,238.64,545349.0,237.882,4299
2020-11-09,248.97,256.07,246.0,246.21,1229063.0,250.81,9324
2020-11-10,246.72,250.23,246.2,247.35,958938.0,248.473,7570
2020-11-11,249.39,251.08,247.45,248.23,633883.0,248.908,4766
2020-11-12,247.88,250.78,246.94,249.49,500642.0,248.764,4035
2020-11-13,250.0,255.6,249.61,255.11,480629.0,253.298,3800
2020-11-16,258.75,259.78,252.87,258.34,828428.0,255.819,6049
2020-11-17,255.22,259.47,254.14,256.95,566446.0,256.64,4475
2020-11-18,257.42,257.75,250.23,250.32,716874.0,253.564,4542
2020-11-19,245.95,246.87,238.93,241.92,1702670.0,242.147,11788
2020-11-20,242.37,244.37,240.05,240.56,714448.0,241.22,5406
2020-11-23,241.49,241.94,237.61,239.7,875160.0,239.528,6589
2020-11-24,241.03,246.71,240.65,245.81,891100.0,244.208,6908
2020-11-25,247.21,248.83,246.37,246.85,632402.0,247.244,4795
2020-11-27,246.36,247.05,242.02,245.94,332563.0,244.543,2591
2020-11-30,243.83,245.98,240.25,245.32,780998.0,242.897,6215
2020-12-01,250.24,250.85,245.54,247.17,634384.0,247.323,4838
2020-12-02,245.1,247.35,244.21,245.32,538718.0,245.411,4288
2020-12-03,244.38,248.12,244.12,245.46,538698.0,245.629,3810
2020-12-04,245.93,246.61,241.56,244.12,619058.0,243.604,4581
2020-12-07,242.89,246.1,242.23,245.76,572146.0,244.824,3822
2020-12-08,244.78,249.03,244.22,248.48,596507.0,247.803,4774
2020-12-09,248.09,249.32,245.32,246.65,768922.0,246.546,3860
2020-12-10,246.92,248.56,245.34,246.53,609181.0,247.002,4776
2020-12-11,245.76,247.95,243.99,245.75,402861.0,245.543,3265
2020-12-14,248.4,249.76,246.87,247.45,688612.0,248.134,4948
2020-12-15,250.06,252.13,247.5,250.4,692976.0,249.851,5549
2020-12-16,251.54,259.17,250.46,258.68,1047237.0,256.875,7649
2020-12-17,258.62,265.55,258.62,263.83,1420687.0,263.48,8611
2020-12-18,265.19,267.04,259.3,261.31,1202515.0,262.764,7198
2020-12-21,256.72,257.54,250.79,254.52,1112326.0,253.167,7109
2020-12-22,254.95,258.96,254.55,257.46,383863.0,257.179,3270
2020-12-23,259.0,261.81,256.94,259.63,315727.0,259.915,2499
2020-12-24,261.32,261.63,259.93,260.95,155726.0,260.787,1267
2020-12-28,264.37,264.85,262.44,263.82,337514.0,263.739,2657
2020-12-29,266.95,267.2,262.67,262.75,410027.0,264.514,3123
2020-12-30,263.41,264.28,261.85,262.62,297215.0,262.848,2259
2020-12-31,262.92,266.66,262.01,266.19,352206.0,265.162,2568
2021-01-04,261.05,264.65,253.51,254.99,1008268.0,256.583,7186
2021-01-05,254.99,258.96,254.96,258.83,686273.0,256.692,5212
2021-01-06,256.52,261.31,256.3,258.34,605224.0,259.119,4196
2021-01-07,261.1,261.55,256.89,258.27,456474.0,258.812,3451
2021-01-08,260.03,261.07,257.45,260.73,540106.0,259.344,3974
2021-01-11,258.7,259.7,256.03,258.11,568779.0,257.648,3719
