date,open,high,low,close,volume,average,barCount
2020-07-13,71.11,72.52,70.38,71.42,675798.0,71.739,4748
2020-07-14,71.05,73.17,71.01,73.02,641201.0,72.484,4888
2020-07-15,74.34,75.55,73.88,75.23,823260.0,74.914,6218
2020-07-16,75.0,76.0,74.41,75.65,527498.0,75.405,3927
2020-07-17,76.02,76.2,75.04,75.89,549082.0,75.712,4201
2020-07-20,75.26,75.99,74.37,74.99,626408.0,75.032,4840
2020-07-21,75.05,76.57,75.05,76.21,535217.0,75.968,4287
2020-07-22,76.02,76.69,75.69,76.6,307407.0,76.179,2500
2020-07-23,76.32,77.1,75.5,76.48,322060.0,76.412,2478
2020-07-24,76.6,77.3,76.08,76.64,426966.0,76.583,3532
2020-07-27,76.63,78.96,75.91,78.42,609905.0,78.262,5065
2020-07-28,77.81,78.14,76.08,76.36,549356.0,76.601,4317
2020-07-29,76.77,77.56,76.23,77.43,402847.0,77.008,3257
2020-07-30,76.14,76.14,74.33,74.94,435946.0,74.917,3600
2020-07-31,74.79,75.05,73.5,74.63,572686.0,74.055,4561
2020-08-03,74.99,75.99,74.19,75.17,570277.0,75.502,4520
2020-08-04,72.85,72.95,69.64,71.08,1313751.0,71.066,10304
2020-08-05,71.25,73.62,71.25,72.56,888100.0,72.422,6691
2020-08-06,72.2,72.53,71.55,71.92,488007.0,72.04,4183
2020-08-07,71.55,73.06,71.0,73.06,384139.0,72.049,3057
2020-08-10,72.77,74.54,72.77,74.25,631087.0,73.9,4645
2020-08-11,75.49,76.47,74.94,75.18,460210.0,75.52,3561
2020-08-12,75.5,75.95,73.49,73.58,701435.0,73.946,5629
2020-08-13,73.31,74.03,72.87,73.37,337935.0,73.546,2885
2020-08-14,72.76,73.55,72.52,73.29,198875.0,73.206,1594
2020-08-17,73.12,73.95,71.68,72.4,741627.0,72.798,4845
2020-08-18,72.44,73.08,71.86,71.9,277917.0,72.423,2097
2020-08-19,72.2,72.45,71.52,71.88,254286.0,71.973,1646
2020-08-20,71.17,71.92,71.06,71.45,271931.0,71.453,2119
2020-08-21,71.26,71.64,70.5,70.8,379965.0,70.968,2818
2020-08-24,71.46,73.43,71.35,73.34,382928.0,72.75,2470
2020-08-25,73.58,74.55,73.01,73.46,865501.0,73.782,5828
2020-08-26,73.37,74.1,73.11,73.28,327476.0,73.427,2261
2020-08-27,73.43,74.2,72.55,73.89,425960.0,73.605,3014
2020-08-28,74.17,74.59,72.6,74.43,331578.0,73.884,2672
2020-08-31,74.5,74.58,72.98,73.11,482358.0,73.403,3490
2020-09-01,72.69,76.64,72.02,76.61,754782.0,75.294,5678
2020-09-02,76.99,79.27,76.11,79.09,810942.0,78.167,5941
2020-09-03,78.68,78.98,76.48,77.64,979210.0,77.606,7700
2020-09-04,78.65,79.43,77.54,78.93,937890.0,78.478,6511
2020-09-08,77.92,78.46,76.44,77.54,765589.0,77.535,5384
2020-09-09,78.28,80.17,78.07,79.8,548169.0,79.486,4426
2020-09-10,79.81,80.19,78.18,78.5,719691.0,78.766,5137
2020-09-11,79.05,80.05,78.24,80.0,638024.0,79.476,4982
2020-09-14,80.2,81.01,79.33,81.0,895514.0,80.305,6100
2020-09-15,80.94,81.32,79.59,80.15,872705.0,80.142,6412
2020-09-16,80.62,83.57,80.23,82.75,915703.0,82.808,6970
2020-09-17,82.28,86.32,80.99,85.48,1002799.0,84.955,7398
2020-09-18,84.41,85.44,83.03,83.83,896939.0,84.377,5990
2020-09-21,82.39,82.51,79.8,80.57,808090.0,80.774,6351
2020-09-22,80.47,81.01,77.87,79.01,571531.0,78.908,4360
2020-09-23,78.9,79.65,76.86,77.01,523403.0,77.871,3572
2020-09-24,76.92,77.66,75.72,77.04,487070.0,76.857,4046
2020-09-25,76.35,77.56,76.01,77.3,338850.0,77.055,2793
2020-09-28,78.44,79.43,78.11,78.51,436623.0,78.672,3531
2020-09-29,78.4,78.96,76.91,77.15,308937.0,77.593,2503
2020-09-30,77.45,79.13,77.45,78.12,688093.0,78.485,4817
2020-10-01,78.28,78.76,76.01,76.31,470005.0,77.046,3779
2020-10-02,75.01,78.99,74.84,78.17,533587.0,78.095,3795
2020-10-05,78.89,81.01,78.82,80.51,460697.0,80.44,3632
2020-10-06,81.24,82.9,79.93,80.25,499834.0,81.391,3675
2020-10-07,81.82,84.24,81.82,83.52,429700.0,83.447,2937
2020-10-08,84.0,85.44,83.7,85.4,411093.0,84.778,2867
2020-10-09,86.07,86.72,85.45,86.16,405660.0,86.15,3236
2020-10-12,86.66,86.66,85.18,85.85,407451.0,85.749,3000
2020-10-13,84.9,85.12,83.35,84.52,391578.0,84.396,2616
2020-10-14,84.82,85.95,84.67,85.61,181523.0,85.553,1443
2020-10-15,84.5,86.15,83.96,86.13,306410.0,85.408,2103
2020-10-16,86.54,87.21,85.98,86.49,254527.0,86.644,1812
2020-10-19,86.91,88.04,85.62,85.78,397416.0,86.709,2618
2020-10-20,86.49,87.91,86.35,86.64,220963.0,87.125,1712
2020-10-21,86.24,87.35,85.14,85.35,234993.0,85.9,1673
2020-10-22,85.84,86.26,83.24,86.1,405924.0,85.396,3310
2020-10-23,86.78,87.63,86.14,87.32,401584.0,87.169,3137
2020-10-26,85.68,85.95,83.65,84.82,362815.0,84.654,2983
2020-10-27,84.54,84.71,82.16,82.45,503961.0,82.92,4264
2020-10-28,80.16,81.05,78.88,80.27,538682.0,80.082,4416
2020-10-29,80.15,82.64,79.38,81.89,567831.0,81.715,4421
2020-10-30,80.41,83.29,79.31,80.84,546113.0,80.518,4486
2020-11-02,82.3,84.28,81.37,83.32,636247.0,83.339,3500
2020-11-03,84.79,85.25,83.13,84.63,360839.0,84.258,2728
2020-11-04,84.18,84.56,81.29,82.91,493039.0,83.266,3504
2020-11-05,83.82,87.45,83.81,86.42,277549.0,86.579,2156
2020-11-06,86.78,86.9,84.74,85.03,292594.0,85.64,2274
2020-11-09,90.1,93.1,89.27,90.34,746253.0,90.846,4843
