date,open,high,low,close,volume,average,barCount
2020-07-13,60.06,61.94,59.88,60.83,2324209.0,61.008,15232
2020-07-14,60.35,62.27,59.83,62.09,1924917.0,61.503,14009
2020-07-15,63.48,63.96,62.57,63.63,1449618.0,63.384,10479
2020-07-16,63.24,64.1,62.79,63.14,1765426.0,63.391,12149
2020-07-17,63.61,63.92,63.21,63.53,1499757.0,63.487,8584
2020-07-20,62.83,63.38,62.04,62.35,1315172.0,62.445,9270
2020-07-21,63.11,64.26,63.0,63.79,1723582.0,63.832,12213
2020-07-22,63.54,64.02,63.18,63.96,1472917.0,63.659,10057
2020-07-23,63.9,64.34,63.63,64.01,1106503.0,63.996,7570
2020-07-24,64.24,64.33,63.23,63.36,898696.0,63.661,6321
2020-07-27,63.16,63.61,62.75,63.41,1734546.0,63.374,11751
2020-07-28,63.08,63.42,62.19,62.27,1772262.0,62.569,13327
2020-07-29,62.76,63.89,62.42,63.74,1634375.0,63.273,10497
2020-07-30,62.79,62.93,61.65,62.65,1518993.0,62.344,10321
2020-07-31,62.31,62.33,60.78,62.01,1890951.0,61.365,13854
2020-08-03,62.37,63.65,62.22,62.77,1898030.0,63.04,12707
2020-08-04,62.79,63.62,61.4,61.93,2641197.0,62.109,19114
2020-08-05,63.13,64.97,62.79,64.69,2293793.0,64.506,13918
2020-08-06,65.0,65.32,64.56,65.12,1450272.0,64.944,9250
2020-08-07,65.34,66.41,64.66,66.37,2514306.0,65.593,16322
2020-08-10,66.41,68.55,66.39,68.17,2155314.0,67.804,13996
2020-08-11,69.94,71.54,69.91,70.29,4369027.0,70.692,28222
2020-08-12,70.95,71.91,70.31,71.79,4850849.0,71.395,28227
2020-08-13,70.64,71.21,69.98,70.2,2670416.0,70.591,17094
2020-08-14,69.55,70.31,69.4,69.73,1311821.0,69.846,9113
2020-08-17,69.92,70.51,69.04,69.25,907960.0,69.497,5946
2020-08-18,68.91,69.44,68.29,68.36,1602600.0,68.683,10945
2020-08-19,68.65,68.86,67.9,68.32,1342503.0,68.457,8736
2020-08-20,67.68,67.97,67.41,67.66,2067972.0,67.661,12751
2020-08-21,67.79,68.04,67.41,67.86,1121292.0,67.744,7200
2020-08-24,68.23,69.65,67.94,69.65,1833347.0,68.956,11467
2020-08-25,70.29,70.49,69.11,69.78,1448914.0,69.702,9256
2020-08-26,69.87,70.71,69.04,70.27,2087925.0,70.111,12200
2020-08-27,70.72,71.19,69.13,69.59,1427095.0,69.835,9562
2020-08-28,69.61,70.94,69.27,70.65,1391410.0,70.298,9774
2020-08-31,70.5,70.59,69.26,69.47,1248344.0,69.618,8499
2020-09-01,69.46,70.17,69.04,70.13,1670593.0,69.7,9243
2020-09-02,69.79,70.98,69.71,70.7,1860348.0,70.485,12780
2020-09-03,70.85,71.08,68.18,68.74,1405504.0,69.125,9438
2020-09-04,69.76,70.55,68.65,69.54,1467569.0,69.657,9725
2020-09-08,68.7,69.04,67.6,67.76,1558562.0,68.187,11305
2020-09-09,68.58,69.54,68.3,68.7,966118.0,68.959,6774
2020-09-10,68.86,69.17,67.2,67.51,1254774.0,67.976,8576
2020-09-11,67.91,68.48,67.49,67.92,1521649.0,67.995,11134
2020-09-14,68.43,68.82,67.73,68.19,1688503.0,68.196,11611
2020-09-15,68.52,69.54,68.34,68.41,1483509.0,68.786,8938
2020-09-16,68.93,69.32,67.52,68.68,2280419.0,68.558,14529
2020-09-17,67.93,69.38,67.23,69.09,1643443.0,68.825,9110
2020-09-18,68.73,69.62,67.75,67.85,1464418.0,68.601,7937
2020-09-21,66.64,66.89,64.14,64.98,1505199.0,64.915,9795
2020-09-22,64.84,65.68,64.49,65.23,1322647.0,65.087,8909
2020-09-23,65.58,66.32,63.74,63.89,995348.0,64.701,7030
2020-09-24,63.71,65.1,63.16,64.39,1076900.0,64.22,7031
2020-09-25,63.69,64.64,63.61,64.33,1142355.0,64.269,7522
2020-09-28,65.39,66.23,65.19,65.52,1309768.0,65.779,8946
2020-09-29,65.74,65.95,64.71,65.16,910017.0,65.312,5773
2020-09-30,65.64,66.64,65.03,65.57,1554023.0,65.947,10280
2020-10-01,66.23,66.34,64.16,64.63,1414274.0,64.896,9458
2020-10-02,63.38,66.31,63.26,65.54,1319011.0,65.505,8948
2020-10-05,66.37,67.84,66.3,67.59,1302074.0,67.44,8248
2020-10-06,67.78,69.13,67.17,67.28,1379133.0,68.116,9263
2020-10-07,68.21,69.07,67.87,68.88,1063235.0,68.6,7148
2020-10-08,69.23,69.58,68.7,69.28,851169.0,69.166,5983
2020-10-09,70.0,71.2,69.9,69.95,1969625.0,70.41,13270
