date,open,high,low,close,volume,average,barCount
2020-07-13,56.25,58.06,52.12,52.32,3314749.0,55.582,17280
2020-07-14,52.8,55.99,51.33,55.88,3382413.0,54.16,17934
2020-07-15,57.01,58.18,55.34,57.95,2846984.0,56.897,14836
2020-07-16,57.21,58.25,56.39,57.74,2282303.0,57.434,12502
2020-07-17,57.97,59.75,57.74,59.31,2566691.0,59.167,13173
2020-07-20,59.9,64.06,59.75,63.54,2811452.0,62.719,15325
2020-07-21,64.06,64.7,59.68,61.1,3392367.0,61.53,18188
2020-07-22,61.37,63.49,60.96,62.08,2135467.0,62.318,12298
2020-07-23,62.46,65.43,60.3,61.67,3232376.0,63.123,17561
2020-07-24,60.38,60.5,56.28,59.65,2888235.0,58.982,14565
2020-07-27,61.01,62.93,60.35,62.22,2488082.0,61.686,14583
2020-07-28,61.84,61.84,57.05,57.23,2951183.0,59.093,15144
2020-07-29,58.02,60.36,57.71,59.12,2510331.0,59.263,14159
2020-07-30,58.15,59.25,57.6,59.14,1033498.0,58.663,5805
2020-07-31,59.72,60.4,58.59,60.36,1910454.0,59.721,11409
2020-08-03,61.0,61.93,59.12,61.21,1981006.0,60.768,10758
2020-08-04,64.83,70.15,64.4,68.95,6957077.0,68.336,35244
2020-08-05,68.96,75.98,67.6,74.99,6970294.0,72.65,34312
2020-08-06,75.3,76.75,71.1,71.37,3413181.0,72.879,19106
2020-08-07,72.07,75.83,71.11,72.84,3002782.0,73.494,15058
2020-08-10,72.79,74.39,70.35,71.84,2142812.0,71.79,10815
2020-08-11,71.67,71.81,67.05,67.3,2787749.0,68.839,14583
2020-08-12,68.48,71.79,67.57,71.19,2117919.0,70.281,10694
2020-08-13,70.77,76.49,70.26,74.88,2497293.0,74.765,11715
2020-08-14,75.62,76.69,72.81,73.16,1789609.0,74.298,9347
2020-08-17,74.33,76.39,73.73,75.06,1455130.0,74.961,7883
2020-08-18,75.24,77.73,72.53,75.16,1460390.0,75.192,7946
2020-08-19,75.1,77.3,74.98,75.49,1481154.0,76.172,6959
2020-08-20,74.67,75.22,72.2,73.09,1430211.0,73.263,7933
2020-08-21,73.28,74.8,72.81,73.14,1208640.0,73.683,6965
2020-08-24,73.79,75.65,72.22,73.36,1108798.0,73.802,6294
2020-08-25,73.37,76.61,72.5,75.93,1679593.0,75.11,9528
2020-08-26,76.66,78.53,74.4,75.24,1386069.0,76.033,7212
2020-08-27,76.0,76.5,72.02,73.44,1901022.0,73.763,11748
2020-08-28,73.93,78.53,73.54,76.04,2493270.0,76.112,12974
2020-08-31,76.68,79.53,75.8,77.23,1994025.0,77.425,12040
2020-09-01,77.47,79.52,77.1,78.71,1682492.0,78.682,9504
2020-09-02,79.65,80.47,75.09,77.02,1774848.0,77.215,10397
2020-09-03,75.09,75.48,65.13,67.8,4384453.0,69.192,23744
2020-09-04,67.51,68.67,58.67,66.16,4265959.0,63.918,26190
2020-09-08,62.25,67.34,60.17,65.05,2869713.0,65.151,19621
2020-09-09,67.01,69.56,64.87,67.71,2624891.0,67.273,15711
2020-09-10,67.93,70.09,66.0,66.1,2172115.0,68.345,12570
2020-09-11,67.78,68.1,64.2,65.1,1898681.0,65.83,10832
2020-09-14,67.17,69.78,66.31,69.49,1725853.0,68.55,10473
2020-09-15,71.01,73.03,70.44,72.16,1864449.0,71.853,10774
2020-09-16,72.6,76.4,72.54,72.83,2194537.0,74.411,13437
2020-09-17,69.77,70.19,65.89,66.87,2420638.0,67.553,12875
2020-09-18,67.72,69.86,65.42,68.27,3154595.0,67.759,18801
2020-09-21,65.29,70.82,65.29,70.72,2193535.0,69.081,12068
2020-09-22,71.0,72.32,67.49,72.23,2206508.0,70.44,13130
2020-09-23,71.76,74.76,69.44,70.27,2061063.0,72.328,11219
2020-09-24,69.32,70.98,67.53,69.41,1478738.0,69.635,8750
2020-09-25,69.79,73.9,69.55,73.62,1843019.0,72.465,11008
2020-09-28,74.92,79.73,74.7,78.14,2533401.0,77.674,13776
2020-09-29,78.2,83.37,78.2,80.8,3183387.0,81.59,17594
2020-09-30,81.37,84.72,81.27,82.59,2057856.0,83.388,11426
2020-10-01,85.56,89.52,84.41,89.51,2953084.0,87.664,14925
2020-10-02,85.61,92.57,85.16,90.43,3099173.0,90.13,15599
2020-10-05,93.0,98.42,92.9,98.05,3119350.0,95.82,18538
2020-10-06,98.07,100.28,95.06,98.57,3865056.0,97.935,20666
2020-10-07,101.5,108.75,100.46,107.82,3556615.0,105.51,19647
2020-10-08,109.6,109.8,102.56,105.5,4428293.0,105.672,22533
2020-10-09,107.3,111.27,105.29,109.18,2100835.0,108.75,11992
2020-10-12,110.4,110.41,101.52,104.43,2993338.0,104.288,18041
2020-10-13,103.14,107.44,102.75,106.65,1946825.0,105.995,12438
2020-10-14,107.98,111.1,107.06,108.97,2163693.0,109.562,13334
2020-10-15,107.25,111.59,105.2,110.71,1728054.0,109.236,9738
2020-10-16,112.95,114.3,108.76,110.84,2033830.0,111.185,12324
2020-10-19,111.48,118.05,110.82,114.69,2488783.0,115.418,12561
2020-10-20,114.72,118.05,112.33,116.14,1908800.0,115.972,11009
2020-10-21,116.9,118.94,100.4,101.53,4125535.0,108.218,22509
2020-10-22,102.26,104.02,92.14,103.46,5680714.0,98.376,32513
2020-10-23,106.59,109.22,100.7,103.33,2511061.0,104.187,14320
2020-10-26,98.56,104.29,97.5,103.67,2192226.0,101.787,13200
2020-10-27,103.19,104.43,97.31,98.63,2424524.0,100.243,15318
2020-10-28,97.29,105.87,95.75,102.81,4556488.0,102.673,22046
2020-10-29,103.29,105.53,100.87,102.51,1350177.0,103.004,8315
2020-10-30,101.01,102.12,93.53,98.09,2269140.0,96.94,13379
2020-11-02,99.02,106.04,99.0,103.83,2469761.0,103.082,14416
2020-11-03,101.68,107.38,100.24,104.75,2516946.0,104.62,15311
2020-11-04,99.12,106.36,93.49,106.19,4168617.0,100.648,24404
2020-11-05,111.0,123.29,110.99,120.26,3554773.0,118.843,20759
2020-11-06,123.78,125.64,118.66,122.53,2062329.0,122.195,12858
2020-11-09,130.44,130.44,116.74,117.08,2217102.0,123.388,13641
2020-11-10,117.78,117.78,108.05,109.39,2151885.0,111.346,13716
2020-11-11,113.99,121.48,113.98,120.43,2023873.0,118.927,13261
2020-11-12,119.6,122.26,115.83,117.21,1341958.0,118.584,8693
2020-11-13,119.4,120.36,115.1,116.59,1124678.0,117.618,7723
2020-11-16,118.21,123.6,116.01,119.93,1497558.0,120.725,9461
2020-11-17,119.57,126.58,118.65,125.12,1243570.0,123.494,7152
2020-11-18,126.58,127.49,122.5,124.92,1107759.0,125.202,6665
2020-11-19,126.62,130.95,125.85,128.89,1545378.0,128.543,8289
2020-11-20,131.0,133.78,129.3,129.59,2047163.0,131.368,11146
2020-11-23,132.93,134.85,130.45,134.43,1692521.0,132.944,9975
2020-11-24,135.33,138.7,130.8,136.02,1817048.0,135.215,11313
2020-11-25,135.89,141.42,135.13,139.07,1628813.0,138.846,10336
2020-11-27,142.49,148.94,137.77,140.56,2655919.0,143.656,14666
2020-11-30,142.0,145.0,133.03,136.57,2908959.0,137.225,18767
2020-12-01,137.85,139.53,127.3,128.85,2182383.0,130.982,13312
2020-12-02,127.61,130.45,121.7,127.93,1690594.0,127.348,10340
2020-12-03,129.5,133.69,126.29,127.67,1248290.0,129.712,7749
2020-12-04,130.3,136.11,129.23,130.46,1367466.0,132.004,8435
2020-12-07,130.29,133.2,127.22,129.32,802114.0,129.4,4995
2020-12-08,129.98,135.15,129.41,134.74,980152.0,132.854,5587
2020-12-09,136.82,136.82,125.87,127.26,1345412.0,130.632,8010
2020-12-10,125.67,132.22,125.54,131.21,792733.0,130.451,5104
2020-12-11,133.11,144.6,133.0,139.91,2080705.0,139.4,12544
2020-12-14,143.05,147.49,137.74,145.07,1464533.0,143.95,8481
2020-12-15,147.4,161.56,147.25,160.46,2759165.0,157.769,16029
2020-12-16,159.01,163.46,152.53,163.31,2283206.0,158.317,12925
2020-12-17,165.52,168.18,159.0,163.52,1797511.0,162.591,10286
2020-12-18,163.69,169.67,163.0,164.41,1598416.0,166.115,9783
2020-12-21,162.95,172.1,161.18,170.78,1759830.0,167.497,11112
2020-12-22,174.42,186.4,173.0,177.27,2434868.0,179.244,14910
2020-12-23,183.03,184.08,174.21,180.32,1817833.0,179.276,10757
2020-12-24,179.52,184.54,177.48,181.39,744454.0,181.321,4355
2020-12-28,188.45,189.41,173.67,175.49,1845462.0,179.651,11160
2020-12-29,175.49,176.23,164.3,170.2,2157336.0,169.257,13661
2020-12-30,171.68,177.55,171.68,172.93,1234246.0,174.477,7989
2020-12-31,176.96,183.99,172.91,175.47,3794783.0,177.408,23406
2021-01-04,178.38,179.15,167.07,172.24,2649748.0,173.37,17149
