date,open,high,low,close,volume,average,barCount
2020-07-13,45.87,46.14,44.54,44.95,2800195.0,45.32,18641
2020-07-14,44.84,47.3,44.47,47.28,2476270.0,46.501,19213
2020-07-15,48.29,48.42,46.3,47.46,2994607.0,47.092,20741
2020-07-16,46.52,48.35,46.14,47.82,2164771.0,47.626,15768
2020-07-17,47.83,48.89,46.86,47.16,1629155.0,47.421,10400
2020-07-20,46.93,48.65,46.93,47.7,2927259.0,47.916,18744
2020-07-21,48.7,50.99,48.7,50.42,3123993.0,50.251,22327
2020-07-22,49.61,50.48,49.01,50.19,1812187.0,49.861,13198
2020-07-23,49.58,50.08,48.62,48.85,3182811.0,49.128,19663
2020-07-24,49.14,49.98,48.62,49.04,2376617.0,49.158,15060
2020-07-27,48.83,49.49,48.17,48.56,1456227.0,48.677,10489
2020-07-28,48.11,48.69,47.19,47.27,1355457.0,47.759,9471
2020-07-29,47.39,48.52,46.94,48.5,2130524.0,47.843,14633
2020-07-30,47.34,47.69,46.09,46.58,2199134.0,46.649,15919
2020-07-31,45.89,46.89,45.85,46.85,1845271.0,46.43,12866
2020-08-03,46.86,47.07,45.91,46.37,2419421.0,46.449,16079
2020-08-04,46.38,48.77,46.09,48.46,2983558.0,48.031,19073
2020-08-05,49.87,51.11,49.52,50.75,3000549.0,50.473,21583
2020-08-06,50.41,51.08,50.26,50.89,2065353.0,50.697,15850
2020-08-07,47.0,49.19,45.07,48.81,6841306.0,47.263,40324
2020-08-10,48.99,50.63,48.64,50.46,2891565.0,49.775,18982
2020-08-11,52.0,52.78,49.23,49.42,3347175.0,51.091,22582
2020-08-12,50.33,50.34,48.62,49.09,3536443.0,49.257,22039
2020-08-13,48.82,49.15,47.38,47.42,2416607.0,47.892,14503
2020-08-14,47.35,47.98,46.93,47.97,2658768.0,47.67,15786
2020-08-17,47.9,47.9,46.09,46.54,2930142.0,46.577,18967
2020-08-18,46.32,47.18,46.18,46.35,2242409.0,46.562,14929
2020-08-19,46.2,46.56,45.44,45.61,2026988.0,45.996,12359
2020-08-20,44.96,45.3,44.09,44.1,3071630.0,44.538,17367
2020-08-21,44.08,44.12,42.98,43.39,2798360.0,43.444,14932
2020-08-24,43.71,44.97,43.36,44.33,2967626.0,44.315,16549
2020-08-25,44.98,45.13,44.05,44.38,2211852.0,44.384,13280
2020-08-26,44.24,44.36,43.01,43.26,2233321.0,43.558,13999
2020-08-27,43.61,45.1,43.2,44.95,4307294.0,44.322,25293
2020-08-28,45.31,46.25,44.76,46.21,2378138.0,45.731,16436
2020-08-31,46.22,46.25,45.01,45.34,1856657.0,45.413,13518
