date,open,high,low,close,volume,average,barCount
2020-07-13,262.52,266.06,250.86,252.54,248701.0,256.245,1595
2020-07-14,250.46,254.22,246.01,253.61,172126.0,250.962,1062
2020-07-15,257.28,260.28,255.34,260.07,66164.0,258.554,481
2020-07-16,258.16,260.21,255.66,258.22,179252.0,258.113,1012
2020-07-17,260.82,265.16,259.48,264.69,96743.0,262.931,641
2020-07-20,265.12,280.39,264.89,278.86,270651.0,276.761,1639
2020-07-21,278.95,282.56,276.82,278.52,401027.0,279.94,3076
2020-07-22,278.8,280.09,275.72,278.13,143889.0,278.4,1000
2020-07-23,279.15,283.39,273.62,278.22,111357.0,277.575,820
2020-07-24,275.27,276.39,271.0,274.1,121668.0,273.446,920
2020-07-27,275.0,282.09,274.5,280.05,132231.0,279.655,966
2020-07-28,279.34,280.32,274.73,276.93,156199.0,277.5,1371
2020-07-29,278.76,284.68,278.76,284.51,226269.0,283.016,1812
2020-07-30,281.42,287.63,279.52,287.05,162620.0,284.641,1231
2020-07-31,287.59,290.12,281.0,290.08,240789.0,286.102,1601
2020-08-03,291.98,294.98,288.88,291.75,125107.0,291.652,1057
2020-08-04,291.17,292.12,288.27,291.47,119424.0,290.247,918
2020-08-05,293.25,295.6,289.53,294.11,240539.0,291.874,1508
2020-08-06,296.35,304.8,286.89,297.48,230967.0,297.935,1632
2020-08-07,298.21,306.41,296.62,298.0,203853.0,299.746,1550
2020-08-10,296.81,299.56,291.5,298.73,85187.0,297.021,736
2020-08-11,297.65,299.09,294.25,295.94,132240.0,297.114,1036
2020-08-12,305.0,314.32,303.33,312.2,207426.0,311.287,1697
2020-08-13,311.21,314.75,307.72,308.72,200760.0,311.534,1420
2020-08-14,308.81,311.41,306.58,307.97,60215.0,308.169,507
2020-08-17,310.0,313.23,307.99,308.38,109206.0,309.875,889
2020-08-18,307.71,310.0,300.96,304.05,254439.0,304.255,2223
2020-08-19,304.34,307.3,302.23,303.76,96597.0,304.89,733
2020-08-20,301.07,304.99,301.0,302.79,209692.0,303.219,1405
2020-08-21,304.0,309.99,302.24,308.56,128020.0,306.704,965
2020-08-24,310.0,315.67,310.0,313.43,156992.0,312.83,1198
2020-08-25,315.0,320.09,314.95,319.3,144044.0,317.73,1074
2020-08-26,320.0,325.92,319.26,323.01,154841.0,322.613,990
2020-08-27,324.88,326.93,321.58,323.73,167551.0,324.185,1119
2020-08-28,325.0,328.58,325.0,326.28,214928.0,326.2,1216
2020-08-31,327.34,328.96,325.0,327.1,127307.0,326.76,800
2020-09-01,327.13,335.72,327.03,334.78,163737.0,332.138,1075
2020-09-02,336.0,338.91,330.9,337.74,209727.0,336.031,952
2020-09-03,334.4,334.4,319.4,324.5,212509.0,325.324,1669
2020-09-04,322.67,322.9,303.43,316.3,254991.0,313.74,1763
2020-09-08,305.01,314.03,301.67,309.35,198091.0,309.344,1542
2020-09-09,315.02,321.9,312.96,318.92,220398.0,318.519,1103
2020-09-10,322.5,327.48,317.78,318.47,236792.0,321.549,1604
2020-09-11,319.43,319.75,312.14,314.95,136227.0,315.84,899
2020-09-14,320.58,327.56,320.58,324.62,75726.0,324.737,544
2020-09-15,329.3,335.17,326.67,334.92,123119.0,333.041,988
2020-09-16,335.73,338.33,328.02,329.71,117243.0,331.793,862
2020-09-17,323.28,325.0,317.86,322.2,154031.0,321.537,907
2020-09-18,325.51,325.52,315.79,316.19,199477.0,318.778,1525
2020-09-21,311.44,314.94,307.53,314.3,114545.0,312.513,922
2020-09-22,318.3,322.09,312.61,321.73,85233.0,318.017,717
2020-09-23,322.45,324.15,314.75,314.75,123400.0,319.824,827
2020-09-24,311.34,319.23,311.03,314.98,97808.0,315.156,753
2020-09-25,313.46,323.31,312.72,322.95,87956.0,319.678,743
2020-09-28,325.54,331.98,325.36,328.96,110156.0,328.569,901
2020-09-29,330.22,332.74,324.09,325.56,116807.0,327.06,844
2020-09-30,328.65,330.39,322.69,323.28,91639.0,325.959,774
2020-10-01,328.32,335.32,326.51,334.12,173944.0,332.541,1364
2020-10-02,326.51,333.52,324.67,326.92,85931.0,327.502,685
2020-10-05,330.34,335.0,328.65,333.78,95826.0,332.125,566
2020-10-06,334.02,344.36,330.01,335.34,270496.0,335.182,1618
2020-10-07,339.22,344.98,339.01,344.32,61286.0,342.606,432
2020-10-08,346.0,348.13,331.5,334.64,253184.0,335.959,1099
2020-10-09,337.87,343.0,336.52,337.25,147111.0,338.917,918
2020-10-12,343.0,346.84,337.63,345.08,66798.0,343.372,460
2020-10-13,346.0,349.23,342.13,348.76,125259.0,346.271,824
2020-10-14,350.0,355.41,344.71,346.89,97097.0,349.038,717
2020-10-15,342.55,350.12,339.2,349.04,84232.0,347.197,562
2020-10-16,350.0,354.16,347.66,350.57,59142.0,350.782,471
2020-10-19,352.0,356.48,341.39,342.58,81267.0,349.552,488
2020-10-20,344.85,347.92,343.64,345.66,66622.0,345.77,509
2020-10-21,348.67,354.0,344.3,347.36,84641.0,347.391,652
2020-10-22,348.74,348.74,333.01,337.26,102479.0,339.862,789
2020-10-23,338.0,341.06,332.43,339.05,91188.0,337.068,722
2020-10-26,336.37,340.0,323.01,328.44,73862.0,327.916,567
2020-10-27,328.68,332.0,325.49,326.78,64063.0,328.523,498
2020-10-28,320.95,322.0,314.45,315.67,88222.0,317.269,678
2020-10-29,318.98,322.86,315.21,317.02,100280.0,317.976,802
2020-10-30,315.25,319.24,306.3,308.95,97273.0,309.882,778
2020-11-02,312.18,321.42,311.79,313.7,129091.0,315.113,1046
2020-11-03,317.53,318.28,306.29,314.12,128134.0,312.852,1050
2020-11-04,325.43,337.89,321.86,328.86,390012.0,332.596,2421
2020-11-05,339.28,356.98,339.28,346.63,224865.0,350.072,1391
2020-11-06,348.56,348.56,341.99,342.23,164903.0,344.451,991
2020-11-09,345.33,347.95,318.02,318.54,232991.0,330.006,1849
2020-11-10,315.34,316.98,305.83,312.6,181142.0,310.169,1522
2020-11-11,318.37,327.85,318.37,326.97,86745.0,325.073,621
2020-11-12,331.96,335.8,328.94,332.73,216860.0,332.425,1499
2020-11-13,333.15,336.0,330.55,333.38,106089.0,333.264,739
2020-11-16,329.93,331.44,322.05,322.82,65702.0,325.655,506
2020-11-17,322.01,331.87,322.01,331.62,190204.0,328.089,832
2020-11-18,330.88,331.65,323.38,327.93,137246.0,328.735,1164
2020-11-19,327.87,335.76,324.87,334.58,105548.0,332.943,872
2020-11-20,337.5,344.25,332.93,341.01,164415.0,340.403,1282
2020-11-23,341.98,345.65,334.26,335.69,73768.0,336.972,544
2020-11-24,333.0,335.63,312.99,315.46,299852.0,320.41,2287
2020-11-25,318.0,325.04,311.81,318.65,281361.0,317.619,1872
2020-11-27,321.71,328.27,320.8,325.95,51095.0,325.65,408
2020-11-30,326.12,328.46,316.91,322.33,279100.0,320.834,2388
2020-12-01,324.1,330.25,319.09,328.82,200605.0,326.838,1507
2020-12-02,327.08,327.08,319.57,323.59,135135.0,322.163,1083
2020-12-03,323.5,326.28,319.3,319.69,97236.0,322.192,832
2020-12-04,320.0,333.05,320.0,324.93,117286.0,327.433,935
2020-12-07,323.88,324.46,319.35,323.08,94820.0,322.22,803
2020-12-08,324.37,330.65,321.46,329.46,108793.0,326.937,892
2020-12-09,328.19,328.79,315.94,320.58,196975.0,319.011,1035
2020-12-10,316.5,324.25,314.08,322.76,164749.0,320.791,1130
2020-12-11,322.0,324.49,318.34,321.2,122981.0,321.259,1075
2020-12-14,322.39,333.99,322.39,325.22,135164.0,328.019,1065
2020-12-15,328.18,329.57,323.28,325.93,98465.0,325.8,837
2020-12-16,326.42,334.64,324.5,334.04,103673.0,331.448,777
2020-12-17,338.51,359.39,337.08,344.2,391388.0,350.115,2831
2020-12-18,348.22,349.1,338.52,346.53,149861.0,344.927,943
2020-12-21,341.47,342.9,334.3,340.63,78351.0,340.106,629
2020-12-22,341.49,356.5,341.49,355.46,224597.0,352.325,1623
2020-12-23,355.0,358.94,351.7,352.86,120346.0,355.003,972
2020-12-24,352.27,358.87,352.27,356.34,88743.0,356.683,659
2020-12-28,359.18,359.18,352.66,353.63,82975.0,355.171,720
2020-12-29,355.0,356.21,347.5,351.75,96743.0,350.858,661
2020-12-30,354.13,359.22,350.98,358.48,139844.0,356.336,1014
2020-12-31,359.0,360.89,355.98,358.35,126094.0,358.431,828
2021-01-04,359.01,360.25,340.59,348.06,157136.0,346.998,1187
2021-01-05,346.17,351.51,342.56,345.7,106580.0,346.074,861
2021-01-06,341.06,346.02,328.9,329.66,307314.0,334.098,2306
2021-01-07,334.74,341.49,334.56,338.48,277390.0,338.725,2088
2021-01-08,341.17,347.17,340.32,342.37,194753.0,342.506,1459
2021-01-11,338.91,346.1,337.02,342.84,110810.0,343.082,885
2021-01-12,343.36,344.87,330.76,331.73,291250.0,335.597,2035
2021-01-13,333.37,337.27,332.62,333.54,343943.0,334.949,1698
2021-01-14,335.0,342.58,334.28,340.65,183108.0,338.732,1522
2021-01-15,340.54,350.66,340.54,348.01,183662.0,347.415,1439
2021-01-19,354.28,355.0,345.02,351.41,193399.0,349.937,1553
2021-01-20,353.14,365.15,353.02,363.9,182164.0,362.409,1515
2021-01-21,365.0,369.51,361.02,363.26,180041.0,365.153,1318
2021-01-22,361.78,365.51,359.46,359.69,112404.0,362.108,824
2021-01-25,365.15,365.15,344.03,354.15,133418.0,352.081,924
2021-01-26,354.08,355.0,348.18,350.75,129443.0,351.131,1033
2021-01-27,346.0,349.99,333.68,339.62,187540.0,340.248,1576
2021-01-28,341.7,351.83,340.13,348.97,87745.0,347.496,734
2021-01-29,346.76,348.5,338.6,344.43,116994.0,343.913,923
2021-02-01,347.0,357.05,347.0,356.7,134488.0,353.751,1084
2021-02-02,360.0,371.63,359.91,370.93,158309.0,368.559,1192
2021-02-03,370.0,374.13,368.55,372.78,187287.0,371.985,1467
2021-02-04,373.0,375.38,364.66,373.09,135176.0,372.389,1048
2021-02-05,375.84,379.63,373.39,377.43,96743.0,376.625,786
2021-02-08,379.0,391.24,377.26,390.33,136888.0,387.162,1097
2021-02-09,389.0,397.34,385.25,394.46,278035.0,391.825,1730
2021-02-10,398.26,398.26,386.08,387.33,91943.0,389.311,804
2021-02-11,390.04,396.76,390.04,392.89,61229.0,393.561,475
2021-02-12,393.0,400.98,389.07,400.27,94017.0,397.898,667
2021-02-16,401.35,402.62,393.87,394.48,74866.0,396.716,632
2021-02-17,392.51,393.93,387.94,391.7,190696.0,391.672,1537
2021-02-18,387.37,394.15,372.7,378.46,214145.0,381.602,1705
2021-02-19,378.55,384.99,375.46,376.0,106394.0,379.474,884
2021-02-22,372.08,374.92,358.84,364.89,450472.0,362.162,2927
2021-02-23,356.53,371.85,350.0,371.63,159379.0,364.7,1216
2021-02-24,367.44,369.92,359.17,369.26,109821.0,366.963,942
2021-02-25,369.02,371.78,360.28,364.18,157831.0,365.965,1285
2021-02-26,367.16,378.27,361.8,373.61,153347.0,373.067,1315
2021-03-01,378.0,385.11,377.84,384.65,87827.0,382.682,703
2021-03-02,384.13,390.4,382.8,387.29,134812.0,387.283,1064
2021-03-03,387.27,387.27,372.51,378.79,149591.0,377.937,1254
2021-03-04,376.94,377.18,353.32,359.5,352047.0,363.153,2148
2021-03-05,364.22,367.78,346.91,358.55,222703.0,357.913,1872
2021-03-08,355.46,355.46,338.69,339.12,376240.0,345.449,2290
2021-03-09,350.28,356.8,343.54,351.45,218227.0,351.152,1827
2021-03-10,355.05,355.73,347.87,353.24,132082.0,351.566,1143
2021-03-11,361.8,367.3,359.02,366.02,88552.0,363.932,734
2021-03-12,361.05,368.23,359.49,364.15,91998.0,363.688,717
2021-03-15,365.0,372.58,362.8,372.57,43121.0,369.044,352
2021-03-16,376.18,377.52,368.42,371.68,47612.0,372.779,416
2021-03-17,367.98,377.45,363.3,373.88,92406.0,372.566,799
2021-03-18,370.97,375.69,358.68,368.91,151019.0,369.826,1351
2021-03-19,368.77,381.23,366.18,379.6,176213.0,377.204,1317
2021-03-22,381.73,384.58,378.07,380.45,93182.0,381.625,792
2021-03-23,377.87,381.19,371.48,373.83,85909.0,376.091,698
2021-03-24,373.95,376.78,367.9,368.51,137678.0,370.716,1052
2021-03-25,364.25,368.37,357.51,368.01,134118.0,365.16,1110
2021-03-26,368.23,388.07,367.3,387.74,151059.0,379.035,1117
2021-03-29,388.64,390.93,375.75,378.08,170443.0,381.678,1456
2021-03-30,375.51,386.83,374.95,383.51,95827.0,383.212,814
2021-03-31,387.14,407.06,384.73,396.69,210793.0,398.649,1591
2021-04-01,401.63,406.41,394.02,399.99,115393.0,399.247,989
2021-04-05,400.8,410.82,400.22,409.31,75856.0,406.834,593
2021-04-06,407.86,413.05,406.0,411.01,83752.0,410.433,467
2021-04-07,410.0,412.0,405.04,410.36,76222.0,409.762,432
2021-04-08,415.09,421.64,412.78,420.55,177557.0,419.166,1065
2021-04-09,420.0,424.65,415.0,423.06,150768.0,419.565,805
2021-04-12,416.03,426.49,414.5,424.67,239330.0,421.547,1054
2021-04-13,426.0,436.81,426.0,432.48,163613.0,431.909,1346
2021-04-14,432.48,436.22,428.76,430.4,550346.0,431.183,2905
2021-04-15,437.64,449.29,437.3,448.67,187933.0,446.725,1238
2021-04-16,448.0,448.0,440.81,446.04,156702.0,445.465,785
2021-04-19,444.22,447.37,441.04,446.94,218697.0,443.524,1161
2021-04-20,448.32,450.42,444.75,446.92,165942.0,446.762,1077
2021-04-21,445.87,450.0,441.96,448.83,243294.0,447.959,779
2021-04-22,450.0,454.48,447.49,448.52,215039.0,450.493,1257
2021-04-23,450.0,458.33,449.04,458.15,112794.0,454.323,803
2021-04-26,458.0,460.97,456.42,458.83,195634.0,457.929,997
2021-04-27,460.0,460.61,455.86,458.84,142103.0,458.02,908
2021-04-28,458.36,461.81,456.28,459.73,205918.0,459.784,1000
2021-04-29,461.79,461.98,455.39,459.0,220785.0,459.076,1001
2021-04-30,454.38,461.35,451.82,457.75,171000.0,457.591,1302
2021-05-03,461.0,462.83,457.53,459.58,277507.0,459.134,1890
2021-05-04,455.61,459.77,453.41,458.52,374222.0,456.256,2690
2021-05-05,462.28,463.63,458.45,461.28,174992.0,460.982,1450
2021-05-06,452.48,458.56,433.91,458.38,313736.0,451.552,2058
