date,open,high,low,close,volume,average,barCount
2020-07-13,720.24,723.75,698.02,701.12,191207.0,714.498,1656
2020-07-14,716.82,718.99,697.28,716.91,138176.0,709.016,1156
2020-07-15,724.17,724.77,710.95,713.88,140534.0,716.621,1195
2020-07-16,716.4,717.99,707.13,714.09,74397.0,713.316,653
2020-07-17,717.3,730.89,709.07,724.23,127809.0,721.85,988
2020-07-20,726.03,734.73,721.57,731.84,111670.0,731.323,1028
2020-07-21,735.5,735.51,724.46,725.98,91468.0,729.358,802
2020-07-22,729.75,737.77,725.0,735.52,119737.0,732.771,1030
2020-07-23,738.64,744.46,728.27,736.69,143466.0,736.108,1167
2020-07-24,729.81,739.51,729.57,737.39,87345.0,735.613,710
2020-07-27,737.7,756.09,735.02,754.0,181617.0,749.336,1155
2020-07-28,762.39,762.39,748.49,752.53,187492.0,753.806,1479
2020-07-29,760.1,770.88,756.16,770.0,166979.0,765.323,1372
2020-07-30,780.0,787.7,770.0,777.95,238843.0,777.467,1656
2020-07-31,774.18,785.79,770.88,785.48,116047.0,778.507,939
2020-08-03,776.64,785.47,775.18,779.12,135750.0,778.751,1088
2020-08-04,780.23,794.72,775.03,793.43,124738.0,787.593,981
2020-08-05,799.0,799.0,786.24,794.04,115515.0,793.475,837
2020-08-06,788.06,793.78,786.47,792.06,84974.0,790.334,692
2020-08-07,791.69,798.48,788.44,791.7,91247.0,793.069,753
2020-08-10,794.22,805.81,780.03,782.74,125931.0,785.224,1017
2020-08-11,781.46,781.46,754.92,758.17,208551.0,762.523,1801
2020-08-12,764.68,776.21,756.62,772.99,135712.0,771.324,1140
2020-08-13,769.33,778.17,767.93,770.12,103742.0,771.942,843
2020-08-14,772.82,776.34,758.11,762.01,103615.0,765.161,930
2020-08-17,758.36,773.01,758.36,772.08,159948.0,767.129,1396
2020-08-18,772.0,789.98,770.46,786.85,174408.0,783.032,1544
2020-08-19,794.63,794.63,774.23,778.71,120994.0,781.103,1063
2020-08-20,776.62,788.09,776.62,784.91,78888.0,784.975,673
2020-08-21,787.71,787.71,774.62,782.17,94808.0,781.247,725
