date,open,high,low,close,volume,average,barCount
2020-07-13,57.11,57.45,56.47,57.02,1052114.0,57.06,8295
2020-07-14,56.9,58.05,56.6,57.02,811592.0,57.287,6279
2020-07-15,58.01,58.14,57.31,57.72,1165276.0,57.597,8699
2020-07-16,57.29,57.7,56.9,57.22,1174350.0,57.225,8874
2020-07-17,57.28,57.5,56.69,56.98,1459814.0,57.036,6700
2020-07-20,56.5,56.8,55.03,55.17,2608155.0,55.466,15609
2020-07-21,55.28,55.85,54.45,54.57,1831795.0,55.026,12227
2020-07-22,54.18,55.89,53.79,55.7,1585609.0,55.367,10783
2020-07-23,55.44,55.92,54.07,54.83,1423769.0,54.757,9457
2020-07-24,54.74,54.97,53.83,54.34,2548102.0,54.362,14494
2020-07-27,54.08,54.08,52.72,53.33,1339501.0,53.264,8864
2020-07-28,53.09,55.06,53.08,54.66,1650698.0,54.278,11271
2020-07-29,54.26,54.83,52.67,53.59,2174656.0,53.505,15360
2020-07-30,52.8,54.02,52.69,53.95,1331183.0,53.558,9797
2020-07-31,53.96,53.99,52.58,53.63,1520104.0,53.173,9931
2020-08-03,52.62,53.0,52.15,52.33,1499340.0,52.509,11051
2020-08-04,52.35,53.7,51.69,53.46,2652093.0,53.267,15974
2020-08-05,54.28,54.32,53.18,53.32,1932709.0,53.531,9756
2020-08-06,53.15,54.04,53.15,53.64,1480372.0,53.683,8517
2020-08-07,53.32,55.5,53.32,55.19,2312482.0,54.876,13834
2020-08-10,55.28,55.97,54.84,55.36,1629950.0,55.482,9551
2020-08-11,55.98,56.28,54.48,54.75,1612280.0,55.145,9746
2020-08-12,54.96,55.28,54.06,54.82,1662192.0,54.549,9077
2020-08-13,54.42,54.9,53.33,53.51,1273895.0,53.928,8791
2020-08-14,53.59,55.08,53.03,54.39,1497887.0,54.35,8281
2020-08-17,54.42,55.4,54.04,55.39,1546489.0,54.973,10038
2020-08-18,55.46,55.55,54.45,55.37,1275427.0,55.009,8955
2020-08-19,55.29,55.29,53.94,54.15,1752161.0,54.325,9946
2020-08-20,54.04,55.51,53.92,55.25,1045710.0,55.176,7696
2020-08-21,55.37,55.57,53.78,54.69,1354703.0,54.496,9072
2020-08-24,54.6,56.02,53.96,55.91,1445956.0,55.291,9158
2020-08-25,55.87,56.58,55.68,56.56,1123552.0,56.235,8091
2020-08-26,56.21,56.21,54.62,54.92,1076172.0,55.11,7521
2020-08-27,55.04,56.78,55.04,56.63,1257984.0,56.37,8628
2020-08-28,56.96,57.06,56.09,57.03,1019093.0,56.698,6884
2020-08-31,56.76,56.88,56.01,56.45,1146691.0,56.35,8005
2020-09-01,56.68,56.83,55.76,56.78,1592618.0,56.561,10456
