date,open,high,low,close,volume,average,barCount
2020-07-13,13.14,13.34,12.48,12.49,3195004.0,12.927,19016
2020-07-14,12.39,12.77,12.19,12.61,2741728.0,12.533,19716
2020-07-15,12.85,12.9,12.35,12.75,3192758.0,12.728,19345
2020-07-16,12.73,13.13,12.59,12.66,2230713.0,12.815,14495
2020-07-17,12.8,12.93,12.44,12.48,2792451.0,12.644,16937
2020-07-20,12.44,12.71,12.27,12.37,3130931.0,12.492,17534
2020-07-21,12.61,13.5,12.39,13.36,3727450.0,13.179,21437
2020-07-22,13.07,13.13,12.51,13.03,3392015.0,12.884,19265
2020-07-23,13.27,14.55,13.13,14.23,5014009.0,14.004,28351
2020-07-24,14.04,14.74,14.0,14.17,4597828.0,14.377,22185
2020-07-27,13.26,14.43,13.11,13.41,4284670.0,13.647,25692
2020-07-28,13.54,14.28,13.53,13.82,3191470.0,13.938,19451
2020-07-29,13.95,14.49,13.48,14.49,3136684.0,14.07,17525
2020-07-30,14.2,14.54,14.01,14.24,2364026.0,14.331,14492
2020-07-31,14.12,14.52,13.75,14.52,3767521.0,14.15,23659
2020-08-03,15.0,16.2,14.95,15.69,5622955.0,15.606,31537
2020-08-04,15.63,16.12,15.31,15.98,4579801.0,15.875,25759
2020-08-05,16.23,16.86,15.9,16.36,5045671.0,16.322,25489
2020-08-06,16.52,17.15,16.24,16.34,3237382.0,16.581,18418
2020-08-07,16.31,17.24,16.27,17.17,3516476.0,16.791,21212
2020-08-10,17.17,17.97,17.03,17.16,5971325.0,17.49,30657
2020-08-11,17.23,17.41,16.21,16.23,3143146.0,16.67,18319
2020-08-12,16.37,16.69,16.02,16.37,2069792.0,16.376,12623
2020-08-13,16.38,16.59,15.77,15.99,2595700.0,16.058,15964
2020-08-14,16.2,17.54,16.16,16.96,4479371.0,17.093,23757
2020-08-17,17.0,17.22,16.24,17.11,3788119.0,16.912,20695
2020-08-18,17.38,17.64,16.46,16.53,3039015.0,16.788,17599
2020-08-19,16.57,17.13,16.43,16.63,2143572.0,16.79,12573
2020-08-20,16.58,16.62,15.83,15.86,2222502.0,16.057,13133
2020-08-21,15.95,16.19,15.7,16.04,2564722.0,15.984,14617
2020-08-24,16.27,16.69,15.77,16.38,2522910.0,16.293,14426
2020-08-25,16.41,16.59,16.12,16.37,1476765.0,16.321,9602
2020-08-26,16.25,16.38,15.53,15.68,2751136.0,15.903,14683
2020-08-27,15.86,16.26,15.57,16.15,2687158.0,15.974,15061
2020-08-28,16.17,16.33,15.92,16.02,2041498.0,16.11,10075
2020-08-31,15.95,16.09,15.07,15.87,3796822.0,15.692,22385
2020-09-01,15.62,15.73,15.31,15.6,1966982.0,15.537,11049
2020-09-02,15.49,15.58,15.02,15.06,3032879.0,15.214,18766
2020-09-03,15.03,15.84,15.02,15.29,2523436.0,15.449,16800
2020-09-04,15.44,15.63,14.8,15.36,2676239.0,15.187,17736
2020-09-08,15.07,15.07,14.33,14.5,3929293.0,14.682,23951
2020-09-09,14.7,14.86,14.37,14.77,2993478.0,14.648,20485
2020-09-10,14.86,14.86,13.93,14.07,2735709.0,14.345,18137
2020-09-11,14.16,14.23,13.64,14.03,2839776.0,13.966,19250
2020-09-14,14.15,14.39,13.68,14.23,3614041.0,14.166,21411
2020-09-15,14.37,14.91,14.18,14.25,3732671.0,14.452,21813
2020-09-16,14.3,14.97,14.17,14.76,3379462.0,14.665,22542
2020-09-17,14.5,14.65,13.65,14.58,5298383.0,14.121,28503
2020-09-18,14.66,15.41,14.52,15.14,3515060.0,15.068,20045
2020-09-21,14.85,15.62,14.68,15.45,3433312.0,15.257,19858
2020-09-22,15.39,15.62,14.71,14.71,2813905.0,15.039,18410
2020-09-23,14.9,15.22,14.38,14.39,2715556.0,14.741,17566
2020-09-24,14.33,14.9,14.24,14.48,3089560.0,14.588,20282
2020-09-25,14.25,14.45,13.74,13.87,2242763.0,13.979,13476
2020-09-28,13.97,14.14,13.23,13.99,2813375.0,13.781,16979
2020-09-29,13.76,13.78,12.75,12.84,5342974.0,13.021,25650
2020-09-30,12.73,13.17,12.57,12.93,3421705.0,12.903,19424
2020-10-01,12.81,13.08,12.46,12.68,2341251.0,12.693,15279
2020-10-02,12.29,13.08,12.27,12.73,1952003.0,12.806,12508
2020-10-05,13.04,13.73,12.99,13.69,3223542.0,13.472,17711
2020-10-06,13.88,14.24,13.4,13.46,2297761.0,13.804,14849
2020-10-07,13.67,14.21,13.5,14.13,2779308.0,13.921,17214
2020-10-08,14.27,14.51,13.88,14.5,2169449.0,14.246,13747
2020-10-09,14.91,15.24,14.38,14.69,2715028.0,14.67,16488
2020-10-12,14.76,15.53,14.59,15.4,3134511.0,15.259,20328
2020-10-13,15.6,15.64,15.17,15.25,2263844.0,15.347,14992
2020-10-14,15.08,15.34,14.83,14.85,2504203.0,15.09,16166
2020-10-15,14.94,15.37,14.7,15.1,2444912.0,15.056,15260
2020-10-16,15.17,15.31,14.68,14.71,2873742.0,14.889,16683
2020-10-19,14.84,14.86,14.34,14.66,1721570.0,14.669,10698
2020-10-20,14.78,15.32,14.68,15.03,3417012.0,15.036,20297
2020-10-21,15.48,15.9,14.63,14.83,4155826.0,15.102,24174
2020-10-22,14.84,16.87,14.74,15.8,8714771.0,15.713,46354
2020-10-23,15.6,16.23,15.42,16.15,4581649.0,15.897,25380
2020-10-26,16.08,16.08,15.45,15.63,2664386.0,15.662,15241
2020-10-27,15.6,16.32,15.18,16.16,3836291.0,15.887,26279
2020-10-28,15.36,16.53,15.36,15.78,16532837.0,16.0,84459
2020-10-29,15.76,16.02,15.17,15.57,9295805.0,15.553,47362
2020-10-30,15.51,15.62,14.75,15.14,5452882.0,15.14,33401
2020-11-02,15.13,15.75,14.62,15.47,3786180.0,15.348,24025
2020-11-03,15.56,15.89,14.65,14.86,4709973.0,15.034,25744
2020-11-04,14.69,14.83,13.79,14.2,5665551.0,14.241,31371
2020-11-05,14.3,14.95,14.09,14.26,3249164.0,14.517,19894
2020-11-06,14.31,14.51,13.77,14.15,4431077.0,14.171,25706
2020-11-09,14.7,14.8,13.02,13.49,9614681.0,13.511,49408
2020-11-10,13.7,14.12,13.24,14.11,4535175.0,13.86,26423
2020-11-11,14.3,14.73,14.17,14.69,3685890.0,14.518,21691
2020-11-12,14.51,14.97,14.27,14.52,3293311.0,14.576,20668
2020-11-13,14.73,15.33,14.53,15.23,3310455.0,15.101,19628
2020-11-16,14.97,15.01,13.96,14.65,4815843.0,14.423,27703
2020-11-17,14.47,14.67,14.22,14.43,2818137.0,14.414,18978
2020-11-18,14.61,14.89,14.3,14.4,4032893.0,14.593,23551
2020-11-19,14.06,15.01,13.71,14.99,5173171.0,14.326,24496
2020-11-20,15.03,15.58,14.4,14.72,4678020.0,14.866,26740
2020-11-23,14.94,15.52,14.74,15.41,3566021.0,15.256,21054
2020-11-24,15.75,16.0,15.14,15.97,4861305.0,15.604,28416
2020-11-25,15.93,15.93,15.12,15.4,2947750.0,15.384,17650
2020-11-27,15.2,15.64,15.09,15.25,1161293.0,15.357,7280
2020-11-30,15.55,15.87,14.84,14.88,4108037.0,15.355,22622
2020-12-01,15.07,15.38,14.33,14.48,3444240.0,14.623,18663
2020-12-02,14.53,15.11,14.18,14.49,3242241.0,14.641,17906
2020-12-03,14.4,14.42,13.45,13.49,6322009.0,13.759,32461
2020-12-04,13.72,14.34,13.64,14.24,4451776.0,14.131,24841
2020-12-07,14.23,14.33,13.5,13.88,4756299.0,13.905,28606
2020-12-08,13.59,13.93,13.23,13.39,7434158.0,13.509,36410
2020-12-09,13.59,14.2,13.33,13.95,5309735.0,13.871,31179
2020-12-10,14.02,14.83,13.86,14.66,6500641.0,14.548,32842
2020-12-11,14.71,14.71,13.41,13.95,5990029.0,13.898,32494
2020-12-14,14.18,14.47,13.84,13.88,3015740.0,14.067,18091
2020-12-15,14.23,14.4,13.85,14.27,4093570.0,14.104,19691
2020-12-16,14.27,14.28,13.53,13.61,4405690.0,13.804,22513
2020-12-17,13.72,14.02,13.27,13.51,5820275.0,13.539,23199
2020-12-18,13.58,13.8,13.25,13.52,5108885.0,13.527,22745
2020-12-21,13.22,13.58,12.92,13.45,4683333.0,13.294,23284
2020-12-22,13.6,13.74,13.21,13.28,2868994.0,13.402,15227
2020-12-23,13.17,14.24,13.17,14.19,4965886.0,13.97,25915
2020-12-24,14.23,14.27,13.85,13.91,1244707.0,13.974,8587
2020-12-28,13.52,13.59,12.57,12.61,8951145.0,12.847,42865
2020-12-29,12.7,12.81,12.27,12.46,4198748.0,12.541,21114
2020-12-30,12.46,13.09,12.35,12.98,3150500.0,12.878,14737
2020-12-31,12.92,12.96,12.53,12.71,3644464.0,12.713,14275
2021-01-04,12.97,13.55,12.93,13.41,4310390.0,13.315,21801
2021-01-05,13.75,14.68,13.64,14.04,7697060.0,14.25,39632
2021-01-06,14.17,14.97,13.89,14.96,4762483.0,14.569,29611
2021-01-07,14.96,15.45,14.69,14.94,4017161.0,15.005,23577
2021-01-08,15.09,15.13,14.35,14.52,3845070.0,14.546,20529
2021-01-11,14.24,15.27,14.12,15.22,3206877.0,14.908,19224
2021-01-12,15.66,16.51,15.52,16.48,7003455.0,16.097,37990
2021-01-13,16.56,17.59,16.22,17.19,6966145.0,17.122,43745
2021-01-14,17.45,18.18,17.36,17.9,7454268.0,17.942,42807
2021-01-15,18.13,18.66,17.81,18.5,6543733.0,18.347,40200
2021-01-19,18.3,18.62,16.45,17.03,6824742.0,17.184,37380
2021-01-20,17.15,17.23,15.88,16.18,5201460.0,16.229,27061
2021-01-21,16.03,16.54,15.48,15.99,3826648.0,15.926,24992
2021-01-22,15.61,16.44,15.35,16.39,2724968.0,16.151,16513
2021-01-25,16.69,17.11,16.26,16.47,3723470.0,16.569,19103
2021-01-26,16.68,16.88,15.95,15.97,3901628.0,16.361,21424
2021-01-27,15.73,17.23,15.4,16.56,8105770.0,16.599,41616
2021-01-28,16.85,16.89,15.82,16.44,5139895.0,16.377,30491
2021-01-29,16.47,17.21,16.23,16.31,4998224.0,16.661,30449
2021-02-01,16.98,17.56,16.88,17.01,4587421.0,17.11,25617
2021-02-02,17.6,17.66,16.5,16.57,4427855.0,16.913,25832
2021-02-03,16.56,17.46,16.56,17.26,4049984.0,17.174,23345
2021-02-04,17.39,17.4,16.9,16.99,2642647.0,17.136,14350
2021-02-05,17.31,17.34,16.53,16.75,3432273.0,16.852,19714
2021-02-08,16.96,17.1,16.63,17.08,3770138.0,16.916,20567
2021-02-09,16.95,17.11,16.34,16.45,3759661.0,16.636,19270
2021-02-10,16.53,16.91,15.97,16.77,4394067.0,16.507,25239
2021-02-11,16.77,17.01,16.5,16.83,5251374.0,16.772,26951
2021-02-12,16.85,17.76,16.71,17.66,5064912.0,17.375,28982
2021-02-16,18.25,18.58,17.68,17.86,5665429.0,17.967,31736
2021-02-17,18.06,19.69,17.18,19.17,7715687.0,19.091,36109
2021-02-18,19.06,19.35,18.01,18.3,6183595.0,18.559,31309
2021-02-19,18.56,18.97,18.03,18.38,4597497.0,18.326,25049
2021-02-22,18.51,18.63,17.68,17.69,5085158.0,18.228,28893
2021-02-23,17.8,17.91,16.34,17.65,5321762.0,17.387,33534
2021-02-24,17.85,18.96,17.62,18.61,4312695.0,18.525,22855
2021-02-25,18.6,19.09,17.77,18.15,4181518.0,18.371,22611
2021-02-26,18.09,18.32,17.1,17.79,3656815.0,17.699,21733
2021-03-01,18.09,18.53,17.58,18.44,5455269.0,18.046,24562
2021-03-02,18.52,19.42,18.34,18.44,3106008.0,18.883,18413
2021-03-03,18.69,19.05,18.21,18.42,3994866.0,18.518,19488
2021-03-04,18.4,19.12,17.81,18.31,6597260.0,18.42,38474
2021-03-05,18.62,18.75,16.99,17.98,5970374.0,17.742,32978
2021-03-08,18.05,18.25,17.27,17.37,5396018.0,17.656,29733
2021-03-09,17.12,17.87,16.89,17.72,5085343.0,17.567,28664
2021-03-10,17.86,19.15,17.76,18.77,6233314.0,18.759,36197
2021-03-11,18.77,19.63,18.36,19.44,3119730.0,19.161,17680
2021-03-12,19.49,19.67,18.57,18.75,2903374.0,18.953,17264
2021-03-15,18.68,19.03,18.48,18.68,2325892.0,18.674,12959
2021-03-16,18.49,18.87,18.33,18.64,1933125.0,18.654,11731
2021-03-17,18.39,18.99,18.35,18.85,2385755.0,18.716,13849
2021-03-18,18.68,18.84,17.46,17.6,4506624.0,18.053,21752
2021-03-19,17.6,18.62,17.11,18.47,4397379.0,18.128,21375
2021-03-22,18.31,18.73,18.07,18.47,2202899.0,18.458,13467
2021-03-23,18.36,18.74,17.82,17.94,4142063.0,18.22,24038
2021-03-24,18.19,18.45,17.53,17.54,3515015.0,17.801,21175
2021-03-25,17.36,18.66,17.11,18.59,6218607.0,18.146,36384
2021-03-26,18.99,19.85,18.61,19.71,4811889.0,19.477,31309
2021-03-29,19.55,20.36,19.23,19.27,3992186.0,19.563,24033
