date,open,high,low,close,volume,average,barCount
2020-07-13,194.32,195.48,191.73,192.0,12764.0,193.231,114
2020-07-14,192.99,197.8,191.58,197.15,13775.0,195.865,125
2020-07-15,198.46,201.79,196.84,200.57,18970.0,200.421,170
2020-07-16,200.25,203.88,200.08,202.25,11160.0,201.347,97
2020-07-17,202.76,206.87,201.37,203.76,18055.0,204.618,156
2020-07-20,201.56,209.33,201.56,204.84,10222.0,204.482,90
2020-07-21,207.81,207.81,204.67,206.07,11458.0,206.227,100
2020-07-22,206.43,208.95,205.12,208.01,10252.0,206.691,79
2020-07-23,206.58,211.62,206.58,207.82,12549.0,209.118,82
2020-07-24,209.42,209.42,204.05,206.25,11446.0,205.687,98
2020-07-27,206.55,210.93,203.94,210.42,12872.0,208.867,103
2020-07-28,209.03,210.0,206.2,209.02,12716.0,208.386,109
2020-07-29,209.54,211.69,208.07,210.0,8719.0,209.873,76
2020-07-30,208.68,213.23,208.68,209.24,11804.0,211.188,79
2020-07-31,213.42,213.42,205.78,210.12,18692.0,209.276,166
2020-08-03,212.05,214.99,211.44,214.78,19409.0,213.116,173
2020-08-04,212.8,216.0,212.37,213.58,17802.0,214.315,153
2020-08-05,215.14,218.72,213.42,216.44,10459.0,216.093,87
2020-08-06,217.19,218.98,215.68,217.04,12130.0,217.269,104
2020-08-07,215.76,218.37,215.51,217.2,13578.0,216.764,96
2020-08-10,218.16,218.23,215.21,216.82,13078.0,217.196,98
2020-08-11,218.52,219.53,217.28,217.54,10984.0,218.335,105
2020-08-12,218.95,219.96,216.1,216.1,9271.0,218.035,82
2020-08-13,215.47,216.78,212.67,215.72,16581.0,214.637,147
2020-08-14,216.87,219.8,215.79,217.32,9147.0,217.908,87
2020-08-17,217.18,220.6,215.0,220.55,7854.0,218.77,71
2020-08-18,220.45,222.59,217.58,222.31,17092.0,221.625,158
2020-08-19,222.63,223.87,220.08,222.7,10349.0,222.03,100
2020-08-20,221.17,223.3,220.1,221.23,10793.0,221.71,86
2020-08-21,220.43,220.43,210.15,212.63,23516.0,213.048,227
2020-08-24,211.19,214.99,206.58,209.09,22202.0,208.3,206
2020-08-25,209.11,212.18,208.58,211.58,19827.0,211.128,170
