date,open,high,low,close,volume,average,barCount
2020-07-13,226.26,226.93,222.52,224.89,179681.0,225.302,1390
2020-07-14,224.63,229.04,223.6,228.3,164586.0,227.28,1310
2020-07-15,230.84,232.26,226.0,226.27,143483.0,227.143,1066
2020-07-16,225.15,227.08,224.03,224.26,196198.0,224.893,1326
2020-07-17,225.02,226.0,222.0,223.17,242539.0,223.137,1828
2020-07-20,220.64,223.19,215.05,215.24,308825.0,216.872,2414
2020-07-21,216.06,219.17,214.96,215.72,214500.0,216.616,1697
2020-07-22,214.0,221.55,212.94,220.83,295456.0,219.292,2234
2020-07-23,219.97,221.8,212.84,216.33,225413.0,216.858,2038
2020-07-24,215.37,217.03,214.0,214.12,153611.0,214.847,1305
2020-07-27,212.48,213.19,209.34,212.56,234712.0,211.632,1824
2020-07-28,212.26,219.01,211.82,218.03,199805.0,216.345,1638
2020-07-29,219.31,220.08,214.16,219.15,243898.0,217.145,1620
2020-07-30,215.78,221.23,214.83,220.62,307162.0,219.578,2525
2020-07-31,220.38,221.92,216.0,220.74,253251.0,219.396,2173
2020-08-03,220.0,220.0,212.94,214.24,233870.0,214.715,2063
2020-08-04,212.5,214.99,208.06,214.27,372361.0,211.722,2784
2020-08-05,214.27,218.42,212.24,217.37,244084.0,216.721,2052
2020-08-06,216.02,221.13,215.65,219.98,211525.0,219.142,1724
2020-08-07,219.04,223.19,218.2,223.19,126692.0,221.726,1157
2020-08-10,224.0,226.16,221.47,223.48,136463.0,223.875,1227
2020-08-11,224.68,225.99,218.8,219.53,184989.0,221.21,1566
2020-08-12,220.44,221.82,217.36,221.21,123332.0,219.758,1109
2020-08-13,219.78,223.26,215.56,216.03,248806.0,218.126,2112
2020-08-14,215.38,221.64,214.91,219.15,364244.0,218.034,1455
2020-08-17,219.14,221.56,217.48,220.25,221817.0,219.447,1730
2020-08-18,220.65,221.58,216.28,218.73,132774.0,217.935,1201
2020-08-19,218.56,218.56,210.42,210.7,204482.0,212.28,1708
2020-08-20,210.06,214.74,209.9,212.51,146457.0,212.879,1260
2020-08-21,213.04,213.89,208.55,213.02,178283.0,211.235,1162
2020-08-24,212.31,215.14,209.17,215.14,187222.0,212.721,1320
2020-08-25,214.74,216.09,213.61,216.03,142764.0,215.14,1248
2020-08-26,214.08,214.72,210.96,212.8,266474.0,212.457,1902
2020-08-27,214.18,218.01,213.78,216.64,163771.0,216.348,1203
