date,open,high,low,close,volume,average,barCount
2020-07-13,87.01,89.17,86.63,87.43,952013.0,88.023,7200
2020-07-14,87.52,90.98,86.75,90.67,1430252.0,89.549,10324
2020-07-15,92.3,93.84,91.26,93.4,1728726.0,92.711,13373
2020-07-16,92.94,94.74,92.55,93.56,916158.0,93.695,7010
2020-07-17,94.14,95.25,93.63,94.57,1184915.0,94.464,8011
2020-07-20,94.05,94.16,92.43,92.78,883608.0,92.914,6460
2020-07-21,93.4,94.6,93.0,93.56,768085.0,93.778,5825
2020-07-22,93.16,94.42,93.12,93.97,477247.0,93.903,3659
2020-07-23,94.03,94.34,93.38,93.83,734751.0,93.859,5428
2020-07-24,93.97,94.5,93.05,93.61,629893.0,93.593,4388
2020-07-27,93.38,95.4,92.58,95.23,723120.0,94.743,5587
2020-07-28,94.76,95.18,93.3,93.34,875772.0,94.127,6602
2020-07-29,95.55,97.53,93.84,96.89,1467053.0,96.235,9910
2020-07-30,95.3,95.3,93.39,94.46,916674.0,94.048,6933
2020-07-31,94.14,94.17,91.72,93.13,945899.0,92.648,7430
2020-08-03,93.82,95.49,93.26,94.87,841329.0,94.931,6175
2020-08-04,94.19,94.8,93.26,94.65,585434.0,94.321,4316
2020-08-05,95.43,96.8,95.3,96.34,922846.0,96.332,6426
2020-08-06,96.17,96.77,95.54,96.51,516137.0,96.173,3998
2020-08-07,96.64,97.85,95.96,97.76,692629.0,97.049,5077
2020-08-10,97.92,99.96,97.58,99.76,1000616.0,99.402,7685
2020-08-11,100.31,103.73,100.28,102.18,1846933.0,102.67,12783
2020-08-12,103.33,103.45,102.11,102.55,1953309.0,102.721,11044
2020-08-13,101.03,101.92,100.6,101.43,1042507.0,101.458,7286
2020-08-14,100.67,101.84,100.35,100.89,710838.0,101.252,4951
2020-08-17,101.27,102.2,100.31,100.9,1047572.0,101.211,6370
2020-08-18,100.69,101.37,100.04,100.71,774973.0,100.748,5247
2020-08-19,100.34,101.51,99.53,100.48,854291.0,100.885,6190
2020-08-20,99.34,100.19,99.05,99.47,693013.0,99.73,5241
2020-08-21,99.58,101.19,99.32,100.59,1002118.0,100.576,6922
2020-08-24,101.39,102.89,100.76,102.88,1095337.0,102.147,6974
2020-08-25,103.6,103.82,101.82,102.82,809919.0,102.612,5422
2020-08-26,102.44,102.82,101.31,102.4,648710.0,102.356,4930
2020-08-27,102.88,103.26,101.46,102.09,500884.0,102.135,3543
2020-08-28,102.49,103.57,101.51,103.51,630821.0,102.713,4582
2020-08-31,103.07,103.5,101.76,102.1,633601.0,102.22,4829
2020-09-01,101.75,103.52,101.32,103.43,699667.0,102.95,4619
2020-09-02,103.5,106.07,103.08,105.57,853452.0,105.042,6360
2020-09-03,105.5,105.84,101.5,102.15,2145224.0,102.966,12982
2020-09-04,103.79,104.55,101.81,102.58,941639.0,103.22,7614
2020-09-08,101.59,102.18,99.87,100.48,722620.0,100.951,5632
2020-09-09,101.76,103.7,101.2,102.56,787353.0,102.618,5960
2020-09-10,103.0,103.98,100.64,101.0,823941.0,102.225,6593
2020-09-11,101.66,103.41,101.08,102.52,497502.0,102.638,3921
2020-09-14,103.31,103.92,102.63,103.18,918516.0,103.356,6348
2020-09-15,103.89,104.56,102.79,102.88,723840.0,103.515,5267
2020-09-16,103.59,105.39,103.0,104.39,1181596.0,104.544,8823
2020-09-17,103.31,105.47,102.09,105.01,624832.0,104.719,4650
2020-09-18,104.77,105.89,103.08,103.4,1195776.0,104.257,7580
2020-09-21,101.07,101.52,96.24,97.38,1270979.0,97.421,9829
2020-09-22,97.65,99.56,97.02,99.31,1071886.0,98.78,8124
2020-09-23,99.19,101.05,98.68,98.78,1241718.0,99.79,9166
2020-09-24,98.48,100.78,98.05,99.65,894085.0,99.737,6788
2020-09-25,98.6,100.75,98.4,99.96,871761.0,99.761,6267
2020-09-28,101.53,103.52,101.2,102.34,976716.0,102.703,7654
2020-09-29,102.49,102.49,100.87,101.18,684733.0,101.587,5575
2020-09-30,101.71,103.65,100.95,102.03,885907.0,102.387,6717
2020-10-01,102.71,103.21,99.66,100.59,827855.0,101.016,6265
2020-10-02,99.29,104.21,98.98,102.65,1378871.0,102.723,10458
2020-10-05,103.88,105.47,103.6,105.09,732179.0,104.923,5476
2020-10-06,105.31,106.79,104.33,104.44,912824.0,105.385,6097
2020-10-07,105.79,107.13,105.45,106.95,936220.0,106.472,6778
2020-10-08,107.38,107.92,106.23,107.48,598868.0,107.267,4624
2020-10-09,108.46,109.2,107.3,107.53,941357.0,108.246,6719
2020-10-12,108.61,109.63,108.0,108.21,727000.0,108.632,5113
2020-10-13,107.6,108.53,106.87,107.6,850906.0,107.75,6637
2020-10-14,107.89,109.46,107.65,108.19,455225.0,108.623,3304
2020-10-15,107.02,108.7,106.64,108.63,560179.0,107.861,3878
2020-10-16,109.36,111.19,108.81,109.26,1028365.0,109.953,6138
2020-10-19,109.69,109.86,107.33,107.89,721455.0,108.684,4574
2020-10-20,108.51,110.65,108.12,108.74,681539.0,109.271,4915
2020-10-21,108.31,110.06,108.24,108.28,579134.0,108.892,3832
2020-10-22,108.74,110.45,108.74,109.88,760038.0,109.822,4976
2020-10-23,110.66,111.65,109.7,109.81,619446.0,110.194,4663
2020-10-26,108.25,108.71,105.77,107.42,572088.0,106.81,3952
2020-10-27,107.43,107.71,105.18,105.42,568235.0,105.825,4502
2020-10-28,103.14,104.91,101.84,102.31,871749.0,102.73,6454
2020-10-29,101.84,105.15,101.52,104.22,671130.0,103.885,5361
2020-10-30,103.86,104.68,102.28,103.79,889562.0,103.192,6912
2020-11-02,105.66,107.71,105.25,107.34,1486005.0,106.91,9283
2020-11-03,108.8,111.99,106.92,111.25,1549514.0,110.288,11678
2020-11-04,110.33,110.81,104.34,105.9,1984509.0,106.904,14956
2020-11-05,107.78,110.49,107.36,109.81,1349288.0,109.552,9612
2020-11-06,109.84,111.18,109.25,109.96,672064.0,110.291,5064
2020-11-09,116.12,119.48,113.42,113.5,2049093.0,116.216,14867
2020-11-10,113.71,115.82,113.23,114.86,1305218.0,114.501,9530
2020-11-11,116.99,117.0,113.2,114.07,1118296.0,113.986,8496
2020-11-12,113.61,114.16,112.37,113.32,668258.0,113.073,5339
2020-11-13,114.0,115.24,113.49,114.45,979732.0,114.215,7383
2020-11-16,116.8,117.91,114.67,117.5,1268398.0,116.621,8743
2020-11-17,116.25,116.91,114.45,116.07,774056.0,116.167,5252
2020-11-18,116.14,118.05,115.66,116.75,769681.0,117.34,5016
2020-11-19,117.58,118.93,114.91,118.12,1540927.0,117.445,11258
2020-11-20,118.23,118.73,117.01,117.4,1464234.0,117.805,10732
2020-11-23,118.3,120.34,118.06,120.26,1487640.0,119.313,10407
2020-11-24,121.58,123.67,120.68,123.25,1903703.0,122.748,13657
2020-11-25,122.78,122.78,120.7,122.19,1186927.0,121.814,8601
2020-11-27,122.7,122.85,121.25,121.9,713504.0,121.818,5279
2020-11-30,121.8,122.15,120.01,121.11,1325053.0,120.902,10268
2020-12-01,122.58,123.43,120.61,120.7,1354765.0,121.837,7756
2020-12-02,119.61,120.99,117.99,118.92,1266830.0,119.051,8811
2020-12-03,118.79,119.44,116.4,116.73,2270961.0,117.483,13822
2020-12-04,116.94,119.66,116.94,118.82,824737.0,118.859,6511
2020-12-07,118.95,118.95,116.97,117.4,726989.0,117.683,5438
2020-12-08,116.83,118.54,116.27,117.86,689258.0,117.781,5279
2020-12-09,118.42,118.99,116.8,117.89,901231.0,117.511,6938
2020-12-10,117.13,117.13,114.77,115.15,761874.0,115.675,5881
2020-12-11,114.31,115.97,114.1,115.6,745963.0,115.388,5632
2020-12-14,115.86,116.47,113.83,113.84,1063532.0,114.849,7546
2020-12-15,114.83,117.13,113.79,116.54,1237159.0,115.797,9403
2020-12-16,116.6,116.69,115.07,115.37,970126.0,115.701,5898
2020-12-17,115.81,116.14,114.13,115.29,1046250.0,114.975,7971
2020-12-18,115.03,116.48,114.3,116.08,1613433.0,115.234,8875
2020-12-21,115.18,117.55,113.95,116.98,1065257.0,116.163,7885
2020-12-22,117.18,117.63,115.72,116.61,781190.0,116.663,5894
2020-12-23,117.33,118.66,116.98,117.02,623560.0,117.545,4396
2020-12-24,117.2,118.08,116.01,118.07,201761.0,117.189,1405
2020-12-28,119.07,119.96,117.66,117.72,658260.0,118.571,4611
2020-12-29,118.24,118.54,116.04,117.16,539492.0,117.121,3890
2020-12-30,117.87,119.6,117.55,119.3,787989.0,119.044,5489
2020-12-31,119.27,120.4,118.73,120.14,582155.0,119.743,3584
2021-01-04,120.3,121.58,117.87,118.75,1174701.0,119.4,8419
2021-01-05,118.23,120.54,118.18,120.01,701207.0,119.699,4852
2021-01-06,122.31,128.36,122.16,126.45,2160014.0,126.609,13373
2021-01-07,127.79,130.0,126.43,129.09,1732637.0,128.997,11163
2021-01-08,129.28,129.9,125.14,126.88,1606090.0,126.95,10991
2021-01-11,125.2,127.77,125.13,126.96,901622.0,126.952,6081
2021-01-12,126.74,128.61,126.16,128.34,980597.0,127.944,6119
2021-01-13,127.91,128.34,125.3,125.41,1570923.0,126.164,10053
2021-01-14,126.23,126.6,124.19,124.62,2328323.0,125.089,14332
2021-01-15,122.88,123.4,121.0,123.17,1689513.0,122.53,10124
2021-01-19,124.58,126.96,124.01,125.5,1229422.0,125.668,8843
2021-01-20,125.55,126.49,124.36,125.98,842534.0,125.83,5321
2021-01-21,125.93,126.87,124.9,125.13,710305.0,125.616,5179
2021-01-22,124.43,125.22,122.93,124.43,811416.0,124.357,5735
2021-01-25,123.96,124.23,121.29,121.82,1001051.0,122.115,6354
2021-01-26,122.53,122.61,120.5,120.74,719671.0,121.533,5130
2021-01-27,118.68,118.68,114.01,114.86,1361807.0,115.545,9991
2021-01-28,115.92,119.71,115.52,118.29,865584.0,118.586,6343
2021-01-29,117.83,121.75,116.74,117.7,1475602.0,118.942,11479
2021-02-01,119.0,122.17,118.33,121.54,2044178.0,120.592,15061
2021-02-02,121.75,123.43,118.65,120.44,3844680.0,120.674,21854
2021-02-03,120.89,121.55,119.0,119.54,1268136.0,119.852,9920
2021-02-04,119.74,120.89,119.01,120.54,1325817.0,120.074,9870
2021-02-05,122.04,122.69,120.06,121.94,1308975.0,121.508,9357
2021-02-08,122.7,123.04,119.42,120.22,1737874.0,120.347,13265
2021-02-09,120.45,120.61,118.6,119.83,1158009.0,119.913,7693
2021-02-10,121.59,122.79,120.87,121.76,2174675.0,121.79,12131
2021-02-11,122.34,123.98,121.46,123.53,1636080.0,122.709,10521
2021-02-12,122.59,124.2,122.32,123.98,1064616.0,123.111,6598
2021-02-16,126.0,126.38,124.95,125.0,1385752.0,125.686,9780
2021-02-17,123.3,125.34,123.3,125.03,845987.0,124.537,6252
2021-02-18,124.24,125.73,124.1,125.19,1003991.0,124.985,7436
2021-02-19,126.37,128.67,126.03,127.8,1467271.0,127.746,9175
2021-02-22,127.22,131.72,126.7,130.85,1695391.0,130.271,12648
2021-02-23,130.77,131.5,127.4,130.86,1941468.0,130.08,14604
2021-02-24,131.31,133.92,131.03,132.68,1926733.0,132.73,11738
2021-02-25,132.8,133.58,129.69,130.16,1738180.0,131.397,10266
2021-02-26,130.48,132.04,128.58,130.19,1331778.0,130.57,10335
2021-03-01,132.01,135.84,131.3,134.24,1508726.0,134.384,9746
2021-03-02,134.26,134.92,133.34,133.97,1289063.0,134.25,9391
2021-03-03,137.04,138.18,135.02,135.53,2145757.0,137.011,15687
2021-03-04,134.46,136.55,131.46,134.45,1551726.0,134.396,12088
2021-03-05,136.34,137.92,132.21,137.39,1466356.0,135.529,11369
2021-03-08,138.69,141.05,137.6,139.44,1411824.0,139.772,10082
2021-03-09,139.9,139.9,136.2,136.25,1790541.0,137.893,13602
2021-03-10,136.9,140.35,136.22,139.25,1416397.0,138.798,10774
2021-03-11,139.58,141.38,138.96,139.21,935661.0,139.964,7146
2021-03-12,140.32,141.0,139.46,140.77,1027916.0,140.178,7152
2021-03-15,137.89,139.59,136.56,139.55,2279972.0,137.979,17769
2021-03-16,139.55,139.55,135.81,136.83,1596887.0,137.115,11651
2021-03-17,137.3,138.53,136.06,138.0,1558798.0,137.373,12512
2021-03-18,138.2,139.76,136.68,136.96,1837788.0,138.286,14923
2021-03-19,136.64,136.68,133.18,133.26,3776397.0,135.431,21702
2021-03-22,133.6,135.34,132.24,134.86,1452364.0,134.138,11739
2021-03-23,133.92,135.88,132.33,132.93,1026421.0,133.749,7946
2021-03-24,134.01,136.19,133.85,134.45,1050561.0,135.175,8041
2021-03-25,133.73,136.46,131.86,135.82,832761.0,134.403,6397
2021-03-26,136.97,138.86,136.31,138.69,1186497.0,137.777,8813
2021-03-29,138.0,139.6,137.75,138.55,1222414.0,138.665,9093
2021-03-30,138.58,140.18,138.45,139.66,1067458.0,139.555,8573
2021-03-31,140.06,141.29,138.25,138.28,1102606.0,139.163,8160
2021-04-01,139.03,139.78,137.96,139.49,958912.0,139.001,6997
2021-04-05,141.39,143.24,140.43,142.36,1018255.0,142.328,7715
2021-04-06,142.17,143.29,140.87,141.12,760596.0,141.887,5661
2021-04-07,140.71,141.49,139.67,140.38,1344960.0,140.148,5755
2021-04-08,139.98,140.56,138.78,139.9,1005560.0,139.974,7541
2021-04-09,140.7,141.05,139.03,140.45,1350183.0,140.017,8995
2021-04-12,140.2,141.6,140.2,141.29,832618.0,141.004,6142
2021-04-13,140.5,140.77,138.35,139.8,752807.0,139.396,4924
2021-04-14,139.85,141.24,139.7,140.24,895185.0,140.392,5551
2021-04-15,140.87,141.22,139.91,140.8,957827.0,140.535,6543
2021-04-16,142.46,143.09,140.41,141.15,805833.0,141.463,5207
