date,open,high,low,close,volume,average,barCount
2020-07-13,49.1,49.3,47.92,48.17,1784234.0,48.6215,7560
2020-07-14,48.2,49.14,48.17,48.82,1460686.0,48.7615,5072
2020-07-15,49.48,49.63,48.01,48.12,2157896.0,48.533,9145
2020-07-16,48.26,49.33,48.05,49.17,1285640.0,48.9805,5248
2020-07-17,49.53,50.27,49.29,50.22,964440.0,49.925,3117
2020-07-20,50.0,50.11,49.06,49.2,869298.0,49.3805,3419
2020-07-21,50.18,50.19,49.35,49.77,1423428.0,49.805,5199
2020-07-22,49.65,51.92,49.22,51.57,2168260.0,51.2345,8187
2020-07-23,51.61,52.48,51.33,52.01,1331956.0,52.0565,5300
2020-07-24,52.09,52.49,50.98,51.33,1108224.0,51.3695,4194
2020-07-27,51.21,51.21,50.37,50.87,779714.0,50.732,2968
2020-07-28,50.63,51.71,50.63,51.34,1133336.0,51.337,4580
2020-07-29,51.74,52.71,51.22,52.07,1718936.0,51.7145,6928
2020-07-30,51.54,52.44,51.3,52.32,1123302.0,52.173,4285
2020-07-31,52.02,52.63,51.85,52.57,1103094.0,52.276,4558
2020-08-03,52.57,52.65,51.13,51.31,1185234.0,51.5515,4424
2020-08-04,51.25,52.05,51.1,51.58,854496.0,51.5155,3549
2020-08-05,51.7,51.75,50.17,50.18,1317714.0,50.5765,4893
2020-08-06,50.13,51.17,50.0,51.15,1181924.0,50.833,4282
2020-08-07,51.02,52.4,51.02,52.34,1091524.0,52.0465,4245
2020-08-10,52.57,52.98,52.25,52.85,868934.0,52.697,3298
2020-08-11,52.94,53.27,50.86,51.06,2315946.0,51.4525,6959
2020-08-12,50.82,51.5,50.46,50.83,1628462.0,51.012,5858
2020-08-13,50.6,50.95,50.25,50.87,790402.0,50.7165,2762
2020-08-14,50.77,51.08,50.1,50.47,873104.0,50.4605,3011
2020-08-17,50.48,51.02,50.15,50.3,809832.0,50.515,3034
2020-08-18,50.37,50.51,49.47,50.05,1006650.0,49.8725,3764
2020-08-19,50.12,50.26,49.46,49.49,660608.0,49.7315,2490
2020-08-20,49.24,49.45,48.46,48.85,1165030.0,48.8565,3732
2020-08-21,49.07,49.12,48.38,49.07,1125428.0,48.8625,3525
2020-08-24,49.25,49.43,48.59,49.32,979984.0,49.0355,3130
2020-08-25,49.48,49.53,48.71,48.91,870674.0,48.9245,2882
2020-08-26,48.63,48.68,48.09,48.13,1392470.0,48.272,4541
2020-08-27,48.35,48.77,47.78,48.63,1672956.0,48.3225,6269
2020-08-28,48.73,49.56,48.4,49.48,1466480.0,49.0815,5896
2020-08-31,49.32,49.82,49.21,49.57,1347570.0,49.5655,4738
2020-09-01,49.48,49.48,48.51,48.85,1150754.0,48.9585,4363
2020-09-02,48.86,50.55,48.66,50.24,1005648.0,50.0845,4002
2020-09-03,50.46,50.75,48.49,49.0,2217480.0,49.267,8406
2020-09-04,49.27,49.36,48.4,48.95,1236470.0,48.95,4865
2020-09-08,48.9,49.28,48.02,48.98,1732776.0,48.8095,5474
2020-09-09,49.18,49.94,49.13,49.19,962030.0,49.5215,3879
2020-09-10,49.09,49.26,47.88,47.93,1038264.0,48.3465,4266
2020-09-11,47.98,47.98,47.34,47.73,1189254.0,47.6445,4612
2020-09-14,48.04,48.71,47.95,48.36,907796.0,48.4395,3264
2020-09-15,48.69,49.24,48.02,48.27,900368.0,48.5125,3740
2020-09-16,48.15,48.81,48.06,48.42,1238792.0,48.472,4329
2020-09-17,48.05,48.88,47.54,48.82,1636626.0,48.579,6546
2020-09-18,48.72,48.95,47.67,47.72,1744714.0,48.2005,5070
2020-09-21,47.33,47.99,46.65,47.42,1414962.0,47.32,4833
2020-09-22,47.41,48.94,47.28,48.64,2002468.0,48.502,6924
2020-09-23,48.67,48.83,47.54,47.59,1587796.0,48.053,5901
2020-09-24,47.44,48.13,46.82,47.89,1477324.0,47.5595,5775
2020-09-25,47.69,48.52,47.52,48.49,910838.0,48.0715,3700
2020-09-28,48.8,49.01,48.27,48.34,908168.0,48.5425,3717
2020-09-29,48.48,48.64,47.57,47.89,952822.0,48.0315,3806
2020-09-30,48.3,49.48,48.26,49.27,1956062.0,49.0615,7430
2020-10-01,49.41,50.68,49.34,50.64,1960928.0,50.137,7164
2020-10-02,50.25,52.11,50.09,51.83,3731538.0,51.5595,11205
2020-10-05,51.71,52.53,51.17,52.41,1354040.0,52.1685,4776
2020-10-06,52.63,53.93,52.33,53.02,2144866.0,53.2185,7412
2020-10-07,53.45,53.5,52.12,52.35,1862190.0,52.6155,7483
2020-10-08,52.56,53.69,52.47,53.6,996042.0,53.359,3882
2020-10-09,53.65,53.68,52.57,52.93,1255010.0,52.8915,4355
2020-10-12,52.99,53.37,52.71,53.1,1300944.0,53.0415,4498
2020-10-13,52.73,53.43,52.55,53.24,1768066.0,53.0035,6566
