date,open,high,low,close,volume,average,barCount
2020-07-13,26.63,26.91,26.46,26.72,4458247.090169682,26.7091605,22091
2020-07-14,26.68,27.15,26.54,27.01,6943762.445659796,26.9066892,32894
2020-07-15,27.17,27.52,27.03,27.13,5178357.874070958,27.247551,26504
2020-07-16,27.16,27.4,26.97,27.14,4606624.59683074,27.1926423,21859
2020-07-17,27.56,28.18,27.38,28.1,7646704.529519002,27.846555,31644
2020-07-20,27.87,27.99,27.18,27.33,5523110.363202917,27.4272522,24175
2020-07-21,27.43,27.75,27.2,27.62,7749433.459542842,27.589839,35281
2020-07-22,27.28,27.83,26.98,27.8,11737365.025943065,27.6504525,53915
2020-07-23,27.85,28.02,27.4,27.55,6558603.281447203,27.6426084,25690
2020-07-24,27.47,27.76,26.74,26.96,5593568.9244145285,27.0863904,26242
2020-07-27,27.01,27.1,26.41,26.8,6059282.008133502,26.6535387,27551
2020-07-28,26.7,27.52,26.68,27.08,8105572.850932549,27.1598397,31121
2020-07-29,27.11,27.5,26.96,27.5,5991696.816715748,27.247551,26684
2020-07-30,27.13,27.45,26.78,27.43,4637125.227878278,27.2340021,20875
2020-07-31,27.32,27.55,27.06,27.53,6472484.924975459,27.268944,27866
2020-08-03,27.37,27.42,26.88,27.09,5136281.026503997,27.1199061,21664
2020-08-04,26.76,27.76,26.63,27.63,7707983.452531202,27.368778,37796
2020-08-05,27.59,27.75,26.75,26.9,5683512.831299958,27.047883,24463
2020-08-06,26.88,27.06,26.63,27.03,4876366.568503716,26.9302215,21768
2020-08-07,27.03,27.85,26.91,27.76,5443324.919366148,27.5491923,22383
2020-08-10,27.77,28.02,27.06,27.32,8998395.736923292,27.4229736,37627
2020-08-11,27.48,27.63,26.9,27.03,7325915.018931426,27.1248978,32973
2020-08-12,27.08,27.76,27.03,27.6,5248923.012200253,27.5484792,24625
2020-08-13,27.21,27.29,26.91,27.06,4369468.517739448,27.0913821,20735
2020-08-14,26.92,27.11,26.78,27.05,3608561.211611275,27.0100887,15763
2020-08-17,26.88,26.9,26.49,26.63,4842348.899172626,26.6663745,21467
2020-08-18,26.72,26.83,26.31,26.43,4421858.084420138,26.4923781,18848
2020-08-19,26.5,26.67,26.31,26.4,5080883.466554481,26.4260598,20220
2020-08-20,26.53,26.56,25.87,25.89,3629441.873510027,26.042412,15391
2020-08-21,25.96,26.09,25.65,26.04,6738965.08203618,25.9254636,21566
2020-08-24,26.19,26.91,26.06,26.88,6269075.8659374565,26.6207361,27202
2020-08-25,26.94,26.96,26.28,26.48,3923871.8272332074,26.5159104,17382
2020-08-26,26.37,26.6,26.06,26.58,6249183.845183004,26.4253467,23689
2020-08-27,26.49,26.79,26.16,26.31,5231907.165895387,26.3697249,25058
2020-08-28,26.31,26.43,26.13,26.41,3613012.2002524193,26.2763088,14256
2020-08-31,26.34,26.61,26.21,26.32,3259329.6872808863,26.3896917,15115
2020-09-01,26.17,26.21,25.76,25.91,4433953.162249334,25.9133409,18347
2020-09-02,26.06,27.26,25.85,27.12,10781054.55055392,26.8075683,40886
2020-09-03,27.13,27.35,26.27,26.59,8439882.204459403,26.8225434,36040
2020-09-04,26.8,26.88,26.13,26.45,6034944.608049362,26.505927,30055
2020-09-08,26.22,26.45,25.72,25.97,6023651.66175852,25.9739544,28924
2020-09-09,26.23,26.46,26.06,26.15,4315424.204178937,26.2477848,21159
