date,open,high,low,close,volume,average,barCount
2021-02-10,43.0,50.0,43.0,44.99,1671104.0,45.76,4249
2021-02-11,45.47,45.47,42.75,42.8,1468643.0,43.905,5066
2021-02-12,43.01,43.5,41.55,42.51,2019791.0,42.919,3566
2021-02-16,44.2,45.54,43.01,43.55,1129297.0,43.947,3297
2021-02-17,44.03,44.6,43.5,44.26,1756227.0,44.144,5389
2021-02-18,44.24,45.0,42.78,43.0,1447542.0,43.956,3603
2021-02-19,43.66,44.63,43.01,44.0,983057.0,43.956,3946
2021-02-22,44.84,45.03,43.65,43.84,1262678.0,44.243,4280
2021-02-23,43.95,43.95,42.0,43.66,825647.0,42.802,3853
2021-02-24,43.24,45.08,42.64,45.0,3095115.0,43.841,2906
2021-02-25,45.32,45.5,44.1,44.75,2346661.0,44.965,3135
2021-02-26,44.56,44.94,43.41,44.18,417533.0,44.143,2160
2021-03-01,44.45,45.28,44.08,44.67,676407.0,44.52,2403
2021-03-02,44.67,46.75,44.67,45.3,582288.0,45.643,3985
2021-03-03,45.51,47.64,45.22,47.25,1049139.0,46.59,4637
2021-03-04,47.66,48.79,45.79,46.18,581399.0,46.946,4527
2021-03-05,47.0,47.08,44.02,45.03,859866.0,45.278,5239
2021-03-08,44.69,45.13,43.01,44.37,1006590.0,43.989,4365
2021-03-09,43.69,44.94,43.61,44.28,125527.0,44.444,1027
2021-03-10,44.26,44.87,43.77,44.75,428737.0,44.472,1974
2021-03-11,44.75,45.82,44.51,45.34,439618.0,45.267,3357
2021-03-12,46.13,46.31,44.89,45.75,533265.0,45.68,4157
2021-03-15,45.92,46.25,45.1,45.75,566187.0,45.6,3269
2021-03-16,45.78,45.88,43.94,44.81,620909.0,44.661,3751
2021-03-17,44.87,45.6,44.2,45.28,480229.0,44.987,3028
2021-03-18,44.92,45.25,43.22,43.5,793273.0,43.929,4752
2021-03-19,43.3,43.76,42.8,43.31,452889.0,43.368,3094
2021-03-22,43.23,43.5,41.92,42.75,470961.0,42.672,2971
2021-03-23,42.28,42.72,41.04,41.7,357489.0,41.851,2256
2021-03-24,42.5,42.8,41.28,41.6,560537.0,42.079,3674
2021-03-25,41.15,42.33,40.0,42.16,584018.0,41.265,3519
2021-03-26,42.27,43.34,42.14,43.33,257797.0,42.928,1538
2021-03-29,43.4,43.51,42.34,42.52,136445.0,42.659,1152
