date,open,high,low,close,volume,average,barCount
2020-07-13,84.45,86.07,81.48,81.58,2814805.0,83.371,20172
2020-07-14,81.13,82.65,80.31,82.47,1440092.0,81.765,10233
2020-07-15,86.5,91.29,86.13,90.23,4165553.0,89.451,27019
2020-07-16,88.6,89.07,86.45,87.17,1721380.0,87.577,12073
2020-07-17,87.12,87.25,85.57,86.87,1114247.0,86.455,8211
2020-07-20,86.81,87.55,84.53,86.89,1448087.0,86.269,10452
2020-07-21,87.53,89.11,86.7,87.53,1351463.0,87.724,10177
2020-07-22,86.79,87.8,85.99,87.68,1502113.0,87.118,10979
2020-07-23,87.1,87.23,83.75,85.17,2115274.0,85.566,15574
2020-07-24,84.47,85.6,83.28,83.72,1653287.0,84.06,12449
2020-07-27,83.4,84.8,80.7,84.42,1848527.0,82.986,11501
2020-07-28,84.17,85.48,83.48,83.68,1068207.0,84.613,7364
2020-07-29,84.01,85.67,82.27,85.32,1240403.0,84.227,9090
2020-07-30,83.92,85.08,81.48,84.93,1878777.0,83.671,13351
2020-07-31,80.83,81.32,76.75,81.01,7962297.0,79.131,50115
2020-08-03,81.1,82.29,79.42,79.96,2580554.0,80.478,16579
2020-08-04,79.86,81.4,79.07,79.74,2878893.0,80.028,19586
2020-08-05,80.96,82.8,80.5,82.58,1726744.0,81.629,11327
2020-08-06,81.81,85.58,81.48,84.21,2239983.0,83.851,15374
2020-08-07,83.48,84.05,80.89,82.56,2214851.0,82.223,15742
2020-08-10,83.11,86.37,83.1,84.91,1527570.0,84.767,10769
2020-08-11,87.2,90.69,87.2,88.12,3013990.0,89.408,20634
2020-08-12,87.95,88.99,85.73,86.95,1238414.0,86.877,9199
2020-08-13,86.95,88.76,86.14,86.97,1025095.0,87.693,7247
2020-08-14,86.56,86.99,85.44,86.73,1077642.0,86.253,6756
2020-08-17,87.37,87.83,85.66,87.7,1069975.0,86.984,8238
2020-08-18,87.16,88.72,86.68,88.5,1158739.0,87.986,8143
2020-08-19,88.14,88.82,87.0,87.68,1782101.0,87.792,11176
2020-08-20,86.77,89.21,86.76,88.67,801653.0,88.304,5801
2020-08-21,88.23,91.3,87.97,91.1,1505430.0,90.26,9938
2020-08-24,92.09,95.97,91.55,95.46,2748923.0,94.644,16049
2020-08-25,95.59,96.63,93.33,96.42,1786639.0,95.276,10505
2020-08-26,96.23,96.82,94.94,95.11,1426349.0,95.75,8241
2020-08-27,96.1,98.48,95.77,97.73,2092207.0,97.483,12652
2020-08-28,98.73,101.45,97.9,100.89,1959109.0,100.001,10529
2020-08-31,101.05,101.05,98.07,98.15,1801579.0,99.44,10667
2020-09-01,97.6,99.34,96.69,99.25,1373724.0,98.444,8083
2020-09-02,100.86,103.49,99.2,102.94,2936242.0,101.456,12956
2020-09-03,101.98,104.05,99.21,100.29,2564117.0,101.132,14377
2020-09-04,99.73,102.29,97.08,99.8,2099868.0,99.71,13501
2020-09-08,98.02,100.84,97.48,99.27,1103495.0,99.683,8522
2020-09-09,99.36,99.76,96.95,99.23,1383702.0,98.619,8796
2020-09-10,99.45,101.19,97.15,97.24,1543091.0,98.968,11401
2020-09-11,96.03,96.59,92.12,94.74,2147016.0,94.61,16606
2020-09-14,96.25,96.53,94.72,95.92,1278176.0,95.578,9961
2020-09-15,96.84,99.26,96.12,97.4,974356.0,97.822,7894
2020-09-16,97.75,101.38,97.26,99.03,1218152.0,99.777,9082
2020-09-17,97.23,98.12,94.41,96.79,1229891.0,96.27,9009
2020-09-18,97.28,97.31,92.97,93.8,1961643.0,94.423,13475
2020-09-21,91.17,92.38,89.83,91.29,2299514.0,90.918,16777
2020-09-22,91.94,94.19,90.67,93.95,1701964.0,92.66,11783
