date,open,high,low,close,volume,average,barCount
2020-07-13,96.65,96.87,95.63,96.0,560832.0,96.206,4553
2020-07-14,96.44,97.79,96.08,97.3,519313.0,97.296,4138
2020-07-15,98.08,98.61,97.35,98.08,568487.0,97.944,3911
2020-07-16,97.79,98.38,96.41,96.7,654599.0,97.199,4610
2020-07-17,96.89,99.09,95.78,98.68,778850.0,98.146,5304
2020-07-20,98.48,98.79,96.64,96.97,571298.0,97.234,2903
2020-07-21,97.47,97.99,96.4,96.77,438802.0,97.035,2872
2020-07-22,96.24,98.42,95.83,97.94,339695.0,97.781,2857
2020-07-23,97.51,97.98,96.41,96.96,355777.0,97.104,2206
2020-07-24,97.7,98.07,95.25,95.4,536523.0,95.983,3477
2020-07-27,95.15,95.87,94.1,95.56,306118.0,95.197,2337
2020-07-28,95.77,99.71,95.77,99.59,431749.0,98.372,3474
2020-07-29,99.88,101.19,99.29,100.86,558813.0,100.287,3002
2020-07-30,99.86,101.81,99.43,101.51,616578.0,101.165,3630
2020-07-31,101.39,103.44,100.15,103.34,434868.0,102.096,3039
2020-08-03,102.56,102.56,101.16,101.92,666254.0,101.911,4789
2020-08-04,102.11,105.79,101.59,105.12,594745.0,104.513,4430
2020-08-05,105.67,105.96,101.28,102.27,633405.0,102.996,4792
2020-08-06,100.94,101.57,97.4,101.1,850999.0,100.397,5802
2020-08-07,100.81,104.26,100.59,103.76,647812.0,103.39,4850
2020-08-10,104.11,105.78,103.67,105.03,430351.0,104.99,3330
2020-08-11,105.9,106.36,102.6,102.99,377541.0,103.957,2638
2020-08-12,103.32,103.73,101.97,103.49,371627.0,102.962,2745
2020-08-13,103.11,104.65,102.51,103.03,434095.0,103.261,2371
2020-08-14,103.03,105.22,103.03,104.21,368769.0,104.385,2722
2020-08-17,104.22,104.72,103.42,104.68,458713.0,104.083,3207
2020-08-18,104.75,105.52,103.98,105.09,388815.0,104.974,2993
2020-08-19,104.5,104.76,101.98,102.2,266860.0,102.78,2011
2020-08-20,102.01,104.21,101.89,104.16,251532.0,103.772,1909
2020-08-21,104.53,105.43,104.04,105.31,346176.0,104.847,2376
2020-08-24,105.31,106.74,104.75,106.24,310066.0,105.919,2150
2020-08-25,106.43,106.69,104.65,106.06,546390.0,105.476,3203
2020-08-26,105.31,105.84,103.86,105.8,278358.0,105.07,2131
2020-08-27,106.38,106.96,106.19,106.53,311900.0,106.601,2152
2020-08-28,106.54,106.76,105.23,106.74,312153.0,106.013,2599
2020-08-31,106.02,106.97,105.4,106.55,307497.0,106.416,2502
2020-09-01,106.99,107.41,105.65,106.85,236362.0,106.757,1841
2020-09-02,106.79,108.51,106.13,108.46,478238.0,107.811,3372
2020-09-03,109.3,109.95,107.31,108.15,251119.0,108.046,2068
2020-09-04,108.13,109.21,106.27,108.35,424229.0,107.971,3178
2020-09-08,107.9,109.25,106.47,108.03,367709.0,107.955,2609
2020-09-09,108.8,112.5,108.8,110.82,425875.0,110.671,3470
2020-09-10,110.42,110.71,109.31,109.88,213986.0,110.174,1824
2020-09-11,109.98,112.34,108.95,111.19,377692.0,111.336,2268
2020-09-14,110.89,111.62,110.58,111.33,291206.0,111.356,2377
2020-09-15,111.18,112.51,110.32,111.15,209620.0,111.323,1756
2020-09-16,111.67,113.19,111.07,112.29,407780.0,112.518,3434
2020-09-17,111.42,112.36,109.92,111.21,381999.0,110.764,2843
2020-09-18,110.2,111.0,109.24,109.32,612514.0,110.001,3377
2020-09-21,107.93,109.61,105.55,107.56,604481.0,107.945,4625
2020-09-22,107.25,109.19,107.25,107.84,569807.0,108.05,4367
2020-09-23,107.85,107.85,103.58,104.39,660691.0,105.536,4718
2020-09-24,104.97,105.47,103.1,103.92,532471.0,104.233,4458
2020-09-25,103.43,105.71,102.73,105.45,881375.0,104.434,6341
2020-09-28,107.02,108.73,106.37,108.12,419238.0,107.96,3021
2020-09-29,107.89,108.56,106.39,107.24,268621.0,107.325,2091
2020-09-30,107.78,108.3,106.13,106.99,607054.0,107.378,3891
2020-10-01,107.31,109.78,107.09,109.24,641123.0,108.671,4779
2020-10-02,108.69,112.86,107.48,112.39,577481.0,111.377,4031
2020-10-05,113.0,113.14,108.61,112.79,743762.0,111.475,5118
2020-10-06,113.43,114.29,110.95,111.95,751731.0,112.482,5443
2020-10-07,112.58,113.19,111.28,112.53,505789.0,112.462,3653
2020-10-08,112.76,113.96,112.59,113.75,534724.0,113.406,3961
2020-10-09,114.47,114.54,112.18,113.35,507334.0,113.267,3255
2020-10-12,113.42,114.1,111.75,113.91,309258.0,113.487,2271
2020-10-13,114.4,114.4,110.64,113.15,1423739.0,112.323,8961
2020-10-14,113.48,113.82,112.71,113.37,496767.0,113.311,3791
2020-10-15,112.88,115.12,112.79,114.94,792709.0,114.576,5829
2020-10-16,114.7,115.5,114.13,114.63,683496.0,114.801,4692
2020-10-19,114.81,115.07,113.45,113.73,421917.0,113.961,3549
2020-10-20,114.58,115.47,113.93,114.37,430840.0,114.595,3320
2020-10-21,114.67,116.34,114.24,115.35,494175.0,115.109,3536
2020-10-22,115.08,117.65,115.08,117.46,506853.0,116.971,4084
2020-10-23,118.0,118.7,117.06,118.66,497137.0,118.117,3939
2020-10-26,118.04,118.72,116.13,118.61,821936.0,117.567,6116
2020-10-27,118.77,120.29,116.99,117.09,551240.0,117.932,4542
2020-10-28,116.6,117.52,114.38,115.7,512536.0,115.865,3655
2020-10-29,115.72,117.02,115.04,116.32,579211.0,116.141,4665
2020-10-30,115.58,116.99,114.32,115.95,414648.0,115.549,3558
2020-11-02,116.55,117.55,115.14,115.85,780499.0,116.141,5765
2020-11-03,116.83,117.53,115.6,116.85,1340660.0,116.644,10734
2020-11-04,117.0,119.62,116.32,117.35,1023452.0,118.188,7920
2020-11-05,117.46,119.03,113.55,113.9,1098151.0,114.811,5337
2020-11-06,114.83,116.04,112.44,112.72,998490.0,113.791,7151
2020-11-09,119.64,121.07,106.77,106.92,1366275.0,111.871,10289
2020-11-10,106.92,115.51,106.33,115.51,1083915.0,113.45,8262
2020-11-11,116.06,118.12,114.63,117.99,814110.0,117.039,5976
2020-11-12,118.17,118.3,114.46,115.58,315840.0,115.64,2639
2020-11-13,117.57,117.92,116.13,117.72,368911.0,117.161,2873
2020-11-16,119.2,119.32,115.05,117.91,500734.0,116.931,4228
2020-11-17,117.23,118.33,116.23,117.87,540728.0,117.871,4088
2020-11-18,117.84,117.91,113.12,113.12,380426.0,115.556,3197
2020-11-19,112.84,113.61,111.25,112.62,372685.0,112.143,3074
2020-11-20,112.33,113.01,111.34,112.69,257198.0,112.345,1888
2020-11-23,112.85,113.94,110.55,110.89,494760.0,111.896,3747
2020-11-24,111.64,111.81,109.5,110.0,357461.0,110.182,2931
2020-11-25,110.41,112.23,109.95,111.99,316584.0,111.631,2346
2020-11-27,111.87,111.87,109.25,110.0,123403.0,110.179,1035
2020-11-30,109.64,112.74,109.64,112.73,494332.0,111.755,3709
2020-12-01,112.93,114.18,111.66,113.66,468557.0,113.304,3885
2020-12-02,113.27,114.49,111.06,111.42,293420.0,111.995,2384
2020-12-03,111.63,113.6,111.29,113.5,421809.0,112.821,2962
2020-12-04,113.72,114.9,112.51,114.35,359408.0,113.809,2605
2020-12-07,113.6,115.36,113.6,115.0,556678.0,114.851,3528
2020-12-08,114.96,115.0,113.16,113.58,265125.0,114.07,2179
2020-12-09,113.57,113.8,111.3,112.5,315267.0,112.348,2275
2020-12-10,112.07,113.43,109.99,110.02,736971.0,110.764,4491
