date,open,high,low,close,volume,average,barCount
2020-07-13,355.0,357.21,341.22,342.14,129205.0,348.582,899
2020-07-14,340.04,352.05,339.16,351.57,98199.0,347.356,816
2020-07-15,356.0,356.0,349.07,351.84,82503.0,351.854,606
2020-07-16,349.77,352.56,346.03,350.05,95209.0,349.476,747
2020-07-17,352.33,356.85,350.03,353.74,72384.0,353.861,622
2020-07-20,354.95,356.09,352.64,355.25,111648.0,354.581,893
2020-07-21,356.98,357.52,352.75,354.67,83915.0,355.563,751
2020-07-22,354.69,357.9,351.0,354.51,68001.0,353.945,521
2020-07-23,354.53,358.78,348.0,348.1,124986.0,351.965,920
2020-07-24,347.02,352.26,345.73,347.94,102747.0,349.213,739
2020-07-27,347.26,351.6,347.26,349.38,85322.0,349.871,678
2020-07-28,348.68,349.92,341.96,342.76,99684.0,344.632,820
2020-07-29,342.16,350.2,342.16,347.37,89604.0,347.747,713
2020-07-30,342.2,347.09,341.0,345.72,76361.0,344.911,613
2020-07-31,347.63,347.63,339.65,346.3,91479.0,343.512,659
2020-08-03,349.91,351.58,347.89,348.81,99916.0,349.547,813
2020-08-04,346.54,348.82,342.76,347.29,79286.0,345.09,533
2020-08-05,348.74,352.63,346.81,350.06,80248.0,350.481,688
2020-08-06,350.0,353.82,347.4,353.37,62871.0,351.224,452
2020-08-07,353.27,358.83,353.06,355.82,70413.0,355.697,590
2020-08-10,354.98,357.11,351.18,356.26,64153.0,355.167,565
2020-08-11,357.6,360.88,352.18,355.76,73289.0,357.28,635
2020-08-12,358.04,363.18,358.04,360.16,60593.0,360.354,465
2020-08-13,358.67,360.61,354.47,355.96,69283.0,357.445,588
2020-08-14,356.0,358.63,351.1,354.59,66107.0,355.974,494
2020-08-17,355.7,359.35,352.7,355.53,76301.0,356.673,550
2020-08-18,356.56,362.67,356.56,360.81,42617.0,360.288,360
2020-08-19,360.5,363.64,359.45,360.92,56171.0,361.376,502
2020-08-20,358.81,360.73,356.05,356.24,33599.0,357.808,283
2020-08-21,356.09,358.36,353.57,356.1,46127.0,355.772,360
2020-08-24,359.47,362.1,355.55,357.37,65372.0,357.391,549
2020-08-25,358.44,358.44,355.25,356.0,77955.0,356.316,671
2020-08-26,355.0,359.14,354.71,355.96,118221.0,356.788,944
2020-08-27,358.1,359.62,352.94,353.93,89021.0,356.284,688
2020-08-28,354.46,355.89,351.91,352.92,57613.0,353.618,494
2020-08-31,353.0,360.85,350.12,350.4,114236.0,352.028,901
2020-09-01,350.68,352.16,350.0,351.08,66273.0,350.957,515
2020-09-02,352.65,356.33,351.13,354.05,116497.0,354.698,1025
2020-09-03,353.54,353.73,337.65,339.18,114088.0,342.922,860
2020-09-04,341.02,341.3,327.0,332.47,140102.0,331.987,900
2020-09-08,327.99,328.68,320.13,322.6,151282.0,323.448,1313
2020-09-09,327.38,336.33,326.12,332.67,77123.0,333.045,700
2020-09-10,333.19,334.11,323.24,325.05,83672.0,328.176,690
2020-09-11,326.89,329.88,324.96,327.04,73022.0,327.307,607
2020-09-14,331.46,335.69,329.73,333.42,135147.0,331.824,975
2020-09-15,336.72,338.31,334.33,336.33,35059.0,336.466,296
2020-09-16,337.16,342.29,333.48,334.12,68696.0,337.14,549
2020-09-17,329.37,336.02,328.86,333.04,69767.0,331.904,578
2020-09-18,335.7,339.66,333.13,336.4,155701.0,336.487,1084
2020-09-21,330.33,338.18,327.65,336.84,128380.0,333.943,1004
2020-09-22,337.44,341.86,330.84,338.8,96201.0,336.204,753
