date,open,high,low,close,volume,average,barCount
2020-07-13,41.18,41.49,40.65,40.84,1882532.0,41.121,13146
2020-07-14,40.82,41.38,40.6,40.92,3103678.0,40.994,18756
2020-07-15,41.63,41.78,40.8,40.82,3385655.0,41.118,21889
2020-07-16,40.8,41.43,40.66,41.29,2094079.0,41.167,13759
2020-07-17,41.48,42.35,41.35,42.14,2455231.0,41.977,14354
2020-07-20,41.91,42.02,41.24,41.26,2052961.0,41.446,14168
2020-07-21,41.64,41.65,33.6,34.25,37791469.0,36.84,162768
2020-07-22,29.01,29.7,22.85,27.09,124320046.0,26.887,425997
2020-07-23,27.71,28.8,26.96,27.4,47838639.0,28.026,165043
2020-07-24,27.94,30.15,27.83,29.48,35368091.0,29.235,123005
2020-07-27,29.75,30.36,28.25,29.28,18391726.0,29.254,77660
2020-07-28,29.0,30.26,28.88,29.14,12256677.0,29.529,58753
2020-07-29,29.41,29.73,28.42,28.64,9679872.0,28.874,44641
2020-07-30,28.42,29.29,28.25,28.87,8992003.0,28.863,42092
2020-07-31,28.7,29.2,28.38,29.0,8477588.0,28.849,38733
2020-08-03,28.9,29.29,28.48,29.19,6854580.0,28.949,34700
2020-08-04,29.26,29.91,29.06,29.64,6445392.0,29.539,36137
2020-08-05,29.89,29.89,28.65,28.94,6750756.0,29.016,34374
2020-08-06,28.46,29.4,28.34,29.18,5276730.0,29.09,26353
2020-08-07,28.95,29.65,28.92,29.44,6561014.0,29.283,28698
2020-08-10,29.6,30.39,29.59,30.06,5218870.0,30.056,28808
2020-08-11,30.18,30.32,29.36,29.9,6396698.0,29.716,29671
2020-08-12,29.9,30.21,29.65,29.87,4482466.0,29.908,23473
2020-08-13,29.82,30.23,29.42,29.6,4539172.0,29.778,27895
2020-08-14,29.6,29.76,29.22,29.33,2755866.0,29.426,15092
2020-08-17,29.22,29.41,28.84,28.94,3868787.0,29.055,20060
2020-08-18,28.86,29.16,28.66,28.88,2974068.0,28.879,16561
2020-08-19,28.9,28.95,28.49,28.64,3438322.0,28.706,14276
2020-08-20,28.46,28.75,28.21,28.36,5585194.0,28.454,20140
2020-08-21,28.44,28.45,27.92,28.11,5089575.0,28.144,21828
2020-08-24,28.25,28.39,27.9,28.31,3732127.0,28.21,18737
2020-08-25,28.4,28.46,27.9,27.94,3932379.0,27.998,18716
