date,open,high,low,close,volume,average,barCount
2020-07-13,143.21,144.8,139.93,140.26,632712.0,142.632,4462
2020-07-14,141.0,143.97,140.17,143.91,349059.0,142.866,2959
2020-07-15,147.65,149.22,144.64,146.93,536980.0,146.642,4571
2020-07-16,146.2,147.58,145.45,147.44,254920.0,146.771,2211
2020-07-17,147.75,150.0,146.45,149.43,504300.0,149.125,4427
2020-07-20,150.4,153.84,150.4,152.37,330604.0,152.431,2608
2020-07-21,152.46,155.81,151.94,154.36,523304.0,154.581,4224
2020-07-22,153.94,155.63,153.16,154.84,269592.0,154.701,2196
2020-07-23,155.0,156.36,154.07,154.71,412827.0,155.234,3469
2020-07-24,154.21,155.28,151.48,152.34,392502.0,152.589,2917
2020-07-27,152.88,154.22,149.89,151.24,693547.0,151.516,5350
2020-07-28,145.01,145.34,136.37,137.97,3065098.0,139.371,18098
2020-07-29,138.51,140.81,136.57,137.74,992992.0,138.517,6645
2020-07-30,136.51,137.15,134.64,135.0,517924.0,135.577,3540
2020-07-31,136.19,136.35,133.54,135.9,797655.0,134.56,4445
2020-08-03,135.3,139.42,135.3,139.05,641967.0,137.861,4463
2020-08-04,138.91,141.33,138.58,140.68,483265.0,140.078,3784
2020-08-05,140.25,140.93,138.36,140.79,381895.0,139.926,3014
2020-08-06,140.0,141.86,140.0,141.34,356920.0,141.327,2806
2020-08-07,141.0,141.75,139.96,140.58,409936.0,140.842,3282
2020-08-10,140.59,140.85,138.03,139.62,366393.0,139.26,2892
2020-08-11,140.0,140.71,137.15,137.75,325060.0,138.844,2368
2020-08-12,138.11,139.19,136.3,138.29,336694.0,138.119,2445
2020-08-13,137.95,138.99,136.17,136.89,519693.0,137.042,3418
2020-08-14,136.4,136.89,135.07,136.05,439885.0,135.778,3022
2020-08-17,136.46,136.82,134.31,134.81,324861.0,135.043,2395
2020-08-18,135.07,135.35,133.86,134.53,181543.0,134.42,1521
2020-08-19,134.93,135.98,134.36,134.68,189020.0,134.926,1370
2020-08-20,133.76,135.36,133.27,134.34,311079.0,134.42,2406
2020-08-21,133.84,135.57,133.34,135.32,297313.0,134.535,2359
2020-08-24,136.39,137.38,135.67,136.19,226985.0,136.17,1828
2020-08-25,135.76,136.32,133.41,133.75,240346.0,134.142,1904
2020-08-26,133.22,135.63,133.15,133.81,429926.0,134.238,2991
2020-08-27,133.34,133.95,127.9,128.76,739178.0,129.59,5149
2020-08-28,129.18,131.34,129.18,130.27,268630.0,130.393,2201
2020-08-31,131.61,132.86,129.8,132.33,432965.0,131.415,3388
2020-09-01,131.24,132.25,129.13,131.1,319794.0,130.45,2280
2020-09-02,131.55,133.7,130.9,132.61,368888.0,132.673,2774
2020-09-03,129.91,131.1,126.73,128.68,366180.0,128.48,2933
2020-09-04,129.0,129.25,125.92,127.14,248078.0,127.248,1944
2020-09-08,125.34,126.2,121.89,122.14,337340.0,123.286,2576
2020-09-09,123.7,124.19,121.77,123.3,265728.0,122.829,1715
2020-09-10,124.5,124.5,119.83,120.04,251120.0,121.37,1953
2020-09-11,120.92,122.04,118.91,119.99,210598.0,120.067,1803
2020-09-14,121.0,122.28,120.49,121.64,301812.0,121.673,2238
2020-09-15,122.52,123.07,121.34,121.49,230836.0,122.084,1968
2020-09-16,122.04,124.37,121.64,123.53,360605.0,123.6,2833
2020-09-17,121.29,124.58,120.12,123.26,387297.0,123.226,3007
2020-09-18,122.67,123.09,120.11,120.84,451656.0,121.345,2700
2020-09-21,119.29,119.29,116.79,117.77,396887.0,117.888,2956
2020-09-22,118.67,120.42,117.16,120.35,337548.0,118.738,2426
2020-09-23,121.22,122.11,118.45,118.87,409205.0,120.11,3016
2020-09-24,117.89,119.71,117.65,118.91,284970.0,118.721,2171
2020-09-25,118.48,120.61,118.0,119.99,256290.0,119.225,2010
2020-09-28,121.77,123.49,121.53,123.37,367663.0,123.03,2816
2020-09-29,122.94,125.03,122.48,124.01,471723.0,124.214,3382
2020-09-30,124.03,124.65,122.31,122.77,373845.0,123.447,2454
2020-10-01,123.38,123.86,122.19,123.07,263502.0,123.172,2105
2020-10-02,122.41,123.38,121.77,122.5,273301.0,122.495,1503
2020-10-05,123.87,125.45,123.49,125.37,336882.0,124.741,1640
2020-10-06,126.38,128.2,125.08,125.42,295463.0,126.897,1992
2020-10-07,127.07,128.38,126.57,127.63,352559.0,127.721,2128
2020-10-08,128.09,128.96,127.42,128.06,440676.0,128.349,2952
2020-10-09,128.43,128.74,125.56,127.56,334591.0,127.212,2030
2020-10-12,127.83,128.96,125.84,128.75,360117.0,127.402,3029
2020-10-13,128.08,128.6,126.05,126.53,352084.0,126.986,2742
2020-10-14,126.75,129.53,126.75,129.11,421314.0,128.478,3090
2020-10-15,127.52,132.65,127.42,132.27,469408.0,131.093,3357
2020-10-16,132.02,134.09,130.68,132.7,428680.0,133.087,2988
2020-10-19,132.94,134.18,132.01,132.28,257550.0,133.048,1867
2020-10-20,133.52,133.82,128.73,129.27,413481.0,130.54,3316
2020-10-21,129.81,130.61,127.12,127.43,502418.0,128.316,3910
2020-10-22,127.47,127.77,125.19,127.33,526720.0,126.76,3564
2020-10-23,130.91,131.12,127.37,128.36,511174.0,128.532,3895
2020-10-26,126.81,127.53,122.25,125.57,1057562.0,124.741,7875
2020-10-27,131.99,139.79,130.66,136.26,1947323.0,135.67,13100
2020-10-28,134.95,136.39,133.06,134.22,1152900.0,134.56,8540
2020-10-29,134.01,134.29,131.39,133.57,595451.0,133.249,4607
2020-10-30,132.42,133.57,131.35,132.94,666744.0,132.487,5161
2020-11-02,132.39,134.29,129.43,131.23,613667.0,131.805,4357
2020-11-03,131.76,136.8,131.46,135.93,397391.0,135.242,3044
2020-11-04,136.21,136.76,133.68,134.0,393357.0,134.852,3082
2020-11-05,134.87,141.8,134.48,140.85,667691.0,139.665,4501
2020-11-06,140.95,144.62,139.72,144.37,640705.0,143.074,4982
2020-11-09,160.29,162.5,150.55,154.97,1583233.0,154.461,10062
2020-11-10,154.92,158.7,153.12,157.91,947041.0,156.575,6956
2020-11-11,157.52,161.36,156.86,159.66,534426.0,159.246,3932
2020-11-12,161.04,161.04,156.55,157.12,275896.0,158.522,2210
2020-11-13,158.73,160.1,158.33,159.46,358723.0,159.425,2859
2020-11-16,162.87,166.67,162.15,162.99,508812.0,163.445,3629
2020-11-17,161.1,162.45,159.27,162.09,331765.0,160.832,2779
2020-11-18,161.48,161.48,155.33,155.43,391368.0,158.178,3008
2020-11-19,156.83,160.81,156.3,160.2,495182.0,158.982,3929
2020-11-20,159.89,162.46,158.01,161.11,437500.0,160.909,3514
2020-11-23,161.22,162.46,160.0,162.2,406966.0,161.651,2851
2020-11-24,163.9,166.32,162.47,164.84,398650.0,165.285,3247
2020-11-25,166.91,167.0,163.33,164.75,346023.0,164.685,2847
2020-11-27,164.63,164.8,162.99,164.55,144408.0,163.954,1139
2020-11-30,163.72,164.61,160.84,162.81,388793.0,162.337,3102
2020-12-01,165.31,165.33,162.84,163.94,335679.0,163.89,2456
2020-12-02,163.9,165.14,163.26,164.26,152541.0,164.146,1142
2020-12-03,163.44,164.29,161.02,162.55,354752.0,162.769,2459
2020-12-04,162.67,166.32,162.07,166.07,216699.0,164.879,1795
2020-12-07,165.52,168.75,165.02,168.57,260885.0,167.511,1986
2020-12-08,167.81,171.5,167.64,170.0,321752.0,170.094,2309
2020-12-09,169.92,171.38,169.1,170.58,247512.0,170.582,1797
2020-12-10,168.64,172.05,167.04,171.41,201880.0,171.2,1558
2020-12-11,169.68,173.34,169.3,172.39,345026.0,171.355,2762
2020-12-14,173.23,174.22,170.52,171.2,459052.0,172.379,3442
2020-12-15,172.81,175.59,168.47,174.55,605294.0,172.521,4337
2020-12-16,174.67,175.34,173.07,173.26,286763.0,173.957,2477
2020-12-17,174.38,175.0,171.52,174.5,236584.0,173.791,1979
2020-12-18,174.6,175.73,172.55,175.23,691223.0,174.444,4803
2020-12-21,172.64,174.86,170.0,174.29,285867.0,172.744,2390
2020-12-22,174.57,176.67,173.82,175.64,262377.0,175.557,2149
2020-12-23,176.98,177.08,175.28,175.86,139162.0,176.319,1113
2020-12-24,176.8,176.8,174.31,175.61,63777.0,175.292,475
2020-12-28,176.98,177.68,175.66,176.44,183887.0,176.58,1586
2020-12-29,177.96,178.09,173.88,175.09,191638.0,175.466,1555
2020-12-30,176.13,177.4,175.38,175.66,168007.0,176.3,1393
2020-12-31,176.32,176.38,175.0,175.94,206729.0,175.612,1436
2021-01-04,176.0,176.88,173.41,175.85,226415.0,175.318,1812
2021-01-05,176.0,177.87,173.95,177.25,374446.0,176.528,2622
2021-01-06,177.57,180.71,175.55,178.58,261410.0,178.653,2203
2021-01-07,178.2,180.89,178.06,180.1,755490.0,180.205,4886
2021-01-08,193.72,200.57,189.02,191.24,1266519.0,192.619,8484
2021-01-11,189.35,193.41,186.95,190.35,252602.0,191.402,1962
2021-01-12,190.03,193.43,189.83,192.97,190254.0,192.415,1498
2021-01-13,191.46,191.9,189.35,191.71,279745.0,191.065,2011
2021-01-14,193.81,198.07,192.5,193.43,323646.0,195.171,2338
2021-01-15,192.57,195.87,190.27,195.1,259701.0,194.366,2062
2021-01-19,195.4,198.67,195.2,196.8,280490.0,197.184,2370
2021-01-20,198.75,199.8,197.47,198.65,291333.0,198.786,2303
2021-01-21,199.03,201.07,197.97,201.0,458128.0,199.926,2496
2021-01-22,199.2,204.55,198.52,204.32,463582.0,202.305,3227
2021-01-25,209.46,211.01,203.84,207.25,816905.0,207.175,5663
2021-01-26,208.43,210.56,204.21,208.56,836924.0,207.344,4952
2021-01-27,203.15,208.55,196.38,201.22,2655243.0,202.114,17459
2021-01-28,203.9,203.91,198.2,201.35,395139.0,201.184,2857
2021-01-29,201.17,202.27,195.56,195.95,409747.0,197.931,2681
2021-02-01,195.57,198.64,194.12,196.35,407096.0,196.252,2765
2021-02-02,193.75,195.36,190.63,194.19,519648.0,193.892,3397
2021-02-03,194.2,196.26,192.44,194.91,248361.0,194.465,1947
2021-02-04,195.28,199.16,194.59,199.08,479763.0,197.08,3176
2021-02-05,199.08,201.27,196.82,199.14,285649.0,198.57,2460
2021-02-08,200.0,205.86,200.0,205.79,262374.0,204.293,2042
2021-02-09,204.51,206.27,203.29,205.34,261802.0,204.849,1931
2021-02-10,205.38,207.93,203.84,206.75,340113.0,206.618,2726
2021-02-11,207.26,208.33,203.42,206.27,289309.0,205.958,2234
2021-02-12,207.56,210.83,206.51,210.62,235666.0,209.266,1804
2021-02-16,209.48,213.8,207.66,208.35,284565.0,209.8,2393
2021-02-17,204.52,206.44,200.86,204.14,355529.0,204.329,2721
2021-02-18,202.49,204.28,198.55,199.03,396657.0,200.826,3200
2021-02-19,199.64,200.15,198.0,198.81,482526.0,199.129,3777
2021-02-22,196.61,197.95,192.1,192.79,652815.0,193.645,5602
2021-02-23,192.37,192.93,182.41,186.77,813810.0,185.825,6891
2021-02-24,186.38,189.84,185.16,189.5,557768.0,188.434,3723
2021-02-25,190.65,194.03,188.26,190.04,601705.0,190.639,4767
2021-02-26,190.05,192.26,184.53,189.98,358997.0,190.621,3192
2021-03-01,193.04,196.73,192.5,194.12,352244.0,195.117,2618
2021-03-02,194.75,195.37,191.39,192.16,199801.0,192.931,1656
2021-03-03,192.36,192.67,187.99,188.37,306874.0,189.703,2591
2021-03-04,187.74,189.26,184.0,186.03,391194.0,186.362,3292
2021-03-05,189.27,191.14,183.0,190.44,337828.0,187.731,2667
2021-03-08,189.17,192.56,188.23,188.24,304326.0,190.262,2569
2021-03-09,190.25,194.91,188.56,192.94,434016.0,193.093,3200
2021-03-10,195.65,195.66,191.25,191.7,236732.0,192.968,2076
2021-03-11,194.63,196.65,193.54,195.08,249582.0,194.894,2109
2021-03-12,195.0,196.97,191.01,196.18,256752.0,195.739,2136
2021-03-15,195.03,199.12,194.92,198.7,229326.0,197.721,1900
2021-03-16,199.46,202.52,197.25,201.06,308707.0,200.693,2409
2021-03-17,200.53,201.96,197.92,201.38,197447.0,200.039,1662
2021-03-18,199.5,203.15,198.36,200.29,329484.0,200.92,2958
2021-03-19,201.37,203.42,200.04,200.25,248553.0,201.33,1922
2021-03-22,200.25,204.28,199.76,202.94,275833.0,202.805,2237
2021-03-23,203.84,204.61,199.8,201.34,284525.0,201.963,2486
2021-03-24,202.04,202.04,197.63,197.71,225998.0,199.125,1997
2021-03-25,198.3,201.81,197.99,201.3,333884.0,200.588,2731
2021-03-26,201.26,210.45,201.17,210.44,454837.0,207.404,3876
2021-03-29,210.13,215.91,208.56,208.78,398149.0,211.737,3372
2021-03-30,207.13,209.39,204.69,207.63,306404.0,207.08,2572
2021-03-31,208.63,211.38,207.5,208.62,317205.0,209.275,2596
2021-04-01,210.44,211.72,206.67,211.11,238348.0,210.153,2055
2021-04-05,212.11,216.15,210.96,215.28,410153.0,214.657,3373
2021-04-06,214.0,215.45,213.2,215.35,229258.0,214.556,1680
2021-04-07,214.94,215.29,209.17,210.9,355330.0,210.891,2861
2021-04-08,205.37,211.97,205.01,211.55,374108.0,209.459,2901
2021-04-09,211.69,211.94,209.04,210.42,224044.0,210.29,1762
2021-04-12,209.58,210.42,205.81,207.2,270901.0,207.204,2196
2021-04-13,208.18,208.63,205.01,207.0,203901.0,206.921,1598
2021-04-14,206.34,209.95,205.49,209.32,310479.0,208.422,2559
2021-04-15,211.28,211.28,208.28,209.57,206026.0,209.665,1692
2021-04-16,210.62,211.84,208.96,209.77,253304.0,210.322,1947
2021-04-19,210.16,211.1,207.5,208.49,201012.0,208.839,1737
2021-04-20,208.94,209.9,204.93,207.01,200366.0,207.154,1600
2021-04-21,207.24,210.17,206.35,209.5,172877.0,209.058,1527
2021-04-22,209.05,210.45,207.42,208.46,179823.0,209.038,1616
2021-04-23,208.61,210.83,207.77,209.64,156100.0,209.972,1352
2021-04-26,209.1,211.58,208.71,210.74,186320.0,210.426,1544
2021-04-27,212.49,213.38,204.93,205.34,370317.0,206.94,2931
2021-04-28,189.8,191.76,184.0,186.7,2337508.0,186.066,17932
2021-04-29,187.1,190.99,187.01,190.56,597769.0,189.442,4158
2021-04-30,189.01,189.16,185.4,186.76,376995.0,186.886,3007
2021-05-03,183.24,187.49,183.24,183.7,513200.0,184.34,3063
2021-05-04,181.19,182.33,178.16,181.23,412141.0,180.13,2750
2021-05-05,182.33,183.0,178.59,180.71,319570.0,180.039,2426
2021-05-06,181.25,182.78,179.88,182.09,186590.0,181.316,1515
2021-05-07,182.01,185.27,181.12,184.28,221599.0,184.044,1706
2021-05-10,184.28,184.77,182.5,182.72,200631.0,183.564,1729
2021-05-11,180.7,183.14,177.85,182.6,252261.0,181.51,1887
2021-05-12,180.43,180.66,174.34,174.96,274355.0,176.069,2341
2021-05-13,176.83,179.88,176.05,179.32,187688.0,178.211,1539
2021-05-14,179.78,182.18,179.54,181.27,121671.0,181.343,1008
2021-05-17,179.78,181.48,179.01,180.65,94392.0,180.39,786
2021-05-18,181.13,181.33,179.64,180.64,200612.0,180.681,1700
2021-05-19,178.44,181.22,176.55,180.56,204750.0,179.827,1698
2021-05-20,180.33,185.68,179.45,185.06,219038.0,184.044,1827
2021-05-21,185.81,187.36,183.72,183.9,234643.0,185.295,1991
2021-05-24,185.6,187.53,185.42,185.52,139686.0,186.473,1235
2021-05-25,186.08,187.0,184.52,185.06,124983.0,185.266,1129
2021-05-26,185.08,186.25,183.93,185.07,103961.0,184.82,782
2021-05-27,185.76,188.35,185.12,187.2,207480.0,187.469,1495
2021-05-28,187.99,188.01,184.81,185.43,163219.0,185.854,1402
2021-06-01,177.92,181.51,176.74,179.2,404580.0,178.957,3204
2021-06-02,179.77,182.5,179.46,181.63,274611.0,181.207,2307
2021-06-03,181.32,185.12,180.09,184.06,247737.0,183.757,1892
2021-06-04,185.82,189.73,184.72,188.76,343293.0,188.408,2588
