date,open,high,low,close,volume,average,barCount
2020-07-13,138.33,138.73,135.1,135.48,2020450.0,137.09,16317
2020-07-14,134.99,136.46,133.23,136.42,2304756.0,135.04,19276
2020-07-15,138.05,140.93,137.55,140.43,2608309.0,139.968,19662
2020-07-16,139.54,139.94,138.18,138.85,1254411.0,138.888,9661
2020-07-17,139.44,141.21,138.43,140.47,1395885.0,140.125,10130
2020-07-20,140.4,141.97,139.19,141.55,1460612.0,140.956,11171
2020-07-21,142.49,144.2,141.99,143.4,2393932.0,143.447,16154
2020-07-22,143.76,144.96,143.19,144.77,1368718.0,144.254,10233
2020-07-23,144.86,148.17,144.19,144.99,2486570.0,146.068,17878
2020-07-24,144.04,144.62,142.68,143.7,1706936.0,143.553,12484
2020-07-27,143.6,144.73,142.33,143.44,1264109.0,143.896,8558
2020-07-28,142.96,144.09,142.4,142.63,1161008.0,143.383,8316
2020-07-29,142.69,145.18,141.91,144.73,1602510.0,144.419,10609
2020-07-30,142.61,145.52,142.02,145.2,2053469.0,144.356,10979
2020-07-31,144.89,146.4,144.19,146.31,2297263.0,145.215,15064
2020-08-03,147.12,149.36,146.88,148.93,3085681.0,148.527,19386
2020-08-04,146.73,149.26,145.0,147.2,4607363.0,147.057,25457
2020-08-05,148.48,148.88,145.02,146.5,5157002.0,146.832,28460
2020-08-06,145.82,147.69,145.48,147.0,3405452.0,146.456,19493
2020-08-07,146.23,147.98,145.4,147.78,2553726.0,146.802,11680
2020-08-10,148.0,148.43,145.24,146.16,2245864.0,146.346,12200
2020-08-11,146.42,146.57,142.71,143.05,1960258.0,144.651,14226
2020-08-12,143.74,144.9,143.15,143.82,1509742.0,144.054,11008
2020-08-13,142.75,145.61,142.75,145.2,1529879.0,144.865,11106
2020-08-14,145.13,145.3,143.2,143.88,970300.0,144.15,6405
2020-08-17,144.58,145.56,143.8,144.27,1931019.0,144.691,11484
2020-08-18,144.9,145.01,142.82,143.81,1806315.0,143.555,12285
2020-08-19,145.0,145.0,142.45,142.61,1637695.0,143.781,11833
2020-08-20,141.63,142.15,140.7,141.24,2570879.0,141.25,15808
2020-08-21,141.32,142.48,140.7,141.8,2123320.0,141.698,12103
2020-08-24,143.22,143.23,140.23,141.67,2306898.0,141.517,11232
2020-08-25,141.96,145.46,140.83,145.37,1846923.0,144.117,12259
2020-08-26,145.75,148.54,144.69,147.89,1905414.0,147.272,12574
2020-08-27,148.76,151.45,147.66,151.2,3018084.0,150.107,18041
2020-08-28,151.09,152.52,150.32,152.47,1660184.0,151.51,11283
2020-08-31,152.47,152.47,150.7,150.85,2372509.0,151.46,9745
2020-09-01,150.63,152.53,150.36,152.35,1717122.0,151.554,9064
2020-09-02,152.5,156.73,151.56,155.76,2069879.0,154.342,12593
2020-09-03,154.52,154.69,148.84,150.9,1463504.0,150.942,9788
2020-09-04,151.01,151.48,145.84,148.0,2014766.0,147.819,13141
2020-09-08,144.77,147.03,144.0,145.7,2928608.0,145.915,19773
2020-09-09,147.6,149.47,145.78,148.5,1780434.0,148.324,11452
2020-09-10,149.06,150.54,145.19,145.86,1414232.0,148.123,10274
2020-09-11,145.8,146.68,142.72,144.23,1363841.0,144.625,9734
2020-09-14,145.69,147.58,144.78,146.23,1825556.0,146.279,13371
2020-09-15,147.6,149.1,146.95,148.5,1430999.0,148.154,11471
2020-09-16,149.69,150.83,148.6,148.67,1330324.0,149.474,9585
2020-09-17,145.75,148.9,145.46,148.81,1613785.0,147.612,9784
2020-09-18,148.51,149.94,145.5,146.65,2152258.0,147.614,12688
2020-09-21,144.07,144.55,141.2,144.02,1819008.0,143.169,12608
2020-09-22,144.22,146.61,142.99,146.19,1475484.0,144.861,10016
2020-09-23,146.4,146.65,143.21,143.61,1054999.0,145.068,7758
2020-09-24,143.26,145.38,138.46,144.21,2261671.0,143.239,16009
2020-09-25,143.17,146.64,142.3,146.0,1414645.0,144.308,7953
2020-09-28,147.63,148.76,147.12,147.93,1024751.0,147.906,7508
2020-09-29,148.19,149.19,147.73,148.8,1177124.0,148.575,7881
2020-09-30,148.75,149.28,145.92,147.21,1976560.0,148.057,14387
2020-10-01,148.96,150.31,145.52,146.87,2146520.0,147.259,16728
2020-10-02,145.06,145.92,143.03,145.15,1289872.0,145.026,9891
2020-10-05,145.92,146.89,144.24,145.57,1412637.0,145.445,8881
2020-10-06,145.57,147.98,144.02,144.37,1252109.0,146.056,9470
2020-10-07,145.74,146.27,144.02,144.6,1897803.0,144.676,14026
2020-10-08,146.28,146.91,145.17,146.6,1108152.0,146.13,7719
2020-10-09,147.53,149.17,146.83,149.03,1384366.0,148.349,9014
2020-10-12,149.6,150.28,148.28,149.19,1986541.0,149.222,10357
2020-10-13,149.52,149.98,145.31,145.96,1566906.0,146.893,11378
2020-10-14,146.32,146.8,143.01,144.07,1624952.0,144.32,10094
2020-10-15,141.57,143.89,140.76,143.88,2428524.0,142.453,16799
2020-10-16,144.14,146.09,143.77,143.88,2760209.0,144.51,12272
2020-10-19,144.25,144.68,139.26,139.78,1985514.0,141.469,12724
2020-10-20,140.17,142.15,139.4,140.7,1725481.0,141.354,11208
2020-10-21,140.46,142.56,140.02,141.41,1235422.0,141.641,8664
2020-10-22,141.36,143.19,140.19,142.72,1080624.0,142.23,7816
2020-10-23,144.31,144.94,142.93,144.4,1704012.0,143.909,11334
2020-10-26,142.55,142.96,138.27,139.42,1639871.0,139.639,10058
2020-10-27,140.19,141.52,137.72,137.86,2095823.0,138.775,15204
2020-10-28,135.64,136.15,132.27,132.51,2900974.0,133.854,19378
2020-10-29,122.88,129.11,120.17,125.02,7540111.0,126.353,47286
2020-10-30,124.47,127.65,122.86,124.59,3979297.0,124.856,25687
2020-11-02,125.81,126.55,123.24,123.97,3015124.0,124.445,17493
2020-11-03,125.97,129.26,125.13,128.49,2198527.0,128.192,16121
2020-11-04,130.62,134.94,129.85,132.8,2413709.0,133.244,17816
2020-11-05,134.79,134.89,131.69,132.59,2669493.0,132.962,17140
2020-11-06,133.38,133.75,131.93,133.14,878939.0,133.051,6794
2020-11-09,141.37,146.04,140.0,141.69,4598219.0,142.999,32847
2020-11-10,141.56,145.14,141.02,144.36,2199514.0,143.76,16584
2020-11-11,144.14,144.24,141.7,143.55,1277943.0,143.152,8755
2020-11-12,143.84,144.03,141.7,142.17,1259315.0,142.915,9035
2020-11-13,142.77,145.5,142.54,144.72,1188658.0,144.28,8280
2020-11-16,147.0,148.25,145.87,147.89,1673069.0,147.058,8868
2020-11-17,146.96,148.79,145.18,146.97,1534312.0,147.028,10948
2020-11-18,146.56,146.56,144.97,144.97,1522973.0,145.85,9254
2020-11-19,144.9,148.0,142.84,147.7,2128724.0,146.683,14982
2020-11-20,147.4,147.55,144.11,144.17,1428445.0,145.579,10005
2020-11-23,144.66,146.36,144.15,145.32,1501769.0,145.098,11342
2020-11-24,146.23,149.44,145.43,148.92,1899456.0,147.914,11455
2020-11-25,148.25,148.65,145.98,147.97,1053932.0,147.143,7547
2020-11-27,148.83,149.71,147.71,148.28,557334.0,148.743,3804
