date,open,high,low,close,volume,average,barCount
2020-07-13,18.78,19.05,18.15,18.7,6497210.0,18.676,34723
2020-07-14,18.69,18.71,17.97,18.14,5796861.0,18.282,32715
2020-07-15,18.78,19.28,18.53,19.17,4925670.0,18.926,28652
2020-07-16,18.81,19.56,18.75,19.16,3160409.0,19.153,19824
2020-07-17,19.08,19.27,18.74,18.76,3464954.0,18.967,18937
2020-07-20,18.56,18.81,18.43,18.45,3032315.0,18.553,17774
2020-07-21,18.57,19.4,18.57,19.36,5412275.0,19.171,29447
2020-07-22,19.15,19.5,19.02,19.42,5045441.0,19.327,26609
2020-07-23,19.01,19.5,18.25,19.41,6146433.0,19.098,35594
2020-07-24,19.56,19.88,19.37,19.54,5552186.0,19.561,29308
2020-07-27,19.41,19.47,19.05,19.42,3833471.0,19.355,21456
2020-07-28,19.29,19.54,19.19,19.27,4624802.0,19.338,22321
2020-07-29,19.17,20.08,18.99,20.0,6054130.0,19.654,31927
2020-07-30,19.46,19.84,18.95,19.69,5148650.0,19.508,29514
2020-07-31,19.64,19.88,19.2,19.86,6195613.0,19.548,35430
2020-08-03,19.98,19.98,19.56,19.64,3504147.0,19.737,20453
2020-08-04,19.72,19.79,19.38,19.49,2539515.0,19.508,16002
2020-08-05,19.76,19.94,19.63,19.87,3406997.0,19.778,18719
2020-08-06,19.71,20.07,19.67,19.78,2891243.0,19.808,15594
2020-08-07,19.65,20.46,19.5,20.45,3321689.0,20.117,19207
2020-08-10,20.69,21.29,20.64,21.03,3515962.0,20.996,19219
2020-08-11,21.61,22.18,21.37,21.48,5232377.0,21.804,29126
2020-08-12,22.05,22.05,20.82,21.3,3816155.0,21.319,20705
2020-08-13,21.06,21.23,20.72,20.74,3019496.0,20.882,17129
2020-08-14,20.63,21.17,20.44,20.96,2528789.0,20.95,13391
2020-08-17,20.83,20.89,20.56,20.72,3404255.0,20.675,16533
2020-08-18,20.73,20.76,20.03,20.08,3848013.0,20.28,21839
2020-08-19,20.14,20.46,19.93,20.16,2916378.0,20.268,16695
2020-08-20,19.94,20.03,19.66,19.78,3621522.0,19.826,17898
2020-08-21,19.76,19.97,19.51,19.56,3064740.0,19.641,14316
2020-08-24,19.77,20.58,19.61,20.5,5548537.0,20.296,23971
2020-08-25,20.76,21.0,20.38,20.71,3905824.0,20.69,21118
2020-08-26,20.66,20.7,20.29,20.31,3958256.0,20.432,15991
2020-08-27,20.41,21.05,20.33,20.94,3758125.0,20.835,20479
2020-08-28,21.15,21.21,20.9,21.11,3511464.0,21.084,16336
2020-08-31,20.98,21.0,20.65,20.66,2846295.0,20.781,16803
2020-09-01,20.42,21.08,20.36,20.85,2686540.0,20.784,15779
2020-09-02,20.89,21.39,20.62,21.29,3777780.0,21.094,22591
2020-09-03,21.39,22.1,20.95,21.11,5129674.0,21.298,33172
2020-09-04,21.77,21.96,21.08,21.63,4258160.0,21.507,27413
2020-09-08,21.22,21.51,20.91,21.0,4504784.0,21.117,31044
2020-09-09,21.18,21.29,20.86,21.12,2442308.0,21.131,16577
2020-09-10,21.3,21.7,20.59,20.63,3938919.0,21.022,24703
2020-09-11,20.72,21.15,20.53,21.05,3094489.0,20.919,20665
2020-09-14,21.33,22.41,21.27,22.25,5302137.0,22.107,31827
2020-09-15,22.4,22.43,21.66,21.87,4748210.0,21.989,28555
2020-09-16,22.04,22.55,21.8,22.05,9161927.0,22.286,42111
2020-09-17,21.65,22.15,21.47,21.87,4158854.0,21.897,27208
2020-09-18,21.81,21.97,21.56,21.74,4217556.0,21.791,23947
2020-09-21,21.18,21.36,20.58,20.86,4533409.0,20.855,27960
2020-09-22,20.73,20.98,19.98,20.11,4695130.0,20.224,26683
2020-09-23,20.18,20.67,19.55,19.56,4395403.0,20.012,24514
2020-09-24,19.69,20.09,19.32,19.61,3275285.0,19.625,20558
2020-09-25,19.96,20.58,19.52,20.47,5681446.0,20.209,32898
2020-09-28,20.92,21.52,20.78,21.34,5180708.0,21.301,26541
2020-09-29,21.23,21.36,20.69,20.99,4847912.0,21.003,26734
2020-09-30,21.11,21.62,21.11,21.32,4511797.0,21.372,23496
2020-10-01,21.15,21.29,20.83,21.03,3543080.0,21.024,20569
2020-10-02,20.52,22.05,20.52,21.89,5429036.0,21.578,29229
2020-10-05,21.99,22.93,21.99,22.75,4331455.0,22.648,25249
2020-10-06,23.12,23.63,22.39,22.52,4824869.0,22.93,29805
2020-10-07,22.94,23.6,22.8,23.33,3260944.0,23.305,21141
2020-10-08,23.55,23.82,23.3,23.71,3246649.0,23.569,18518
2020-10-09,23.78,23.93,23.22,23.38,3989469.0,23.556,24444
2020-10-12,23.3,23.58,23.22,23.52,2981634.0,23.407,17800
2020-10-13,23.32,23.41,22.87,23.12,5049647.0,23.163,26633
2020-10-14,23.33,23.59,22.7,22.73,5101117.0,23.047,30733
2020-10-15,22.69,23.52,22.65,23.4,3973763.0,23.256,25224
2020-10-16,23.36,23.46,22.82,23.26,3359160.0,23.21,18765
2020-10-19,23.4,23.56,23.02,23.05,2898827.0,23.229,18071
2020-10-20,23.48,24.27,23.39,23.75,5368468.0,23.943,31264
2020-10-21,23.65,23.99,23.48,23.5,4129826.0,23.714,25169
2020-10-22,24.13,24.2,22.93,23.96,5429195.0,23.765,33438
2020-10-23,24.31,24.59,23.79,24.42,5062956.0,24.232,27519
2020-10-26,23.96,24.1,23.34,23.45,3442071.0,23.546,22280
2020-10-27,23.36,23.5,22.9,22.91,2942592.0,23.109,18570
2020-10-28,22.44,22.83,22.32,22.44,3895986.0,22.57,24474
2020-10-29,22.35,23.28,22.1,23.1,2876284.0,22.82,18155
2020-10-30,22.73,23.24,22.56,23.22,4285480.0,22.895,26783
2020-11-02,23.67,24.23,23.21,24.11,3494091.0,23.923,20087
2020-11-03,24.6,24.9,24.43,24.51,4340398.0,24.627,25131
2020-11-04,23.92,23.95,22.67,23.1,5091630.0,23.39,31128
2020-11-05,23.16,24.31,23.16,24.0,4945423.0,23.96,28945
2020-11-06,24.29,24.31,22.93,23.21,3832299.0,23.453,23940
2020-11-09,25.26,27.09,25.03,26.56,11540703.0,26.483,60165
2020-11-10,26.41,26.58,26.07,26.34,8144907.0,26.4,42593
2020-11-11,26.43,26.5,25.47,25.72,4708155.0,25.749,29385
2020-11-12,25.27,25.27,24.45,24.86,5755370.0,24.843,33708
2020-11-13,25.18,25.59,25.05,25.39,4800199.0,25.421,29009
2020-11-16,26.52,26.69,25.9,26.25,5619907.0,26.2,36502
2020-11-17,25.78,26.07,25.22,26.05,3906429.0,25.821,22842
2020-11-18,26.1,26.61,25.69,25.7,4282305.0,26.171,24762
2020-11-19,25.57,25.97,25.0,25.88,3788907.0,25.557,22501
2020-11-20,25.5,25.71,25.11,25.29,4411369.0,25.339,25936
2020-11-23,25.69,26.12,25.5,26.01,4378141.0,25.873,22630
2020-11-24,26.57,27.47,26.5,27.26,4687381.0,27.16,26652
2020-11-25,26.82,26.95,26.44,26.68,3884434.0,26.652,22433
2020-11-27,26.6,26.71,26.02,26.28,2236735.0,26.305,13906
2020-11-30,26.04,26.38,25.27,25.34,4455562.0,25.65,26104
2020-12-01,25.9,26.46,25.79,26.2,4429940.0,26.196,25916
2020-12-02,26.11,26.71,25.83,26.59,3836751.0,26.434,22500
2020-12-03,26.62,27.0,26.34,26.83,3455953.0,26.757,20110
2020-12-04,27.06,27.46,26.92,27.4,3836125.0,27.308,22566
2020-12-07,27.42,27.47,26.84,27.38,2767423.0,27.291,17659
2020-12-08,27.04,27.47,26.98,27.26,4953904.0,27.272,28357
2020-12-09,27.51,28.11,27.46,27.73,4036842.0,27.796,24209
2020-12-10,27.45,27.98,27.18,27.78,3218389.0,27.738,19916
2020-12-11,27.37,27.56,26.99,27.34,3054145.0,27.28,17387
2020-12-14,27.85,27.93,26.54,26.62,3418818.0,26.862,20829
2020-12-15,26.82,27.24,26.58,27.09,2365627.0,26.998,15125
2020-12-16,27.16,27.36,26.86,27.25,2021783.0,27.149,13055
2020-12-17,27.34,27.34,26.73,27.13,2473988.0,27.066,15276
2020-12-18,27.17,27.32,26.41,26.63,3226593.0,26.751,17038
2020-12-21,26.9,27.42,26.56,27.16,4152376.0,27.004,26372
2020-12-22,27.32,27.45,26.89,26.93,2469882.0,27.066,15658
2020-12-23,27.12,27.88,27.06,27.73,2825487.0,27.684,16861
2020-12-24,27.82,27.82,27.14,27.58,1187332.0,27.399,6806
2020-12-28,27.78,28.04,27.49,27.53,2006300.0,27.681,11122
2020-12-29,27.65,27.66,27.18,27.28,2098598.0,27.335,12629
2020-12-30,27.05,27.41,27.01,27.28,1697082.0,27.258,9836
2020-12-31,27.15,27.61,27.04,27.57,1660038.0,27.448,9044
2021-01-04,27.76,27.96,26.83,27.23,2900960.0,27.285,18339
