date,open,high,low,close,volume,average,barCount
2020-07-13,25.38,25.62,24.41,25.05,1215809.0,25.038,7946
2020-07-14,24.67,25.48,24.54,25.13,911211.0,25.128,6107
2020-07-15,25.33,26.38,25.33,26.25,1005677.0,26.07,7110
2020-07-16,25.97,26.54,25.89,26.39,639200.0,26.285,4282
2020-07-17,26.41,26.51,25.14,25.26,1621821.0,25.589,10934
2020-07-20,25.14,25.32,24.3,24.82,1053188.0,24.66,5941
2020-07-21,25.0,25.72,24.95,25.35,745508.0,25.35,5031
2020-07-22,25.25,25.9,25.19,25.87,651739.0,25.568,3355
2020-07-23,25.93,26.42,25.88,26.13,708627.0,26.122,4485
2020-07-24,26.42,27.2,26.18,26.49,646551.0,26.555,3893
2020-07-27,26.38,26.54,25.43,25.69,676493.0,25.912,3959
2020-07-28,25.64,26.11,25.44,25.71,504683.0,25.75,3110
2020-07-29,25.67,26.11,25.42,25.92,470502.0,25.753,3104
2020-07-30,25.45,26.01,25.26,25.88,417574.0,25.772,2633
2020-07-31,25.65,25.8,25.23,25.77,560368.0,25.511,3460
2020-08-03,25.87,26.32,25.43,26.25,489810.0,26.003,2932
2020-08-04,26.16,27.06,26.08,26.71,507983.0,26.715,3473
2020-08-05,26.0,26.16,24.28,24.85,1530210.0,24.932,7902
2020-08-06,24.96,25.41,24.72,25.16,1063840.0,25.038,6521
2020-08-07,24.93,25.17,24.46,24.89,1283218.0,24.771,8426
2020-08-10,24.9,25.05,24.4,24.68,1111743.0,24.604,7979
2020-08-11,24.89,25.72,24.87,24.94,1077508.0,25.316,7324
2020-08-12,25.22,25.37,24.82,25.21,753264.0,25.142,4863
2020-08-13,24.97,25.72,24.92,25.69,562404.0,25.54,4171
2020-08-14,25.69,26.09,25.41,25.82,446407.0,25.873,3271
2020-08-17,25.94,25.94,25.27,25.71,431899.0,25.585,2689
2020-08-18,25.77,25.95,25.63,25.73,730521.0,25.785,4792
2020-08-19,25.78,26.24,25.75,25.92,483915.0,25.977,3504
2020-08-20,25.73,26.05,25.58,25.92,425651.0,25.827,2769
2020-08-21,25.78,26.06,25.62,26.01,602306.0,25.877,3796
2020-08-24,26.01,27.19,25.99,27.05,901706.0,26.919,5964
2020-08-25,27.19,27.26,26.43,26.96,806842.0,26.865,5059
2020-08-26,26.8,27.32,26.75,27.15,808784.0,27.087,5461
2020-08-27,27.43,27.84,27.33,27.64,597088.0,27.625,4192
2020-08-28,27.78,27.97,27.51,27.92,509132.0,27.794,3436
2020-08-31,27.88,28.44,27.69,27.8,985848.0,28.019,6787
2020-09-01,27.36,27.56,27.07,27.49,905037.0,27.339,5629
2020-09-02,27.5,28.15,27.45,27.99,660150.0,27.941,4934
2020-09-03,28.28,28.74,27.36,27.51,1192550.0,27.873,8738
2020-09-04,27.94,28.09,27.39,27.76,927238.0,27.74,6717
2020-09-08,27.64,28.34,27.57,27.84,943035.0,28.008,7070
2020-09-09,27.96,28.46,27.47,28.29,1167408.0,28.071,9127
2020-09-10,28.24,28.79,27.95,28.15,1304131.0,28.378,9608
2020-09-11,28.15,28.64,27.68,28.14,862569.0,28.155,6822
2020-09-14,28.42,29.28,28.31,28.7,835438.0,28.794,6679
2020-09-15,28.79,29.04,28.43,28.64,815422.0,28.775,5606
2020-09-16,28.79,29.87,28.76,29.46,987462.0,29.471,6382
2020-09-17,28.72,29.29,28.4,28.77,1029182.0,28.755,7390
2020-09-18,28.72,28.73,27.62,28.0,1427569.0,28.218,8386
2020-09-21,27.61,27.7,26.43,26.89,911369.0,26.81,6594
2020-09-22,26.96,27.16,26.61,26.95,955658.0,26.888,6290
2020-09-23,27.03,27.06,25.85,25.98,810665.0,26.322,6292
