date,open,high,low,close,volume,average,barCount
2020-07-13,57.91,59.61,56.11,56.21,1285322.0,58.103,8912
2020-07-14,55.99,61.83,55.35,61.78,2553570.0,59.536,16410
2020-07-15,62.53,62.7,58.99,60.98,2116323.0,60.445,13812
2020-07-16,60.43,60.93,58.54,59.03,986210.0,59.277,7222
2020-07-17,59.39,61.34,59.24,61.0,902222.0,60.465,6555
2020-07-20,60.92,63.68,60.61,62.16,1167139.0,62.4,7919
2020-07-21,62.66,62.84,59.89,60.74,1090852.0,60.733,7899
2020-07-22,60.76,61.8,60.36,61.15,591341.0,61.124,4663
2020-07-23,61.9,63.47,60.77,62.5,1138331.0,62.349,7490
2020-07-24,61.42,62.37,60.57,62.16,815274.0,61.838,5814
2020-07-27,60.84,62.47,60.24,62.26,1034541.0,61.363,7020
2020-07-28,61.8,62.09,59.58,59.68,1259803.0,60.5,8540
2020-07-29,60.04,60.84,59.63,60.11,614437.0,60.272,4541
2020-07-30,59.56,59.95,58.5,59.7,749335.0,59.12,5385
2020-07-31,60.06,60.15,58.34,59.55,457176.0,59.091,3539
2020-08-03,60.0,61.01,59.29,60.84,542630.0,60.394,4017
2020-08-04,61.69,64.23,61.2,64.04,1081787.0,63.248,7334
2020-08-05,63.33,65.74,62.45,65.73,984938.0,64.532,6552
2020-08-06,64.86,65.36,63.13,64.46,1001949.0,64.204,6639
2020-08-07,69.09,78.54,68.95,72.93,4498595.0,74.104,25180
2020-08-10,72.93,74.99,71.35,72.5,1985268.0,73.29,13513
2020-08-11,72.83,72.85,69.5,70.19,1474234.0,70.788,10601
2020-08-12,70.09,74.94,69.63,73.53,1264013.0,73.297,6672
2020-08-13,73.24,76.53,73.15,75.71,1389126.0,75.535,8477
2020-08-14,75.71,76.2,74.02,74.31,768245.0,74.921,4514
2020-08-17,75.24,75.49,73.28,73.61,756419.0,73.933,4859
2020-08-18,73.91,74.92,72.82,74.41,841255.0,74.082,5571
2020-08-19,74.59,77.5,74.53,75.85,1091455.0,76.59,6336
2020-08-20,74.98,75.6,73.43,73.66,740566.0,74.395,4995
2020-08-21,73.75,74.91,73.33,74.1,533484.0,74.214,3958
2020-08-24,74.8,76.77,74.08,76.52,959963.0,75.725,5249
2020-08-25,77.18,78.17,74.73,77.37,1243209.0,76.834,7632
2020-08-26,78.21,80.09,76.94,78.19,1031880.0,78.733,6529
2020-08-27,78.19,79.95,77.01,77.61,770409.0,77.917,5039
2020-08-28,78.39,81.87,77.6,80.0,1386010.0,80.562,8483
2020-08-31,80.16,80.84,76.16,76.59,1744935.0,77.459,12183
2020-09-01,76.61,78.49,76.44,78.42,761780.0,77.497,5075
2020-09-02,79.0,79.16,75.83,77.45,677036.0,77.137,4961
2020-09-03,76.21,76.66,71.5,72.5,1691306.0,73.066,12342
2020-09-04,72.5,73.33,67.41,72.06,1211477.0,70.734,8674
2020-09-08,69.46,71.92,68.27,69.37,1082311.0,69.992,7447
2020-09-09,70.75,72.13,70.0,71.7,748301.0,71.391,4930
2020-09-10,72.39,73.02,69.53,69.89,591899.0,71.201,4134
2020-09-11,70.92,71.93,69.67,69.91,675165.0,70.374,4749
2020-09-14,71.09,71.73,70.1,71.46,382710.0,70.994,2973
2020-09-15,72.65,74.05,72.03,72.89,817176.0,73.225,5843
2020-09-16,73.78,74.75,71.62,71.96,716550.0,73.026,5197
2020-09-17,66.03,66.79,63.61,64.0,8170585.0,64.542,40909
2020-09-18,64.18,64.79,61.0,61.75,3080440.0,62.372,19947
2020-09-21,60.48,62.3,60.25,61.67,2363711.0,61.587,16529
2020-09-22,62.16,62.2,60.56,61.55,1357080.0,61.512,9879
2020-09-23,62.07,63.84,61.8,62.02,2123593.0,62.828,12825
2020-09-24,61.2,62.2,59.52,61.3,1420618.0,61.369,10418
2020-09-25,60.98,63.56,60.4,63.05,1420811.0,62.717,9791
2020-09-28,64.26,65.58,63.93,65.37,1268129.0,64.935,8866
2020-09-29,65.5,66.0,64.7,65.76,1164836.0,65.493,8478
