date,open,high,low,close,volume,average,barCount
2020-07-13,29.18,29.32,26.09,26.22,11835775.0,27.6536,15396
2020-07-14,26.56,27.28,25.73,26.9,6238015.0,26.5394,8693
2020-07-15,26.2,26.31,24.85,25.86,9965210.0,25.5314,13727
2020-07-16,25.54,25.7,24.96,25.47,4606510.0,25.3704,6597
2020-07-17,25.52,25.93,25.08,25.82,4749755.0,25.496,6449
2020-07-20,25.82,27.03,25.77,26.96,4002870.0,26.5366,5136
2020-07-21,27.2,27.24,26.31,26.73,3943910.0,26.693,5527
2020-07-22,27.18,27.48,26.74,26.86,3514285.0,27.0226,4844
2020-07-23,26.88,27.68,26.75,27.03,4717590.0,27.1192,7002
2020-07-24,26.62,26.87,26.07,26.61,2542200.0,26.5658,3575
2020-07-27,26.93,27.4,26.73,27.33,1902180.0,27.0858,2528
2020-07-28,27.22,27.38,26.65,26.68,2516120.0,26.9586,3680
2020-07-29,26.97,27.57,26.84,27.37,2055060.0,27.2712,3036
2020-07-30,27.01,27.65,26.67,27.35,2544520.0,27.2734,3706
2020-07-31,27.68,27.7,27.08,27.66,2454290.0,27.4028,3448
2020-08-03,27.99,28.28,27.3,27.64,5075400.0,27.6682,6324
2020-08-04,27.46,27.77,27.24,27.77,2743255.0,27.563,3930
2020-08-05,28.02,28.16,27.53,28.02,3904265.0,27.8698,5710
2020-08-06,28.0,28.16,27.45,27.9,4979645.0,27.8274,7264
2020-08-07,26.19,26.34,25.12,26.2,15129725.0,25.7772,18998
2020-08-10,26.31,26.56,25.14,25.38,5503295.0,25.507,6752
2020-08-11,25.21,25.63,24.61,25.32,7486590.0,25.152,10151
2020-08-12,25.46,25.65,25.16,25.34,3875045.0,25.3346,5159
2020-08-13,25.25,25.72,25.25,25.49,3119890.0,25.4664,4412
2020-08-14,25.51,25.68,25.14,25.52,2590950.0,25.3754,3831
2020-08-17,25.7,26.09,25.7,25.83,2465670.0,25.9036,3803
2020-08-18,26.02,26.27,25.64,25.98,2382150.0,25.8932,3616
2020-08-19,25.85,26.15,25.52,25.9,2259500.0,25.933,3341
2020-08-20,26.09,26.79,25.75,26.72,2512980.0,26.5278,3681
2020-08-21,26.73,26.86,26.18,26.34,1925365.0,26.4562,2563
2020-08-24,26.66,26.91,25.83,26.61,3612785.0,26.3618,5105
2020-08-25,26.39,26.68,26.23,26.66,2701465.0,26.4562,3854
2020-08-26,26.8,27.73,26.76,27.44,4384075.0,27.3634,5803
2020-08-27,27.34,27.34,26.08,26.41,5673385.0,26.4502,7165
2020-08-28,26.64,26.85,26.01,26.15,4265110.0,26.227,4571
2020-08-31,26.15,26.46,25.83,26.4,4094460.0,26.1148,6120
2020-09-01,26.52,26.88,25.97,26.1,3785880.0,26.402,5112
2020-09-02,26.35,26.66,26.0,26.52,3858365.0,26.3928,6168
2020-09-03,26.04,26.1,23.81,24.14,8029960.0,24.4002,10717
2020-09-04,23.96,24.34,22.54,23.53,7673280.0,23.3648,8157
2020-09-08,22.8,23.63,22.78,23.08,4600540.0,23.2384,6638
2020-09-09,23.64,23.64,22.95,23.42,2731495.0,23.4306,3938
2020-09-10,23.55,24.12,23.26,23.35,4038240.0,23.6926,6089
2020-09-11,23.61,23.82,22.7,23.03,3029930.0,23.1256,3884
2020-09-14,23.24,23.73,23.23,23.6,2179650.0,23.5514,3270
2020-09-15,24.06,24.06,23.38,23.64,2378960.0,23.6286,3166
2020-09-16,23.88,24.16,23.35,23.39,3301100.0,23.671,3973
2020-09-17,22.76,23.17,22.52,23.07,5083860.0,22.9278,5412
2020-09-18,23.23,23.54,22.86,23.46,3705150.0,23.2516,5356
2020-09-21,23.25,23.66,23.01,23.57,3648995.0,23.4488,4755
2020-09-22,23.7,23.77,23.0,23.74,3731085.0,23.3292,4905
2020-09-23,23.95,23.96,22.94,23.05,3471025.0,23.3286,3723
2020-09-24,22.96,23.36,22.7,23.1,2022420.0,23.0966,2997
2020-09-25,23.19,23.49,22.93,23.36,1766595.0,23.2992,2496
2020-09-28,23.65,23.7,23.28,23.46,2712730.0,23.4674,4250
2020-09-29,23.52,23.76,23.33,23.42,3131060.0,23.5406,4701
2020-09-30,23.41,23.73,23.23,23.56,3797735.0,23.5296,5184
2020-10-01,23.69,24.19,23.66,24.05,3924285.0,23.9962,6068
2020-10-02,23.63,24.35,23.26,23.28,3470650.0,23.5754,5127
2020-10-05,23.4,23.93,23.28,23.82,5268995.0,23.7062,6555
2020-10-06,23.95,24.26,23.58,23.66,2791155.0,23.8976,4129
2020-10-07,23.84,24.2,23.67,24.14,2823525.0,23.9906,3688
2020-10-08,24.34,24.59,24.16,24.33,2395555.0,24.3414,3715
2020-10-09,24.72,25.4,24.67,25.24,4135145.0,25.1982,5789
