date,open,high,low,close,volume,average,barCount
2020-07-13,50.98,51.73,50.81,50.95,1207411.7334749138,51.2884584,5606
2020-07-14,51.06,52.23,50.5,52.11,1988930.183169631,51.8278928,9761
2020-07-15,52.9,53.94,52.68,53.63,1694032.386514468,53.4454426,8940
2020-07-16,53.51,54.36,52.91,54.03,2291485.2667905497,53.75509,7047
2020-07-17,54.3,54.63,53.99,54.31,1137253.7828510753,54.2771962,5998
2020-07-20,54.2,54.24,53.12,53.3,1068087.3374037696,53.4175668,5717
2020-07-21,53.45,54.09,53.45,53.64,1206519.7770108841,53.7897464,6088
2020-07-22,53.51,54.05,53.39,53.89,1925743.2970533583,53.8123484,9308
2020-07-23,54.12,55.01,54.11,54.64,1278687.284311123,54.5943776,6745
2020-07-24,54.72,54.72,53.39,53.49,1300873.3740376958,53.7204336,6956
2020-07-27,53.66,54.35,53.51,54.17,2135574.727900186,54.075285,10402
2020-07-28,53.97,54.06,53.46,53.51,2293275.8162994427,53.7498162,10861
2020-07-29,55.25,55.73,54.81,55.45,4087175.4711972396,55.246822,14098
2020-07-30,54.62,54.81,53.96,54.37,2848793.46960446,54.3819188,13819
2020-07-31,54.14,54.14,52.56,52.88,2854761.083089992,52.9406646,13377
2020-08-03,53.12,53.21,52.23,52.41,3837860.366339262,52.6084152,18975
2020-08-04,52.41,52.73,52.06,52.34,3166517.122378551,52.3289038,15960
2020-08-05,52.75,53.3,52.25,52.75,4370890.629147863,52.7967652,20931
2020-08-06,52.59,53.5,52.55,53.27,2911353.8624900454,53.1131932,13217
2020-08-07,53.25,54.48,53.01,54.42,2385629.147863021,53.819129,11137
2020-08-10,54.51,54.64,54.02,54.14,4040837.536501195,54.2719224,13869
2020-08-11,54.87,55.52,54.7,55.34,8294317.759490311,55.1556606,31691
2020-08-12,55.75,56.51,54.95,56.46,2775115.4765065038,56.0167968,13662
2020-08-13,56.02,56.04,55.16,55.58,1482902.8404565968,55.5828384,8909
2020-08-14,55.37,56.08,55.26,55.44,794938.9434563314,55.6453706,4887
2020-08-17,55.41,55.72,54.97,55.36,884431.9086806477,55.3229154,5159
2020-08-18,55.16,55.31,54.19,54.31,1220574.7279001859,54.5823232,5989
2020-08-19,54.47,54.5,53.67,53.8,1507636.049907088,54.0436422,7788
2020-08-20,53.23,54.23,53.17,54.16,1345607.9108043537,53.8854282,7485
2020-08-21,54.3,54.5,53.44,54.03,1185629.1478630211,53.8635796,6734
2020-08-24,54.37,54.61,53.85,54.24,1480394.212901513,54.1852814,8026
2020-08-25,54.35,54.48,53.02,53.15,4634500.929121317,53.4680446,15865
2020-08-26,53.23,53.72,52.69,53.49,3019226.1746748076,53.1892866,15970
2020-08-27,53.75,54.06,53.34,53.37,3292111.760021237,53.5411244,16098
2020-08-28,53.46,54.97,53.0,54.87,3013854.526148129,53.98111,13664
2020-08-31,54.66,54.95,54.09,54.33,1441347.2259092117,54.4000004,7662
2020-09-01,54.02,55.9,53.99,55.44,2707411.733474914,55.4118166,14240
2020-09-02,55.56,56.26,55.12,56.0,1778895.6729492967,55.774202,10927
2020-09-03,56.19,56.38,54.82,55.22,2285242.898858508,55.4592808,11891
2020-09-04,56.05,56.54,55.59,55.91,3602653.3050172552,56.05296,17141
2020-09-08,55.74,56.26,54.99,55.49,4056679.0549508897,55.706396,18735
2020-09-09,56.02,57.41,55.49,57.0,3377357.313512079,56.915603,14006
2020-09-10,57.41,58.25,57.25,57.6,5015265.463233342,57.7322886,21455
2020-09-11,57.81,58.67,57.47,58.29,3191505.1765330504,58.1127556,13938
2020-09-14,58.77,59.28,58.33,58.49,2773326.2543137777,58.6341084,13447
2020-09-15,58.65,59.19,57.97,58.16,2149040.350411468,58.3907602,11552
2020-09-16,58.37,58.84,57.64,57.94,3655163.2598885056,58.2860376,17152
2020-09-17,57.28,58.84,56.99,58.35,3682633.3952747546,58.4141156,16110
2020-09-18,58.12,58.75,56.82,57.1,3516657.817892222,57.4904472,16414
2020-09-21,55.99,56.44,53.66,54.52,2902436.9524820815,54.5514338,15853
2020-09-22,54.46,54.99,54.07,54.83,1980720.7326785242,54.5808164,10869
2020-09-23,54.68,55.44,53.98,54.02,1924389.4345633131,54.6787584,10938
2020-09-24,53.85,55.25,53.47,54.8,2184175.7366604726,54.463286,10724
2020-09-25,54.36,55.92,54.13,55.88,2212280.3291744096,55.3123678,10988
2020-09-28,57.1,57.69,56.54,57.05,1769163.7908149722,57.2109358,7665
2020-09-29,57.09,57.97,56.72,57.42,1723198.8319617733,57.3390138,8965
2020-09-30,57.79,58.27,56.94,57.42,2261097.69046987,57.7232478,10913
2020-10-01,57.89,58.03,56.35,56.76,1992928.0594637643,56.8372494,9917
2020-10-02,56.07,59.19,56.07,58.31,1800753.9155826918,58.2461074,8670
2020-10-05,59.31,59.63,58.64,59.56,2703193.5226971065,59.2714848,11358
2020-10-06,60.2,60.76,59.07,59.25,2369214.2288293075,59.9239292,9416
2020-10-07,59.96,61.39,59.71,61.06,2235987.523228033,60.8815006,11199
2020-10-08,61.38,61.87,60.86,61.62,3012832.4926997614,61.4352496,16152
2020-10-09,52.74,53.51,52.21,52.6,9847922.750199098,52.8947072,35522
2020-10-12,52.55,52.73,50.9,51.01,3662655.959649589,51.4210568,15763
2020-10-13,50.31,51.07,49.85,50.04,2665492.43429785,50.21411,13662
2020-10-14,49.9,50.57,49.74,50.48,2284271.3034244757,50.3565026,8638
2020-10-15,49.99,50.97,49.78,50.79,1288597.0268117867,50.6330004,5732
2020-10-16,51.01,51.11,50.49,50.58,1662837.801964428,50.782927,7135
2020-10-19,50.55,50.67,49.37,49.55,1370430.0504380143,49.8690528,7200
2020-10-20,49.95,50.22,49.39,49.64,1941896.73480223,49.79974,7871
2020-10-21,49.84,50.16,49.43,49.59,2079303.159012477,49.7635768,7425
2020-10-22,49.85,50.33,49.71,50.12,2290781.789222193,50.037061,7599
2020-10-23,50.49,50.73,49.98,50.1,3068968.6753384657,50.1997954,10399
2020-10-26,49.42,49.59,48.06,48.61,1301295.4605787098,48.4933444,6756
2020-10-27,48.43,48.53,47.64,47.95,1650488.4523493496,48.0051412,8993
2020-10-28,47.49,47.59,46.03,46.57,3339216.8834616407,46.797441,17046
2020-10-29,46.32,47.34,45.82,46.91,1798721.7945314576,46.8697674,9554
2020-10-30,46.88,47.04,45.87,46.41,2604818.1576851606,46.3122514,10774
2020-11-02,47.12,47.9,47.0,47.71,2924192.99177064,47.558375,12148
2020-11-03,48.3,49.42,47.74,48.96,1641073.7987788692,48.8150462,7738
2020-11-04,48.59,49.08,47.49,48.68,1614792.9386779931,48.7231314,7518
2020-11-05,49.74,51.66,49.48,51.19,3366663.127156889,51.0398364,13540
2020-11-06,51.22,51.84,50.79,51.51,1785641.0937085215,51.4504394,7594
2020-11-09,54.34,55.95,52.93,52.99,1828473.5864082826,53.8673466,10503
2020-11-10,53.21,53.42,52.52,52.59,2522840.4565967615,52.8984742,8953
2020-11-11,53.03,53.26,51.96,52.74,1460222.9891160075,52.3846554,5903
2020-11-12,52.17,52.78,51.97,52.37,1241607.379877887,52.3289038,5734
2020-11-13,52.85,53.69,52.81,53.45,1783348.8186886117,53.2947626,4506
2020-11-16,54.25,54.44,53.36,54.37,2560464.5606583487,54.0022052,8633
