date,open,high,low,close,volume,average,barCount
2020-07-13,142.92,144.43,141.35,142.82,746049.0,143.052,5292
2020-07-14,142.25,143.93,141.11,143.36,572999.0,142.652,4595
2020-07-15,146.85,146.85,145.21,145.79,1205404.0,146.047,10245
2020-07-16,145.52,149.59,144.56,148.51,1186195.0,147.934,8033
2020-07-17,149.51,149.64,148.03,148.91,518526.0,149.063,3464
2020-07-20,147.85,148.47,145.35,145.45,568523.0,146.133,4010
2020-07-21,146.66,149.76,146.3,147.81,536803.0,148.231,3141
2020-07-22,146.92,151.58,146.61,151.53,734471.0,149.682,5184
2020-07-23,152.2,152.92,150.11,151.01,599859.0,151.487,4422
2020-07-24,151.62,153.26,149.52,150.15,420858.0,150.815,3182
2020-07-27,149.47,149.51,147.51,147.98,387606.0,148.196,2792
2020-07-28,147.5,150.65,147.29,148.57,663461.0,149.577,5049
2020-07-29,147.23,149.65,144.58,149.44,1340112.0,147.406,9184
2020-07-30,147.02,149.69,146.8,148.86,927594.0,148.64,6837
2020-07-31,148.22,148.23,144.76,146.74,940642.0,146.093,6978
2020-08-03,145.66,148.37,144.32,147.72,906256.0,147.203,6675
2020-08-04,148.12,149.04,146.75,147.24,1474686.0,147.445,9935
2020-08-05,148.7,149.89,148.08,149.19,736773.0,149.039,5350
2020-08-06,148.99,149.65,148.33,149.14,503845.0,148.878,3930
2020-08-07,149.11,152.98,148.51,152.97,1023350.0,151.454,7535
2020-08-10,153.52,156.77,153.43,156.56,669736.0,155.792,4823
2020-08-11,159.48,160.84,157.95,158.85,1071890.0,159.69,8035
2020-08-12,160.37,160.68,154.69,156.41,826371.0,156.728,5570
2020-08-13,154.32,156.5,153.74,154.95,525640.0,154.993,3564
2020-08-14,154.11,157.66,153.65,156.46,365241.0,156.327,2706
2020-08-17,156.68,156.79,153.35,153.72,471504.0,154.286,3523
2020-08-18,153.28,154.1,152.72,153.03,343763.0,153.275,2488
2020-08-19,152.96,154.57,152.09,152.49,384687.0,153.012,2915
2020-08-20,151.25,151.95,150.49,150.94,411290.0,151.132,2899
2020-08-21,150.07,151.35,149.03,149.81,684173.0,149.889,4108
2020-08-24,150.49,153.39,149.75,153.3,551738.0,152.637,3530
2020-08-25,154.3,154.73,150.86,151.47,448864.0,151.804,3534
2020-08-26,150.92,151.49,149.42,150.47,469924.0,150.461,3234
2020-08-27,150.67,153.53,150.4,152.44,711235.0,152.314,5294
2020-08-28,152.84,152.99,150.73,152.27,357776.0,151.842,2742
2020-08-31,152.07,152.4,148.95,149.35,593863.0,149.907,4066
2020-09-01,147.85,150.32,147.36,150.19,571466.0,149.438,3924
2020-09-02,150.06,154.5,149.92,153.92,747940.0,152.67,5882
2020-09-03,154.85,156.56,150.61,151.94,774423.0,152.538,5539
2020-09-04,153.5,154.38,149.79,151.7,566433.0,152.019,4197
2020-09-08,149.78,150.55,146.6,146.96,906667.0,147.847,6842
2020-09-09,147.28,147.79,145.15,146.17,701072.0,146.699,5313
2020-09-10,146.6,147.76,142.41,142.58,851241.0,143.92,5660
2020-09-11,143.99,146.2,142.62,145.36,602218.0,144.903,4337
2020-09-14,146.46,148.52,145.75,147.47,379718.0,147.391,2773
2020-09-15,147.32,148.11,144.98,145.14,445541.0,146.063,3245
2020-09-16,145.25,148.55,144.3,146.78,568096.0,146.372,4039
2020-09-17,140.65,144.91,139.51,144.59,843171.0,143.317,5549
2020-09-18,143.01,145.63,142.73,142.99,657795.0,143.602,3661
2020-09-21,141.35,141.49,137.43,138.33,789320.0,138.703,4884
2020-09-22,138.52,140.26,137.35,139.45,473168.0,138.614,3043
2020-09-23,140.07,141.83,136.19,136.51,612051.0,138.143,4467
2020-09-24,136.12,138.45,135.16,136.9,572789.0,136.7,3955
2020-09-25,135.86,138.77,135.56,138.21,424536.0,137.218,3004
2020-09-28,139.7,142.4,139.7,140.92,393418.0,141.246,2769
2020-09-29,140.42,140.58,137.89,138.55,654497.0,138.828,5084
2020-09-30,139.16,140.14,137.07,138.43,619319.0,138.912,4518
2020-10-01,138.89,140.08,136.8,138.22,482169.0,138.169,3454
2020-10-02,133.72,140.95,133.6,140.49,837971.0,138.6,5368
2020-10-05,141.87,143.35,141.11,142.73,604537.0,142.285,3833
2020-10-06,143.99,146.97,142.03,142.31,836594.0,144.568,5433
2020-10-07,143.67,145.65,143.53,144.87,770946.0,144.717,5669
2020-10-08,144.8,145.66,143.6,145.04,547736.0,144.733,3882
2020-10-09,146.11,146.11,143.53,143.66,880252.0,144.415,6395
2020-10-12,144.8,146.76,143.84,144.73,856499.0,145.461,6515
2020-10-13,144.6,144.98,141.66,143.24,763487.0,143.444,4397
2020-10-14,142.8,145.4,142.7,142.89,904200.0,143.602,5932
2020-10-15,141.7,142.0,140.18,140.81,772981.0,141.102,5958
2020-10-16,141.62,142.5,140.25,142.24,1049576.0,141.588,7876
2020-10-19,142.25,142.78,138.19,138.68,792477.0,139.874,5823
2020-10-20,140.25,140.57,137.77,138.46,538918.0,139.111,3969
2020-10-21,137.84,138.71,136.5,136.61,610903.0,137.438,4267
2020-10-22,136.58,139.67,136.36,139.42,671104.0,138.244,4488
2020-10-23,140.3,141.19,139.41,140.7,599573.0,140.32,4479
2020-10-26,139.26,139.61,136.43,138.51,928703.0,137.631,6284
2020-10-27,137.95,138.11,134.87,134.87,952640.0,136.473,7005
2020-10-28,134.84,137.66,132.17,132.43,1162515.0,134.188,8641
2020-10-29,131.82,133.48,130.12,131.32,896373.0,131.606,6439
2020-10-30,130.56,132.72,129.17,131.33,1296979.0,130.425,9428
2020-11-02,133.37,136.53,132.56,136.09,892037.0,135.421,6264
2020-11-03,137.8,139.59,136.97,138.2,1298710.0,138.172,9741
2020-11-04,138.98,143.33,137.23,139.09,1114012.0,140.684,8366
2020-11-05,139.53,141.13,138.0,139.15,684551.0,139.782,5028
2020-11-06,139.55,140.14,138.13,139.32,583908.0,139.085,4184
2020-11-09,147.18,150.39,144.77,147.13,1551713.0,148.031,10149
2020-11-10,148.8,152.03,148.15,151.31,1369889.0,150.697,9466
2020-11-11,151.2,151.2,148.17,150.29,1228772.0,149.818,7875
2020-11-12,148.56,149.52,146.69,147.5,779478.0,147.849,5775
2020-11-13,148.75,151.38,148.01,151.15,742735.0,150.519,5364
2020-11-16,153.83,154.09,151.75,152.93,828218.0,152.932,5871
2020-11-17,151.68,153.29,150.92,151.47,786239.0,151.832,5351
2020-11-18,152.43,155.22,151.84,153.5,927402.0,153.785,6640
2020-11-19,152.5,153.21,149.29,149.99,966487.0,150.437,6583
2020-11-20,150.0,150.33,147.5,148.36,788845.0,148.438,5557
2020-11-23,148.99,150.76,148.86,150.02,766730.0,150.079,5359
2020-11-24,152.41,153.74,151.22,153.67,1018897.0,152.944,7606
2020-11-25,153.85,153.85,151.54,152.04,460351.0,152.32,3424
2020-11-27,151.62,153.03,151.27,152.06,353856.0,152.102,2692
2020-11-30,151.01,152.17,148.65,149.35,740347.0,150.232,5275
2020-12-01,151.04,154.29,150.7,151.76,775258.0,152.553,5296
2020-12-02,150.87,153.62,150.12,153.35,686252.0,152.444,4642
2020-12-03,153.35,155.22,152.94,153.88,618807.0,154.511,4216
2020-12-04,154.07,156.14,154.0,156.04,614647.0,155.557,4320
2020-12-07,155.06,155.06,152.5,153.0,546142.0,153.402,3779
2020-12-08,152.3,154.3,152.12,153.57,418034.0,153.319,2616
2020-12-09,153.75,154.79,152.92,154.14,663878.0,154.028,4392
2020-12-10,152.57,153.59,150.08,150.37,1158053.0,151.129,6475
2020-12-11,149.8,151.92,148.78,151.33,1512900.0,150.452,9566
2020-12-14,152.86,155.09,152.73,153.34,847311.0,153.618,6345
2020-12-15,153.66,155.39,152.06,154.6,764641.0,153.993,4900
2020-12-16,154.9,155.3,152.63,153.4,781299.0,153.821,5227
2020-12-17,153.85,154.12,151.53,151.59,511998.0,152.542,3769
2020-12-18,151.28,153.77,151.01,152.67,944355.0,152.203,5553
2020-12-21,150.01,150.91,147.32,149.67,709973.0,149.163,4728
2020-12-22,149.66,149.67,146.29,146.5,636049.0,147.43,4271
2020-12-23,147.36,149.4,147.0,148.15,510451.0,148.578,3400
2020-12-24,148.34,149.15,147.6,149.01,275128.0,148.274,1742
2020-12-28,149.35,150.49,148.36,148.72,527468.0,149.091,3105
2020-12-29,149.67,149.78,146.39,147.55,619897.0,147.599,4142
2020-12-30,147.49,149.41,147.47,148.3,674794.0,148.287,4171
2020-12-31,148.13,148.91,147.35,148.82,1231776.0,147.953,7692
2021-01-04,149.26,149.26,144.81,145.94,841532.0,146.094,5382
2021-01-05,146.2,146.71,144.5,146.01,663406.0,145.812,4295
2021-01-06,145.25,150.64,145.25,149.74,1043795.0,148.251,5725
2021-01-07,150.02,152.24,148.76,151.72,838495.0,151.291,5245
2021-01-08,150.42,152.62,148.6,150.77,1336259.0,150.461,9929
2021-01-11,150.25,152.24,149.41,151.78,851812.0,151.052,4389
2021-01-12,151.78,154.94,151.75,153.5,941159.0,153.527,5842
2021-01-13,152.89,153.44,151.33,152.63,625509.0,152.395,3987
2021-01-14,152.5,155.38,151.91,154.09,1112345.0,153.977,6949
2021-01-15,153.57,154.21,151.88,153.17,877592.0,153.301,5688
2021-01-19,154.38,155.36,153.06,153.13,928152.0,154.024,6557
2021-01-20,153.24,154.4,152.41,154.03,629049.0,153.801,3990
2021-01-21,153.84,154.74,150.5,151.06,861737.0,151.89,5966
2021-01-22,150.41,153.15,149.81,152.77,743862.0,151.739,5222
2021-01-25,151.82,155.7,151.11,153.16,1036795.0,153.469,7888
2021-01-26,154.34,154.63,150.02,150.33,1013646.0,151.41,7108
2021-01-27,150.75,158.99,148.9,152.73,1712962.0,155.065,12206
2021-01-28,153.16,153.52,149.63,150.43,1108533.0,151.37,7713
2021-01-29,149.12,151.07,146.62,146.68,2107083.0,148.534,12475
2021-02-01,147.42,148.58,146.53,147.67,1108063.0,147.648,8340
2021-02-02,148.5,151.4,148.33,149.82,1267388.0,150.449,8783
2021-02-03,148.71,153.82,148.71,153.08,987637.0,152.253,7058
2021-02-04,153.71,157.68,153.05,157.53,992609.0,156.04,6810
2021-02-05,159.02,160.48,157.65,158.82,1098761.0,159.266,8018
2021-02-08,159.0,159.75,157.11,159.64,850882.0,158.612,5996
2021-02-09,159.67,162.54,158.42,162.14,672683.0,161.347,4348
2021-02-10,162.64,164.03,161.89,163.13,912445.0,163.119,6314
2021-02-11,162.57,166.21,162.57,163.45,1096705.0,164.304,7479
2021-02-12,163.07,165.39,162.76,164.83,865336.0,164.843,5506
2021-02-16,165.12,166.24,163.03,163.32,837780.0,164.115,5734
2021-02-17,162.97,165.09,161.57,164.49,435062.0,163.799,3136
2021-02-18,164.02,164.45,162.46,163.23,387775.0,163.381,2549
2021-02-19,164.27,165.24,163.81,164.78,398774.0,164.637,2533
2021-02-22,164.45,167.15,163.88,166.42,607803.0,166.251,4255
2021-02-23,168.12,168.3,164.52,167.35,717515.0,166.031,5212
2021-02-24,167.42,168.93,166.4,168.06,617325.0,167.961,4609
2021-02-25,167.67,168.97,165.53,166.2,667775.0,167.407,5263
2021-02-26,166.66,166.83,163.36,163.47,866934.0,164.839,6335
2021-03-01,165.0,168.56,164.88,167.06,579864.0,167.251,4054
2021-03-02,166.7,168.77,166.59,167.68,686679.0,167.728,4289
2021-03-03,168.2,169.6,167.51,167.95,534867.0,168.63,3943
2021-03-04,168.0,168.5,163.12,165.77,772912.0,165.864,5992
2021-03-05,166.95,171.48,165.8,170.52,695024.0,168.863,5317
2021-03-08,171.79,175.27,170.65,172.69,868838.0,173.366,6725
2021-03-09,172.69,173.27,168.38,168.74,1068137.0,170.183,8285
2021-03-10,169.57,172.83,168.61,172.42,605679.0,171.093,4472
2021-03-11,171.28,174.45,170.4,172.67,690091.0,172.935,5086
2021-03-12,174.1,176.61,174.1,176.29,572448.0,175.828,4565
2021-03-15,176.49,177.02,173.94,176.71,530160.0,175.835,4287
2021-03-16,176.16,176.28,173.81,175.32,545011.0,175.341,4088
2021-03-17,176.6,178.8,175.15,177.52,720180.0,177.03,5509
2021-03-18,177.52,180.35,177.52,179.24,779581.0,179.337,5996
2021-03-19,178.27,178.92,174.95,177.62,931645.0,177.548,6158
2021-03-22,177.52,177.52,173.52,176.56,588965.0,175.892,4583
2021-03-23,175.88,176.99,174.32,174.87,446738.0,175.495,3446
