date,open,high,low,close,volume,average,barCount
2020-07-13,76.55,78.34,75.95,76.68,6862980.0,77.31,37605
2020-07-14,76.21,77.35,75.44,77.19,4493098.0,76.465,27243
2020-07-15,77.0,77.29,76.24,76.65,4542437.0,76.664,26654
2020-07-16,76.34,76.75,75.63,76.64,3574140.0,76.178,21454
2020-07-17,76.54,77.65,76.21,77.51,4441300.0,77.084,24433
2020-07-20,77.79,78.94,77.28,78.08,5115402.0,78.134,28659
2020-07-21,77.46,78.0,76.6,76.78,4069994.0,77.258,22738
2020-07-22,76.87,77.25,75.96,76.25,3451162.0,76.391,19177
2020-07-23,76.43,76.8,75.37,75.56,4316585.0,76.049,25156
2020-07-24,75.47,75.65,73.12,73.64,6154141.0,74.026,34708
2020-07-27,73.48,74.59,73.31,74.54,4921206.0,74.143,30377
2020-07-28,74.67,75.04,73.61,73.73,3909321.0,74.031,23181
2020-07-29,73.84,73.86,72.53,73.01,6253234.0,72.955,31501
2020-07-30,72.55,72.6,71.71,72.33,6778700.0,72.065,41461
2020-07-31,69.73,70.83,68.52,69.53,13453092.0,69.517,73290
2020-08-03,69.73,72.15,69.61,71.73,7125167.0,71.351,40462
2020-08-04,72.09,72.31,70.47,70.88,7218382.0,70.882,41619
2020-08-05,70.48,70.81,68.98,69.0,9710708.0,69.556,48816
2020-08-06,69.02,69.63,68.62,68.81,6434776.0,68.985,33598
2020-08-07,69.51,69.73,68.8,69.35,5972856.0,69.136,30567
2020-08-10,69.15,69.25,67.96,68.51,7391653.0,68.437,40143
2020-08-11,68.45,69.18,67.92,68.1,6867193.0,68.402,38697
2020-08-12,68.69,69.11,68.38,68.84,6645328.0,68.794,34868
2020-08-13,68.92,69.2,67.99,68.18,5477786.0,68.236,30450
2020-08-14,68.2,68.82,68.0,68.5,7048267.0,68.521,33682
2020-08-17,68.33,69.35,68.31,69.15,4860796.0,68.888,29052
2020-08-18,69.28,69.75,68.98,69.06,4345495.0,69.324,26026
2020-08-19,66.39,67.47,65.5,65.7,15328739.0,66.184,75119
2020-08-20,65.84,66.16,65.55,66.05,6287222.0,65.828,32746
2020-08-21,65.75,66.87,65.41,66.5,7681897.0,66.128,37803
2020-08-24,66.36,66.96,65.55,66.08,6744479.0,65.949,37200
2020-08-25,65.92,66.24,65.71,66.05,4365917.0,65.971,25207
2020-08-26,65.88,65.88,65.16,65.6,5603904.0,65.458,27451
2020-08-27,65.59,65.85,65.32,65.55,5414364.0,65.556,31521
2020-08-28,65.22,65.75,64.98,65.26,4805287.0,65.163,26980
2020-08-31,65.48,66.89,65.42,66.75,6189441.0,66.174,35317
2020-09-01,66.35,66.47,64.91,65.83,6553496.0,65.4,36283
2020-09-02,65.32,66.96,65.32,66.79,5974581.0,66.573,35273
2020-09-03,66.81,67.43,65.48,65.91,6669847.0,66.302,41439
2020-09-04,65.72,66.94,65.58,66.01,6600517.0,66.18,41323
2020-09-08,65.1,65.37,63.95,64.14,8103285.0,64.398,49461
2020-09-09,64.28,65.08,63.61,64.51,5395674.0,64.413,33056
2020-09-10,64.69,65.04,63.55,63.77,6003049.0,64.191,37218
2020-09-11,64.37,65.91,64.22,65.58,7653177.0,65.377,46832
2020-09-14,64.44,67.92,64.31,66.34,15173237.0,66.645,74544
2020-09-15,67.01,67.13,65.92,66.2,6489861.0,66.504,39839
2020-09-16,66.3,66.55,65.61,65.65,5282739.0,66.1,32333
2020-09-17,64.86,65.54,64.4,65.04,5076976.0,64.982,32372
2020-09-18,64.95,65.17,64.04,65.05,6904720.0,64.777,37123
2020-09-21,64.81,64.97,63.46,64.21,6287584.0,63.845,36545
2020-09-22,64.0,64.58,63.29,63.4,5351152.0,63.62,29912
2020-09-23,63.5,64.08,62.99,63.09,6418777.0,63.543,33596
2020-09-24,62.67,62.84,61.64,62.25,6549702.0,62.188,38244
2020-09-25,62.11,62.51,61.76,62.25,5263054.0,62.154,29790
2020-09-28,62.97,63.41,62.52,62.85,5608381.0,62.863,33264
2020-09-29,62.96,63.03,61.95,62.1,5725518.0,62.255,27327
2020-09-30,62.34,63.43,62.11,63.19,5962779.0,62.897,33743
2020-10-01,63.3,63.71,62.71,63.32,6409351.0,63.142,35106
2020-10-02,63.2,63.84,62.15,62.17,5803791.0,62.85,33232
2020-10-05,63.71,64.09,63.1,63.6,7204297.0,63.729,37137
2020-10-06,63.64,63.79,62.35,62.52,5980095.0,63.046,33633
2020-10-07,62.62,63.17,62.29,62.84,4514532.0,62.824,22230
2020-10-08,63.33,64.05,63.02,63.32,4797494.0,63.348,26060
2020-10-09,64.61,64.69,63.72,63.84,6602158.0,64.09,32951
2020-10-12,64.07,64.99,63.55,64.55,5489479.0,64.437,31722
2020-10-13,64.55,64.99,64.0,64.49,4341301.0,64.385,24504
2020-10-14,64.28,64.59,63.44,64.05,5280683.0,64.006,28205
2020-10-15,63.48,63.55,62.64,62.96,7663388.0,62.979,35878
2020-10-16,62.24,62.86,61.83,62.0,7255187.0,62.343,37410
2020-10-19,62.09,62.1,60.2,60.57,7361361.0,60.805,38584
2020-10-20,60.53,60.9,59.85,60.55,6723939.0,60.383,34084
2020-10-21,60.21,60.5,59.9,60.21,5330966.0,60.275,27866
2020-10-22,59.96,60.9,59.65,60.67,7572745.0,60.183,37793
2020-10-23,63.38,63.64,60.76,60.79,24409962.0,62.007,98811
2020-10-26,60.36,60.69,59.39,59.96,7899701.0,59.754,39781
2020-10-27,59.81,60.21,59.44,60.01,5855438.0,59.89,28702
2020-10-28,59.26,59.57,58.06,58.72,8320160.0,58.753,41467
2020-10-29,57.8,58.89,57.04,58.53,9836654.0,58.037,50710
2020-10-30,57.7,58.58,57.18,58.15,8367377.0,57.802,47086
2020-11-02,58.78,59.15,57.82,58.53,7127938.0,58.423,37765
2020-11-03,58.86,59.39,58.4,58.83,4924277.0,58.813,27783
2020-11-04,59.39,61.19,59.37,59.87,8192821.0,60.516,48453
2020-11-05,60.34,60.47,59.2,59.63,5540796.0,59.686,30722
2020-11-06,59.42,59.5,58.72,59.07,5247492.0,59.007,30734
2020-11-09,59.32,60.37,58.98,59.05,7560652.0,59.553,45664
2020-11-10,58.34,61.45,58.18,60.62,8069940.0,60.587,44119
2020-11-11,60.93,61.12,59.56,60.1,5299940.0,59.962,29671
2020-11-12,59.92,59.99,58.91,59.98,6941379.0,59.409,38662
2020-11-13,59.96,60.98,59.77,60.59,4599391.0,60.644,28557
2020-11-16,60.26,61.3,60.25,61.09,4730264.0,61.017,27828
2020-11-17,60.8,61.05,60.37,60.97,3884190.0,60.723,24490
2020-11-18,61.04,61.64,60.56,60.9,6745412.0,60.979,38520
2020-11-19,60.52,60.96,59.9,60.63,5684819.0,60.459,30554
2020-11-20,59.61,60.26,59.48,60.11,6817326.0,59.933,38600
2020-11-23,60.07,60.29,59.36,59.89,6318757.0,59.789,33913
2020-11-24,59.63,60.98,59.59,60.25,4846886.0,60.421,27721
2020-11-25,60.08,60.44,59.46,59.5,5712664.0,59.679,30212
2020-11-27,59.64,60.06,59.27,60.03,3918639.0,59.731,21712
2020-11-30,59.78,60.79,59.64,60.67,7250693.0,60.114,41880
2020-12-01,60.77,61.98,60.77,61.12,6258666.0,61.437,36137
2020-12-02,61.06,61.87,60.95,61.13,4325594.0,61.304,25152
2020-12-03,61.05,61.53,60.55,60.86,3957541.0,60.822,21751
2020-12-04,60.8,61.67,60.7,61.56,4217335.0,61.334,23408
2020-12-07,61.57,61.67,60.41,60.83,4731134.0,60.752,25443
2020-12-08,60.56,61.25,60.52,61.17,4087364.0,60.98,24861
2020-12-09,61.07,61.4,60.47,60.82,4927268.0,60.826,28862
2020-12-10,60.66,60.9,60.13,60.45,5268158.0,60.476,28823
2020-12-11,60.22,60.81,60.09,60.76,5167011.0,60.544,28005
2020-12-14,60.39,60.42,59.75,59.84,7842323.0,60.01,45106
2020-12-15,59.82,60.07,59.26,59.43,5831390.0,59.507,33679
2020-12-16,59.33,59.47,58.69,58.94,6218103.0,59.019,34576
2020-12-17,58.96,59.28,58.61,59.07,5642694.0,58.952,33054
2020-12-18,59.18,59.18,58.53,59.08,7947610.0,58.873,36190
2020-12-21,58.49,58.62,57.7,58.54,7195409.0,58.181,40306
2020-12-22,58.27,58.32,56.81,57.0,9848272.0,57.225,44586
2020-12-23,56.96,57.62,56.9,57.38,6640340.0,57.32,34486
2020-12-24,57.32,57.41,56.96,57.07,2581352.0,57.114,12640
2020-12-28,57.09,57.64,56.7,56.89,6598526.0,56.997,29932
2020-12-29,56.95,57.67,56.71,56.83,5696018.0,57.042,27849
2020-12-30,57.0,57.24,56.56,56.65,6934298.0,56.732,29460
2020-12-31,56.6,58.36,56.56,58.26,8208850.0,57.437,38859
2021-01-04,58.66,60.16,57.92,60.11,10091477.0,59.307,53764
2021-01-05,60.23,60.45,59.62,60.0,7733363.0,60.032,44836
2021-01-06,59.78,62.08,59.66,61.95,8937633.0,61.493,47708
2021-01-07,61.94,63.24,61.52,62.52,7834013.0,62.699,43776
2021-01-08,62.61,63.41,62.5,63.04,5656401.0,62.963,35555
2021-01-11,63.75,64.18,62.27,62.51,8682939.0,63.009,42223
2021-01-12,62.75,62.79,61.46,62.08,7009201.0,61.975,39827
2021-01-13,61.8,62.15,61.44,61.54,4715551.0,61.701,29590
2021-01-14,61.56,63.13,61.46,62.4,5590739.0,62.524,34177
2021-01-15,62.3,63.6,62.13,63.33,7057110.0,63.11,36830
2021-01-19,64.7,68.16,64.6,67.07,14751652.0,66.936,73216
2021-01-20,67.0,68.09,66.7,67.99,7376410.0,67.526,39245
2021-01-21,67.74,67.74,66.58,66.98,4839835.0,67.061,29669
2021-01-22,66.54,67.47,66.24,66.94,3263539.0,67.008,18318
2021-01-25,66.54,68.26,66.4,68.16,6006150.0,67.405,35996
2021-01-26,67.87,68.38,66.56,66.7,5170284.0,67.068,29854
2021-01-27,65.78,66.92,65.08,65.48,7019213.0,65.744,44116
2021-01-28,65.39,66.24,64.0,64.68,5606731.0,65.372,32454
2021-01-29,64.06,66.06,64.04,65.6,5955495.0,65.461,38014
2021-02-01,66.06,66.27,65.06,65.1,4363191.0,65.644,27312
2021-02-02,65.16,65.97,64.21,65.13,5758127.0,65.229,32144
2021-02-03,65.18,65.69,64.51,64.52,4547922.0,64.954,28919
2021-02-04,64.89,65.99,64.44,65.83,4864663.0,65.451,29871
2021-02-05,67.25,69.36,66.71,68.46,11827323.0,68.119,62560
2021-02-08,68.5,68.76,67.31,67.97,6714199.0,67.835,39885
2021-02-09,67.74,67.84,66.85,67.3,4831939.0,67.298,28762
2021-02-10,67.47,68.32,67.1,67.29,5617601.0,67.566,32764
2021-02-11,67.14,67.2,66.05,66.92,4496771.0,66.605,27041
