date,open,high,low,close,volume,average,barCount
2020-07-13,27.0,27.21,26.68,26.72,4058917.0,26.965,22299
2020-07-14,26.76,27.42,26.47,27.36,2856510.0,27.052,16666
2020-07-15,27.74,28.14,27.59,28.06,4572259.0,27.885,24669
2020-07-16,28.47,29.03,28.26,28.76,4481064.0,28.719,24455
2020-07-17,28.9,29.11,28.68,29.04,3731185.0,28.929,18284
2020-07-20,28.93,29.11,28.78,29.04,3859307.0,28.973,19515
2020-07-21,29.18,29.57,29.16,29.31,3819759.0,29.405,20494
2020-07-22,29.28,29.83,29.17,29.6,3885444.0,29.599,18104
2020-07-23,29.6,30.16,29.55,29.8,4507365.0,29.836,21929
2020-07-24,29.69,29.86,29.21,29.29,4569873.0,29.498,20201
2020-07-27,29.18,30.83,29.07,30.63,8626237.0,30.328,35775
2020-07-28,30.49,31.37,29.95,30.24,7625508.0,30.434,38622
2020-07-29,30.78,31.82,30.35,31.61,5546227.0,31.391,25163
2020-07-30,31.26,31.43,30.94,31.12,5011164.0,31.144,27782
2020-07-31,31.06,31.17,30.45,31.0,4341273.0,30.786,25252
2020-08-03,31.08,31.1,30.63,30.9,2842482.0,30.85,17713
2020-08-04,30.92,31.21,30.86,31.19,2572322.0,31.057,14626
2020-08-05,31.31,31.92,31.26,31.88,2877567.0,31.687,16384
2020-08-06,31.67,31.99,31.62,31.84,2546089.0,31.789,14448
2020-08-07,31.77,31.89,31.45,31.85,2367817.0,31.675,13576
2020-08-10,31.9,32.25,31.76,32.15,3253079.0,32.067,16404
2020-08-11,32.39,32.84,32.23,32.3,3062559.0,32.507,16010
2020-08-12,32.5,32.87,32.4,32.73,1843350.0,32.706,10641
2020-08-13,32.58,32.85,32.36,32.52,2573018.0,32.616,13524
2020-08-14,32.45,32.48,32.15,32.32,2089612.0,32.315,12067
2020-08-17,32.42,32.59,32.29,32.33,1657628.0,32.442,9353
2020-08-18,32.42,32.43,32.01,32.11,2479242.0,32.192,13945
2020-08-19,32.23,32.41,32.1,32.23,2204157.0,32.266,13651
2020-08-20,32.0,32.11,31.8,31.87,1694582.0,31.932,9430
2020-08-21,31.95,32.49,31.78,32.47,3641141.0,32.245,18408
2020-08-24,32.53,33.38,32.49,33.37,3678162.0,33.076,18784
2020-08-25,33.47,33.56,32.6,32.89,2669999.0,33.012,13612
2020-08-26,32.89,33.08,32.72,32.78,2049751.0,32.859,11822
2020-08-27,32.69,32.73,31.88,32.13,3418510.0,32.212,19992
2020-08-28,32.22,32.74,31.94,32.66,5111803.0,32.337,25083
2020-08-31,32.65,32.69,32.21,32.46,3308601.0,32.409,18481
2020-09-01,32.29,32.87,32.04,32.85,2267769.0,32.586,13223
2020-09-02,33.0,33.86,32.9,33.7,3235829.0,33.446,17747
2020-09-03,33.31,33.42,31.46,31.9,5095528.0,32.034,31063
2020-09-04,32.08,32.33,31.14,32.05,4488181.0,31.893,28746
2020-09-08,31.6,32.15,31.49,31.76,3290798.0,31.894,21718
2020-09-09,32.5,33.8,32.5,33.07,6062366.0,33.322,31569
2020-09-10,33.2,33.47,31.82,31.88,5688309.0,32.472,33766
2020-09-11,32.28,32.41,31.58,31.94,6714736.0,31.995,37190
2020-09-14,32.48,32.91,32.43,32.74,3326474.0,32.735,20715
2020-09-15,32.99,33.23,32.8,32.82,2706480.0,32.99,17952
2020-09-16,32.95,33.25,32.56,32.64,3240333.0,32.892,21336
2020-09-17,32.2,33.09,32.09,32.82,2885805.0,32.729,18937
2020-09-18,32.73,33.0,32.23,32.44,3696668.0,32.631,20795
2020-09-21,31.66,31.86,30.95,31.42,2798570.0,31.269,17527
2020-09-22,31.42,31.62,31.03,31.61,3080399.0,31.39,17840
2020-09-23,31.57,31.64,30.51,30.59,2889299.0,30.952,17553
2020-09-24,30.35,31.14,30.16,30.69,2131076.0,30.668,14566
2020-09-25,30.55,31.3,30.41,31.2,1696529.0,30.977,11665
2020-09-28,31.76,32.19,31.63,32.03,1865169.0,32.008,10799
2020-09-29,32.15,32.33,31.93,31.97,2141391.0,32.118,12173
2020-09-30,32.15,32.79,32.06,32.41,3322922.0,32.476,18042
2020-10-01,32.75,32.77,32.05,32.53,3573061.0,32.406,18310
2020-10-02,32.03,33.11,32.0,32.81,2938659.0,32.755,15937
2020-10-05,33.26,33.73,33.0,33.53,2907076.0,33.534,14835
2020-10-06,33.64,34.34,33.57,33.62,4155538.0,33.871,23565
2020-10-07,33.93,35.1,33.88,35.06,3411064.0,34.782,17561
2020-10-08,35.2,35.83,35.1,35.23,3224320.0,35.45,17857
