date,open,high,low,close,volume,average,barCount
2020-07-13,73.35,73.68,71.98,72.52,237436.0,72.951,2104
2020-07-14,72.25,73.65,71.78,73.38,187795.0,72.976,1678
2020-07-15,75.05,75.79,74.12,75.31,176388.0,75.204,1448
2020-07-16,74.56,77.32,74.4,75.97,194915.0,76.047,1682
2020-07-17,76.19,76.19,74.74,75.32,229806.0,75.369,1840
2020-07-20,74.78,75.12,73.52,74.14,209658.0,74.178,1774
2020-07-21,74.45,76.15,74.22,75.21,249522.0,75.334,2009
2020-07-22,74.56,75.86,74.44,75.68,269372.0,75.25,2423
2020-07-23,78.97,80.89,78.02,80.32,707931.0,79.901,5662
2020-07-24,81.18,81.26,78.94,80.37,470680.0,80.08,3961
2020-07-27,79.61,80.23,78.71,79.57,353768.0,79.595,2876
2020-07-28,79.12,80.1,78.31,78.39,153234.0,78.781,1351
2020-07-29,78.14,81.1,78.14,80.74,233409.0,80.137,2085
2020-07-30,78.88,80.11,78.47,79.74,398359.0,79.49,3475
2020-07-31,79.63,80.41,78.93,79.6,327843.0,79.507,2607
2020-08-03,79.84,80.19,78.94,79.55,301238.0,79.736,2063
2020-08-04,79.22,79.58,78.56,78.68,147498.0,78.913,1341
2020-08-05,79.45,80.71,79.3,80.3,389991.0,80.118,2912
2020-08-06,80.05,81.1,79.92,80.33,388545.0,80.419,2706
2020-08-07,79.91,82.8,79.81,82.68,291780.0,81.721,1990
2020-08-10,82.82,85.08,82.76,84.79,246368.0,84.528,2102
2020-08-11,86.57,87.51,85.41,85.76,291786.0,86.513,2412
2020-08-12,87.28,87.28,84.62,85.54,174409.0,85.847,1475
2020-08-13,84.5,85.54,83.84,84.98,134961.0,84.895,1183
2020-08-14,84.37,85.94,84.37,85.48,141050.0,85.422,1268
2020-08-17,85.17,85.41,83.28,83.41,143944.0,83.82,1144
2020-08-18,83.37,83.86,82.25,82.66,180670.0,82.875,1501
2020-08-19,82.68,83.56,82.43,82.61,144221.0,82.854,1243
2020-08-20,81.35,82.12,81.01,81.16,125996.0,81.416,1074
2020-08-21,81.04,81.66,80.29,80.73,163037.0,80.836,1244
2020-08-24,81.39,84.5,80.98,84.49,252418.0,83.394,1983
2020-08-25,85.39,85.63,83.91,84.31,183646.0,84.521,1553
2020-08-26,84.09,84.59,83.24,84.16,195713.0,84.098,1654
2020-08-27,83.91,85.92,83.91,85.09,241589.0,84.936,1816
2020-08-28,85.77,85.77,84.45,84.82,265435.0,84.758,1907
2020-08-31,84.66,84.66,82.44,82.48,255629.0,83.155,1716
2020-09-01,81.86,83.6,81.45,82.03,260350.0,82.352,2044
2020-09-02,82.0,83.57,81.61,82.98,340645.0,82.97,2407
2020-09-03,83.88,85.99,81.47,81.85,376460.0,83.274,3050
2020-09-04,84.0,84.72,82.79,83.89,311823.0,83.966,2468
2020-09-08,83.4,83.4,80.63,81.52,315818.0,81.727,2531
2020-09-09,82.36,82.58,81.27,81.6,259166.0,81.91,2074
2020-09-10,82.16,82.7,80.07,80.07,313663.0,80.667,2422
2020-09-11,80.08,81.9,79.55,81.47,221890.0,81.265,1917
2020-09-14,82.24,83.83,82.24,83.23,184713.0,83.284,1689
2020-09-15,83.15,84.01,82.38,83.39,363133.0,83.409,3292
