date,open,high,low,close,volume,average,barCount
2020-07-13,24.65,25.19,24.37,24.86,11613386.0,24.833,56932
2020-07-14,24.8,25.85,24.67,25.64,13811305.0,25.421,69982
2020-07-15,26.32,27.03,26.13,26.88,12344309.0,26.579,58516
2020-07-16,26.35,27.19,26.26,26.85,8268171.0,26.809,40561
2020-07-17,26.99,27.0,26.25,26.45,6745797.0,26.5,29419
2020-07-20,26.21,26.54,25.77,26.01,6891818.0,26.028,30343
2020-07-21,26.17,26.48,25.97,26.15,8139944.0,26.211,37810
2020-07-22,25.87,26.5,25.8,26.3,9238879.0,26.22,38844
2020-07-23,26.44,27.33,26.33,26.76,11441405.0,26.827,49258
2020-07-24,26.6,26.88,26.11,26.25,6876393.0,26.441,31952
2020-07-27,25.88,25.92,25.31,25.7,14487288.0,25.601,61113
2020-07-28,25.78,26.75,25.69,26.33,10786243.0,26.379,48315
2020-07-29,27.04,27.05,24.93,25.89,25477271.0,25.829,96585
2020-07-30,25.13,25.46,25.02,25.2,14047484.0,25.187,58053
2020-07-31,25.12,25.15,24.44,24.89,11399666.0,24.724,48712
2020-08-03,25.06,25.77,24.82,25.64,8417720.0,25.487,36987
2020-08-04,25.87,26.03,25.51,25.8,7097907.0,25.731,32853
2020-08-05,26.2,26.35,25.88,26.33,7517083.0,26.12,34896
2020-08-06,26.17,27.19,26.15,26.62,12457327.0,26.629,53775
2020-08-07,26.48,26.81,26.17,26.72,6363172.0,26.596,30067
2020-08-10,26.91,28.06,26.86,27.98,9255057.0,27.734,41092
2020-08-11,28.47,29.35,28.43,28.52,14554094.0,28.926,69385
2020-08-12,28.99,29.75,27.78,28.03,8195481.0,28.241,42853
2020-08-13,27.73,28.22,27.5,27.55,6086419.0,27.763,31415
2020-08-14,27.29,28.13,27.15,27.86,6916849.0,27.799,33676
2020-08-17,28.6,30.78,28.42,30.01,30131958.0,29.667,113784
2020-08-18,30.55,31.12,29.79,29.84,19043860.0,30.201,72383
2020-08-19,29.65,30.03,29.08,29.22,11939460.0,29.464,48595
2020-08-20,28.7,29.17,28.64,28.83,7636942.0,28.934,34539
2020-08-21,28.74,28.96,28.43,28.56,6508208.0,28.611,31129
2020-08-24,29.28,30.76,28.99,30.31,17049150.0,30.212,67019
2020-08-25,30.4,30.73,29.48,29.69,10256812.0,29.818,46647
2020-08-26,29.78,29.83,29.12,29.48,7689725.0,29.389,29754
2020-08-27,29.6,30.24,29.52,29.69,7179634.0,29.827,34875
2020-08-28,29.86,30.23,29.63,30.02,7472047.0,29.98,36801
2020-08-31,30.02,30.19,29.61,29.63,7136323.0,29.844,33763
2020-09-01,29.53,29.85,29.34,29.79,7271650.0,29.663,36060
2020-09-02,29.85,31.09,29.8,30.96,13398311.0,30.65,61055
2020-09-03,30.93,31.52,29.13,29.48,17569837.0,29.944,84658
2020-09-04,29.93,30.37,29.35,30.0,11596096.0,29.966,61561
2020-09-08,31.72,33.33,31.05,32.38,45155270.0,32.42,182319
2020-09-09,32.11,32.75,31.72,31.95,18907293.0,32.179,84496
2020-09-10,31.8,31.88,30.14,30.17,20111965.0,30.882,92592
2020-09-11,30.3,30.57,29.87,30.46,10868324.0,30.267,54908
2020-09-14,30.72,31.56,30.53,31.18,9796230.0,31.229,47561
