date,open,high,low,close,volume,average,barCount
2020-07-13,77.56,78.86,75.26,75.57,18242500.0,77.5264,6475
2020-07-14,74.52,76.15,74.17,76.03,14346800.0,75.12395,4994
2020-07-15,76.16,76.77,74.9,75.68,14888380.0,75.79555,5291
2020-07-16,75.0,75.94,74.32,75.9,14755420.0,75.2302,5579
2020-07-17,76.08,76.17,74.92,75.78,16390020.0,75.5716,5437
2020-07-20,75.76,78.51,75.18,78.29,15325980.0,77.403,5696
2020-07-21,79.35,79.35,77.71,77.92,13262680.0,78.47795,4390
2020-07-22,77.9,78.5,77.3,78.42,9369500.0,77.95965,3165
2020-07-23,78.53,78.59,75.37,75.78,15640960.0,76.70325,5996
2020-07-24,74.93,75.88,74.42,75.59,13662700.0,75.2109,4650
2020-07-27,75.9,77.05,75.76,76.51,11345680.0,76.43085,3922
2020-07-28,76.3,76.32,74.88,75.02,16600160.0,75.72195,6077
2020-07-29,75.32,76.56,75.07,76.1,11793720.0,75.88705,4002
2020-07-30,74.81,76.89,74.61,76.57,15721660.0,75.90325,5419
2020-07-31,75.25,75.45,72.7,74.15,32039600.0,73.5329,11019
2020-08-03,74.33,74.52,73.28,73.72,21631700.0,73.7045,7540
2020-08-04,73.71,74.28,72.93,73.25,17053320.0,73.3915,6236
2020-08-05,73.47,74.12,73.17,73.68,15458860.0,73.6776,5269
2020-08-06,73.63,75.12,73.3,75.01,21057040.0,74.47705,8048
2020-08-07,75.15,75.84,74.08,74.72,11933200.0,74.8711,4093
2020-08-10,74.5,75.2,73.65,74.8,9977080.0,74.47015,3618
2020-08-11,74.62,75.5,73.9,74.02,12003880.0,74.66615,4296
2020-08-12,74.28,75.62,74.26,75.33,13616860.0,75.27545,4707
2020-08-13,75.52,76.86,75.4,75.92,13019680.0,76.2253,4434
2020-08-14,75.78,76.1,75.14,75.39,9554600.0,75.5534,3146
2020-08-17,75.73,76.28,75.4,75.9,8590400.0,75.99745,2916
2020-08-18,76.31,78.12,76.19,77.93,13632800.0,77.27555,5261
2020-08-19,77.65,78.68,77.2,77.38,13645600.0,77.94985,5073
2020-08-20,77.17,79.29,76.91,79.09,14008400.0,78.4836,5563
2020-08-21,78.85,79.89,78.4,79.02,12715120.0,79.19205,4288
2020-08-24,79.7,80.71,79.03,79.41,12176520.0,79.5526,4044
2020-08-25,79.13,80.58,79.06,80.41,14657320.0,80.1338,4001
2020-08-26,80.4,82.96,80.18,82.62,28425940.0,81.77825,11556
2020-08-27,82.68,82.75,81.29,81.72,14047300.0,81.9741,5124
2020-08-28,81.74,82.36,81.54,82.22,10451820.0,82.03805,3719
2020-08-31,82.39,82.4,81.52,81.71,10709980.0,81.87045,3875
2020-09-01,81.66,83.29,81.61,83.04,11032280.0,82.52365,3923
2020-09-02,83.69,86.66,83.32,86.41,22949080.0,84.92105,8478
2020-09-03,85.49,85.49,80.75,82.09,23777960.0,82.5386,9302
2020-09-04,81.14,82.26,77.38,79.55,21079100.0,79.37,7930
2020-09-08,76.68,78.19,76.4,76.62,21845140.0,77.16335,8283
2020-09-09,77.97,78.45,76.8,77.85,14165340.0,77.8186,4768
2020-09-10,78.06,79.2,76.29,76.6,12533440.0,77.74535,4259
2020-09-11,76.8,77.19,74.87,76.04,13121500.0,76.11795,4787
2020-09-14,76.96,78.2,75.79,75.96,11466140.0,77.00775,4268
2020-09-15,76.76,77.98,76.59,77.07,10296740.0,77.294,3610
2020-09-16,77.78,78.1,75.99,76.05,11649980.0,77.0009,4117
2020-09-17,74.77,75.42,73.5,74.78,14068920.0,74.48355,5142
2020-09-18,74.9,75.15,71.86,73.0,24378720.0,73.52825,7451
2020-09-21,72.0,72.42,70.33,71.56,26923060.0,71.21485,10523
2020-09-22,72.55,73.48,71.73,73.27,11963740.0,72.56015,4439
2020-09-23,72.94,73.05,70.39,70.76,13923820.0,71.7066,5330
2020-09-24,70.48,72.19,70.48,71.41,12906220.0,71.4525,4555
2020-09-25,71.56,72.5,70.67,72.25,11041920.0,71.69905,4264
2020-09-28,73.73,73.84,72.47,73.23,14285240.0,73.16555,5715
2020-09-29,73.52,73.83,72.94,73.47,8944840.0,73.3951,3084
2020-09-30,73.34,74.49,72.99,73.48,11336500.0,73.86765,4271
2020-10-01,74.21,74.95,73.96,74.5,11683860.0,74.43655,4457
2020-10-02,73.13,74.16,72.55,72.92,9910860.0,73.3327,3794
2020-10-05,73.29,74.41,73.21,74.3,8866340.0,73.87455,3557
