date,open,high,low,close,volume,average,barCount
2020-07-13,86.12,87.33,84.98,85.13,343072.0,86.106,2929
2020-07-14,84.45,86.37,84.08,86.17,428581.0,85.731,3323
2020-07-15,87.73,88.53,86.65,88.26,319038.0,88.097,2586
2020-07-16,87.89,88.79,87.7,88.64,275069.0,88.295,2311
2020-07-17,89.25,89.25,87.47,87.86,254273.0,88.022,1737
2020-07-20,87.26,87.58,86.1,87.03,330518.0,87.113,2712
2020-07-21,87.07,88.93,87.07,87.63,246509.0,87.986,2115
2020-07-22,87.49,89.34,87.16,89.1,280694.0,88.804,2376
2020-07-23,88.54,89.5,88.09,88.46,339466.0,88.671,3140
2020-07-24,88.44,89.98,88.05,88.64,425236.0,89.075,3635
2020-07-27,88.07,89.9,87.04,89.43,474250.0,88.892,3855
2020-07-28,89.83,90.25,88.37,89.2,483871.0,89.494,3761
2020-07-29,89.34,91.76,89.34,91.65,426628.0,91.001,3566
2020-07-30,90.4,92.28,87.89,90.48,674009.0,90.819,5515
2020-07-31,90.69,91.7,89.37,90.15,665885.0,90.174,5908
2020-08-03,90.73,91.43,90.14,90.86,443198.0,90.791,3841
2020-08-04,90.57,91.23,90.21,91.19,400200.0,90.811,3264
2020-08-05,92.3,92.75,91.69,92.43,327819.0,92.176,2669
2020-08-06,92.13,92.8,91.37,92.23,273437.0,92.042,2276
2020-08-07,91.84,92.79,91.54,92.75,300288.0,92.278,2029
2020-08-10,92.77,94.25,92.34,94.07,363581.0,93.619,2607
2020-08-11,95.07,96.58,94.76,95.27,502239.0,95.603,3655
2020-08-12,95.96,97.05,95.36,96.87,501341.0,96.532,3606
2020-08-13,96.0,96.15,93.83,94.36,295925.0,94.593,2188
2020-08-14,94.27,95.28,94.2,94.56,229696.0,94.701,1735
2020-08-17,95.0,95.27,93.96,94.22,251832.0,94.465,2034
2020-08-18,94.12,94.67,93.48,93.56,266591.0,94.024,2201
2020-08-19,93.64,93.94,92.78,93.04,241108.0,93.081,1862
2020-08-20,92.13,92.95,91.95,92.22,261241.0,92.565,2165
2020-08-21,92.21,93.52,91.72,93.28,434084.0,92.952,2993
2020-08-24,93.94,95.53,93.65,94.99,597732.0,94.84,4137
2020-08-25,95.45,95.61,93.84,94.5,291641.0,94.47,2198
2020-08-26,94.2,95.15,93.8,94.37,286851.0,94.64,2168
2020-08-27,94.37,94.84,93.21,93.65,260348.0,93.711,1903
2020-08-28,93.94,94.89,93.39,94.88,277253.0,94.357,2104
