date,open,high,low,close,volume,average,barCount
2020-07-13,97.75,98.64,96.36,96.49,422419.0,97.6,3662
2020-07-14,95.78,97.96,95.33,97.84,435962.0,96.868,3587
2020-07-15,97.5,99.79,97.5,99.45,456605.0,98.981,3901
2020-07-16,99.4,101.41,99.19,101.04,771152.0,100.573,5837
2020-07-17,100.9,101.0,99.13,100.42,556564.0,100.093,4351
2020-07-20,100.4,100.43,99.45,100.2,387863.0,100.124,3117
2020-07-21,100.0,100.78,99.75,99.81,326631.0,100.151,2761
2020-07-22,99.82,101.46,99.79,101.35,501810.0,100.906,3890
2020-07-23,101.42,102.4,99.5,100.2,410726.0,100.966,3432
2020-07-24,96.98,99.22,96.18,96.74,1264616.0,97.58,8785
2020-07-27,94.83,100.71,94.51,100.29,1147302.0,99.22,8579
2020-07-28,100.65,100.68,98.67,99.36,1076492.0,99.752,7896
2020-07-29,103.12,103.99,95.02,98.78,1243504.0,97.652,9771
2020-07-30,97.58,100.53,97.32,100.01,725492.0,99.586,5923
2020-07-31,100.01,100.16,97.08,98.59,540253.0,98.075,4079
2020-08-03,99.12,100.52,98.7,99.97,542919.0,99.985,4467
2020-08-04,99.7,100.1,99.18,99.94,429595.0,99.779,3386
2020-08-05,100.39,102.62,100.12,102.36,522324.0,101.962,4369
2020-08-06,102.09,102.62,100.98,102.33,350506.0,101.967,2879
2020-08-07,102.29,102.48,101.45,101.89,401051.0,101.957,3247
2020-08-10,101.78,102.3,101.53,102.11,356240.0,101.969,2694
2020-08-11,102.46,103.44,101.31,101.5,458157.0,102.122,3877
2020-08-12,101.82,103.55,101.43,103.28,319165.0,102.902,2688
2020-08-13,103.24,104.91,102.76,104.62,573864.0,104.384,4424
2020-08-14,104.58,104.68,103.67,104.28,268473.0,104.322,2236
2020-08-17,104.64,104.97,104.05,104.48,305730.0,104.51,2514
2020-08-18,104.72,104.72,103.62,104.22,331220.0,104.177,2697
2020-08-19,104.6,105.5,103.9,103.99,389902.0,104.616,3072
2020-08-20,103.47,103.5,102.3,102.94,310505.0,102.886,2708
2020-08-21,102.84,103.13,102.28,102.43,292936.0,102.581,2383
2020-08-24,102.86,103.9,102.86,103.64,338424.0,103.508,2863
2020-08-25,104.47,104.47,103.15,103.64,221678.0,103.635,1895
2020-08-26,103.82,104.77,103.41,104.67,343737.0,104.338,3057
2020-08-27,105.26,105.33,102.43,102.57,468944.0,103.216,3993
2020-08-28,103.52,103.87,102.66,103.76,261519.0,103.413,2134
2020-08-31,103.68,104.57,103.12,103.61,323306.0,103.843,2799
2020-09-01,103.42,104.04,102.75,104.0,392404.0,103.604,3173
2020-09-02,104.48,106.0,103.6,105.81,342076.0,105.123,2763
2020-09-03,105.96,105.99,100.88,101.31,365726.0,102.414,3109
2020-09-04,102.31,102.91,100.33,101.73,464119.0,101.751,3890
2020-09-08,100.93,101.11,99.16,99.36,458824.0,100.189,3758
2020-09-09,100.62,102.05,100.43,101.14,305433.0,101.364,2663
2020-09-10,102.1,102.35,98.92,99.4,315090.0,100.28,2717
2020-09-11,100.39,100.95,99.58,100.05,321628.0,100.25,2907
2020-09-14,100.01,100.15,99.12,99.7,324879.0,99.608,2753
2020-09-15,100.31,101.3,99.83,99.98,310607.0,100.439,2741
2020-09-16,100.21,100.51,98.21,98.39,283816.0,99.099,2517
2020-09-17,97.92,98.85,96.97,98.2,254841.0,98.157,2058
2020-09-18,98.42,99.24,96.12,96.33,414908.0,97.437,2762
2020-09-21,95.17,95.46,93.23,94.26,481156.0,94.101,3654
2020-09-22,93.97,95.39,93.62,95.14,555265.0,94.3,3457
2020-09-23,96.12,96.31,93.21,93.46,277996.0,94.665,2388
2020-09-24,93.18,95.41,92.19,92.68,336686.0,93.036,2783
2020-09-25,92.42,93.87,91.84,93.55,228673.0,93.106,1842
2020-09-28,94.91,95.81,93.96,95.38,236531.0,95.245,1948
2020-09-29,95.58,95.79,94.86,95.01,281762.0,95.194,2393
2020-09-30,95.09,95.84,94.37,94.86,327641.0,95.223,2601
2020-10-01,95.78,95.93,94.35,94.68,344960.0,95.07,2976
2020-10-02,93.75,95.75,93.74,94.93,226506.0,94.909,1902
2020-10-05,95.74,96.66,95.54,96.54,245592.0,96.257,1956
2020-10-06,96.54,97.18,94.92,95.15,298063.0,96.059,2475
2020-10-07,95.87,97.2,95.8,96.92,221447.0,96.671,1809
2020-10-08,97.42,98.21,96.92,98.13,231306.0,97.768,1841
2020-10-09,98.47,99.45,98.32,98.82,250220.0,98.953,1977
2020-10-12,99.27,99.49,98.74,99.07,191351.0,99.191,1618
2020-10-13,98.74,99.33,98.02,98.81,186594.0,98.777,1598
2020-10-14,99.01,99.34,97.66,98.49,231384.0,98.469,1916
2020-10-15,97.7,99.28,97.35,99.03,170945.0,98.647,1398
2020-10-16,98.99,99.88,98.65,99.12,229592.0,99.325,1584
2020-10-19,99.58,100.34,97.44,97.72,221599.0,98.599,1852
2020-10-20,98.33,100.17,97.85,98.79,213403.0,99.206,1715
2020-10-21,99.03,99.63,97.59,98.39,212257.0,98.545,1738
2020-10-22,98.38,99.58,98.29,99.04,254123.0,98.794,2022
2020-10-23,99.65,100.93,99.01,100.84,351875.0,100.103,2851
2020-10-26,100.03,100.24,98.57,99.42,402343.0,99.106,3343
2020-10-27,99.2,100.16,98.53,98.61,274829.0,99.086,2306
2020-10-28,100.12,101.67,97.47,97.57,849550.0,98.942,6382
2020-10-29,97.52,102.33,97.52,100.73,661445.0,100.571,5188
2020-10-30,101.38,105.24,101.23,104.02,1217748.0,104.12,8121
2020-11-02,105.09,109.9,105.02,109.89,1365821.0,108.604,9675
2020-11-03,111.24,111.78,109.41,110.62,1286541.0,110.678,9235
2020-11-04,111.12,113.07,110.17,111.26,686536.0,111.605,5545
2020-11-05,112.0,114.43,111.5,113.27,1129865.0,112.974,7998
2020-11-06,113.5,116.29,113.21,115.19,564571.0,115.359,4644
2020-11-09,120.06,120.42,115.18,115.27,1153565.0,116.725,8383
2020-11-10,113.94,114.94,113.36,114.18,716446.0,114.254,5437
2020-11-11,114.89,115.88,114.18,114.82,379496.0,115.174,3138
2020-11-12,115.41,115.64,113.25,113.75,366046.0,113.972,2655
2020-11-13,114.05,115.68,113.79,115.63,293747.0,115.066,2445
2020-11-16,117.02,117.71,116.15,117.51,486280.0,117.115,3450
2020-11-17,117.17,117.56,116.57,117.33,298706.0,117.138,2493
2020-11-18,117.34,117.34,114.26,114.3,425170.0,115.493,3418
2020-11-19,114.69,115.4,112.82,114.29,226207.0,113.954,1863
2020-11-20,114.68,115.21,113.5,114.49,289946.0,114.478,1980
2020-11-23,115.13,115.38,114.07,114.66,308623.0,114.45,2452
2020-11-24,115.65,117.27,114.6,116.46,324856.0,116.464,2725
2020-11-25,116.29,116.71,115.07,116.37,254424.0,116.056,2041
2020-11-27,116.85,118.01,116.38,117.05,207799.0,117.209,1698
2020-11-30,116.1,117.07,114.31,116.76,384067.0,115.781,3010
2020-12-01,117.66,119.99,117.25,119.8,485632.0,119.399,4001
2020-12-02,120.0,120.0,117.79,118.48,318434.0,118.733,2471
2020-12-03,118.24,119.6,118.24,119.24,256240.0,119.098,1976
2020-12-04,119.0,121.74,118.75,121.34,393819.0,120.888,3231
2020-12-07,121.01,122.35,120.29,121.3,399027.0,121.558,3285
2020-12-08,121.25,122.99,120.28,122.85,340418.0,122.199,2803
2020-12-09,123.55,123.55,117.92,119.45,699983.0,119.589,5673
2020-12-10,118.94,119.96,118.01,118.6,278622.0,118.726,2406
2020-12-11,118.45,119.23,118.04,118.94,267559.0,118.831,2275
2020-12-14,119.03,119.48,117.21,117.21,295346.0,118.199,2512
2020-12-15,118.16,119.27,117.59,119.19,249381.0,118.537,2061
2020-12-16,118.89,119.51,117.71,118.33,229719.0,118.487,1805
2020-12-17,118.45,119.65,117.62,118.63,262504.0,118.427,2234
2020-12-18,118.82,119.85,118.46,119.49,509914.0,119.219,2987
2020-12-21,118.4,118.5,116.63,118.18,312035.0,117.875,2336
2020-12-22,118.19,119.46,117.66,119.14,216138.0,118.858,1773
2020-12-23,119.77,121.37,119.77,120.24,275257.0,120.446,2112
2020-12-24,120.68,120.68,119.23,120.21,74976.0,119.913,588
2020-12-28,120.39,121.53,120.29,120.73,138858.0,120.865,1038
2020-12-29,121.1,121.48,119.0,119.38,128816.0,119.575,1056
2020-12-30,119.25,120.02,118.85,119.52,122319.0,119.489,949
2020-12-31,119.19,119.8,118.69,119.66,117037.0,119.269,933
2021-01-04,119.77,120.65,117.87,118.8,387660.0,119.02,2819
2021-01-05,118.13,118.93,117.21,118.56,373595.0,118.282,2769
2021-01-06,118.69,119.67,117.92,119.48,490120.0,118.837,4007
2021-01-07,119.77,122.75,119.65,121.56,323681.0,121.753,2456
2021-01-08,122.44,122.94,120.71,121.98,220140.0,121.815,1704
2021-01-11,121.96,122.44,120.79,121.23,244858.0,121.594,1825
2021-01-12,121.33,122.23,120.86,122.02,272176.0,121.78,2123
2021-01-13,122.31,122.36,120.38,120.79,266239.0,120.999,2198
2021-01-14,122.04,122.04,120.3,120.88,257548.0,121.154,2030
2021-01-15,120.32,121.59,119.84,121.01,288840.0,120.785,2039
2021-01-19,121.4,123.36,120.68,122.69,329260.0,122.209,2536
2021-01-20,122.89,125.0,122.69,123.98,341457.0,124.331,2643
2021-01-21,124.16,124.63,123.08,123.78,252013.0,124.001,1981
2021-01-22,123.01,124.14,122.35,123.83,193949.0,123.509,1565
2021-01-25,123.86,124.81,122.39,123.52,241491.0,123.402,1752
2021-01-26,123.44,123.5,121.26,121.41,238513.0,122.0,1855
2021-01-27,120.68,120.68,116.48,117.31,382843.0,117.933,3034
2021-01-28,117.3,119.38,116.81,117.47,343289.0,118.239,2729
2021-01-29,117.16,117.16,113.59,114.86,560895.0,114.904,4323
2021-02-01,115.2,117.57,115.12,117.36,313416.0,116.695,2618
2021-02-02,118.34,119.29,117.67,118.87,396256.0,118.626,3313
2021-02-03,118.71,119.65,118.12,118.94,205665.0,119.064,1529
2021-02-04,119.5,119.99,118.55,119.27,196043.0,119.3,1554
2021-02-05,120.17,120.94,119.44,120.33,221053.0,120.37,1768
2021-02-08,120.34,124.98,119.79,124.14,729158.0,123.473,5472
2021-02-09,124.56,127.15,123.21,126.12,865711.0,125.397,5832
2021-02-10,127.57,129.27,126.31,128.12,644225.0,128.117,4621
2021-02-11,128.95,130.36,128.29,129.43,419698.0,129.082,2793
2021-02-12,130.11,131.4,129.5,130.7,394429.0,130.443,2814
2021-02-16,131.37,133.43,131.05,132.48,830349.0,132.555,5632
2021-02-17,132.32,132.96,128.47,129.51,1072773.0,130.355,7287
2021-02-18,129.55,131.42,126.73,127.6,872592.0,128.146,6036
2021-02-19,128.4,128.91,127.66,128.01,461843.0,128.209,3326
2021-02-22,127.9,128.22,127.33,127.65,458486.0,127.777,3535
2021-02-23,126.08,127.1,124.25,126.03,653934.0,125.723,4984
2021-02-24,125.5,129.24,125.17,128.45,278440.0,127.939,2245
2021-02-25,128.24,128.44,123.89,124.34,268356.0,125.648,2169
2021-02-26,124.17,125.56,123.51,124.02,343467.0,124.402,2709
2021-03-01,125.19,129.03,125.07,128.27,537519.0,127.991,3731
2021-03-02,128.79,128.79,126.57,127.01,392711.0,127.372,2790
2021-03-03,126.58,126.97,123.71,123.82,480677.0,125.01,3816
2021-03-04,124.51,126.42,117.74,119.86,447910.0,120.531,3508
2021-03-05,121.16,122.78,117.76,122.42,424307.0,120.448,3434
2021-03-08,123.24,123.97,121.43,122.52,338374.0,122.986,2716
2021-03-09,123.5,126.64,122.68,125.23,463591.0,125.699,3565
2021-03-10,125.94,127.68,125.86,126.89,329326.0,126.935,2618
2021-03-11,127.78,128.81,127.06,127.72,312118.0,128.099,2565
2021-03-12,127.31,127.57,126.59,127.46,237437.0,127.353,1908
2021-03-15,127.65,128.22,126.86,128.11,246541.0,127.808,2002
2021-03-16,128.95,129.48,126.67,128.28,391511.0,128.148,3057
2021-03-17,127.78,127.78,124.66,126.43,247151.0,125.72,2114
2021-03-18,126.24,126.63,124.89,125.45,254883.0,125.865,1954
2021-03-19,125.42,126.46,124.1,125.71,392325.0,125.387,2451
