date,open,high,low,close,volume,average,barCount
2020-07-13,314.38,324.37,313.39,319.53,341354.0,320.294,2705
2020-07-14,319.41,327.83,318.76,327.59,192655.0,324.696,1674
2020-07-15,331.2,335.02,326.84,333.62,204630.0,332.854,1741
2020-07-16,333.54,337.91,331.34,333.32,111678.0,333.858,1011
2020-07-17,335.04,336.32,329.76,330.27,237946.0,331.488,2109
2020-07-20,326.92,332.0,325.64,330.73,147184.0,328.952,1290
2020-07-21,333.34,339.28,333.06,337.32,172882.0,337.278,1425
2020-07-22,337.66,342.83,336.57,338.95,159110.0,339.768,1286
2020-07-23,338.94,343.1,326.64,338.66,285207.0,337.166,2296
2020-07-24,339.04,347.45,336.04,341.39,187920.0,342.624,1649
2020-07-27,341.05,346.11,339.31,339.79,152590.0,341.166,1313
2020-07-28,337.77,338.39,333.52,333.65,126531.0,336.011,1055
2020-07-29,335.21,343.18,335.21,340.76,155518.0,340.255,1395
2020-07-30,336.33,340.48,333.1,339.79,106294.0,338.102,970
2020-07-31,340.19,341.72,335.16,341.53,168199.0,338.701,1392
2020-08-03,342.92,345.84,341.88,341.96,71551.0,343.478,593
2020-08-04,341.04,342.92,337.69,338.52,116253.0,339.639,853
2020-08-05,340.43,344.71,336.91,344.41,113597.0,341.718,943
2020-08-06,344.41,346.88,343.27,346.59,163906.0,345.249,1331
2020-08-07,345.4,349.51,343.38,349.38,96753.0,347.1,874
2020-08-10,348.5,353.74,347.92,352.07,87022.0,351.846,713
2020-08-11,352.07,356.78,351.4,352.92,157154.0,354.095,1334
2020-08-12,354.69,358.06,352.76,355.81,72123.0,355.906,630
2020-08-13,353.95,354.86,350.52,352.07,44970.0,352.923,348
2020-08-14,351.25,354.32,348.36,351.38,58077.0,351.515,502
2020-08-17,350.16,354.21,348.57,351.9,91506.0,351.424,810
2020-08-18,352.86,355.36,352.17,353.25,92128.0,353.367,719
2020-08-19,354.88,355.51,350.22,350.83,43958.0,352.461,405
2020-08-20,349.54,355.65,349.03,354.25,52964.0,353.6,426
2020-08-21,353.24,355.45,350.64,352.61,77940.0,352.722,622
2020-08-24,352.33,353.72,346.03,349.16,157122.0,349.008,1306
2020-08-25,351.13,355.48,350.61,354.68,129760.0,353.011,1191
2020-08-26,352.23,365.66,352.23,361.49,163383.0,361.403,1275
2020-08-27,361.42,366.25,361.19,362.47,98596.0,363.175,829
2020-08-28,361.49,366.53,361.02,365.98,93023.0,364.416,834
2020-08-31,365.0,369.36,363.78,365.43,117328.0,366.468,1015
2020-09-01,364.25,367.76,362.87,367.42,76785.0,366.18,604
2020-09-02,368.4,371.87,367.1,370.5,98678.0,369.091,833
2020-09-03,371.82,371.82,357.46,360.12,69359.0,361.303,602
2020-09-04,362.0,364.18,351.67,358.08,111765.0,357.535,866
2020-09-08,358.38,358.59,349.77,350.16,157649.0,352.414,1302
2020-09-09,353.25,363.42,353.25,361.28,97665.0,360.973,758
2020-09-10,360.25,360.25,350.46,351.32,84261.0,354.892,763
2020-09-11,352.88,355.93,350.96,355.18,68006.0,353.84,520
2020-09-14,358.64,358.64,352.65,354.34,68821.0,355.092,601
2020-09-15,356.47,358.68,354.65,354.65,57321.0,356.19,479
2020-09-16,361.09,362.8,356.09,356.71,119805.0,358.61,1005
2020-09-17,353.63,359.65,350.07,355.43,108216.0,355.572,960
2020-09-18,354.57,357.45,349.78,351.09,98161.0,353.182,619
2020-09-21,346.8,349.26,338.03,341.57,93214.0,341.909,759
2020-09-22,341.6,345.17,338.8,343.68,143995.0,342.322,1261
2020-09-23,343.52,345.2,338.13,339.09,96215.0,341.36,880
2020-09-24,340.52,347.18,337.25,342.48,70060.0,342.807,632
2020-09-25,341.17,350.19,339.8,347.4,60750.0,346.927,540
2020-09-28,351.42,357.03,351.42,353.67,59316.0,354.547,497
2020-09-29,353.58,354.46,349.08,352.08,38417.0,352.278,295
2020-09-30,356.08,359.77,353.61,356.77,144829.0,357.188,796
2020-10-01,358.17,360.16,352.84,358.03,111933.0,356.909,744
2020-10-02,355.11,362.02,353.47,359.39,71586.0,358.174,539
2020-10-05,361.93,372.68,361.93,371.16,76303.0,368.511,622
2020-10-06,372.44,374.18,367.35,367.71,147490.0,370.804,1096
2020-10-07,371.51,379.3,370.82,376.4,70672.0,375.562,532
2020-10-08,376.73,389.17,376.39,385.99,260556.0,385.301,2193
2020-10-09,386.68,392.35,383.12,385.42,247385.0,387.792,1361
2020-10-12,388.54,392.53,385.79,388.66,122604.0,388.678,966
2020-10-13,385.49,386.34,380.11,384.16,144883.0,383.88,1155
2020-10-14,386.59,391.0,383.77,386.24,96486.0,387.117,815
2020-10-15,381.51,387.44,381.51,385.65,83285.0,384.531,708
2020-10-16,388.18,390.38,382.75,383.54,117262.0,385.748,866
2020-10-19,385.32,387.18,373.38,374.74,109326.0,378.636,919
2020-10-20,377.96,381.29,374.59,375.84,109652.0,378.778,897
2020-10-21,375.58,379.49,370.53,373.44,185167.0,374.975,1665
2020-10-22,371.36,375.61,352.76,362.02,286824.0,361.735,2343
2020-10-23,363.17,367.81,359.99,361.03,149885.0,361.953,1109
2020-10-26,356.92,361.48,356.11,361.28,173985.0,359.37,1478
2020-10-27,362.3,364.0,357.46,357.64,112935.0,359.922,991
2020-10-28,352.58,358.61,350.8,352.55,178611.0,354.745,1527
2020-10-29,352.01,354.57,348.3,350.11,138769.0,351.44,1097
2020-10-30,348.87,351.93,345.0,350.02,159216.0,348.346,1320
2020-11-02,354.24,363.3,354.24,363.23,118486.0,360.997,976
2020-11-03,366.73,374.04,366.73,371.22,102731.0,371.165,893
2020-11-04,374.96,379.33,368.82,374.71,186637.0,375.251,1473
2020-11-05,379.89,383.75,376.9,378.84,158785.0,381.508,1089
2020-11-06,378.51,393.25,377.44,390.63,173568.0,386.253,1259
2020-11-09,403.16,411.87,388.22,388.22,201612.0,397.316,1515
2020-11-10,390.11,405.75,388.89,404.48,189156.0,402.651,1423
2020-11-11,405.0,407.4,399.49,403.39,107177.0,403.397,928
2020-11-12,403.4,403.4,394.63,398.17,96395.0,398.679,634
2020-11-13,400.0,409.0,400.0,403.31,87415.0,404.371,653
2020-11-16,406.76,414.97,404.61,414.53,163199.0,412.217,1075
2020-11-17,412.47,412.9,405.52,410.46,83322.0,409.987,727
2020-11-18,411.49,420.54,411.49,415.01,152181.0,417.337,1302
2020-11-19,413.06,424.08,411.53,422.86,135446.0,419.668,1172
2020-11-20,419.34,419.34,405.23,409.3,190486.0,409.862,1500
2020-11-23,411.35,416.28,407.92,414.85,92165.0,413.783,783
2020-11-24,416.37,423.97,415.23,420.55,146453.0,420.472,1286
2020-11-25,420.14,421.69,410.21,414.58,161854.0,413.489,1332
2020-11-27,413.83,418.73,413.83,414.58,57841.0,415.368,455
2020-11-30,414.0,418.75,411.58,418.3,140212.0,415.025,1193
2020-12-01,424.33,427.9,412.77,413.14,154231.0,418.175,1237
2020-12-02,411.72,415.41,406.09,407.32,112410.0,408.834,932
2020-12-03,405.07,410.4,401.66,402.68,113628.0,405.576,940
