date,open,high,low,close,volume,average,barCount
2020-07-13,12.24,12.26,11.76,11.79,11739635.0,11.98,48190
2020-07-14,11.75,12.54,11.63,12.48,13814094.0,12.199,55507
2020-07-15,12.99,13.19,12.73,13.0,16257869.0,12.944,61287
2020-07-16,12.83,13.38,12.68,13.09,11385725.0,13.114,43099
2020-07-17,13.15,13.44,12.94,13.08,14527890.0,13.104,50390
2020-07-20,13.71,14.14,13.38,13.41,25058635.0,13.733,89302
2020-07-21,14.05,14.92,13.98,14.32,29446508.0,14.5,110861
2020-07-22,14.14,14.39,13.88,14.18,16180126.0,14.206,60188
2020-07-23,13.95,14.77,13.94,14.75,17460832.0,14.419,61230
2020-07-24,14.66,14.91,14.57,14.71,20325716.0,14.712,65294
2020-07-27,14.7,14.93,14.48,14.9,13631660.0,14.739,51479
2020-07-28,14.8,14.99,14.58,14.65,13430337.0,14.757,53069
2020-07-29,14.63,15.11,14.62,15.07,10961818.0,14.901,40400
2020-07-30,14.78,14.84,14.6,14.67,13242419.0,14.699,51690
2020-07-31,14.4,14.59,14.1,14.33,15906446.0,14.244,51459
2020-08-03,14.33,14.68,14.25,14.53,9714635.0,14.496,35886
2020-08-04,14.5,15.25,14.46,15.11,13889298.0,14.942,50478
2020-08-05,15.53,15.75,15.26,15.32,11884783.0,15.461,42741
2020-08-06,15.34,15.44,14.8,14.82,10139115.0,15.035,37084
2020-08-07,14.65,14.89,14.42,14.89,11455079.0,14.609,43090
2020-08-10,14.98,15.66,14.93,15.61,9396720.0,15.41,39515
2020-08-11,16.01,16.7,15.98,16.14,23612841.0,16.382,80393
2020-08-12,16.46,16.82,16.38,16.71,18600412.0,16.574,64844
2020-08-13,16.64,16.79,16.35,16.65,11832610.0,16.519,40451
2020-08-14,16.31,16.66,16.15,16.63,11234480.0,16.505,34056
2020-08-17,16.52,16.85,16.5,16.65,11108978.0,16.65,42250
2020-08-18,16.61,16.89,16.34,16.45,9606541.0,16.528,33102
2020-08-19,16.45,16.87,16.38,16.49,10917478.0,16.605,29505
2020-08-20,16.27,16.29,15.95,16.01,11945288.0,16.113,38563
2020-08-21,15.88,15.99,15.61,15.74,8353394.0,15.776,31243
2020-08-24,15.88,16.64,15.77,16.29,12911173.0,16.285,48899
2020-08-25,16.62,16.69,16.06,16.15,9199690.0,16.289,31301
2020-08-26,16.11,16.26,15.77,15.81,7907281.0,15.94,29684
2020-08-27,15.82,16.06,15.58,16.02,7679225.0,15.854,28605
2020-08-28,16.09,16.43,16.02,16.27,7347134.0,16.247,27738
2020-08-31,16.19,16.34,15.96,16.18,7301080.0,16.156,27485
2020-09-01,15.89,16.35,15.83,16.23,9510554.0,16.189,37881
2020-09-02,16.17,16.29,16.04,16.25,8556701.0,16.164,31415
2020-09-03,16.14,16.68,15.83,16.12,14557828.0,16.241,57317
2020-09-04,16.29,16.35,15.48,15.99,11837730.0,15.844,48391
2020-09-08,15.49,15.58,14.77,14.81,13504868.0,14.996,54073
2020-09-09,14.96,15.33,14.9,15.06,10641654.0,15.12,42707
2020-09-10,15.06,15.17,14.19,14.28,14260205.0,14.655,51398
2020-09-11,14.33,14.37,13.98,14.27,9786677.0,14.222,39775
2020-09-14,14.31,14.5,14.09,14.33,9431519.0,14.312,37377
2020-09-15,14.45,14.64,14.31,14.44,6717641.0,14.506,28668
2020-09-16,14.63,15.35,14.42,15.07,12863057.0,15.029,56650
