date,open,high,low,close,volume,average,barCount
2020-07-13,8.71,8.81,8.34,8.67,8132990.0,8.638,27593
2020-07-14,8.67,8.78,8.4,8.63,15443238.0,8.625,53507
2020-07-15,8.87,9.14,8.78,9.11,6488640.0,8.997,23212
2020-07-16,8.97,9.27,8.89,9.07,5262096.0,9.096,18581
2020-07-17,9.02,9.17,8.89,8.92,6974018.0,8.974,23510
2020-07-20,8.79,8.92,8.72,8.73,4744972.0,8.789,19368
2020-07-21,8.83,9.25,8.77,9.22,7441316.0,9.15,28661
2020-07-22,9.14,9.27,9.04,9.23,4927640.0,9.181,19824
2020-07-23,9.46,9.8,9.34,9.7,7907933.0,9.648,36072
2020-07-24,9.78,9.83,9.54,9.6,6058502.0,9.649,26663
2020-07-27,9.6,9.62,9.24,9.27,9932826.0,9.35,35243
2020-07-28,9.22,9.4,9.12,9.13,9187018.0,9.195,31926
2020-07-29,9.09,9.48,9.02,9.45,7942133.0,9.261,31306
2020-07-30,9.22,9.33,9.02,9.31,5897696.0,9.235,20892
2020-07-31,9.21,9.29,9.09,9.27,6147427.0,9.208,22499
2020-08-03,9.3,9.38,9.16,9.27,5924554.0,9.286,24889
2020-08-04,9.3,9.3,9.12,9.17,5617200.0,9.169,17960
2020-08-05,9.25,9.43,9.18,9.39,5280623.0,9.345,19704
2020-08-06,9.3,9.46,9.23,9.3,3141228.0,9.318,11895
2020-08-07,9.23,9.68,9.17,9.66,5702281.0,9.492,19434
2020-08-10,9.7,9.95,9.66,9.87,4734667.0,9.849,19251
2020-08-11,10.09,10.42,10.03,10.09,6443180.0,10.243,23949
2020-08-12,10.29,10.39,9.8,9.97,5499146.0,10.079,18945
2020-08-13,9.81,9.95,9.74,9.77,3402147.0,9.815,12366
2020-08-14,9.73,10.04,9.66,9.9,4489921.0,9.913,15329
2020-08-17,9.87,9.88,9.72,9.78,4398180.0,9.788,17352
2020-08-18,9.78,9.78,9.52,9.53,3812205.0,9.6,14251
2020-08-19,9.54,9.71,9.46,9.52,4796027.0,9.575,16628
2020-08-20,9.45,9.46,9.19,9.2,6393314.0,9.262,19671
2020-08-21,9.22,9.34,9.08,9.11,6700187.0,9.149,19532
2020-08-24,9.2,9.58,9.16,9.55,9146822.0,9.482,21919
2020-08-25,9.69,9.78,9.49,9.58,8969318.0,9.615,26374
2020-08-26,9.58,9.58,9.39,9.41,4388433.0,9.465,15904
2020-08-27,9.39,9.71,9.37,9.64,4781374.0,9.611,17155
2020-08-28,9.71,9.74,9.52,9.57,9428586.0,9.585,23448
2020-08-31,9.55,9.55,9.32,9.41,6069229.0,9.419,19193
2020-09-01,9.32,9.6,9.25,9.44,5330987.0,9.459,18423
2020-09-02,9.42,9.74,9.35,9.69,8669778.0,9.606,27528
2020-09-03,9.76,10.09,9.6,9.65,6227587.0,9.756,24235
2020-09-04,9.87,10.08,9.72,9.94,8518584.0,9.911,29727
2020-09-08,9.74,9.88,9.61,9.71,10603950.0,9.746,34663
2020-09-09,9.86,9.9,9.67,9.79,8096027.0,9.812,27675
2020-09-10,9.89,9.99,9.57,9.58,6433040.0,9.711,21896
2020-09-11,9.59,9.76,9.5,9.68,7086377.0,9.65,28260
2020-09-14,9.77,10.16,9.73,10.12,10423905.0,10.024,29990
2020-09-15,10.07,10.11,9.89,10.0,9610851.0,10.003,25632
2020-09-16,9.86,10.13,9.79,9.89,8183177.0,9.975,26596
2020-09-17,9.7,9.92,9.66,9.79,6310096.0,9.803,21508
2020-09-18,9.74,9.85,9.64,9.69,10267768.0,9.716,32752
2020-09-21,9.45,9.54,9.09,9.16,9944290.0,9.235,31122
2020-09-22,9.18,9.28,8.83,8.89,8016801.0,9.007,26657
2020-09-23,8.94,9.11,8.68,8.69,6067540.0,8.887,21761
2020-09-24,8.72,8.87,8.55,8.67,5355738.0,8.682,21028
2020-09-25,8.55,8.84,8.52,8.82,5702547.0,8.738,20178
2020-09-28,9.06,9.21,8.94,9.12,4596868.0,9.129,17720
2020-09-29,9.08,9.18,8.88,9.05,5182511.0,9.04,18338
2020-09-30,9.08,9.31,9.06,9.17,6417175.0,9.179,22951
2020-10-01,9.29,9.29,9.06,9.15,6238936.0,9.149,22844
2020-10-02,8.99,9.38,8.91,9.33,8189893.0,9.239,30977
2020-10-05,9.43,9.68,9.38,9.67,5338955.0,9.586,20891
2020-10-06,9.77,9.99,9.5,9.54,7649037.0,9.747,25594
2020-10-07,9.68,9.99,9.68,9.88,6143180.0,9.858,20866
2020-10-08,9.95,10.06,9.85,10.03,4724454.0,9.972,18553
2020-10-09,10.06,10.16,9.81,9.85,6689160.0,9.936,21682
2020-10-12,9.84,9.98,9.83,9.95,4677560.0,9.921,14750
2020-10-13,9.92,9.92,9.55,9.56,5010872.0,9.683,14970
2020-10-14,9.58,9.67,9.44,9.46,5014718.0,9.555,18064
2020-10-15,9.38,9.69,9.3,9.66,5195011.0,9.562,18409
2020-10-16,9.62,9.75,9.43,9.67,4867250.0,9.641,17281
2020-10-19,9.7,9.78,9.51,9.52,3790026.0,9.629,12867
2020-10-20,9.69,10.02,9.63,9.88,6961408.0,9.893,25223
2020-10-21,9.84,9.88,9.62,9.69,8413818.0,9.731,28700
2020-10-22,9.89,10.49,9.79,10.38,9372230.0,10.255,36654
2020-10-23,10.5,10.56,10.18,10.47,6321088.0,10.382,25300
2020-10-26,10.39,10.46,10.15,10.28,6381797.0,10.261,25368
2020-10-27,10.21,10.25,9.93,9.94,5037312.0,10.025,17602
2020-10-28,9.75,10.0,9.68,9.83,6374825.0,9.848,24915
2020-10-29,9.82,10.21,9.66,10.13,6485936.0,10.033,24014
2020-10-30,10.07,10.45,10.03,10.44,6936753.0,10.276,26475
2020-11-02,10.6,10.91,10.37,10.81,8462737.0,10.722,30447
2020-11-03,11.01,11.16,10.93,11.09,8242930.0,11.052,25976
2020-11-04,10.66,10.66,10.06,10.08,14561598.0,10.228,47020
2020-11-05,10.13,10.64,10.11,10.57,6135885.0,10.489,22643
2020-11-06,10.68,10.68,10.07,10.15,7480079.0,10.321,25796
2020-11-09,11.02,12.23,11.02,11.95,18082274.0,11.838,63144
2020-11-10,11.97,12.34,11.79,12.13,13686477.0,12.163,41502
2020-11-11,12.13,12.13,11.51,11.64,6813348.0,11.686,27775
2020-11-12,11.47,11.52,11.11,11.29,6428246.0,11.31,26212
2020-11-13,11.45,11.72,11.39,11.59,5332987.0,11.603,21392
2020-11-16,12.11,12.32,11.92,12.03,5469702.0,12.055,22036
2020-11-17,11.79,12.04,11.64,12.02,4511465.0,11.916,18145
2020-11-18,12.16,12.25,11.87,11.87,5349564.0,12.045,20591
2020-11-19,11.77,11.96,11.58,11.95,4244192.0,11.801,18313
2020-11-20,11.87,11.92,11.7,11.75,3337765.0,11.766,13399
2020-11-23,11.97,12.21,11.92,12.18,5853166.0,12.12,21283
2020-11-24,12.47,12.96,12.4,12.93,8638760.0,12.794,32942
2020-11-25,12.71,12.81,12.49,12.69,6050438.0,12.638,18040
2020-11-27,12.76,12.76,12.37,12.46,3414285.0,12.498,13415
2020-11-30,12.4,12.52,12.04,12.08,7602745.0,12.231,32552
2020-12-01,12.49,12.6,12.34,12.5,5531643.0,12.496,20404
2020-12-02,12.39,12.88,12.31,12.83,8308596.0,12.732,30318
2020-12-03,12.89,13.09,12.75,12.98,6215018.0,12.959,22629
2020-12-04,13.08,13.2,13.02,13.11,6526604.0,13.095,24952
2020-12-07,13.02,13.04,12.81,13.01,4252237.0,12.966,18554
2020-12-08,12.83,13.05,12.81,12.9,5214854.0,12.905,18286
2020-12-09,13.02,13.23,12.83,12.91,7908702.0,12.96,27471
2020-12-10,12.75,13.05,12.63,13.03,6759232.0,12.924,24423
2020-12-11,12.84,13.0,12.78,12.93,7178930.0,12.911,23947
2020-12-14,12.9,12.95,12.15,12.51,32912880.0,12.398,114342
2020-12-15,12.71,12.71,12.36,12.59,13899235.0,12.526,52881
2020-12-16,12.65,12.65,12.38,12.52,11743792.0,12.463,43586
2020-12-17,12.32,12.44,12.0,12.34,14378163.0,12.268,48402
2020-12-18,12.34,12.43,12.11,12.39,17320640.0,12.288,45898
2020-12-21,12.38,12.62,12.2,12.26,18893890.0,12.412,59418
2020-12-22,12.32,12.44,12.11,12.13,9565662.0,12.211,32713
2020-12-23,12.2,12.47,12.19,12.45,14157284.0,12.377,45102
2020-12-24,12.47,12.51,12.16,12.35,4067090.0,12.249,15867
2020-12-28,12.43,12.53,12.21,12.46,9076358.0,12.434,25458
2020-12-29,12.44,12.47,12.26,12.32,10603697.0,12.349,31909
2020-12-30,12.35,12.59,12.33,12.56,8734757.0,12.516,28855
2020-12-31,12.53,12.68,12.43,12.63,7492976.0,12.593,22793
2021-01-04,12.75,12.82,12.41,12.56,11782455.0,12.55,38339
2021-01-05,12.71,12.94,12.6,12.84,9984315.0,12.805,33821
2021-01-06,13.24,14.2,13.17,14.1,19727614.0,13.964,60682
2021-01-07,14.32,14.71,14.2,14.44,15459604.0,14.56,55227
2021-01-08,14.4,14.5,14.18,14.43,10387679.0,14.383,40768
2021-01-11,14.29,14.74,14.08,14.73,10484182.0,14.61,34439
2021-01-12,14.81,15.06,14.69,14.9,9080072.0,14.922,30921
2021-01-13,14.84,14.98,14.7,14.87,10132492.0,14.849,29868
2021-01-14,14.99,15.12,14.85,15.0,9087395.0,15.0,31426
2021-01-15,14.71,14.91,14.57,14.76,11337616.0,14.761,35905
2021-01-19,14.82,14.94,14.62,14.88,8599339.0,14.818,30166
2021-01-20,14.85,14.86,14.61,14.68,11505779.0,14.677,36782
2021-01-21,14.76,14.76,14.47,14.51,9972664.0,14.572,36150
2021-01-22,14.06,14.37,13.74,13.84,29233173.0,13.96,77590
2021-01-25,13.61,13.7,13.08,13.48,21622699.0,13.345,63606
2021-01-26,13.54,13.72,13.39,13.52,10956846.0,13.555,36798
2021-01-27,13.24,13.49,13.19,13.28,16530466.0,13.35,56152
2021-01-28,13.52,13.7,13.32,13.57,11847953.0,13.573,37600
2021-01-29,13.54,13.72,13.04,13.22,15885833.0,13.267,53338
2021-02-01,13.28,13.31,13.02,13.22,11630871.0,13.166,36502
2021-02-02,13.45,13.58,13.3,13.53,8293695.0,13.501,31794
2021-02-03,13.48,13.7,13.44,13.62,7947598.0,13.604,28641
2021-02-04,13.74,14.22,13.61,14.12,7479647.0,14.098,32883
2021-02-05,14.26,14.31,14.03,14.07,6619919.0,14.114,28781
2021-02-08,14.15,14.26,14.04,14.22,6187614.0,14.198,24564
2021-02-09,14.21,14.36,14.07,14.28,5381485.0,14.245,21895
2021-02-10,14.31,14.53,14.2,14.32,5757710.0,14.346,24130
2021-02-11,14.33,14.43,14.04,14.31,6423102.0,14.245,20684
2021-02-12,14.32,14.58,14.25,14.45,5373642.0,14.426,21095
2021-02-16,14.68,15.1,14.62,15.05,8592474.0,14.967,31282
2021-02-17,15.06,15.18,14.87,14.97,6304236.0,15.0,24559
2021-02-18,14.79,14.94,14.64,14.8,6865491.0,14.794,31391
2021-02-19,14.9,15.35,14.89,15.3,8811497.0,15.232,31029
2021-02-22,15.28,15.68,15.23,15.57,5780079.0,15.545,22743
2021-02-23,15.66,15.75,15.43,15.72,11135108.0,15.621,38346
2021-02-24,15.76,16.28,15.73,16.22,9815606.0,16.107,36000
2021-02-25,16.38,16.49,15.65,15.7,10051772.0,16.01,37626
2021-02-26,15.54,15.65,15.11,15.34,10781621.0,15.399,44380
2021-03-01,15.71,15.93,15.62,15.83,7815870.0,15.803,29635
2021-03-02,15.78,15.98,15.72,15.74,7761193.0,15.85,30893
2021-03-03,15.9,16.41,15.85,15.93,8697217.0,16.12,33717
2021-03-04,16.15,16.38,15.48,15.78,14335309.0,15.887,48916
2021-03-05,16.13,16.34,15.56,16.23,9261995.0,15.996,34422
2021-03-08,16.39,16.83,16.27,16.61,9598198.0,16.617,34768
2021-03-09,16.33,16.39,15.88,16.06,9812754.0,16.164,35428
2021-03-10,16.06,16.41,16.01,16.35,8268403.0,16.286,32751
2021-03-11,16.11,16.41,16.06,16.32,7765899.0,16.253,27357
2021-03-12,16.59,16.76,16.48,16.7,11028446.0,16.65,39497
2021-03-15,16.66,16.75,16.3,16.5,9684790.0,16.438,35291
2021-03-16,16.34,16.35,15.91,16.09,8416079.0,16.079,32447
2021-03-17,16.09,16.29,15.88,16.1,7542099.0,16.044,30901
2021-03-18,16.33,16.91,16.26,16.35,10725844.0,16.593,40563
2021-03-19,16.06,16.28,15.77,15.98,13614594.0,16.069,45477
