date,open,high,low,close,volume,average,barCount
2020-07-13,95.0,99.71,95.0,96.83,1846744.0,97.419,12064
2020-07-14,96.55,99.13,95.73,98.96,1303708.0,97.856,8033
2020-07-15,101.72,106.42,101.2,105.65,2757585.0,104.594,18138
2020-07-16,104.84,108.32,103.45,107.14,2229035.0,107.174,14247
2020-07-17,107.29,108.33,105.29,106.06,1098219.0,106.307,6825
2020-07-20,105.6,106.32,103.17,104.97,2173849.0,104.637,14522
2020-07-21,106.27,110.21,106.2,109.33,1790148.0,108.576,12050
2020-07-22,115.3,124.38,115.1,122.42,4109859.0,120.91,26775
2020-07-23,125.0,127.48,123.94,126.97,3064427.0,126.03,21894
2020-07-24,126.51,126.51,124.06,125.51,1144509.0,125.099,8443
2020-07-27,125.0,125.65,123.61,125.33,1069622.0,124.792,7800
2020-07-28,125.19,126.73,123.57,123.96,1058949.0,124.536,8204
2020-07-29,125.18,130.79,124.87,129.78,1596374.0,129.368,11816
2020-07-30,128.11,128.48,125.74,128.05,1085743.0,127.383,7874
2020-07-31,127.88,127.88,124.41,126.64,1098582.0,125.737,8351
2020-08-03,127.11,127.3,124.81,125.87,716592.0,125.958,5341
2020-08-04,124.9,128.79,124.35,128.39,1410482.0,127.236,10078
2020-08-05,129.66,131.89,129.18,130.41,1687691.0,130.663,9253
2020-08-06,130.92,132.97,130.54,132.32,1193247.0,132.045,6335
2020-08-07,131.5,133.0,128.64,130.27,937588.0,130.307,6815
2020-08-10,130.32,132.98,130.32,132.47,707633.0,132.037,5125
2020-08-11,133.93,134.97,130.86,131.59,942226.0,133.002,7264
2020-08-12,132.87,133.11,130.35,132.13,721449.0,131.59,5394
2020-08-13,131.36,131.36,129.61,130.67,495392.0,130.569,4286
2020-08-14,130.25,134.91,129.69,134.43,874132.0,133.443,6803
2020-08-17,133.92,135.48,133.33,134.3,568311.0,134.482,4527
2020-08-18,134.38,134.6,132.43,133.91,486224.0,133.794,3807
2020-08-19,133.81,135.55,132.24,133.04,881602.0,133.627,5637
2020-08-20,132.18,133.69,130.14,131.15,881148.0,131.713,5816
2020-08-21,130.75,132.98,130.29,132.51,692181.0,131.929,5244
2020-08-24,133.5,135.07,132.0,134.38,720046.0,134.336,5376
2020-08-25,134.5,134.75,131.76,134.11,617844.0,133.122,4774
2020-08-26,133.59,133.8,129.9,131.63,536885.0,131.575,3941
2020-08-27,132.39,137.98,131.9,134.42,1377761.0,135.77,9134
2020-08-28,134.41,136.11,132.37,135.99,634300.0,135.016,5019
2020-08-31,135.57,137.86,135.05,135.72,816022.0,136.473,6633
2020-09-01,134.35,134.6,132.57,134.2,843275.0,133.827,6479
2020-09-02,134.69,139.48,132.96,138.17,1525323.0,137.764,8316
2020-09-03,138.72,139.37,134.3,136.6,1252503.0,136.347,9038
2020-09-04,136.73,139.18,134.85,137.05,675066.0,137.065,4902
2020-09-08,136.28,136.28,132.39,132.53,891928.0,133.796,7394
2020-09-09,133.65,135.34,132.76,133.81,685538.0,134.134,5133
2020-09-10,134.81,136.45,134.1,134.67,1027156.0,135.318,8025
2020-09-11,134.76,135.15,132.18,134.0,487162.0,133.731,3115
2020-09-14,135.07,136.32,133.85,135.72,1122490.0,135.417,6568
2020-09-15,136.96,138.76,134.91,135.8,677332.0,136.627,5229
2020-09-16,136.91,139.18,136.71,138.01,870060.0,137.903,6273
2020-09-17,136.28,137.88,134.18,137.14,933213.0,136.58,5683
2020-09-18,136.19,136.89,132.09,132.25,984549.0,134.287,6384
2020-09-21,125.92,125.97,119.12,125.45,2632452.0,122.45,17462
2020-09-22,125.46,125.83,119.57,120.65,1431375.0,121.201,11309
2020-09-23,121.79,122.09,116.07,116.33,1548002.0,117.653,11856
2020-09-24,115.83,119.15,114.38,116.95,812365.0,116.925,6624
2020-09-25,116.27,121.43,115.74,120.55,995141.0,119.735,7339
2020-09-28,122.48,123.86,120.82,121.36,687819.0,121.769,5271
2020-09-29,122.0,122.15,117.78,120.18,777009.0,119.327,6088
2020-09-30,121.1,126.35,120.55,124.68,1134748.0,124.482,7663
2020-10-01,125.07,125.7,121.48,124.56,887276.0,123.717,7147
2020-10-02,121.5,128.18,121.45,127.05,975541.0,126.07,6756
2020-10-05,128.18,130.78,126.89,130.17,594817.0,129.522,4572
2020-10-06,130.79,132.4,128.21,128.37,607994.0,129.997,4798
2020-10-07,130.0,132.34,128.56,129.07,580067.0,130.123,4365
2020-10-08,129.89,132.48,128.95,131.83,663593.0,131.432,4979
2020-10-09,139.5,140.0,133.2,133.96,1452902.0,135.467,8245
2020-10-12,135.0,135.29,129.89,130.23,722454.0,131.012,5218
2020-10-13,130.28,133.69,128.32,132.94,886283.0,132.17,6568
2020-10-14,132.62,136.76,132.25,134.66,713329.0,135.101,5340
2020-10-15,132.76,138.51,132.04,137.79,895466.0,136.577,5943
2020-10-16,137.79,139.48,134.72,135.12,774800.0,136.798,5213
2020-10-19,134.6,136.79,133.4,134.33,520476.0,135.226,3796
2020-10-20,134.21,137.98,133.71,136.42,617690.0,136.657,4488
2020-10-21,135.59,138.89,135.59,135.98,793280.0,137.086,5053
2020-10-22,135.83,138.11,134.43,135.21,662184.0,135.403,5064
2020-10-23,136.65,137.84,134.8,136.59,518218.0,136.109,3973
2020-10-26,134.5,137.45,130.49,135.43,1232315.0,134.614,8160
2020-10-27,134.71,135.4,130.4,130.56,911159.0,132.34,5818
2020-10-28,128.04,130.08,125.55,126.55,795096.0,127.265,6121
2020-10-29,126.17,127.27,123.82,125.4,815730.0,125.626,6402
2020-10-30,125.0,126.68,121.91,123.94,1027674.0,123.612,7877
2020-11-02,125.99,130.74,125.18,130.6,1342337.0,128.606,9557
2020-11-03,132.79,137.22,132.35,136.09,1159294.0,135.751,8536
2020-11-04,135.99,138.63,131.56,131.8,1542805.0,134.742,10510
2020-11-05,133.93,140.49,133.52,137.56,1216999.0,138.627,7480
2020-11-06,137.33,139.56,136.35,138.5,624981.0,138.334,4094
2020-11-09,147.69,152.67,145.99,147.32,2567429.0,148.639,14318
2020-11-10,146.38,154.94,146.38,152.11,1742226.0,151.456,11945
2020-11-11,151.63,152.0,144.78,145.47,955136.0,146.331,7223
2020-11-12,144.61,147.83,142.47,144.59,1081839.0,144.541,7622
2020-11-13,145.01,149.97,144.93,149.75,831114.0,148.778,5447
2020-11-16,151.75,153.92,150.23,151.82,1233557.0,151.839,6497
2020-11-17,150.32,155.84,149.14,153.03,1005076.0,153.545,7173
2020-11-18,152.2,154.48,150.1,151.24,733466.0,152.773,5055
2020-11-19,150.2,151.24,147.67,150.85,781372.0,149.667,6296
2020-11-20,150.92,151.39,147.01,147.34,735889.0,148.49,5134
2020-11-23,148.89,151.31,148.24,149.4,655681.0,149.517,3660
2020-11-24,150.99,155.64,149.55,155.06,1115555.0,153.878,7446
2020-11-25,153.94,155.46,152.52,153.62,663108.0,153.917,4911
2020-11-27,153.5,155.0,152.31,153.05,534076.0,153.743,3080
2020-11-30,152.46,152.46,148.92,150.11,686058.0,150.298,4881
2020-12-01,152.64,153.7,151.12,151.91,466798.0,152.461,3346
2020-12-02,150.31,153.37,149.75,152.6,412267.0,152.291,3234
2020-12-03,153.25,154.07,151.93,152.75,479135.0,153.063,3577
2020-12-04,153.65,158.21,152.58,157.68,837864.0,156.76,6286
2020-12-07,155.0,157.22,153.75,155.37,608576.0,154.607,4357
2020-12-08,155.13,159.65,155.0,159.19,800900.0,158.275,5088
2020-12-09,158.88,161.42,158.27,159.93,874042.0,159.834,6344
