date,open,high,low,close,volume,average,barCount
2020-07-13,45.26,46.58,44.02,45.33,1377738.0,45.494,10452
2020-07-14,45.08,47.6,44.78,47.48,1246193.0,47.008,8793
2020-07-15,48.8,49.06,46.96,48.66,2142989.0,47.99,14391
2020-07-16,48.2,49.42,47.29,48.67,917123.0,48.616,5551
2020-07-17,49.05,49.8,47.71,47.87,1014813.0,48.403,7194
2020-07-20,47.92,49.37,47.89,48.2,1332578.0,48.603,8961
2020-07-21,49.06,52.9,49.06,52.26,1733233.0,51.987,11637
2020-07-22,51.25,52.57,50.1,52.09,1073143.0,51.845,8372
2020-07-23,51.37,51.81,50.11,51.04,1141929.0,51.027,7946
2020-07-24,51.23,51.91,50.39,50.46,766914.0,50.939,6021
2020-07-27,50.21,50.95,49.74,50.29,666986.0,50.204,5104
2020-07-28,49.99,50.31,47.97,48.1,1866828.0,48.708,12735
2020-07-29,50.01,50.3,48.75,50.0,1655924.0,49.638,11758
2020-07-30,48.64,49.04,46.54,47.54,2011603.0,47.357,12160
2020-07-31,47.12,49.29,46.96,49.21,1611128.0,48.526,11351
2020-08-03,49.32,50.46,48.56,49.84,1148782.0,49.811,8038
2020-08-04,49.65,50.84,49.65,50.68,1094838.0,50.397,7341
2020-08-05,51.96,54.2,51.39,53.61,2273277.0,53.001,15298
2020-08-06,53.08,53.71,52.57,53.39,1042861.0,53.102,7372
2020-08-07,52.85,53.54,52.28,53.03,1730417.0,53.016,9115
2020-08-10,53.58,55.59,53.33,55.14,1418397.0,54.95,10080
2020-08-11,56.33,56.86,53.39,53.52,1146535.0,54.783,8608
2020-08-12,54.8,54.8,53.27,53.83,1477123.0,53.761,9690
2020-08-13,53.48,54.04,52.53,52.73,1036447.0,53.123,7546
2020-08-14,52.24,53.79,52.08,53.78,788823.0,53.25,5789
2020-08-17,53.58,53.58,51.61,52.47,888829.0,52.483,5562
2020-08-18,51.77,52.58,48.65,50.02,1557072.0,50.58,10518
2020-08-19,49.74,50.22,48.48,48.49,1676771.0,49.07,11078
2020-08-20,47.83,48.83,47.57,48.14,1297220.0,48.273,8692
2020-08-21,47.84,48.16,46.94,47.51,951795.0,47.525,6302
2020-08-24,47.91,48.46,47.1,47.83,1036591.0,47.719,7719
2020-08-25,48.78,48.78,47.35,48.32,1413066.0,48.08,7026
2020-08-26,48.12,48.12,46.26,46.3,989377.0,46.759,6765
2020-08-27,46.65,47.06,45.78,46.42,1128503.0,46.26,7016
2020-08-28,46.71,47.02,45.91,46.94,1171356.0,46.505,7608
2020-08-31,46.94,47.02,45.68,46.04,813439.0,46.188,6080
2020-09-01,45.7,45.98,45.09,45.94,916700.0,45.644,5938
2020-09-02,45.7,46.73,45.37,45.89,1132337.0,46.119,6939
2020-09-03,45.63,47.47,45.4,46.41,1668515.0,46.569,11601
2020-09-04,47.05,47.85,46.41,47.15,1380714.0,47.015,10537
2020-09-08,45.97,46.86,44.15,45.7,1811325.0,45.657,13578
2020-09-09,45.96,47.65,45.76,46.95,1413028.0,46.812,9973
2020-09-10,46.92,46.92,43.47,43.52,2040996.0,44.72,12111
2020-09-11,43.56,43.74,42.72,43.25,1540592.0,43.237,9199
2020-09-14,43.27,44.95,42.84,43.84,1717986.0,43.99,9049
2020-09-15,43.97,44.3,42.76,42.85,1487822.0,43.614,9255
2020-09-16,43.59,44.87,43.14,44.2,3426390.0,44.372,17462
2020-09-17,43.33,44.67,43.3,44.25,2247773.0,44.317,11771
2020-09-18,44.28,44.65,42.98,43.02,1999776.0,43.651,12108
2020-09-21,41.81,42.41,40.73,41.15,2692991.0,41.129,14139
