date,open,high,low,close,volume,average,barCount
2020-07-13,75.55,76.26,73.55,73.58,1608153.0,74.985,11712
2020-07-14,73.21,73.54,71.86,73.51,1863950.0,72.967,10483
2020-07-15,76.6,81.48,76.01,80.92,3668749.0,79.381,24327
2020-07-16,79.8,81.22,78.95,80.89,1868049.0,80.377,12920
2020-07-17,80.77,80.77,78.51,79.9,1687891.0,79.433,11483
2020-07-20,79.44,80.32,77.53,78.17,1556602.0,78.344,10152
2020-07-21,79.31,80.4,78.54,80.12,1539786.0,79.835,9976
2020-07-22,79.61,80.35,78.79,79.62,1789381.0,79.769,11170
2020-07-23,78.72,79.23,77.11,78.86,1576418.0,78.132,10730
2020-07-24,78.42,78.5,76.93,77.43,809538.0,77.554,5739
2020-07-27,76.55,77.45,75.36,77.34,1841487.0,76.494,11257
2020-07-28,77.02,77.58,76.5,76.67,1465829.0,76.906,9410
2020-07-29,77.25,78.01,76.93,77.39,1219314.0,77.352,7902
2020-07-30,76.5,76.96,75.38,76.14,1794868.0,76.058,9088
2020-07-31,75.68,75.76,74.02,75.05,2773854.0,74.736,11489
2020-08-03,74.4,75.62,73.5,74.74,1477458.0,74.83,9778
2020-08-04,74.8,78.42,74.47,78.32,2321591.0,77.426,13809
2020-08-05,79.61,80.03,77.83,80.0,3150137.0,79.025,19134
2020-08-06,79.3,83.6,78.03,82.7,4046381.0,81.408,25024
2020-08-07,82.35,83.86,81.21,83.7,2396218.0,82.881,15424
2020-08-10,84.53,87.22,84.2,86.2,2589089.0,85.807,17137
2020-08-11,87.55,88.46,86.45,87.02,3475570.0,87.402,20604
2020-08-12,88.61,88.7,85.36,85.89,1577123.0,86.359,10118
2020-08-13,85.25,87.06,84.26,85.5,1219312.0,85.931,8490
2020-08-14,85.89,86.84,85.25,86.0,1413364.0,86.242,8997
2020-08-17,86.07,86.2,84.19,84.98,1319763.0,84.979,8914
2020-08-18,85.01,85.22,83.36,84.07,1345530.0,84.068,8813
2020-08-19,84.6,85.4,83.88,84.49,1419390.0,84.779,7894
2020-08-20,83.47,85.71,83.12,85.1,1503752.0,84.975,7588
2020-08-21,85.5,87.44,85.16,87.35,1650944.0,86.715,9494
2020-08-24,87.85,89.21,86.8,88.4,1692765.0,88.447,9348
2020-08-25,89.72,90.61,88.27,88.44,1481368.0,88.83,10023
2020-08-26,88.21,88.21,86.7,86.8,1693527.0,87.034,10365
2020-08-27,87.66,89.3,87.58,88.8,2529762.0,88.833,16214
2020-08-28,89.21,92.06,89.11,91.73,3543279.0,90.684,19173
2020-08-31,91.61,91.69,89.48,90.36,2720882.0,90.502,12995
2020-09-01,89.62,92.16,89.01,91.71,1085367.0,91.188,6720
2020-09-02,91.89,91.97,90.38,91.34,3253627.0,91.021,15630
2020-09-03,91.93,93.85,90.31,91.3,1885263.0,91.956,13578
2020-09-04,92.68,93.39,90.75,90.94,2652640.0,91.536,15678
2020-09-08,90.12,93.42,89.68,91.9,2025858.0,92.076,14952
2020-09-09,91.7,91.88,90.13,90.39,1485238.0,90.745,10639
2020-09-10,90.75,93.14,89.27,89.36,1005893.0,90.778,7547
2020-09-11,89.61,89.64,86.21,87.37,1377572.0,87.647,10222
2020-09-14,88.18,92.57,88.18,92.31,1468934.0,91.38,10844
2020-09-15,92.45,93.78,91.79,91.94,1390836.0,92.509,9986
2020-09-16,92.46,95.08,91.64,94.03,2100492.0,93.678,12470
2020-09-17,92.68,93.1,90.62,91.17,1965381.0,91.574,12165
2020-09-18,90.34,91.34,89.27,89.64,2962141.0,90.473,11351
2020-09-21,87.2,87.3,83.52,85.48,2875662.0,85.061,17430
2020-09-22,85.16,85.83,83.95,85.24,2282288.0,84.692,11957
2020-09-23,85.69,87.33,83.68,83.86,1406008.0,85.079,9825
2020-09-24,83.37,84.75,81.48,83.07,3394171.0,83.178,17012
2020-09-25,82.98,86.06,82.82,85.93,2538785.0,84.67,15287
2020-09-28,87.82,89.44,86.8,89.06,1563403.0,88.589,11939
2020-09-29,88.9,88.98,86.43,86.6,2395937.0,87.355,13305
2020-09-30,87.54,88.88,85.17,85.32,2003689.0,86.634,13332
2020-10-01,85.92,87.24,85.55,87.22,1177933.0,86.506,7547
2020-10-02,84.91,88.02,84.61,87.96,1109744.0,87.02,7490
2020-10-05,88.45,90.01,87.86,89.3,859210.0,89.149,5614
2020-10-06,90.28,92.39,89.38,89.6,1496872.0,91.012,9871
2020-10-07,90.41,92.15,90.41,91.72,1452270.0,91.206,8784
2020-10-08,92.28,92.93,91.14,92.54,1599560.0,92.148,10245
2020-10-09,93.0,94.1,91.25,91.37,1056472.0,92.296,6972
2020-10-12,91.44,91.78,90.38,91.35,884484.0,91.252,5855
2020-10-13,90.8,91.3,88.19,88.64,1510981.0,89.042,10565
2020-10-14,89.0,90.23,87.8,88.3,1549992.0,88.719,9451
2020-10-15,87.36,88.7,86.42,88.68,974065.0,87.612,6111
2020-10-16,88.88,90.1,88.52,89.5,1229583.0,89.199,7206
2020-10-19,89.65,90.85,86.97,87.55,949792.0,88.815,6957
2020-10-20,88.41,90.47,87.77,89.57,986889.0,89.522,6618
2020-10-21,89.33,89.63,88.2,88.97,1130369.0,88.855,6537
2020-10-22,90.21,94.43,89.7,94.39,2474291.0,93.252,14060
2020-10-23,94.8,95.67,94.16,94.61,1780791.0,94.809,9433
2020-10-26,92.92,93.0,88.47,90.38,1423900.0,90.05,9790
2020-10-27,90.25,90.46,87.47,87.67,1166323.0,88.491,8567
2020-10-28,85.98,86.65,83.84,84.02,1627146.0,84.898,10664
2020-10-29,84.02,87.45,83.62,86.51,1544893.0,86.171,11497
2020-10-30,85.76,88.08,84.78,87.81,1501618.0,86.777,11048
2020-11-02,88.0,88.51,86.52,88.0,1366216.0,87.455,9077
2020-11-03,88.75,91.95,88.75,90.65,1573787.0,90.652,10187
2020-11-04,91.27,96.62,90.58,93.09,1939002.0,94.304,12600
2020-11-05,93.33,96.08,93.07,94.08,1697661.0,94.546,11710
2020-11-06,93.65,95.06,92.28,92.84,2182389.0,93.242,14507
2020-11-09,112.39,116.73,102.6,104.19,7615289.0,105.572,39909
