date,open,high,low,close,volume,average,barCount
2020-07-13,17.17,17.61,16.96,17.08,8380329.0,17.324,31174
2020-07-14,16.98,17.83,16.93,17.79,11943899.0,17.516,44538
2020-07-15,17.98,18.37,17.65,17.79,12634327.0,17.899,48329
2020-07-16,17.74,17.97,17.66,17.83,6836955.0,17.833,27462
2020-07-17,17.95,18.0,17.4,17.55,11762281.0,17.605,43325
2020-07-20,17.41,17.71,17.27,17.65,6209431.0,17.561,22033
2020-07-21,17.77,18.03,17.46,17.48,8652693.0,17.651,32262
2020-07-22,17.4,17.8,17.31,17.73,7319267.0,17.672,24638
2020-07-23,17.7,17.93,17.53,17.66,5754308.0,17.751,21587
2020-07-24,17.56,17.65,17.33,17.5,6886964.0,17.469,24023
2020-07-27,17.59,17.87,17.46,17.81,7913235.0,17.734,27342
2020-07-28,17.77,17.87,16.65,16.7,18031574.0,17.053,53836
2020-07-29,16.81,17.21,16.77,17.08,9745718.0,16.984,33506
2020-07-30,16.91,17.3,16.73,17.24,7845734.0,17.066,31329
2020-07-31,17.28,17.63,17.15,17.58,7891260.0,17.35,27149
2020-08-03,17.59,17.88,17.38,17.77,5502146.0,17.756,20554
2020-08-04,17.79,18.03,17.68,17.89,6881327.0,17.867,23198
2020-08-05,18.05,18.22,17.87,17.97,7408282.0,18.052,24519
2020-08-06,17.85,18.36,17.83,18.27,7080432.0,18.193,24473
2020-08-07,18.24,18.47,18.16,18.47,5615250.0,18.322,18909
2020-08-10,18.5,19.04,18.49,18.98,6631610.0,18.885,20416
2020-08-11,19.0,19.43,18.48,18.57,8530459.0,18.918,29987
2020-08-12,18.81,18.86,18.4,18.8,7144111.0,18.684,22391
2020-08-13,18.55,18.72,18.35,18.38,8008329.0,18.457,27147
2020-08-14,18.28,18.35,18.03,18.18,9415530.0,18.173,28240
2020-08-17,18.24,18.33,17.9,17.95,10295022.0,18.091,30838
2020-08-18,17.94,18.27,17.81,18.24,7029130.0,18.132,20496
2020-08-19,18.3,18.49,18.09,18.14,4461711.0,18.288,15580
2020-08-20,18.0,18.22,17.97,18.15,4575983.0,18.125,17554
2020-08-21,18.11,18.3,17.95,18.23,5757218.0,18.187,19089
2020-08-24,18.42,18.83,18.42,18.65,4808726.0,18.664,17907
2020-08-25,18.72,18.8,18.3,18.44,6229433.0,18.471,22185
2020-08-26,18.5,18.58,18.3,18.33,8667146.0,18.383,26173
2020-08-27,18.5,18.87,18.35,18.7,11820671.0,18.588,39790
2020-08-28,19.28,20.18,18.85,19.85,20078084.0,19.734,77433
2020-08-31,19.8,20.17,19.55,19.55,13845305.0,19.813,52036
2020-09-01,19.53,19.55,19.05,19.26,9747766.0,19.204,40328
2020-09-02,19.38,19.9,19.33,19.84,8458119.0,19.727,33150
2020-09-03,19.67,20.05,19.11,19.3,10717754.0,19.424,45949
2020-09-04,19.25,19.5,18.92,19.23,8204452.0,19.232,35442
2020-09-08,18.87,19.98,18.73,19.45,15260585.0,19.517,60505
2020-09-09,19.51,19.83,19.45,19.7,6969098.0,19.687,26503
2020-09-10,19.78,19.84,18.97,19.01,8645322.0,19.339,34812
2020-09-11,19.21,19.47,19.03,19.29,8412062.0,19.297,30783
2020-09-14,19.5,19.63,19.28,19.33,9992141.0,19.432,35223
2020-09-15,19.43,19.76,19.24,19.26,6290893.0,19.449,27570
2020-09-16,19.43,19.76,19.37,19.41,7740029.0,19.552,32058
2020-09-17,19.14,19.26,18.88,19.14,6534307.0,19.139,28845
2020-09-18,19.09,19.25,18.87,18.95,9370027.0,19.027,31226
2020-09-21,18.52,18.58,18.09,18.34,8625370.0,18.273,33609
2020-09-22,18.42,18.59,18.27,18.44,6768313.0,18.421,23740
2020-09-23,18.71,18.95,18.26,18.32,8090950.0,18.593,32910
2020-09-24,18.12,18.42,17.83,18.15,7803226.0,18.136,31475
2020-09-25,18.0,18.46,17.97,18.3,6486168.0,18.234,24976
2020-09-28,18.6,18.95,18.56,18.86,10255205.0,18.812,28576
2020-09-29,18.85,19.15,18.83,18.92,7095600.0,18.96,23219
2020-09-30,18.88,19.32,18.84,18.99,9431381.0,19.111,27783
2020-10-01,19.1,19.28,18.93,19.0,8916416.0,19.069,29785
2020-10-02,18.53,19.31,18.5,19.09,6972325.0,19.073,25885
2020-10-05,19.32,19.59,19.1,19.31,7411582.0,19.333,23518
2020-10-06,19.5,19.6,18.94,18.96,10051139.0,19.243,34736
2020-10-07,19.16,19.31,19.04,19.23,10281038.0,19.147,33869
2020-10-08,19.36,19.51,19.27,19.4,7033779.0,19.407,23533
2020-10-09,19.61,19.68,19.24,19.37,5986216.0,19.343,25834
2020-10-12,19.57,19.85,19.33,19.83,6519208.0,19.692,21273
2020-10-13,19.96,19.97,19.55,19.68,5994595.0,19.676,23755
2020-10-14,19.68,19.93,19.47,19.5,5275312.0,19.642,21427
2020-10-15,19.27,19.58,19.11,19.56,6229315.0,19.346,21928
2020-10-16,19.62,19.82,19.58,19.6,6056494.0,19.706,22866
2020-10-19,19.67,19.77,19.31,19.36,3925452.0,19.612,14394
2020-10-20,19.51,19.76,19.36,19.37,5249945.0,19.561,18466
2020-10-21,19.31,19.47,19.21,19.22,4787675.0,19.312,20070
2020-10-22,19.21,19.45,18.98,19.35,5226536.0,19.249,21004
2020-10-23,19.3,19.45,19.06,19.12,4980506.0,19.171,18540
2020-10-26,18.88,19.0,18.06,18.25,10426827.0,18.285,37912
2020-10-27,18.28,18.38,17.96,17.98,7536203.0,18.124,27763
2020-10-28,17.45,17.75,17.3,17.35,10003670.0,17.5,35685
2020-10-29,17.28,17.91,17.25,17.78,6509408.0,17.665,27222
2020-10-30,17.63,17.97,17.52,17.96,5677587.0,17.793,25046
2020-11-02,18.18,18.49,18.02,18.41,5863567.0,18.325,28019
2020-11-03,18.68,18.79,18.55,18.62,5086083.0,18.688,22440
2020-11-04,18.64,18.67,18.25,18.28,6768404.0,18.439,33448
2020-11-05,18.6,19.2,18.59,19.13,6756734.0,19.036,31057
2020-11-06,19.1,19.34,18.97,19.25,5306980.0,19.166,25191
2020-11-09,19.92,20.6,19.64,19.73,11876339.0,19.944,47829
2020-11-10,19.77,20.08,19.66,19.87,9074950.0,19.861,39592
2020-11-11,19.92,19.95,19.2,19.36,7677021.0,19.436,37602
2020-11-12,19.21,19.36,18.69,18.93,7064292.0,18.985,34300
2020-11-13,19.06,19.66,19.03,19.61,5236208.0,19.458,22381
2020-11-16,19.89,20.39,19.73,20.3,9038117.0,20.164,39120
2020-11-17,20.03,20.9,19.85,20.5,10610922.0,20.484,44122
2020-11-18,20.61,20.95,20.44,20.45,7550528.0,20.731,33788
2020-11-19,20.36,20.58,20.13,20.5,4488352.0,20.361,23157
2020-11-20,20.52,20.69,20.32,20.45,5745796.0,20.519,29108
2020-11-23,20.7,21.27,20.58,21.19,7506757.0,21.03,30899
2020-11-24,21.32,21.94,21.26,21.75,12683048.0,21.656,46738
2020-11-25,22.88,23.35,21.86,22.25,16338880.0,22.523,67153
2020-11-27,22.05,22.39,22.02,22.27,5564386.0,22.221,24773
2020-11-30,22.09,22.29,21.8,21.93,9110469.0,22.02,43046
2020-12-01,22.22,22.59,22.08,22.38,9406992.0,22.367,39583
2020-12-02,22.36,22.98,22.25,22.82,6994230.0,22.752,33159
2020-12-03,22.8,23.43,22.76,23.24,6911799.0,23.249,32529
2020-12-04,23.26,23.88,23.25,23.78,6393489.0,23.671,30924
2020-12-07,23.5,23.89,23.36,23.68,5826186.0,23.736,28685
2020-12-08,23.33,23.76,23.3,23.52,6011723.0,23.575,28445
2020-12-09,23.11,23.79,23.11,23.19,7903924.0,23.379,37086
2020-12-10,22.85,23.44,22.85,23.17,8489814.0,23.262,31984
2020-12-11,23.01,23.35,22.9,23.11,5811774.0,23.15,29829
2020-12-14,23.1,23.52,23.09,23.21,4923838.0,23.382,25064
2020-12-15,23.5,23.78,23.45,23.71,5294189.0,23.648,24371
2020-12-16,24.07,24.3,23.84,23.98,8366166.0,24.074,35650
2020-12-17,24.18,24.29,23.96,24.22,7640314.0,24.109,30789
2020-12-18,24.1,24.53,24.06,24.46,7179464.0,24.32,30497
2020-12-21,23.86,24.2,23.71,24.0,8036621.0,23.95,33666
2020-12-22,24.05,24.37,24.05,24.16,4568229.0,24.21,22141
2020-12-23,24.16,24.46,24.15,24.21,3655803.0,24.339,16910
2020-12-24,24.33,24.45,24.15,24.26,1918152.0,24.27,9223
2020-12-28,24.26,24.63,24.25,24.27,3985292.0,24.41,17444
2020-12-29,24.27,24.43,23.97,24.05,4325460.0,24.124,21894
2020-12-30,24.2,24.69,24.2,24.32,6068943.0,24.459,26679
2020-12-31,24.34,24.69,24.23,24.59,4642002.0,24.51,20839
2021-01-04,24.7,24.94,23.85,24.11,5466344.0,24.218,28782
2021-01-05,24.08,24.72,24.08,24.46,5560510.0,24.461,27468
2021-01-06,24.62,25.38,24.62,24.96,6513746.0,25.025,32766
2021-01-07,25.27,25.8,25.06,25.75,6134214.0,25.541,27891
2021-01-08,25.68,25.94,25.39,25.53,5368506.0,25.617,27581
2021-01-11,25.5,25.93,25.34,25.78,7061981.0,25.739,22333
2021-01-12,25.83,26.15,25.75,25.91,5788502.0,25.914,27488
2021-01-13,25.99,26.04,25.7,25.71,5024760.0,25.835,23925
2021-01-14,25.58,25.93,25.56,25.62,6659385.0,25.77,30502
2021-01-15,25.46,25.57,24.99,25.17,6347659.0,25.274,26442
2021-01-19,25.26,25.38,24.98,25.14,5047832.0,25.178,24178
2021-01-20,25.22,25.32,25.05,25.2,4728224.0,25.221,21682
2021-01-21,25.41,25.44,24.98,25.36,5148833.0,25.237,26145
2021-01-22,25.11,25.35,24.96,25.27,4302150.0,25.153,22373
2021-01-25,25.22,25.27,24.4,25.02,7864588.0,24.884,41647
2021-01-26,25.19,25.36,24.39,24.62,9395555.0,24.714,45783
2021-01-27,24.18,25.24,24.16,24.85,9883317.0,24.871,49976
2021-01-28,24.98,25.35,24.85,24.87,7060771.0,25.047,41464
2021-01-29,24.71,24.99,24.07,24.34,8458548.0,24.458,42721
2021-02-01,24.48,24.58,24.1,24.48,7666879.0,24.415,35192
2021-02-02,24.78,25.0,24.67,24.89,4177407.0,24.903,20338
2021-02-03,24.86,25.34,24.77,25.23,4515852.0,25.19,22866
2021-02-04,25.21,25.96,25.11,25.95,5424196.0,25.699,26194
2021-02-05,26.0,26.58,25.95,26.15,5627695.0,26.277,26863
2021-02-08,26.37,27.36,26.31,27.3,6329748.0,27.101,29779
2021-02-09,27.33,27.55,27.09,27.09,5399345.0,27.286,26063
2021-02-10,27.21,27.53,26.94,27.15,4484036.0,27.196,25947
2021-02-11,27.3,27.48,26.93,27.38,4936003.0,27.261,22318
2021-02-12,27.38,27.5,27.23,27.49,3018632.0,27.367,14611
2021-02-16,27.44,27.68,26.99,27.16,4860060.0,27.222,24707
2021-02-17,27.0,27.08,26.22,26.28,7557821.0,26.44,38000
2021-02-18,26.09,26.45,25.96,26.41,6034781.0,26.28,34867
2021-02-19,26.7,27.14,26.64,27.1,7173354.0,26.926,34320
2021-02-22,26.99,27.35,26.8,27.12,7934544.0,27.134,37397
2021-02-23,27.03,27.44,26.49,27.38,9580365.0,27.081,48259
2021-02-24,27.3,28.26,27.21,27.97,6744890.0,27.884,35773
2021-02-25,27.9,30.0,27.22,28.19,15924368.0,28.457,76860
2021-02-26,29.42,30.25,28.83,28.97,16559417.0,29.388,82069
2021-03-01,29.37,30.44,29.16,29.58,13159049.0,29.932,61835
2021-03-02,29.42,30.29,29.33,30.04,7638488.0,29.97,41785
2021-03-03,29.94,30.28,29.52,29.82,7635668.0,29.848,42733
2021-03-04,29.46,29.85,27.85,28.07,11336346.0,28.49,65571
2021-03-05,28.3,29.78,28.12,29.75,10391976.0,28.983,58833
2021-03-08,29.61,30.68,29.56,30.16,9482911.0,30.244,51458
2021-03-09,30.04,30.56,29.85,30.1,7916563.0,30.28,40850
2021-03-10,30.06,30.57,30.01,30.26,9258388.0,30.256,47084
2021-03-11,30.37,30.48,29.97,30.34,8360036.0,30.269,42230
2021-03-12,30.26,30.83,30.12,30.28,7125314.0,30.383,34875
2021-03-15,30.26,30.81,30.08,30.79,10597057.0,30.414,49609
2021-03-16,30.81,30.98,30.38,30.43,8488636.0,30.601,41668
