date,open,high,low,close,volume,average,barCount
2020-07-13,48.47,48.74,47.87,48.06,963058.0,48.336,7312
2020-07-14,48.06,49.12,48.06,49.09,817435.0,48.826,6076
2020-07-15,49.1,49.39,48.66,48.82,862070.0,49.039,6302
2020-07-16,48.79,49.74,48.72,49.53,1162535.0,49.488,7704
2020-07-17,49.82,50.23,49.76,49.92,1327865.0,50.04,7765
2020-07-20,49.86,50.09,49.33,49.7,739946.0,49.567,5633
2020-07-21,49.5,50.44,49.5,49.75,988847.0,49.975,7444
2020-07-22,49.89,49.96,48.96,49.78,668106.0,49.538,4945
2020-07-23,50.02,50.57,49.86,50.55,655471.0,50.389,5044
2020-07-24,50.66,51.09,49.93,50.27,862711.0,50.233,5716
2020-07-27,50.39,50.84,50.37,50.55,626254.0,50.529,4768
2020-07-28,50.6,51.12,50.44,50.56,605533.0,50.743,4500
2020-07-29,50.82,51.08,50.44,50.84,666181.0,50.88,5180
2020-07-30,50.54,50.9,50.16,50.75,705461.0,50.646,5411
2020-07-31,50.46,51.17,50.25,50.86,968593.0,50.648,7144
2020-08-03,51.04,51.24,50.62,50.8,759868.0,50.884,4703
2020-08-04,50.73,51.17,50.41,51.13,1105720.0,50.836,6628
2020-08-05,51.04,51.43,50.59,50.86,1067645.0,51.028,6162
2020-08-06,50.82,51.23,50.73,51.18,503956.0,51.019,3692
2020-08-07,51.13,51.95,50.97,51.62,802586.0,51.596,6004
2020-08-10,51.72,52.18,51.54,51.98,634221.0,51.914,4670
2020-08-11,52.03,52.2,51.29,51.41,695931.0,51.613,5187
2020-08-12,51.7,52.5,51.59,52.03,842317.0,52.18,6077
2020-08-13,51.95,52.26,51.63,52.12,633566.0,52.027,4069
2020-08-14,52.19,52.51,51.96,52.23,533972.0,52.241,3519
2020-08-17,52.18,52.68,52.05,52.42,516863.0,52.437,3669
2020-08-18,52.39,52.9,52.09,52.71,630582.0,52.583,4509
2020-08-19,52.72,52.79,52.11,52.43,698450.0,52.415,5290
2020-08-20,52.27,52.67,52.19,52.55,436762.0,52.459,3000
2020-08-21,52.58,52.83,52.26,52.68,851765.0,52.606,5108
2020-08-24,52.95,52.97,52.16,52.64,1045659.0,52.548,7089
2020-08-25,52.45,52.81,51.26,51.54,1815177.0,51.846,12415
2020-08-26,51.21,51.46,50.21,50.98,1675714.0,50.816,11121
2020-08-27,51.19,52.12,51.06,51.31,975960.0,51.632,7007
2020-08-28,51.05,51.16,50.31,50.62,991325.0,50.565,7051
2020-08-31,50.47,51.14,50.34,50.98,1752701.0,50.837,9786
2020-09-01,51.06,51.06,50.06,50.69,1421053.0,50.516,8659
2020-09-02,50.69,51.42,50.48,51.33,1486644.0,51.19,10118
2020-09-03,51.4,52.37,50.48,50.99,1221386.0,51.243,9052
2020-09-04,50.95,51.34,50.53,51.08,807491.0,50.988,5764
2020-09-08,51.09,51.27,50.21,50.25,1240543.0,50.516,8608
2020-09-09,50.63,51.39,50.47,50.67,871335.0,50.896,5966
2020-09-10,50.57,50.78,49.61,49.72,1089646.0,50.107,7456
2020-09-11,49.68,50.09,49.39,49.83,777852.0,49.832,5817
2020-09-14,49.95,50.6,49.93,50.25,589136.0,50.383,4313
2020-09-15,50.35,50.36,49.78,49.81,900801.0,50.061,5866
2020-09-16,49.86,50.1,49.42,49.45,673049.0,49.788,4946
2020-09-17,49.39,49.64,48.91,49.51,771097.0,49.362,5702
2020-09-18,49.36,49.82,48.5,48.75,985179.0,49.023,5743
2020-09-21,48.5,49.18,47.93,48.47,830789.0,48.452,6137
2020-09-22,48.5,49.07,48.33,48.71,685785.0,48.803,5211
2020-09-23,49.01,49.08,47.4,47.66,1481806.0,47.834,9749
2020-09-24,47.75,48.67,47.71,48.28,809021.0,48.343,6184
2020-09-25,48.11,48.91,48.07,48.84,631039.0,48.586,4698
2020-09-28,48.99,49.31,48.73,48.96,647617.0,49.028,5085
2020-09-29,48.93,49.29,48.39,48.51,751730.0,48.763,5856
