date,open,high,low,close,volume,average,barCount
2020-07-13,10.96,11.11,10.65,10.82,6719937.0,10.902,30432
2020-07-14,10.7,10.82,10.5,10.61,5107929.0,10.656,24417
2020-07-15,11.06,11.64,11.04,11.62,9690905.0,11.417,43898
2020-07-16,11.33,11.42,11.2,11.25,7447796.0,11.297,30820
2020-07-17,11.26,11.35,10.99,11.01,6901056.0,11.07,24844
2020-07-20,10.94,10.97,10.6,10.6,6734605.0,10.726,24893
2020-07-21,10.75,10.98,10.7,10.89,6763487.0,10.89,26646
2020-07-22,10.75,10.9,10.65,10.87,6370975.0,10.815,27178
2020-07-23,10.73,10.81,10.54,10.73,8058676.0,10.668,34370
2020-07-24,10.5,10.63,10.32,10.5,8564857.0,10.483,32344
2020-07-27,10.5,10.51,10.14,10.32,9875373.0,10.299,35549
2020-07-28,10.28,10.64,10.26,10.52,6408254.0,10.483,30176
2020-07-29,10.77,11.04,10.54,11.02,8486492.0,10.808,35116
2020-07-30,10.78,10.89,10.61,10.84,9586191.0,10.775,42618
2020-07-31,10.76,10.86,10.25,10.78,10308916.0,10.603,46905
2020-08-03,10.67,10.67,10.3,10.31,7599076.0,10.426,31710
2020-08-04,10.23,11.47,10.2,10.91,31268213.0,10.966,96594
2020-08-05,11.06,11.1,10.76,10.89,6109881.0,10.889,28224
2020-08-06,10.79,10.95,10.68,10.76,7212277.0,10.796,26347
2020-08-07,10.67,11.53,10.62,11.5,11631266.0,11.247,50753
2020-08-10,11.6,11.95,11.52,11.88,8343206.0,11.783,37340
2020-08-11,12.24,12.49,11.6,11.67,8204265.0,11.906,36635
2020-08-12,11.79,11.86,11.37,11.57,6151982.0,11.574,25768
2020-08-13,11.49,11.71,11.23,11.27,4751024.0,11.354,22378
2020-08-14,11.2,11.42,11.17,11.25,4956473.0,11.321,21169
2020-08-17,11.27,11.3,10.67,10.89,9059857.0,10.874,32092
2020-08-18,10.87,10.94,10.66,10.78,6730835.0,10.769,25835
2020-08-19,10.73,10.95,10.66,10.79,4021342.0,10.826,18855
2020-08-20,10.69,10.89,10.62,10.74,4938188.0,10.803,21381
2020-08-21,10.77,10.84,10.54,10.6,4365687.0,10.639,19069
2020-08-24,10.65,11.1,10.51,11.09,5109087.0,10.911,22776
2020-08-25,11.21,11.4,11.09,11.3,5785087.0,11.241,24797
2020-08-26,11.23,11.27,11.0,11.01,4018481.0,11.066,16477
2020-08-27,11.04,11.42,11.0,11.33,5376770.0,11.304,22999
2020-08-28,11.46,11.72,11.29,11.69,4915908.0,11.538,18983
2020-08-31,11.64,11.66,11.23,11.23,5707629.0,11.375,21376
2020-09-01,11.08,11.38,10.97,11.28,6180049.0,11.227,24431
2020-09-02,11.26,11.42,11.15,11.42,3667875.0,11.341,16873
2020-09-03,11.51,11.83,11.44,11.57,5765186.0,11.605,25905
2020-09-04,11.75,12.0,11.68,11.94,6303227.0,11.855,26832
2020-09-08,11.79,11.87,11.45,11.64,6789797.0,11.688,27267
2020-09-09,11.7,11.72,11.47,11.65,9595210.0,11.612,31579
2020-09-10,11.64,11.87,11.38,11.4,8466330.0,11.589,34884
2020-09-11,11.42,11.43,10.88,11.13,5728973.0,11.066,21363
2020-09-14,11.26,11.93,11.21,11.92,7299751.0,11.775,26231
2020-09-15,11.88,12.25,11.84,12.02,11177844.0,12.124,41321
2020-09-16,12.12,12.19,11.77,12.06,8744926.0,11.982,30996
2020-09-17,11.86,11.91,11.55,11.65,6698185.0,11.673,27695
2020-09-18,11.59,11.61,11.13,11.15,7694064.0,11.294,23887
2020-09-21,10.92,10.92,10.37,10.49,10222979.0,10.501,39173
2020-09-22,10.53,10.62,10.34,10.4,8066994.0,10.41,30215
2020-09-23,10.37,10.69,10.19,10.24,8215636.0,10.336,33137
2020-09-24,10.18,10.37,10.04,10.19,7283612.0,10.196,28818
2020-09-25,10.11,10.7,10.11,10.64,5602077.0,10.511,24626
2020-09-28,10.89,11.13,10.83,10.93,5595987.0,11.003,20453
2020-09-29,10.3,10.79,10.23,10.73,6060782.0,10.66,27006
2020-09-30,10.74,11.09,10.63,10.79,6306165.0,10.84,25951
2020-10-01,10.88,11.16,10.78,11.14,7042021.0,10.984,32069
2020-10-02,10.74,11.33,10.71,11.29,4382033.0,11.17,20996
2020-10-05,11.39,11.47,11.16,11.38,4244635.0,11.338,19863
2020-10-06,11.5,11.66,11.27,11.3,7938476.0,11.438,32977
2020-10-07,11.38,11.67,11.36,11.61,6000079.0,11.559,27114
2020-10-08,11.76,11.88,11.6,11.85,5588845.0,11.782,23914
2020-10-09,11.94,11.98,11.52,11.58,5617777.0,11.647,22374
2020-10-12,11.58,11.63,11.36,11.49,3892705.0,11.467,16741
2020-10-13,11.56,11.56,11.13,11.17,5730622.0,11.244,24432
2020-10-14,11.16,11.27,10.95,10.95,4518865.0,11.071,19923
2020-10-15,10.84,11.07,10.67,11.02,5344325.0,10.942,22301
2020-10-16,11.01,11.08,10.77,10.95,3908729.0,10.972,13929
2020-10-19,10.84,10.95,10.65,10.67,4420808.0,10.766,19049
2020-10-20,10.81,10.95,10.7,10.78,4416979.0,10.84,17428
2020-10-21,11.14,11.14,10.63,11.04,4862708.0,10.978,19794
2020-10-22,11.08,11.56,11.06,11.48,5474625.0,11.404,21249
2020-10-23,11.57,11.79,11.5,11.64,5006952.0,11.613,22389
2020-10-26,11.48,11.63,11.01,11.19,5589432.0,11.212,21874
2020-10-27,11.12,11.16,10.85,10.86,5157247.0,10.99,20441
2020-10-28,10.62,10.73,10.37,10.45,6859891.0,10.477,27062
2020-10-29,10.4,10.6,10.27,10.52,8364266.0,10.479,34147
2020-10-30,10.47,10.65,10.27,10.48,8981637.0,10.44,32347
2020-11-02,10.58,10.97,10.39,10.94,11439782.0,10.712,39527
2020-11-03,11.17,11.5,11.07,11.38,13421258.0,11.403,51642
