date,open,high,low,close,volume,average,barCount
2020-07-13,128.37,128.93,127.58,127.88,783713.0,128.313,6875
2020-07-14,127.57,131.95,127.41,131.8,863647.0,130.517,6933
2020-07-15,132.87,133.53,131.46,132.0,743295.0,132.64,5650
2020-07-16,132.41,135.51,132.15,134.45,1101885.0,134.559,9101
2020-07-17,134.38,137.16,133.91,136.4,1115379.0,135.988,8716
2020-07-20,136.24,136.52,134.68,135.51,696541.0,135.312,5609
2020-07-21,135.71,138.27,135.67,137.31,683927.0,137.248,5569
2020-07-22,137.11,138.47,136.2,138.46,968650.0,137.317,7173
2020-07-23,143.0,146.55,142.41,146.33,1554418.0,145.102,12153
2020-07-24,147.03,147.61,144.96,145.68,712962.0,145.793,5924
2020-07-27,145.96,146.73,144.41,146.29,530799.0,145.878,4175
2020-07-28,146.0,146.83,145.19,145.73,468919.0,146.065,3800
2020-07-29,145.98,146.65,145.27,145.81,440026.0,145.769,3722
2020-07-30,145.04,145.68,144.15,145.29,472680.0,145.032,4189
2020-07-31,144.97,145.47,143.41,145.41,523192.0,144.466,4278
2020-08-03,145.33,146.31,144.37,144.94,395134.0,145.131,3102
2020-08-04,144.32,145.7,144.14,144.3,562386.0,144.628,4950
2020-08-05,144.52,144.9,141.95,142.27,424692.0,142.893,3533
2020-08-06,141.82,143.75,141.73,143.67,377012.0,143.115,3148
2020-08-07,143.01,144.33,142.76,143.92,344525.0,143.852,2909
2020-08-10,144.28,144.75,143.53,143.92,250055.0,143.985,2062
2020-08-11,144.4,144.5,141.89,142.51,561294.0,142.757,4690
2020-08-12,142.97,146.73,142.5,146.02,502639.0,145.684,4000
2020-08-13,146.5,146.99,145.43,146.57,377144.0,146.449,3088
2020-08-14,146.47,146.93,145.7,146.07,215492.0,146.176,1890
2020-08-17,146.23,148.89,145.82,148.33,507554.0,148.166,3846
2020-08-18,148.19,150.28,147.33,149.59,617518.0,149.254,4550
2020-08-19,148.45,148.98,147.63,147.76,740365.0,148.201,5382
2020-08-20,146.54,148.89,146.34,147.74,462023.0,147.932,3618
2020-08-21,148.03,148.28,146.74,147.43,317409.0,147.444,2264
2020-08-24,148.0,149.2,147.15,148.84,222842.0,148.442,1681
2020-08-25,149.54,149.7,147.97,148.67,263893.0,148.468,2270
2020-08-26,148.38,149.48,147.28,149.15,322705.0,148.704,2536
2020-08-27,149.91,150.67,148.57,148.7,316348.0,149.417,2780
2020-08-28,148.91,149.27,147.19,149.2,183395.0,148.548,1428
2020-08-31,148.82,149.6,148.45,148.64,271742.0,148.882,2381
2020-09-01,148.64,148.75,146.62,148.42,352501.0,147.848,2733
2020-09-02,148.01,150.61,148.01,149.42,421879.0,149.836,3302
2020-09-03,149.74,152.18,146.99,148.36,477332.0,149.152,3972
2020-09-04,148.88,149.57,146.26,148.8,424938.0,148.11,3462
2020-09-08,148.57,149.1,145.18,145.52,463371.0,146.348,3641
2020-09-09,146.78,149.06,146.63,147.72,269950.0,148.01,2337
2020-09-10,147.5,147.87,144.93,145.15,308232.0,146.339,2636
2020-09-11,145.45,146.9,145.1,145.5,218226.0,145.826,1860
2020-09-14,146.15,146.8,144.48,144.5,306955.0,145.355,2564
2020-09-15,144.82,146.37,143.75,144.34,458321.0,145.067,3480
2020-09-16,145.24,146.08,143.16,143.19,337369.0,144.412,2804
2020-09-17,142.55,142.55,139.56,140.5,448301.0,140.584,3711
2020-09-18,140.87,141.52,138.12,138.92,698792.0,139.615,4532
2020-09-21,138.0,138.67,135.01,137.0,441830.0,136.562,3137
2020-09-22,137.1,138.31,136.54,137.43,342928.0,137.371,2555
2020-09-23,138.06,138.49,134.0,134.34,548296.0,135.132,4510
2020-09-24,134.53,137.91,134.52,137.66,519397.0,136.923,4561
2020-09-25,137.16,139.57,136.5,139.52,346807.0,138.62,2945
2020-09-28,140.31,141.92,139.65,140.41,247178.0,140.76,1967
2020-09-29,142.3,142.78,140.3,141.19,404658.0,141.507,3423
2020-09-30,141.43,144.4,141.22,143.34,326151.0,143.083,2606
2020-10-01,143.63,144.52,141.71,143.93,383182.0,143.482,3109
2020-10-02,143.5,144.05,142.09,142.92,275531.0,143.122,1997
2020-10-05,143.18,144.14,142.61,143.77,201868.0,143.514,1602
2020-10-06,143.51,143.76,141.09,141.56,347004.0,142.476,2653
2020-10-07,142.02,144.08,141.75,143.41,312802.0,143.011,2530
2020-10-08,143.17,144.16,142.68,143.51,230959.0,143.672,1791
2020-10-09,144.25,146.41,143.84,145.63,291620.0,145.494,2292
2020-10-12,147.02,148.97,146.53,148.08,317586.0,148.156,2252
2020-10-13,147.42,149.36,147.13,148.85,304561.0,148.519,2496
2020-10-14,148.69,150.23,148.26,149.47,321492.0,149.452,2636
2020-10-15,148.57,150.84,148.09,150.42,329055.0,149.686,2668
2020-10-16,151.07,151.65,149.81,149.92,321078.0,150.652,2341
2020-10-19,150.6,150.75,147.26,147.5,333929.0,148.733,2696
2020-10-20,148.64,149.21,146.73,146.88,199616.0,147.903,1566
2020-10-21,146.39,147.32,145.08,145.58,381721.0,145.963,3009
2020-10-22,145.92,146.08,144.46,145.44,220858.0,145.336,1738
2020-10-23,146.4,146.67,145.82,146.34,169975.0,146.198,1358
2020-10-26,145.89,145.89,143.18,144.2,357313.0,144.34,2688
2020-10-27,144.62,144.87,142.36,142.5,385011.0,143.562,3312
2020-10-28,140.71,141.84,138.12,138.2,431155.0,139.186,3588
2020-10-29,138.04,139.46,136.47,137.83,392769.0,138.392,3231
2020-10-30,137.23,138.21,135.83,137.46,369871.0,136.972,3078
2020-11-02,139.52,142.0,139.18,140.78,507354.0,140.701,3544
2020-11-03,141.82,144.56,141.76,142.72,310710.0,143.037,2469
2020-11-04,143.8,146.59,143.12,143.94,463675.0,144.946,3565
2020-11-05,145.58,146.28,143.85,144.6,515822.0,145.203,4126
2020-11-06,148.9,150.73,146.81,149.4,861357.0,148.94,6575
2020-11-09,152.14,154.49,149.61,149.72,671184.0,152.003,4686
2020-11-10,150.18,153.56,149.46,152.26,578982.0,152.448,4215
2020-11-11,152.93,153.83,151.55,153.66,324064.0,153.097,2560
2020-11-12,153.86,154.18,151.9,153.56,324875.0,153.131,2667
2020-11-13,154.07,154.32,152.24,154.0,278161.0,153.389,2254
2020-11-16,154.95,155.49,153.79,155.12,357510.0,154.868,2874
2020-11-17,154.52,154.97,152.59,152.93,410442.0,153.7,3220
2020-11-18,153.62,154.39,150.56,150.64,326813.0,152.226,2387
2020-11-19,149.08,149.91,147.64,149.4,320353.0,148.908,2586
2020-11-20,149.09,149.37,147.03,147.78,301872.0,147.895,2278
2020-11-23,147.48,148.35,146.31,146.83,344418.0,146.987,2638
2020-11-24,147.6,148.87,147.12,148.21,341172.0,148.061,2822
2020-11-25,148.42,149.33,147.8,148.15,294582.0,148.536,2463
2020-11-27,148.44,148.45,146.4,148.05,181541.0,147.318,1370
2020-11-30,147.54,148.03,146.23,147.89,377663.0,146.988,2864
2020-12-01,149.0,150.13,148.09,150.04,406375.0,149.303,3083
2020-12-02,150.04,151.79,148.44,149.25,670298.0,150.037,5252
2020-12-03,149.0,150.19,148.88,149.83,384613.0,149.505,2907
2020-12-04,150.0,151.1,149.88,150.87,470981.0,150.528,3352
2020-12-07,150.78,152.71,148.68,149.72,422267.0,150.08,2714
2020-12-08,149.1,151.7,148.84,150.63,479617.0,150.623,3442
2020-12-09,150.52,152.71,149.1,152.14,717337.0,151.341,5378
2020-12-10,152.33,152.81,149.68,149.7,478511.0,150.385,3001
2020-12-11,148.99,150.2,148.98,149.11,263229.0,149.493,2104
2020-12-14,149.57,151.58,149.04,149.14,278487.0,150.059,2088
2020-12-15,149.28,150.82,149.22,150.23,334377.0,150.003,2340
2020-12-16,150.16,151.67,149.47,150.28,349115.0,150.481,2687
2020-12-17,150.96,152.79,150.35,151.61,404746.0,151.811,3034
2020-12-18,151.89,152.35,150.13,150.88,521591.0,151.063,3074
2020-12-21,149.17,150.44,146.85,149.66,313502.0,148.915,2447
2020-12-22,149.34,149.66,148.2,148.62,313407.0,148.925,2395
2020-12-23,149.48,150.3,149.17,149.45,293660.0,149.709,2378
2020-12-24,149.3,150.18,148.84,149.95,94653.0,149.62,736
2020-12-28,151.14,151.89,150.43,151.8,232997.0,151.046,1929
2020-12-29,152.49,152.97,151.23,151.44,293589.0,152.029,2233
2020-12-30,151.51,152.0,150.37,150.53,187157.0,150.883,1494
2020-12-31,150.39,152.54,149.51,152.33,252466.0,151.064,1976
2021-01-04,152.77,153.42,149.59,150.9,378111.0,150.887,2948
2021-01-05,150.81,151.54,149.51,150.73,396385.0,150.714,3244
2021-01-06,151.81,153.93,150.91,151.26,435665.0,152.141,3508
2021-01-07,151.24,152.32,150.24,151.17,301454.0,151.44,2500
2021-01-08,150.94,152.34,150.85,152.03,254274.0,151.602,2125
2021-01-11,151.85,152.43,149.83,150.11,341618.0,150.563,2629
2021-01-12,149.63,150.75,148.28,149.38,335560.0,149.352,2713
2021-01-13,149.35,151.78,148.94,149.92,403722.0,150.499,3021
2021-01-14,150.31,150.63,147.34,147.42,516980.0,148.808,3882
2021-01-15,147.09,149.49,146.88,148.46,651950.0,148.095,4407
2021-01-19,149.05,150.35,148.17,148.75,406308.0,149.002,3193
2021-01-20,148.8,149.75,147.6,149.63,471597.0,148.949,3837
2021-01-21,149.93,150.0,148.25,148.98,469118.0,149.239,3633
2021-01-22,148.85,149.58,147.73,148.2,327336.0,148.664,2715
2021-01-25,147.85,150.07,146.96,147.53,697990.0,147.849,5326
2021-01-26,147.57,149.9,145.64,149.52,753134.0,148.18,5442
2021-01-27,148.99,149.51,145.61,146.19,777635.0,146.877,6191
2021-01-28,146.41,149.26,146.1,148.21,689348.0,147.938,5496
2021-01-29,147.35,149.71,145.32,145.44,745080.0,146.861,6069
2021-02-01,145.65,146.37,144.62,145.11,441001.0,145.573,3577
2021-02-02,145.75,148.48,145.19,147.12,565571.0,147.338,4279
2021-02-03,147.1,147.78,145.57,146.58,544232.0,146.823,4172
2021-02-04,147.86,150.0,145.31,147.22,851136.0,147.092,5846
2021-02-05,147.9,149.4,146.59,146.6,448426.0,147.579,3547
2021-02-08,151.25,151.37,147.33,149.33,959179.0,148.625,7286
2021-02-09,149.21,151.26,149.15,149.62,592388.0,150.366,4776
2021-02-10,150.32,150.65,149.22,150.0,483610.0,149.766,3921
2021-02-11,149.58,150.78,149.45,150.42,521118.0,150.16,4221
2021-02-12,149.85,151.76,149.69,151.38,484602.0,150.944,3905
2021-02-16,151.22,152.32,150.15,151.38,761544.0,151.423,5541
2021-02-17,150.93,152.46,150.85,151.29,526509.0,151.699,4104
2021-02-18,149.81,153.86,149.81,152.99,786214.0,152.639,5704
2021-02-19,153.12,153.57,148.75,148.85,560017.0,151.093,4159
2021-02-22,149.1,149.1,146.5,148.25,514864.0,148.053,3839
2021-02-23,149.05,150.46,147.1,147.98,701443.0,148.775,5273
2021-02-24,147.97,148.5,147.12,147.57,304972.0,148.047,2340
2021-02-25,147.44,149.14,147.29,147.57,665717.0,148.158,4469
2021-02-26,148.05,148.93,145.56,145.65,524969.0,146.917,4038
2021-03-01,146.18,147.91,144.72,145.19,727895.0,145.931,5770
2021-03-02,145.1,146.48,143.58,145.35,578966.0,145.097,4466
2021-03-03,145.27,145.81,144.25,144.37,491497.0,144.995,3140
2021-03-04,144.85,149.11,144.46,146.09,679942.0,146.732,5108
2021-03-05,146.69,150.81,146.06,150.38,521240.0,149.497,4038
2021-03-08,151.3,154.62,150.06,151.79,663118.0,152.719,5258
2021-03-09,151.77,153.22,150.5,150.56,409481.0,151.595,3249
2021-03-10,150.28,153.51,149.05,152.65,705372.0,151.658,4938
2021-03-11,151.86,153.1,151.53,151.9,549909.0,152.371,3878
