date,open,high,low,close,volume,average,barCount
2020-07-13,125.28,126.42,123.81,123.98,187392.0,124.979,1706
2020-07-14,123.92,129.88,123.3,129.6,215962.0,127.749,1575
2020-07-15,131.75,132.67,130.76,131.92,177261.0,131.653,1505
2020-07-16,131.34,132.93,130.73,131.61,142472.0,132.047,1130
2020-07-17,132.65,132.85,131.4,131.91,69301.0,132.103,609
2020-07-20,131.17,132.36,129.58,130.34,82001.0,130.413,719
2020-07-21,131.24,132.88,131.17,131.56,95160.0,131.764,798
2020-07-22,131.18,133.21,131.18,132.51,91615.0,132.399,781
2020-07-23,131.85,134.41,131.85,133.58,107702.0,133.523,953
2020-07-24,133.81,134.35,132.5,132.59,82109.0,133.091,738
2020-07-27,132.46,133.13,131.7,132.95,141601.0,132.626,1293
2020-07-28,132.16,132.69,130.69,130.9,172729.0,131.359,992
2020-07-29,131.93,134.7,130.99,133.94,158987.0,132.991,1314
2020-07-30,131.52,134.93,131.2,132.79,305019.0,132.809,1994
2020-07-31,133.37,135.47,132.3,134.97,271335.0,133.623,2244
2020-08-03,136.03,137.35,135.43,136.59,152601.0,136.721,1258
2020-08-04,135.72,137.41,135.46,137.08,137763.0,136.756,1197
2020-08-05,138.06,139.66,137.84,139.3,153864.0,138.97,1293
2020-08-06,139.33,140.42,138.7,140.37,186932.0,139.776,1581
2020-08-07,140.42,142.47,140.07,142.23,115624.0,141.532,950
2020-08-10,142.45,144.7,142.15,144.58,201311.0,144.056,1309
2020-08-11,145.85,147.4,144.15,144.54,165654.0,145.294,1357
2020-08-12,145.89,147.4,145.2,147.05,135507.0,146.599,987
2020-08-13,146.27,147.35,145.77,146.63,84444.0,146.609,755
2020-08-14,145.43,147.49,145.28,146.3,109464.0,146.519,863
2020-08-17,146.92,147.3,145.96,146.64,63459.0,146.729,541
2020-08-18,146.49,146.79,144.62,144.8,96145.0,145.56,817
2020-08-19,144.74,146.13,144.31,144.94,72277.0,145.316,663
2020-08-20,143.62,144.31,143.02,143.05,95619.0,143.451,852
2020-08-21,142.79,144.35,142.79,144.03,62253.0,143.732,534
2020-08-24,144.95,146.08,143.96,145.96,94240.0,145.022,844
2020-08-25,146.53,147.08,144.68,145.86,152712.0,145.636,1279
2020-08-26,146.53,147.87,145.98,147.08,130388.0,147.02,855
2020-08-27,148.47,149.02,147.29,147.42,137243.0,147.892,814
2020-08-28,147.08,147.2,145.02,146.02,52330.0,145.881,383
2020-08-31,145.62,145.62,143.93,144.92,100764.0,144.825,792
2020-09-01,144.55,146.84,143.99,146.37,139177.0,145.955,999
2020-09-02,146.55,149.09,146.02,149.01,71548.0,147.701,582
2020-09-03,149.43,149.99,145.61,146.4,284949.0,146.723,2323
2020-09-04,148.0,148.0,143.91,144.37,194230.0,144.836,1290
2020-09-08,143.58,143.58,138.63,138.7,236625.0,140.745,2089
2020-09-09,139.73,142.18,139.13,141.36,127671.0,141.538,1099
2020-09-10,141.4,142.32,139.24,140.47,162181.0,140.506,1379
2020-09-11,141.66,142.14,139.76,140.76,110061.0,140.814,1006
2020-09-14,142.31,143.25,141.3,142.92,130184.0,142.338,1144
2020-09-15,143.4,145.04,142.71,143.56,162838.0,143.728,1172
2020-09-16,143.88,144.66,142.59,143.17,100996.0,143.527,796
2020-09-17,141.37,143.55,140.0,143.14,188466.0,142.421,1514
2020-09-18,143.69,143.78,138.58,139.03,227890.0,140.67,1528
2020-09-21,136.66,137.32,132.79,134.34,148535.0,134.086,1281
2020-09-22,135.07,136.34,134.39,135.76,80420.0,135.384,699
2020-09-23,135.93,137.06,131.83,132.02,135274.0,133.609,1196
2020-09-24,131.92,134.63,131.09,132.96,132751.0,133.171,1206
2020-09-25,131.97,134.37,131.83,133.82,114518.0,132.985,941
2020-09-28,136.07,139.31,136.07,136.96,144604.0,137.793,1140
2020-09-29,137.31,139.05,135.92,136.79,162407.0,137.315,961
2020-09-30,136.99,138.91,135.97,136.84,156480.0,137.515,1254
2020-10-01,138.23,139.23,135.38,136.17,62728.0,136.822,502
2020-10-02,133.66,139.59,133.51,137.51,122363.0,137.75,948
2020-10-05,138.77,140.91,138.77,140.23,147685.0,139.958,1044
2020-10-06,140.5,141.75,138.8,139.23,163459.0,139.999,1185
2020-10-07,141.29,142.57,140.13,141.25,159387.0,141.297,1069
2020-10-08,142.56,143.82,141.67,143.1,195243.0,142.615,1621
2020-10-09,143.72,145.25,143.51,144.08,206124.0,144.245,1074
2020-10-12,145.0,146.78,144.33,146.5,137745.0,146.051,1054
2020-10-13,146.5,147.07,144.41,144.64,127201.0,145.416,972
2020-10-14,144.9,146.31,144.52,144.55,85044.0,145.298,724
2020-10-15,142.58,144.77,142.21,144.33,121269.0,143.827,975
2020-10-16,145.43,145.7,144.01,144.57,104031.0,145.036,849
2020-10-19,145.24,147.48,144.87,146.09,269876.0,145.721,1671
2020-10-20,147.01,148.89,146.51,147.5,150797.0,147.534,1175
2020-10-21,147.97,148.88,146.37,147.29,172623.0,147.726,1349
2020-10-22,147.56,150.39,147.56,149.66,168125.0,149.341,1415
2020-10-23,150.15,154.21,150.15,153.39,302330.0,152.308,2299
2020-10-26,151.9,151.9,146.38,149.0,238358.0,148.717,1785
2020-10-27,147.28,151.23,147.28,148.37,326995.0,149.086,2548
2020-10-28,146.74,147.81,142.52,144.24,205699.0,144.351,1412
2020-10-29,144.2,145.69,142.34,144.64,155996.0,144.395,1148
2020-10-30,144.28,145.61,142.94,145.51,141506.0,144.494,1008
2020-11-02,147.43,150.01,146.16,149.94,150422.0,148.937,1143
2020-11-03,152.02,154.04,150.81,153.65,136957.0,152.471,1006
2020-11-04,153.3,153.3,149.1,149.66,141426.0,150.674,1132
2020-11-05,152.35,154.6,151.85,153.27,101518.0,153.259,723
2020-11-06,154.34,155.05,152.95,153.49,124730.0,153.689,989
2020-11-09,166.37,166.37,158.14,158.61,167047.0,160.685,1313
2020-11-10,158.73,161.28,157.68,160.08,185144.0,159.96,957
2020-11-11,161.69,162.53,156.17,157.2,158425.0,157.721,1180
2020-11-12,156.32,156.78,151.39,152.67,202609.0,153.315,1534
2020-11-13,153.23,156.79,153.23,155.48,285586.0,155.66,1782
2020-11-16,158.04,161.49,157.34,159.16,286372.0,159.017,1605
2020-11-17,157.31,158.23,155.63,155.74,271295.0,156.308,1902
2020-11-18,156.22,157.39,154.83,155.35,608025.0,155.82,2860
2020-11-19,155.62,157.85,154.61,157.75,177890.0,156.817,1171
2020-11-20,157.5,158.27,156.79,157.47,154927.0,157.35,970
2020-11-23,159.03,161.38,158.06,160.35,149712.0,160.191,1093
2020-11-24,162.16,165.64,161.33,164.14,195062.0,163.9,1412
2020-11-25,163.1,164.23,161.1,162.56,144486.0,162.416,663
2020-11-27,162.11,162.86,160.8,162.23,64795.0,161.875,495
2020-11-30,162.45,162.45,160.15,161.59,157006.0,161.299,1133
