date,open,high,low,close,volume,average,barCount
2020-07-13,382.76,390.39,381.17,381.87,311648.0,386.344,2610
2020-07-14,380.25,396.82,379.72,396.54,788810.0,389.54,5270
2020-07-15,392.69,395.85,385.58,395.37,511901.0,392.586,3934
2020-07-16,394.95,401.83,392.77,395.89,524835.0,396.777,3812
2020-07-17,399.16,405.19,397.69,404.49,404993.0,403.053,3115
2020-07-20,404.0,404.84,394.67,396.76,244234.0,397.23,2093
2020-07-21,399.99,401.52,396.28,397.59,289847.0,398.534,1692
2020-07-22,398.24,402.74,395.0,402.37,185153.0,399.558,1361
2020-07-23,403.1,407.1,396.63,397.75,140493.0,401.038,1062
2020-07-24,398.94,399.0,390.89,392.14,245578.0,393.856,1983
2020-07-27,390.99,394.28,387.12,391.02,275636.0,390.148,2299
2020-07-28,390.04,390.92,384.51,386.65,190668.0,387.095,1675
2020-07-29,388.46,401.0,387.0,396.4,495937.0,395.93,2896
2020-07-30,391.04,401.69,387.8,398.54,297268.0,397.421,2107
2020-07-31,396.56,398.11,387.35,392.45,255253.0,390.604,2061
2020-08-03,395.23,395.56,387.9,394.55,240737.0,393.182,2008
2020-08-04,391.95,396.37,388.89,391.18,378036.0,392.601,2920
2020-08-05,394.52,404.75,394.51,403.91,626104.0,400.298,4675
2020-08-06,403.18,410.75,403.04,407.63,585132.0,406.986,4837
2020-08-07,407.76,418.84,407.76,417.94,610325.0,414.257,4881
2020-08-10,418.01,423.85,414.75,419.76,376762.0,420.262,3229
2020-08-11,423.22,425.46,414.76,415.77,327737.0,421.091,2555
2020-08-12,419.15,423.89,417.31,420.06,270019.0,419.519,2288
2020-08-13,417.94,419.93,414.01,419.5,175028.0,417.809,1361
2020-08-14,417.37,422.02,413.55,422.02,161685.0,419.505,1366
2020-08-17,420.91,423.42,418.64,420.01,178740.0,420.361,1260
2020-08-18,422.55,422.55,415.45,417.17,189495.0,417.431,1513
2020-08-19,415.74,421.88,415.08,418.0,217470.0,419.242,1662
2020-08-20,417.08,418.28,412.16,413.96,159278.0,414.462,1282
2020-08-21,415.52,419.02,412.35,418.79,249386.0,416.663,1803
2020-08-24,420.03,422.75,405.08,406.08,277438.0,408.741,2178
2020-08-25,408.97,408.97,401.83,405.84,327478.0,404.823,2633
2020-08-26,404.21,405.09,397.59,403.73,277705.0,401.601,2105
2020-08-27,404.52,411.52,401.68,407.45,209125.0,408.419,1522
2020-08-28,408.85,413.21,404.79,408.04,212543.0,409.161,1691
2020-08-31,407.75,416.28,406.69,415.17,354480.0,413.938,2980
2020-09-01,413.14,418.51,413.14,414.85,303562.0,415.714,2054
2020-09-02,417.32,429.07,415.37,427.77,376509.0,424.943,2440
2020-09-03,428.18,431.12,414.23,421.28,392625.0,420.222,3177
2020-09-04,421.21,421.31,409.75,413.19,359591.0,414.791,2850
2020-09-08,411.46,411.46,401.55,405.37,291023.0,406.011,2434
2020-09-09,406.95,411.98,405.64,408.22,207881.0,409.054,1748
2020-09-10,409.12,411.0,392.8,393.37,282360.0,398.88,2305
2020-09-11,395.78,397.13,386.33,391.36,470263.0,391.473,2362
2020-09-14,395.44,406.24,394.26,403.63,221723.0,402.368,1840
2020-09-15,404.74,407.0,398.61,399.99,302097.0,402.666,1692
2020-09-16,403.48,406.09,398.64,399.07,219586.0,402.156,1393
2020-09-17,396.34,399.3,391.52,397.5,345757.0,397.147,2257
2020-09-18,397.9,405.51,397.03,402.63,650324.0,401.486,3510
2020-09-21,393.96,395.23,383.21,394.51,574927.0,389.871,3498
2020-09-22,395.81,398.56,385.11,386.76,562538.0,391.226,3012
2020-09-23,388.6,391.4,384.46,385.42,661805.0,387.291,3595
2020-09-24,383.81,388.07,382.72,387.0,207188.0,385.69,1517
2020-09-25,384.4,401.15,384.4,400.85,357701.0,396.029,2597
2020-09-28,403.97,409.47,399.27,400.0,341026.0,402.079,2160
2020-09-29,400.59,404.24,398.64,401.5,352915.0,401.62,2511
2020-09-30,403.2,419.06,401.12,413.89,300318.0,413.232,2527
2020-10-01,415.92,417.14,409.69,415.36,263230.0,414.556,2291
2020-10-02,414.33,415.28,405.14,408.31,279427.0,410.726,1838
2020-10-05,412.8,419.88,410.63,419.62,178294.0,416.59,1388
2020-10-06,420.67,421.56,414.34,416.2,436771.0,417.543,2843
2020-10-07,418.26,430.23,417.63,429.41,218816.0,427.777,1773
2020-10-08,430.1,434.07,425.51,427.32,239918.0,427.851,1820
2020-10-09,429.59,435.77,429.04,433.44,165798.0,432.996,1288
2020-10-12,436.6,440.35,429.84,430.52,311237.0,432.989,2435
2020-10-13,427.64,435.83,426.01,432.81,156061.0,432.304,1335
2020-10-14,429.5,431.67,422.29,423.0,167310.0,425.498,1340
2020-10-15,419.2,435.52,418.21,435.36,291483.0,431.755,2327
2020-10-16,435.75,445.2,434.23,437.72,212612.0,439.101,1560
2020-10-19,437.41,442.44,431.01,433.08,276101.0,436.2,2322
2020-10-20,434.55,440.66,431.5,436.41,157099.0,437.026,1286
2020-10-21,435.57,439.92,433.68,437.23,307470.0,437.306,2333
2020-10-22,436.3,443.7,434.72,441.16,194234.0,441.513,1593
2020-10-23,444.0,449.43,441.74,444.31,198286.0,444.352,1760
2020-10-26,441.57,445.0,430.89,435.13,183190.0,436.188,1520
2020-10-27,433.23,434.74,429.79,432.14,163468.0,432.26,1446
2020-10-28,423.14,427.49,412.52,413.25,338125.0,416.955,2691
2020-10-29,411.91,414.0,396.49,396.75,886179.0,402.011,5122
2020-10-30,398.22,402.12,392.49,399.28,544490.0,397.276,3673
2020-11-02,404.0,413.02,398.87,408.58,630226.0,406.835,4591
2020-11-03,410.69,430.44,409.67,423.43,525541.0,423.671,3949
2020-11-04,445.01,474.7,445.01,452.01,1304012.0,451.831,8689
2020-11-05,459.99,462.42,438.98,440.79,897740.0,445.441,5679
2020-11-06,439.55,439.56,428.26,432.55,372115.0,432.343,2931
2020-11-09,448.06,453.96,422.56,422.99,445829.0,435.444,3622
2020-11-10,422.31,431.34,408.89,430.67,541217.0,422.155,4135
2020-11-11,433.49,434.87,421.64,426.0,611856.0,426.481,4438
2020-11-12,426.8,434.9,423.0,431.8,416068.0,430.979,3069
2020-11-13,435.16,436.34,427.78,433.4,346460.0,432.915,2508
2020-11-16,434.67,437.87,423.86,428.54,346432.0,428.363,2501
2020-11-17,425.18,426.75,418.04,422.23,320166.0,421.955,2366
2020-11-18,422.74,424.0,413.72,418.44,288882.0,420.232,2258
2020-11-19,416.62,419.33,405.54,407.17,878470.0,410.153,6413
2020-11-20,405.54,410.0,401.67,406.21,402695.0,407.123,2544
2020-11-23,409.33,412.57,404.67,409.29,322400.0,408.227,2429
2020-11-24,408.58,417.99,407.96,408.19,316891.0,412.114,2498
2020-11-25,410.77,410.77,400.06,401.04,285679.0,401.594,2206
2020-11-27,400.93,408.24,400.93,406.49,122053.0,405.264,839
2020-11-30,404.01,406.29,395.1,400.52,374590.0,399.686,2842
2020-12-01,405.01,417.55,403.01,405.72,639563.0,409.769,3236
2020-12-02,407.04,408.63,403.42,405.75,449927.0,405.845,3310
2020-12-03,406.02,411.64,401.64,403.83,337419.0,405.377,2579
2020-12-04,403.81,413.04,403.0,412.78,256830.0,409.255,2051
2020-12-07,410.71,412.11,398.67,403.74,298508.0,402.097,2309
2020-12-08,402.8,410.26,401.61,409.28,368830.0,407.287,2373
2020-12-09,410.0,412.0,404.47,408.14,551523.0,407.969,3403
2020-12-10,408.51,408.74,397.23,397.48,505308.0,402.261,2600
2020-12-11,397.73,397.93,388.49,391.13,441634.0,391.555,3543
2020-12-14,393.36,395.53,386.47,388.23,712594.0,391.025,4648
2020-12-15,391.0,395.21,385.76,392.33,546769.0,389.303,3829
2020-12-16,392.0,396.09,386.23,392.76,432084.0,390.914,2857
2020-12-17,393.64,398.66,393.49,396.34,334448.0,396.53,2239
2020-12-18,396.17,397.13,387.26,391.62,386188.0,392.399,2146
2020-12-21,386.58,390.15,381.24,389.01,252938.0,387.19,2018
2020-12-22,388.32,390.12,384.47,388.44,251290.0,387.883,1890
2020-12-23,391.56,408.05,391.0,405.09,718050.0,403.682,4780
2020-12-24,403.89,407.25,403.0,404.83,146601.0,404.883,1122
2020-12-28,407.79,412.0,403.52,410.19,439312.0,409.476,3406
2020-12-29,412.37,414.03,406.38,408.05,306868.0,409.941,2552
2020-12-30,405.84,410.9,404.77,406.11,240094.0,407.375,1892
2020-12-31,407.6,411.01,403.3,410.27,232543.0,407.213,1790
2021-01-04,417.82,417.99,400.49,412.19,619951.0,408.948,4375
2021-01-05,408.92,417.01,408.92,413.18,534636.0,413.523,3915
2021-01-06,405.6,438.07,405.5,437.83,775908.0,428.85,5891
2021-01-07,437.02,449.28,435.5,447.69,818922.0,444.095,6187
2021-01-08,446.51,448.0,432.22,436.77,537274.0,437.939,4324
2021-01-11,434.58,438.29,428.49,433.54,494099.0,433.522,3885
2021-01-12,432.36,437.56,421.82,422.47,414537.0,426.921,3452
2021-01-13,420.12,423.75,414.05,416.02,440461.0,416.693,3405
2021-01-14,416.89,420.67,404.62,405.0,584820.0,410.274,3730
2021-01-15,402.95,407.55,399.48,406.81,943142.0,402.841,5669
2021-01-19,410.51,415.87,404.86,407.31,395798.0,409.884,3096
2021-01-20,408.0,412.14,402.08,411.34,453223.0,409.289,3571
2021-01-21,410.49,418.84,410.49,414.6,438355.0,414.87,3444
2021-01-22,413.63,414.05,405.17,405.18,399120.0,408.51,3105
2021-01-25,404.16,411.29,401.38,404.0,494556.0,405.236,3365
2021-01-26,405.33,407.07,395.69,395.85,641051.0,398.797,4687
2021-01-27,389.08,391.5,374.5,377.93,1507063.0,379.066,8924
2021-01-28,381.75,395.78,380.0,389.79,549331.0,390.53,4158
2021-01-29,388.29,390.19,375.16,383.11,661353.0,381.187,5036
2021-02-01,386.09,389.29,378.67,379.9,529497.0,382.133,4162
2021-02-02,383.31,391.3,376.99,376.99,861083.0,383.833,6233
2021-02-03,373.61,388.55,373.57,379.93,743410.0,382.046,5438
2021-02-04,376.71,385.39,373.93,385.09,755773.0,381.387,5577
2021-02-05,386.26,388.22,374.29,379.3,1182871.0,379.615,5904
2021-02-08,381.89,382.0,374.64,378.34,891906.0,377.67,5783
2021-02-09,378.78,384.87,377.0,382.59,1171732.0,382.436,6560
2021-02-10,384.89,385.56,376.76,378.0,1086235.0,379.286,7470
