date,open,high,low,close,volume,average,barCount
2020-07-13,15.38,15.7,15.06,15.23,1803127.0,15.317,10858
2020-07-14,15.08,15.7,15.05,15.69,1500669.0,15.515,8215
2020-07-15,16.12,16.73,15.97,16.7,2271279.0,16.439,12843
2020-07-16,16.61,16.61,16.05,16.2,1994993.0,16.273,8650
2020-07-17,16.21,16.54,15.94,16.45,2277055.0,16.258,9033
2020-07-20,16.22,16.35,15.37,15.68,2211612.0,15.645,11014
2020-07-21,15.9,16.26,15.8,16.1,1668850.0,16.058,7940
2020-07-22,15.92,16.18,15.77,16.14,1627648.0,16.053,8453
2020-07-23,16.05,16.18,15.62,15.75,1950127.0,15.797,12468
2020-07-24,15.77,15.86,15.44,15.55,1457644.0,15.55,8150
2020-07-27,15.46,15.54,15.12,15.24,2655179.0,15.271,11730
2020-07-28,15.2,15.72,15.19,15.32,2007692.0,15.476,9470
2020-07-29,15.28,15.35,14.76,15.27,2261213.0,15.123,9666
2020-07-30,14.99,15.36,14.66,15.13,2471377.0,15.052,10929
2020-07-31,15.05,15.12,14.52,14.78,2032990.0,14.747,9869
2020-08-03,14.8,15.3,14.61,15.13,1979594.0,15.038,11126
2020-08-04,15.12,15.29,14.92,15.02,1561408.0,15.101,8438
2020-08-05,15.14,16.15,15.14,16.08,1975338.0,15.84,12392
2020-08-06,15.32,17.36,15.32,17.28,3165966.0,16.979,17915
2020-08-07,17.13,17.13,16.52,16.96,1505218.0,16.81,10347
2020-08-10,16.97,17.95,16.97,17.91,1774798.0,17.717,10608
2020-08-11,18.34,18.99,18.21,18.28,3986666.0,18.615,14910
2020-08-12,18.6,18.66,17.83,18.09,2054255.0,18.109,11535
2020-08-13,17.79,18.02,17.47,17.48,1069778.0,17.623,7034
2020-08-14,17.47,17.84,17.28,17.55,886463.0,17.635,5196
2020-08-17,17.58,17.64,17.19,17.35,1058200.0,17.34,6565
2020-08-18,17.08,17.29,16.89,16.93,1338988.0,17.058,6441
2020-08-19,17.14,17.44,16.99,17.12,1038369.0,17.251,6638
2020-08-20,16.85,17.17,16.68,16.94,941161.0,16.998,5889
2020-08-21,16.88,17.13,16.77,16.91,848713.0,16.961,5683
2020-08-24,16.93,17.5,16.92,17.44,1887815.0,17.366,9916
2020-08-25,17.5,17.59,16.99,17.44,1617148.0,17.267,9069
2020-08-26,17.47,17.54,17.18,17.19,1532122.0,17.334,6992
2020-08-27,17.36,17.73,17.26,17.43,1489966.0,17.452,8701
2020-08-28,17.56,18.04,17.5,18.01,1069649.0,17.826,7082
2020-08-31,17.87,18.0,17.36,17.52,1389693.0,17.534,8789
2020-09-01,17.37,17.82,17.25,17.54,917673.0,17.561,5579
2020-09-02,17.57,18.36,17.43,18.34,1469440.0,18.107,8926
2020-09-03,18.32,18.71,17.57,17.73,1684409.0,17.886,10330
2020-09-04,18.02,18.37,17.48,17.7,1704435.0,17.819,11292
2020-09-08,17.58,17.68,17.11,17.3,1636592.0,17.406,9793
2020-09-09,17.5,17.59,17.0,17.12,1871982.0,17.169,10864
2020-09-10,18.11,18.11,16.93,16.98,3637999.0,17.332,20000
2020-09-11,17.03,18.08,17.01,17.8,2703151.0,17.781,15514
2020-09-14,17.97,18.43,17.72,18.39,2755771.0,18.145,14321
2020-09-15,18.36,18.49,18.0,18.21,1875468.0,18.351,10174
2020-09-16,18.15,19.02,17.88,18.78,2781722.0,18.581,16537
2020-09-17,18.51,19.07,18.31,18.49,2978019.0,18.623,16355
2020-09-18,18.3,18.74,17.57,17.7,3482270.0,18.02,16812
2020-09-21,17.2,17.21,16.74,16.88,2768294.0,16.944,13476
2020-09-22,16.78,17.24,16.63,17.08,2050192.0,17.032,11452
2020-09-23,17.11,17.57,16.43,16.44,2143838.0,16.804,11615
2020-09-24,16.39,16.78,16.15,16.47,1789986.0,16.482,10717
2020-09-25,16.3,16.78,16.26,16.67,1421419.0,16.577,8644
2020-09-28,16.93,17.56,16.93,17.19,1226047.0,17.348,7497
2020-09-29,17.52,17.57,17.15,17.3,1356040.0,17.35,7763
2020-09-30,17.29,17.39,16.59,16.72,1689769.0,16.943,9372
2020-10-01,16.94,17.24,16.82,17.23,2012355.0,17.076,12519
2020-10-02,16.64,17.97,16.51,17.88,1487939.0,17.589,9627
2020-10-05,18.03,18.31,18.0,18.18,1434300.0,18.196,8031
2020-10-06,18.37,18.43,17.49,17.53,1934159.0,18.041,9722
2020-10-07,17.93,18.31,17.61,18.11,1316317.0,18.166,7285
2020-10-08,18.24,18.79,18.18,18.73,1011644.0,18.532,6515
2020-10-09,18.87,18.9,18.27,18.3,1200392.0,18.473,7849
2020-10-12,18.2,18.38,17.81,18.19,1130869.0,18.161,6644
2020-10-13,17.94,17.95,17.53,17.85,1116309.0,17.785,6780
2020-10-14,17.94,18.35,17.88,18.26,913567.0,18.198,6261
2020-10-15,18.01,18.5,17.74,18.5,1295388.0,18.222,7878
2020-10-16,18.75,18.83,18.5,18.59,1679264.0,18.646,8021
2020-10-19,18.6,18.85,18.25,18.61,1409549.0,18.554,8918
2020-10-20,18.76,18.76,18.21,18.22,1938598.0,18.447,12253
2020-10-21,18.14,18.32,17.92,18.14,929363.0,18.167,6570
2020-10-22,18.24,18.88,18.19,18.85,1379776.0,18.627,9886
2020-10-23,19.0,19.16,18.64,18.95,1190526.0,18.937,6775
2020-10-26,18.56,18.62,18.0,18.28,1507953.0,18.242,10721
2020-10-27,18.12,18.24,17.46,17.53,1380445.0,17.658,10014
2020-10-28,17.01,17.22,16.59,16.68,1817882.0,16.836,13450
2020-10-29,16.66,17.34,16.57,17.21,1469207.0,16.993,10008
2020-10-30,17.14,17.3,16.84,17.25,1664117.0,17.097,11496
2020-11-02,17.54,17.97,17.33,17.85,1506739.0,17.776,10116
2020-11-03,18.26,18.75,18.07,18.63,2219865.0,18.431,14135
2020-11-04,18.4,18.71,17.93,18.17,1296315.0,18.365,9069
2020-11-05,18.38,19.11,18.05,18.84,3624098.0,18.887,18565
2020-11-06,18.84,19.06,18.67,18.85,2275792.0,18.845,13834
2020-11-09,20.08,24.46,20.0,22.43,8544583.0,22.726,45988
2020-11-10,22.55,24.15,22.45,23.0,4925536.0,23.489,28879
2020-11-11,23.89,23.89,22.06,22.28,3445446.0,22.377,19916
2020-11-12,21.83,22.1,21.15,21.44,3637892.0,21.565,17249
2020-11-13,21.84,22.55,21.83,22.36,2323683.0,22.307,12483
2020-11-16,23.44,23.94,22.88,23.18,4676263.0,23.245,20140
2020-11-17,22.73,23.65,22.7,23.5,3290048.0,23.307,16332
2020-11-18,23.9,24.02,23.17,23.19,3701579.0,23.646,15701
2020-11-19,22.94,23.62,22.67,23.57,3576092.0,23.226,23314
2020-11-20,23.48,23.96,23.31,23.95,4096353.0,23.724,12261
2020-11-23,24.29,24.7,24.05,24.32,3464963.0,24.481,13644
2020-11-24,25.0,25.4,24.75,25.24,2878175.0,25.114,16842
2020-11-25,24.75,25.36,24.45,24.55,3585084.0,24.893,17471
2020-11-27,24.62,24.79,24.32,24.6,1291846.0,24.515,8314
2020-11-30,24.36,24.56,23.43,23.46,2982819.0,23.752,18537
2020-12-01,24.34,24.54,23.67,23.77,3831549.0,24.0,21354
2020-12-02,23.61,24.35,23.52,24.26,2266040.0,24.072,13967
2020-12-03,24.46,25.52,24.3,25.05,5142841.0,25.166,27543
2020-12-04,25.35,25.65,25.19,25.37,3912797.0,25.452,20620
2020-12-07,25.37,25.8,25.27,25.58,1842217.0,25.56,12213
2020-12-08,25.23,25.51,24.91,25.45,1578952.0,25.302,8832
2020-12-09,25.56,25.82,25.08,25.45,1515266.0,25.445,9781
2020-12-10,25.14,26.44,25.14,26.13,2806573.0,26.072,15150
2020-12-11,25.86,26.67,25.77,26.43,3154575.0,26.373,17216
2020-12-14,27.33,27.41,26.51,26.81,2642536.0,26.916,14188
2020-12-15,27.15,27.27,26.44,26.94,1728361.0,26.84,10960
2020-12-16,26.94,27.05,26.04,26.83,2365886.0,26.557,11142
2020-12-17,26.88,26.97,26.01,26.96,2685309.0,26.56,14590
2020-12-18,26.85,27.37,26.78,27.27,3040544.0,27.043,13742
2020-12-21,26.55,26.77,26.19,26.46,1630192.0,26.499,10340
