date,open,high,low,close,volume,average,barCount
2020-07-13,119.78,120.99,118.66,119.2,3207003.0,119.959,20789
2020-07-14,118.62,120.89,117.92,120.6,2825341.0,119.61,19611
2020-07-15,122.4,123.96,122.15,123.0,3029743.0,123.014,20129
2020-07-16,122.79,124.48,122.16,124.01,3122995.0,123.721,20333
2020-07-17,124.39,125.63,123.2,125.11,2635456.0,124.781,15949
2020-07-20,126.07,127.07,125.14,126.37,4832613.0,126.314,28427
2020-07-21,131.14,132.17,125.8,126.06,12685408.0,128.341,59061
2020-07-22,125.9,129.47,125.8,128.67,5877788.0,128.288,31260
2020-07-23,129.1,129.37,127.15,127.33,2864186.0,128.341,18636
2020-07-24,126.48,127.65,125.5,125.79,2478558.0,126.474,15234
2020-07-27,124.86,126.32,124.71,126.21,2452130.0,125.765,15550
2020-07-28,125.82,126.34,124.15,124.47,2481200.0,125.193,14741
2020-07-29,124.56,125.99,124.07,125.32,1649790.0,125.036,10508
2020-07-30,123.71,123.91,121.64,122.9,2822771.0,122.782,18278
2020-07-31,122.63,122.99,121.09,122.94,3157876.0,121.905,19938
2020-08-03,123.5,124.41,122.15,124.31,2241042.0,123.644,13745
2020-08-04,123.82,125.86,123.82,125.84,2459879.0,124.908,15461
2020-08-05,126.73,126.75,124.61,125.45,2360161.0,125.524,13676
2020-08-06,125.0,126.26,125.0,126.12,2155917.0,125.737,13104
2020-08-07,123.5,125.07,123.21,124.96,2133875.0,124.211,13379
2020-08-10,125.42,127.24,125.18,127.11,2772130.0,126.533,17041
2020-08-11,128.76,130.47,126.61,126.75,3200462.0,128.849,20274
2020-08-12,127.61,127.79,125.87,126.7,2008850.0,126.69,12566
2020-08-13,126.13,126.39,124.77,125.03,2177128.0,125.264,13748
2020-08-14,124.2,125.56,123.91,125.27,1523307.0,125.065,8745
2020-08-17,125.25,125.59,124.41,124.44,2266956.0,124.993,12754
2020-08-18,125.0,125.5,124.24,124.92,1641096.0,124.978,10192
2020-08-19,124.83,125.5,123.5,123.84,2610885.0,124.532,14159
2020-08-20,123.2,124.04,122.81,123.15,1579328.0,123.456,9537
2020-08-21,122.94,123.49,122.31,123.16,1828750.0,122.974,10960
2020-08-24,123.79,126.06,123.36,125.68,2671642.0,125.088,16609
2020-08-25,126.0,126.82,124.49,124.64,1786059.0,125.275,11572
2020-08-26,124.95,125.12,123.95,124.17,2045885.0,124.262,12343
2020-08-27,124.6,125.1,123.98,124.65,2154798.0,124.559,13769
2020-08-28,124.96,125.3,124.21,125.07,1875410.0,124.809,11168
2020-08-31,125.25,125.25,123.03,123.31,2729303.0,123.665,16845
2020-09-01,122.85,123.95,122.15,123.4,2018855.0,123.274,12944
2020-09-02,123.72,128.7,123.57,128.18,4513350.0,127.088,26968
2020-09-03,128.33,129.95,123.65,124.45,3589322.0,126.005,22551
2020-09-04,124.35,125.35,121.24,122.3,3937286.0,122.729,23574
2020-09-08,122.16,122.87,120.71,121.21,3232515.0,121.652,22094
2020-09-09,122.13,123.7,121.29,122.26,2414940.0,122.596,15332
2020-09-10,122.53,123.58,120.24,120.56,2633397.0,121.796,16378
2020-09-11,121.39,122.7,120.73,121.46,2391063.0,121.596,16115
2020-09-14,122.36,123.38,121.76,122.09,2154431.0,122.56,13691
2020-09-15,122.82,123.4,122.24,122.44,1723154.0,122.651,12059
2020-09-16,122.71,125.82,122.71,124.22,2253408.0,124.419,13126
2020-09-17,122.72,125.55,121.97,124.92,1827542.0,124.378,11544
2020-09-18,124.26,124.92,122.65,122.76,2967845.0,123.839,13518
2020-09-21,120.48,120.7,118.58,120.25,3476846.0,119.449,20744
2020-09-22,120.33,121.45,119.53,120.51,1798267.0,120.371,10928
2020-09-23,120.8,121.59,118.43,118.83,2322162.0,119.599,14499
2020-09-24,118.06,119.52,116.48,118.09,2417920.0,118.1,15297
2020-09-25,117.6,119.41,116.94,118.95,1818743.0,118.196,11223
2020-09-28,120.57,122.33,120.41,121.73,2009220.0,121.535,12512
2020-09-29,121.31,122.19,120.21,120.94,1327899.0,121.107,8434
2020-09-30,121.38,122.91,120.8,121.67,1739886.0,122.103,11745
2020-10-01,122.36,123.3,120.35,121.09,1859231.0,121.397,11841
2020-10-02,119.04,121.75,118.82,120.57,1717827.0,120.696,10712
2020-10-05,121.84,122.75,121.05,122.01,1891025.0,121.816,10652
2020-10-06,122.58,124.83,121.59,121.97,2195175.0,123.209,13829
2020-10-07,122.67,124.39,122.32,124.07,1651898.0,123.687,10688
2020-10-08,130.86,135.5,129.77,131.49,18234437.0,132.15,83740
2020-10-09,132.0,132.0,127.6,127.79,6318473.0,128.867,34089
2020-10-12,128.07,128.25,126.44,127.21,3109065.0,127.228,16658
2020-10-13,126.57,127.15,124.46,125.1,3815929.0,125.403,21631
2020-10-14,125.13,126.94,125.13,125.94,2228267.0,126.186,13370
2020-10-15,124.17,125.22,123.85,124.89,2122703.0,124.706,12735
2020-10-16,125.17,126.43,124.65,125.93,2634682.0,125.705,14842
2020-10-19,126.8,127.35,125.08,125.52,4440348.0,125.977,24817
2020-10-20,119.8,120.15,116.84,117.37,17351827.0,117.945,87793
2020-10-21,116.72,117.69,114.79,115.06,7154771.0,115.953,38287
2020-10-22,115.0,116.06,112.98,115.76,5737072.0,114.347,30906
2020-10-23,116.5,116.62,115.53,116.0,2619937.0,115.968,15436
2020-10-26,114.41,114.9,111.84,112.22,5284488.0,112.709,29106
2020-10-27,112.15,112.22,110.03,110.56,4281852.0,110.639,23761
