date,open,high,low,close,volume,average,barCount
2020-07-13,92.73,94.32,91.72,91.83,1423683.0,93.074,10485
2020-07-14,91.84,92.34,90.84,91.72,1588771.0,91.493,12499
2020-07-15,92.76,93.82,91.51,93.24,2234537.0,92.817,15729
2020-07-16,92.89,93.61,92.06,92.37,1378292.0,92.65,10380
2020-07-17,92.83,94.04,92.55,93.83,1211571.0,93.485,8783
2020-07-20,93.39,94.63,93.21,94.25,1164624.0,93.874,7919
2020-07-21,94.29,95.46,94.26,95.11,1556834.0,95.026,9556
2020-07-22,94.66,96.21,94.39,96.06,2122765.0,95.561,12561
2020-07-23,96.29,97.04,95.52,95.85,2459274.0,96.352,12507
2020-07-24,95.85,96.54,95.5,96.32,2322492.0,96.117,15281
2020-07-27,95.92,96.53,94.54,94.54,2138621.0,95.508,12490
2020-07-28,94.58,94.68,92.82,92.92,2501454.0,93.418,16046
2020-07-29,92.79,94.77,92.79,94.3,1780390.0,94.292,13037
2020-07-30,93.63,95.38,93.35,94.37,2523962.0,94.056,14865
2020-07-31,94.72,96.83,93.91,96.78,2256825.0,95.624,15342
2020-08-03,97.12,97.9,95.94,96.28,2036531.0,96.615,11874
2020-08-04,95.71,96.02,95.04,95.78,1182540.0,95.561,7692
2020-08-05,96.15,96.57,95.68,96.16,1358490.0,96.155,6174
2020-08-06,95.9,97.74,95.78,97.46,1972673.0,96.72,10231
2020-08-07,96.92,101.11,95.28,100.96,4426301.0,99.258,27776
2020-08-10,101.01,101.11,98.5,99.16,2844269.0,99.24,15774
2020-08-11,99.87,99.87,98.37,98.61,2847772.0,99.09,17242
2020-08-12,99.33,100.1,99.1,99.43,2035025.0,99.664,10479
2020-08-13,99.18,100.74,98.88,100.2,3971160.0,100.33,20803
2020-08-14,100.11,102.96,100.09,102.49,2854059.0,102.194,18167
2020-08-17,102.5,104.3,102.1,104.05,2265548.0,103.54,15824
2020-08-18,103.32,104.6,102.91,104.38,2402330.0,103.933,16026
2020-08-19,104.62,104.83,103.26,103.53,1722603.0,104.174,10455
2020-08-20,103.0,104.18,102.96,103.75,2359261.0,103.74,12921
2020-08-21,103.79,104.44,103.33,104.2,1535934.0,103.967,11082
2020-08-24,104.71,105.99,103.99,105.81,2577745.0,105.399,14915
2020-08-25,105.89,105.89,104.01,104.44,2714560.0,104.494,12241
2020-08-26,104.5,105.42,103.6,105.0,1335677.0,104.825,8422
2020-08-27,105.17,105.47,104.43,105.01,2154185.0,104.996,13926
2020-08-28,105.73,105.85,104.84,105.56,1361196.0,105.528,9186
2020-08-31,105.75,106.63,105.46,106.23,1180851.0,106.139,8215
2020-09-01,105.9,106.55,105.76,106.52,1996865.0,106.004,10451
