date,open,high,low,close,volume,average,barCount
2020-07-13,340.74,345.4,333.67,335.14,213712.0,338.836,1607
2020-07-14,332.82,339.07,329.69,338.47,167958.0,334.944,1431
2020-07-15,340.56,342.99,336.62,340.74,107927.0,339.798,959
2020-07-16,339.37,340.68,334.58,339.2,111131.0,338.455,990
2020-07-17,339.78,352.72,339.13,349.85,156056.0,347.375,1159
2020-07-20,353.51,363.0,352.57,361.0,208645.0,360.345,1698
2020-07-21,364.16,366.04,360.41,363.32,124615.0,363.232,969
2020-07-22,366.82,372.33,362.37,365.23,157486.0,365.971,1250
2020-07-23,366.32,368.71,358.19,360.84,215991.0,364.206,1825
2020-07-24,359.54,361.23,353.17,359.23,128903.0,358.347,1146
2020-07-27,359.0,368.64,359.0,366.67,143233.0,365.848,1220
2020-07-28,365.84,368.0,360.65,361.65,132441.0,363.948,1145
2020-07-29,363.35,369.69,361.94,366.91,147592.0,367.005,1253
2020-07-30,363.8,375.48,361.26,374.1,211024.0,369.776,1839
2020-07-31,382.92,407.86,382.5,397.75,384027.0,396.923,3094
2020-08-03,398.02,399.84,390.17,391.99,327519.0,393.606,2533
2020-08-04,392.9,394.71,385.22,390.25,364962.0,388.584,2952
2020-08-05,393.12,396.41,388.82,395.71,358504.0,393.961,2277
2020-08-06,394.01,395.74,384.19,389.78,249402.0,388.77,1865
2020-08-07,387.96,392.31,377.72,381.76,286619.0,382.437,2349
2020-08-10,380.83,382.29,376.16,377.19,316226.0,379.016,2571
2020-08-11,376.2,379.39,372.18,374.03,216204.0,375.316,1646
2020-08-12,375.02,387.84,375.02,384.83,176562.0,384.274,1378
2020-08-13,385.98,389.5,382.7,385.25,212418.0,386.938,1669
2020-08-14,384.78,386.0,377.4,379.4,284566.0,379.519,1999
2020-08-17,381.91,385.47,381.67,384.39,250276.0,383.583,2011
2020-08-18,384.01,387.75,381.56,386.65,139981.0,385.428,1150
2020-08-19,389.32,390.08,380.91,381.5,143619.0,383.108,1186
2020-08-20,381.5,385.28,379.5,383.33,123571.0,382.846,1061
2020-08-21,382.7,384.03,377.01,383.46,189981.0,381.409,1549
2020-08-24,384.23,386.68,378.1,380.62,146907.0,381.374,1272
2020-08-25,380.12,386.35,377.61,383.93,178257.0,383.116,1392
2020-08-26,382.41,386.79,376.61,386.02,122674.0,383.723,997
2020-08-27,387.62,389.35,379.74,386.28,127167.0,386.421,972
2020-08-28,387.79,389.06,381.07,383.98,98513.0,384.397,870
2020-08-31,382.67,393.4,382.52,391.06,133025.0,389.284,1118
2020-09-01,393.95,398.59,391.25,398.49,163947.0,395.79,1305
2020-09-02,399.0,407.45,398.38,406.31,205205.0,403.656,1692
2020-09-03,406.1,406.1,377.19,381.28,198658.0,384.237,1726
2020-09-04,382.11,383.03,363.83,370.66,270963.0,370.546,2106
2020-09-08,367.9,370.22,361.48,364.19,163332.0,366.107,1460
2020-09-09,366.37,376.28,365.04,374.16,231277.0,372.205,1747
2020-09-10,375.05,378.69,365.67,367.76,104896.0,371.755,912
2020-09-11,369.44,371.78,360.27,364.82,125999.0,365.583,1104
2020-09-14,370.25,370.25,364.27,365.56,99532.0,366.983,856
2020-09-15,367.18,372.61,366.95,369.24,136896.0,369.77,1215
2020-09-16,372.75,372.8,360.32,362.36,207843.0,364.686,1847
2020-09-17,357.53,360.46,350.64,354.2,342524.0,355.225,2752
2020-09-18,355.34,359.33,347.54,354.76,394895.0,354.271,2646
2020-09-21,350.8,365.24,348.68,364.7,160915.0,359.56,1398
2020-09-22,364.9,369.68,359.21,368.32,145421.0,364.977,1142
2020-09-23,367.78,372.3,362.65,363.87,136220.0,367.024,1167
2020-09-24,363.2,368.8,361.17,365.47,99439.0,365.368,939
2020-09-25,364.95,380.65,364.58,377.83,149576.0,375.385,1341
2020-09-28,381.81,387.68,380.16,386.37,206686.0,384.883,1782
2020-09-29,388.22,395.21,385.0,385.06,125047.0,388.044,1099
2020-09-30,383.45,397.26,383.45,393.11,205851.0,392.696,1742
2020-10-01,396.29,398.16,391.88,394.78,149743.0,394.935,1362
2020-10-02,389.0,393.82,382.68,383.85,124803.0,387.382,1060
2020-10-05,385.75,392.83,385.27,392.37,93156.0,390.156,791
2020-10-06,391.88,393.54,383.12,384.31,125128.0,388.244,1058
2020-10-07,387.35,391.55,385.26,386.23,122580.0,387.364,993
2020-10-08,388.94,394.39,385.81,393.51,84009.0,391.737,712
2020-10-09,395.0,401.96,393.02,400.65,124001.0,398.372,1027
2020-10-12,404.88,424.87,404.88,419.39,206335.0,417.971,1639
2020-10-13,421.81,424.8,415.03,421.42,146811.0,421.003,1107
2020-10-14,420.82,430.86,416.03,420.51,93181.0,422.136,768
2020-10-15,416.42,423.94,414.68,422.72,108868.0,420.387,927
2020-10-16,423.76,429.7,420.81,423.75,109211.0,424.577,775
2020-10-19,424.12,431.15,417.54,419.27,106436.0,424.631,942
2020-10-20,423.81,426.42,419.87,420.09,80079.0,422.952,641
2020-10-21,421.47,426.42,416.48,419.73,84975.0,419.976,661
2020-10-22,421.34,427.83,417.56,423.59,155186.0,423.615,1258
2020-10-23,428.32,429.73,423.55,429.66,83544.0,427.442,657
2020-10-26,427.67,434.93,426.23,428.96,184585.0,429.077,1437
2020-10-27,429.84,444.96,429.84,443.16,169066.0,439.656,1271
2020-10-28,434.5,441.48,422.11,422.89,218521.0,428.62,1652
2020-10-29,440.0,453.2,433.08,441.8,284579.0,444.554,2319
2020-10-30,438.47,441.72,419.12,424.82,281990.0,425.648,2325
2020-11-02,430.48,446.74,428.08,431.05,277425.0,435.819,2180
2020-11-03,437.32,448.29,437.32,444.1,166952.0,444.102,1385
2020-11-04,455.26,482.5,451.58,469.36,370883.0,471.346,2771
2020-11-05,473.99,480.19,462.68,467.97,206676.0,468.035,1587
2020-11-06,469.99,479.15,466.36,478.1,260480.0,474.789,1749
2020-11-09,485.0,485.0,435.58,436.45,414689.0,447.109,3316
2020-11-10,431.89,443.72,421.15,441.23,456646.0,435.02,3563
